shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.ChuoRapid.Outbound,35.67711,139.76523,0
JR-East.ChuoRapid.Outbound,35.6778,139.76552,1
JR-East.ChuoRapid.Outbound,35.67965,139.76621,2
JR-East.ChuoRapid.Outbound,35.68228,139.76716,3
JR-East.ChuoRapid.Outbound,35.68359,139.76764,4
JR-East.ChuoRapid.Outbound,35.68586,139.76849,5
JR-East.ChuoRapid.Outbound,35.6881,139.76933,6
JR-East.ChuoRapid.Outbound,35.69096,139.77054,7
JR-East.ChuoRapid.Outbound,35.69258,139.77121,8
JR-East.ChuoRapid.Outbound,35.69345,139.77159,9
JR-East.ChuoRapid.Outbound,35.69376,139.77162,10
JR-East.ChuoRapid.Outbound,35.69422,139.77164,11
JR-East.ChuoRapid.Outbound,35.69448,139.77167,12
JR-East.ChuoRapid.Outbound,35.6951,139.77165,13
JR-East.ChuoRapid.Outbound,35.69552,139.77161,14
JR-East.ChuoRapid.Outbound,35.6958,139.77149,15
JR-East.ChuoRapid.Outbound,35.69624,139.7712,16
JR-East.ChuoRapid.Outbound,35.69696,139.77052,17
JR-East.ChuoRapid.Outbound,35.69769,139.76953,18
JR-East.ChuoRapid.Outbound,35.69815,139.76889,19
JR-East.ChuoRapid.Outbound,35.6983,139.76863,20
JR-East.ChuoRapid.Outbound,35.69852,139.76817,21
JR-East.ChuoRapid.Outbound,35.69883,139.76755,22
JR-East.ChuoRapid.Outbound,35.69926,139.76634,23
JR-East.ChuoRapid.Outbound,35.69995,139.76372,24
JR-East.ChuoRapid.Outbound,35.70014,139.76327,25
JR-East.ChuoRapid.Outbound,35.70065,139.76242,26
JR-East.ChuoRapid.Outbound,35.7011,139.76174,27
JR-East.ChuoRapid.Outbound,35.70122,139.7614,28
JR-East.ChuoRapid.Outbound,35.70132,139.76104,29
JR-East.ChuoRapid.Outbound,35.7014,139.76056,30
JR-East.ChuoRapid.Outbound,35.70141,139.75915,31
JR-East.ChuoRapid.Outbound,35.70135,139.75796,32
JR-East.ChuoRapid.Outbound,35.70136,139.75762,33
JR-East.ChuoRapid.Outbound,35.70144,139.75719,34
JR-East.ChuoRapid.Outbound,35.70172,139.75607,35
JR-East.ChuoRapid.Outbound,35.7019,139.75503,36
JR-East.ChuoRapid.Outbound,35.70191,139.75494,37
JR-East.ChuoRapid.Outbound,35.70209,139.75255,38
JR-East.ChuoRapid.Outbound,35.7021,139.75245,39
JR-East.ChuoRapid.Outbound,35.70223,139.75057,40
JR-East.ChuoRapid.Outbound,35.70244,139.74779,41
JR-East.ChuoRapid.Outbound,35.70245,139.74723,42
JR-East.ChuoRapid.Outbound,35.70246,139.74677,43
JR-East.ChuoRapid.Outbound,35.70233,139.74617,44
JR-East.ChuoRapid.Outbound,35.70219,139.74574,45
JR-East.ChuoRapid.Outbound,35.70214,139.74565,46
JR-East.ChuoRapid.Outbound,35.70192,139.74525,47
JR-East.ChuoRapid.Outbound,35.70177,139.74503,48
JR-East.ChuoRapid.Outbound,35.70149,139.74471,49
JR-East.ChuoRapid.Outbound,35.70114,139.74438,50
JR-East.ChuoRapid.Outbound,35.70091,139.74421,51
JR-East.ChuoRapid.Outbound,35.70019,139.7437,52
JR-East.ChuoRapid.Outbound,35.6994,139.74303,53
JR-East.ChuoRapid.Outbound,35.69931,139.74295,54
JR-East.ChuoRapid.Outbound,35.69855,139.74231,55
JR-East.ChuoRapid.Outbound,35.69727,139.74131,56
JR-East.ChuoRapid.Outbound,35.69651,139.74074,57
JR-East.ChuoRapid.Outbound,35.69555,139.74,58
JR-East.ChuoRapid.Outbound,35.69465,139.7394,59
JR-East.ChuoRapid.Outbound,35.69401,139.73891,60
JR-East.ChuoRapid.Outbound,35.69358,139.73857,61
JR-East.ChuoRapid.Outbound,35.69309,139.73814,62
