shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.ChuoSobuLocal.Eastbound,35.70268,139.55959,0
JR-East.ChuoSobuLocal.Eastbound,35.70269,139.56058,1
JR-East.ChuoSobuLocal.Eastbound,35.70269,139.56067,2
JR-East.ChuoSobuLocal.Eastbound,35.7027,139.56101,3
JR-East.ChuoSobuLocal.Eastbound,35.70271,139.56169,4
JR-East.ChuoSobuLocal.Eastbound,35.70274,139.56325,5
JR-East.ChuoSobuLocal.Eastbound,35.70278,139.5649,6
JR-East.ChuoSobuLocal.Eastbound,35.70282,139.56586,7
JR-East.ChuoSobuLocal.Eastbound,35.70282,139.56602,8
JR-East.ChuoSobuLocal.Eastbound,35.70284,139.56753,9
JR-East.ChuoSobuLocal.Eastbound,35.70284,139.56757,10
JR-East.ChuoSobuLocal.Eastbound,35.70288,139.56858,11
JR-East.ChuoSobuLocal.Eastbound,35.70291,139.5697,12
JR-East.ChuoSobuLocal.Eastbound,35.70294,139.57083,13
JR-East.ChuoSobuLocal.Eastbound,35.70297,139.57158,14
JR-East.ChuoSobuLocal.Eastbound,35.70299,139.57259,15
JR-East.ChuoSobuLocal.Eastbound,35.70304,139.57453,16
JR-East.ChuoSobuLocal.Eastbound,35.70307,139.57584,17
JR-East.ChuoSobuLocal.Eastbound,35.70308,139.57701,18
JR-East.ChuoSobuLocal.Eastbound,35.70311,139.57861,19
JR-East.ChuoSobuLocal.Eastbound,35.70316,139.58035,20
JR-East.ChuoSobuLocal.Eastbound,35.70317,139.58101,21
JR-East.ChuoSobuLocal.Eastbound,35.70323,139.58147,22
JR-East.ChuoSobuLocal.Eastbound,35.70328,139.58297,23
JR-East.ChuoSobuLocal.Eastbound,35.70329,139.58327,24
JR-East.ChuoSobuLocal.Eastbound,35.70332,139.5841,25
JR-East.ChuoSobuLocal.Eastbound,35.70335,139.58488,26
JR-East.ChuoSobuLocal.Eastbound,35.70338,139.58577,27
JR-East.ChuoSobuLocal.Eastbound,35.70342,139.58706,28
JR-East.ChuoSobuLocal.Eastbound,35.70344,139.58846,29
JR-East.ChuoSobuLocal.Eastbound,35.70349,139.58979,30
JR-East.ChuoSobuLocal.Eastbound,35.70353,139.59124,31
JR-East.ChuoSobuLocal.Eastbound,35.70356,139.59256,32
JR-East.ChuoSobuLocal.Eastbound,35.70361,139.59394,33
JR-East.ChuoSobuLocal.Eastbound,35.70362,139.59435,34
JR-East.ChuoSobuLocal.Eastbound,35.70364,139.59506,35
JR-East.ChuoSobuLocal.Eastbound,35.70368,139.59638,36
JR-East.ChuoSobuLocal.Eastbound,35.70371,139.59738,37
JR-East.ChuoSobuLocal.Eastbound,35.70373,139.59833,38
JR-East.ChuoSobuLocal.Eastbound,35.70379,139.59963,39
JR-East.ChuoSobuLocal.Eastbound,35.70383,139.60029,40
JR-East.ChuoSobuLocal.Eastbound,35.70384,139.60057,41
JR-East.ChuoSobuLocal.Eastbound,35.70387,139.60252,42
JR-East.ChuoSobuLocal.Eastbound,35.70388,139.60296,43
JR-East.ChuoSobuLocal.Eastbound,35.70392,139.6039,44
JR-East.ChuoSobuLocal.Eastbound,35.70396,139.6052,45
JR-East.ChuoSobuLocal.Eastbound,35.70399,139.60661,46
JR-East.ChuoSobuLocal.Eastbound,35.70402,139.60782,47
JR-East.ChuoSobuLocal.Eastbound,35.70403,139.60853,48
JR-East.ChuoSobuLocal.Eastbound,35.70407,139.60943,49
JR-East.ChuoSobuLocal.Eastbound,35.70411,139.61086,50
