shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.Itsukaichi.Outbound,35.72037,139.34409,0
JR-East.Itsukaichi.Outbound,35.72156,139.34319,1
JR-East.Itsukaichi.Outbound,35.72202,139.34285,2
JR-East.Itsukaichi.Outbound,35.72281,139.34222,3
JR-East.Itsukaichi.Outbound,35.72397,139.3413,4
JR-East.Itsukaichi.Outbound,35.72421,139.34112,5
JR-East.Itsukaichi.Outbound,35.72443,139.34086,6
JR-East.Itsukaichi.Outbound,35.72479,139.34041,7
JR-East.Itsukaichi.Outbound,35.72515,139.33993,8
JR-East.Itsukaichi.Outbound,35.72557,139.33937,9
JR-East.Itsukaichi.Outbound,35.72601,139.33883,10
JR-East.Itsukaichi.Outbound,35.72624,139.33856,11
JR-East.Itsukaichi.Outbound,35.72682,139.33785,12
JR-East.Itsukaichi.Outbound,35.72713,139.33748,13
JR-East.Itsukaichi.Outbound,35.72755,139.33697,14
JR-East.Itsukaichi.Outbound,35.72782,139.3366,15
JR-East.Itsukaichi.Outbound,35.72813,139.33609,16
JR-East.Itsukaichi.Outbound,35.72845,139.33537,17
JR-East.Itsukaichi.Outbound,35.72855,139.33504,18
JR-East.Itsukaichi.Outbound,35.72868,139.33448,19
JR-East.Itsukaichi.Outbound,35.72872,139.33397,20
JR-East.Itsukaichi.Outbound,35.72871,139.33372,21
JR-East.Itsukaichi.Outbound,35.72864,139.33334,22
JR-East.Itsukaichi.Outbound,35.72859,139.33303,23
JR-East.Itsukaichi.Outbound,35.72853,139.33266,24
JR-East.Itsukaichi.Outbound,35.72811,139.33071,25
JR-East.Itsukaichi.Outbound,35.72801,139.33024,26
JR-East.Itsukaichi.Outbound,35.72778,139.32909,27
JR-East.Itsukaichi.Outbound,35.72767,139.32861,28
JR-East.Itsukaichi.Outbound,35.72765,139.32853,29
JR-East.Itsukaichi.Outbound,35.72739,139.32725,30
JR-East.Itsukaichi.Outbound,35.72704,139.32562,31
JR-East.Itsukaichi.Outbound,35.72668,139.3239,32
JR-East.Itsukaichi.Outbound,35.72647,139.32292,33
JR-East.Itsukaichi.Outbound,35.72643,139.32272,34
JR-East.Itsukaichi.Outbound,35.72635,139.32233,35
JR-East.Itsukaichi.Outbound,35.72619,139.32151,36
JR-East.Itsukaichi.Outbound,35.72593,139.32017,37
JR-East.Itsukaichi.Outbound,35.72578,139.31907,38
JR-East.Itsukaichi.Outbound,35.72578,139.31873,39
JR-East.Itsukaichi.Outbound,35.72582,139.31727,40
JR-East.Itsukaichi.Outbound,35.72591,139.31559,41
JR-East.Itsukaichi.Outbound,35.72595,139.31454,42
JR-East.Itsukaichi.Outbound,35.72594,139.3124,43
JR-East.Itsukaichi.Outbound,35.72593,139.31095,44
JR-East.Itsukaichi.Outbound,35.72589,139.30953,45
JR-East.Itsukaichi.Outbound,35.72589,139.3094,46
JR-East.Itsukaichi.Outbound,35.72587,139.3072,47
JR-East.Itsukaichi.Outbound,35.72585,139.3055,48
JR-East.Itsukaichi.Outbound,35.72585,139.30326,49
JR-East.Itsukaichi.Outbound,35.72589,139.30274,50
JR-East.Itsukaichi.Outbound,35.72623,139.30033,51
JR-East.Itsukaichi.Outbound,35.7265,139.29838,52
JR-East.Itsukaichi.Outbound,35.72657,139.29789,53
JR-East.Itsukaichi.Outbound,35.72689,139.29552,54
JR-East.Itsukaichi.Outbound,35.72716,139.29356,55
JR-East.Itsukaichi.Outbound,35.72742,139.29169,56
JR-East.Itsukaichi.Outbound,35.72754,139.29064,57
