shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.Kawagoe.Inbound,35.89586,139.33842,0
JR-East.Kawagoe.Inbound,35.89688,139.33784,1
JR-East.Kawagoe.Inbound,35.8973,139.33757,2
JR-East.Kawagoe.Inbound,35.89818,139.33705,3
JR-East.Kawagoe.Inbound,35.89836,139.33694,4
JR-East.Kawagoe.Inbound,35.89856,139.33691,5
JR-East.Kawagoe.Inbound,35.89872,139.3369,6
JR-East.Kawagoe.Inbound,35.89905,139.33691,7
JR-East.Kawagoe.Inbound,35.89928,139.33693,8
JR-East.Kawagoe.Inbound,35.89946,139.33696,9
JR-East.Kawagoe.Inbound,35.89962,139.337,10
JR-East.Kawagoe.Inbound,35.89978,139.33706,11
JR-East.Kawagoe.Inbound,35.89988,139.3371,12
JR-East.Kawagoe.Inbound,35.89999,139.33716,13
JR-East.Kawagoe.Inbound,35.90014,139.33723,14
JR-East.Kawagoe.Inbound,35.90022,139.33728,15
JR-East.Kawagoe.Inbound,35.90029,139.33732,16
JR-East.Kawagoe.Inbound,35.90034,139.33735,17
JR-East.Kawagoe.Inbound,35.90045,139.33743,18
JR-East.Kawagoe.Inbound,35.90053,139.33749,19
JR-East.Kawagoe.Inbound,35.90066,139.33762,20
JR-East.Kawagoe.Inbound,35.90073,139.3377,21
JR-East.Kawagoe.Inbound,35.9008,139.33778,22
JR-East.Kawagoe.Inbound,35.90087,139.33786,23
JR-East.Kawagoe.Inbound,35.90097,139.33798,24
JR-East.Kawagoe.Inbound,35.90106,139.33811,25
JR-East.Kawagoe.Inbound,35.90118,139.33832,26
JR-East.Kawagoe.Inbound,35.90123,139.33843,27
JR-East.Kawagoe.Inbound,35.9013,139.33857,28
JR-East.Kawagoe.Inbound,35.90137,139.33873,29
JR-East.Kawagoe.Inbound,35.90143,139.33889,30
JR-East.Kawagoe.Inbound,35.90146,139.33898,31
JR-East.Kawagoe.Inbound,35.90149,139.33906,32
JR-East.Kawagoe.Inbound,35.90152,139.33917,33
JR-East.Kawagoe.Inbound,35.90155,139.33928,34
JR-East.Kawagoe.Inbound,35.90157,139.33943,35
JR-East.Kawagoe.Inbound,35.90158,139.33953,36
JR-East.Kawagoe.Inbound,35.90159,139.33962,37
JR-East.Kawagoe.Inbound,35.9016,139.3399,38
JR-East.Kawagoe.Inbound,35.90161,139.34029,39
JR-East.Kawagoe.Inbound,35.9016,139.34208,40
JR-East.Kawagoe.Inbound,35.9016,139.34455,41
JR-East.Kawagoe.Inbound,35.9016,139.34535,42
JR-East.Kawagoe.Inbound,35.9016,139.34735,43
JR-East.Kawagoe.Inbound,35.90161,139.35583,44
JR-East.Kawagoe.Inbound,35.9016,139.35644,45
JR-East.Kawagoe.Inbound,35.90155,139.36262,46
JR-East.Kawagoe.Inbound,35.90154,139.36752,47
JR-East.Kawagoe.Inbound,35.90154,139.36966,48
JR-East.Kawagoe.Inbound,35.90155,139.36992,49
JR-East.Kawagoe.Inbound,35.90156,139.37006,50
JR-East.Kawagoe.Inbound,35.90158,139.37028,51
JR-East.Kawagoe.Inbound,35.90162,139.37062,52
JR-East.Kawagoe.Inbound,35.9017,139.37127,53
JR-East.Kawagoe.Inbound,35.90175,139.37161,54
JR-East.Kawagoe.Inbound,35.90178,139.37179,55
JR-East.Kawagoe.Inbound,35.90179,139.37196,56
JR-East.Kawagoe.Inbound,35.90184,139.37216,57
JR-East.Kawagoe.Inbound,35.90213,139.37342,58
JR-East.Kawagoe.Inbound,35.90241,139.37443,59
JR-East.Kawagoe.Inbound,35.90271,139.37539,60
JR-East.Kawagoe.Inbound,35.90283,139.37573,61
JR-East.Kawagoe.Inbound,35.90309,139.3765,62
JR-East.Kawagoe.Inbound,35.90368,139.37829,63
JR-East.Kawagoe.Inbound,35.90409,139.37958,64
JR-East.Kawagoe.Inbound,35.9043,139.38022,65
JR-East.Kawagoe.Inbound,35.90488,139.38199,66
JR-East.Kawagoe.Inbound,35.90522,139.38303,67
JR-East.Kawagoe.Inbound,35.90536,139.38351,68
JR-East.Kawagoe.Inbound,35.90551,139.38428,69
JR-East.Kawagoe.Inbound,35.90554,139.3846,70
JR-East.Kawagoe.Inbound,35.90564,139.3862,71
JR-East.Kawagoe.Inbound,35.90573,139.38773,72
JR-East.Kawagoe.Inbound,35.90594,139.39032,73
JR-East.Kawagoe.Inbound,35.90596,139.39056,74
JR-East.Kawagoe.Inbound,35.90602,139.39154,75
JR-East.Kawagoe.Inbound,35.90609,139.39222,76
JR-East.Kawagoe.Inbound,35.9061,139.39246,77
JR-East.Kawagoe.Inbound,35.90611,139.39256,78
JR-East.Kawagoe.Inbound,35.9062,139.3939,79
JR-East.Kawagoe.Inbound,35.90625,139.39467,80
JR-East.Kawagoe.Inbound,35.90625,139.39469,81
JR-East.Kawagoe.Inbound,35.90637,139.39647,82
JR-East.Kawagoe.Inbound,35.90649,139.39804,83
JR-East.Kawagoe.Inbound,35.90659,139.39938,84
JR-East.Kawagoe.Inbound,35.9067,139.40086,85
JR-East.Kawagoe.Inbound,35.90679,139.40205,86
JR-East.Kawagoe.Inbound,35.90688,139.403,87
JR-East.Kawagoe.Inbound,35.90701,139.40385,88
JR-East.Kawagoe.Inbound,35.90718,139.40477,89
JR-East.Kawagoe.Inbound,35.90726,139.40519,90
JR-East.Kawagoe.Inbound,35.90739,139.40563,91
JR-East.Kawagoe.Inbound,35.90739,139.40566,92
JR-East.Kawagoe.Inbound,35.90777,139.40686,93
JR-East.Kawagoe.Inbound,35.90796,139.40754,94
JR-East.Kawagoe.Inbound,35.90822,139.4084,95
JR-East.Kawagoe.Inbound,35.90854,139.40948,96
JR-East.Kawagoe.Inbound,35.90893,139.41077,97
JR-East.Kawagoe.Inbound,35.90935,139.41217,98
JR-East.Kawagoe.Inbound,35.90965,139.41321,99
JR-East.Kawagoe.Inbound,35.91013,139.4148,100
JR-East.Kawagoe.Inbound,35.91019,139.415,101
JR-East.Kawagoe.Inbound,35.91027,139.41525,102
JR-East.Kawagoe.Inbound,35.9105,139.41603,103
JR-East.Kawagoe.Inbound,35.9111,139.41801,104
JR-East.Kawagoe.Inbound,35.91181,139.41994,105
JR-East.Kawagoe.Inbound,35.91255,139.42194,106
JR-East.Kawagoe.Inbound,35.9132,139.42372,107
JR-East.Kawagoe.Inbound,35.91357,139.42471,108
JR-East.Kawagoe.Inbound,35.91379,139.42531,109
JR-East.Kawagoe.Inbound,35.91439,139.42693,110
JR-East.Kawagoe.Inbound,35.91513,139.42892,111
JR-East.Kawagoe.Inbound,35.91568,139.43042,112
JR-East.Kawagoe.Inbound,35.91604,139.43137,113
JR-East.Kawagoe.Inbound,35.9163,139.43208,114
JR-East.Kawagoe.Inbound,35.91679,139.43336,115
JR-East.Kawagoe.Inbound,35.91732,139.43479,116
JR-East.Kawagoe.Inbound,35.91776,139.43603,117
JR-East.Kawagoe.Inbound,35.9183,139.4374,118
JR-East.Kawagoe.Inbound,35.91892,139.4391,119
JR-East.Kawagoe.Inbound,35.91957,139.44076,120
JR-East.Kawagoe.Inbound,35.91987,139.44153,121
JR-East.Kawagoe.Inbound,35.92009,139.44211,122
JR-East.Kawagoe.Inbound,35.92033,139.44282,123
JR-East.Kawagoe.Inbound,35.92055,139.44349,124
JR-East.Kawagoe.Inbound,35.92071,139.44409,125
JR-East.Kawagoe.Inbound,35.92089,139.44482,126
JR-East.Kawagoe.Inbound,35.92102,139.44551,127
JR-East.Kawagoe.Inbound,35.92109,139.44619,128
JR-East.Kawagoe.Inbound,35.92112,139.4469,129
JR-East.Kawagoe.Inbound,35.92112,139.44757,130
JR-East.Kawagoe.Inbound,35.92107,139.44831,131
JR-East.Kawagoe.Inbound,35.92097,139.44897,132
JR-East.Kawagoe.Inbound,35.92085,139.44967,133
JR-East.Kawagoe.Inbound,35.92074,139.45033,134
JR-East.Kawagoe.Inbound,35.92072,139.45044,135
JR-East.Kawagoe.Inbound,35.92067,139.45075,136
JR-East.Kawagoe.Inbound,35.92062,139.45105,137
JR-East.Kawagoe.Inbound,35.92058,139.45136,138
JR-East.Kawagoe.Inbound,35.92036,139.45273,139
JR-East.Kawagoe.Inbound,35.9202,139.45389,140
JR-East.Kawagoe.Inbound,35.92014,139.45433,141
JR-East.Kawagoe.Inbound,35.92002,139.45497,142
JR-East.Kawagoe.Inbound,35.91999,139.45511,143
JR-East.Kawagoe.Inbound,35.91993,139.4554,144
JR-East.Kawagoe.Inbound,35.91987,139.45565,145
JR-East.Kawagoe.Inbound,35.91982,139.45588,146
JR-East.Kawagoe.Inbound,35.91961,139.45705,147
JR-East.Kawagoe.Inbound,35.91943,139.45812,148
JR-East.Kawagoe.Inbound,35.91921,139.45925,149
JR-East.Kawagoe.Inbound,35.91898,139.46062,150
JR-East.Kawagoe.Inbound,35.91877,139.46187,151
JR-East.Kawagoe.Inbound,35.91871,139.46223,152
JR-East.Kawagoe.Inbound,35.91837,139.46426,153
JR-East.Kawagoe.Inbound,35.91804,139.46619,154
JR-East.Kawagoe.Inbound,35.91786,139.46733,155
JR-East.Kawagoe.Inbound,35.91749,139.46909,156
JR-East.Kawagoe.Inbound,35.9174,139.46942,157
JR-East.Kawagoe.Inbound,35.91726,139.46972,158
JR-East.Kawagoe.Inbound,35.91612,139.4716,159
JR-East.Kawagoe.Inbound,35.9156,139.4724,160
JR-East.Kawagoe.Inbound,35.91547,139.47261,161
JR-East.Kawagoe.Inbound,35.91475,139.47375,162
JR-East.Kawagoe.Inbound,35.91387,139.47513,163
JR-East.Kawagoe.Inbound,35.91351,139.47568,164
JR-East.Kawagoe.Inbound,35.91265,139.47703,165
JR-East.Kawagoe.Inbound,35.91218,139.47776,166
JR-East.Kawagoe.Inbound,35.91177,139.47843,167
JR-East.Kawagoe.Inbound,35.91124,139.47922,168
JR-East.Kawagoe.Inbound,35.91092,139.47965,169
JR-East.Kawagoe.Inbound,35.91071,139.47984,170
JR-East.Kawagoe.Inbound,35.91049,139.48004,171
JR-East.Kawagoe.Inbound,35.91002,139.48044,172
JR-East.Kawagoe.Inbound,35.90944,139.48092,173
JR-East.Kawagoe.Inbound,35.90899,139.48132,174
JR-East.Kawagoe.Inbound,35.9087,139.48155,175
JR-East.Kawagoe.Inbound,35.90842,139.48179,176
JR-East.Kawagoe.Inbound,35.90792,139.48216,177
JR-East.Kawagoe.Inbound,35.90724,139.48268,178
JR-East.Kawagoe.Inbound,35.90688,139.48301,179
JR-East.Kawagoe.Inbound,35.90613,139.48373,180
JR-East.Kawagoe.Inbound,35.90585,139.48402,181
JR-East.Kawagoe.Inbound,35.90548,139.48444,182
JR-East.Kawagoe.Inbound,35.90484,139.48504,183
JR-East.Kawagoe.Inbound,35.90419,139.48555,184
JR-East.Kawagoe.Inbound,35.90341,139.48614,185
JR-East.Kawagoe.Outbound,35.89586,139.33842,185
JR-East.Kawagoe.Outbound,35.89688,139.33784,184
JR-East.Kawagoe.Outbound,35.8973,139.33757,183
JR-East.Kawagoe.Outbound,35.89818,139.33705,182
JR-East.Kawagoe.Outbound,35.89836,139.33694,181
JR-East.Kawagoe.Outbound,35.89856,139.33691,180
JR-East.Kawagoe.Outbound,35.89872,139.3369,179
JR-East.Kawagoe.Outbound,35.89905,139.33691,178
JR-East.Kawagoe.Outbound,35.89928,139.33693,177
JR-East.Kawagoe.Outbound,35.89946,139.33696,176
JR-East.Kawagoe.Outbound,35.89962,139.337,175
JR-East.Kawagoe.Outbound,35.89978,139.33706,174
JR-East.Kawagoe.Outbound,35.89988,139.3371,173
JR-East.Kawagoe.Outbound,35.89999,139.33716,172
JR-East.Kawagoe.Outbound,35.90014,139.33723,171
JR-East.Kawagoe.Outbound,35.90022,139.33728,170
JR-East.Kawagoe.Outbound,35.90029,139.33732,169
JR-East.Kawagoe.Outbound,35.90034,139.33735,168
JR-East.Kawagoe.Outbound,35.90045,139.33743,167
JR-East.Kawagoe.Outbound,35.90053,139.33749,166
JR-East.Kawagoe.Outbound,35.90066,139.33762,165
JR-East.Kawagoe.Outbound,35.90073,139.3377,164
JR-East.Kawagoe.Outbound,35.9008,139.33778,163
JR-East.Kawagoe.Outbound,35.90087,139.33786,162
JR-East.Kawagoe.Outbound,35.90097,139.33798,161
JR-East.Kawagoe.Outbound,35.90106,139.33811,160
JR-East.Kawagoe.Outbound,35.90118,139.33832,159
JR-East.Kawagoe.Outbound,35.90123,139.33843,158
JR-East.Kawagoe.Outbound,35.9013,139.33857,157
JR-East.Kawagoe.Outbound,35.90137,139.33873,156
JR-East.Kawagoe.Outbound,35.90143,139.33889,155
