shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.KeihinTohokuNegishi.Northbound,35.3526,139.53102,0
JR-East.KeihinTohokuNegishi.Northbound,35.353231,139.531245,1
JR-East.KeihinTohokuNegishi.Northbound,35.3542,139.53155,2
JR-East.KeihinTohokuNegishi.Northbound,35.35561,139.532,3
JR-East.KeihinTohokuNegishi.Northbound,35.35598,139.53207,4
JR-East.KeihinTohokuNegishi.Northbound,35.3564,139.53205,5
JR-East.KeihinTohokuNegishi.Northbound,35.35702,139.53188,6
JR-East.KeihinTohokuNegishi.Northbound,35.35746,139.53168,7
JR-East.KeihinTohokuNegishi.Northbound,35.35796,139.53131,8
JR-East.KeihinTohokuNegishi.Northbound,35.35908,139.53043,9
JR-East.KeihinTohokuNegishi.Northbound,35.35971,139.52997,10
JR-East.KeihinTohokuNegishi.Northbound,35.36022,139.52968,11
JR-East.KeihinTohokuNegishi.Northbound,35.3606,139.52953,12
JR-East.KeihinTohokuNegishi.Northbound,35.36098,139.52945,13
JR-East.KeihinTohokuNegishi.Northbound,35.36145,139.52942,14
JR-East.KeihinTohokuNegishi.Northbound,35.3622,139.5295,15
JR-East.KeihinTohokuNegishi.Northbound,35.36274,139.52961,16
JR-East.KeihinTohokuNegishi.Northbound,35.36327,139.52977,17
JR-East.KeihinTohokuNegishi.Northbound,35.36403,139.53009,18
JR-East.KeihinTohokuNegishi.Northbound,35.36417,139.53014,19
JR-East.KeihinTohokuNegishi.Northbound,35.36449,139.5303,20
JR-East.KeihinTohokuNegishi.Northbound,35.36521,139.53062,21
JR-East.KeihinTohokuNegishi.Northbound,35.36578,139.53092,22
JR-East.KeihinTohokuNegishi.Northbound,35.36602,139.53105,23
JR-East.KeihinTohokuNegishi.Northbound,35.36657,139.53141,24
JR-East.KeihinTohokuNegishi.Northbound,35.36698,139.53173,25
JR-East.KeihinTohokuNegishi.Northbound,35.36744,139.53219,26
JR-East.KeihinTohokuNegishi.Northbound,35.3678,139.53264,27
JR-East.KeihinTohokuNegishi.Northbound,35.36807,139.5331,28
JR-East.KeihinTohokuNegishi.Northbound,35.36832,139.5336,29
JR-East.KeihinTohokuNegishi.Northbound,35.36852,139.53407,30
JR-East.KeihinTohokuNegishi.Northbound,35.36863,139.53441,31
JR-East.KeihinTohokuNegishi.Northbound,35.36871,139.53468,32
JR-East.KeihinTohokuNegishi.Northbound,35.36877,139.53497,33
JR-East.KeihinTohokuNegishi.Northbound,35.36884,139.53538,34
JR-East.KeihinTohokuNegishi.Northbound,35.36888,139.53592,35
JR-East.KeihinTohokuNegishi.Northbound,35.36888,139.53661,36
JR-East.KeihinTohokuNegishi.Northbound,35.36884,139.53748,37
JR-East.KeihinTohokuNegishi.Northbound,35.36875,139.53811,38
JR-East.KeihinTohokuNegishi.Northbound,35.3686,139.53887,39
JR-East.KeihinTohokuNegishi.Northbound,35.36857,139.53898,40
JR-East.KeihinTohokuNegishi.Northbound,35.36837,139.53969,41
JR-East.KeihinTohokuNegishi.Northbound,35.36808,139.54073,42
JR-East.KeihinTohokuNegishi.Northbound,35.36759,139.54279,43
JR-East.KeihinTohokuNegishi.Northbound,35.36749,139.54316,44
JR-East.KeihinTohokuNegishi.Northbound,35.36747,139.54327,45
JR-East.KeihinTohokuNegishi.Northbound,35.36731,139.54385,46
JR-East.KeihinTohokuNegishi.Northbound,35.36723,139.54419,47
JR-East.KeihinTohokuNegishi.Northbound,35.36716,139.5445,48
JR-East.KeihinTohokuNegishi.Northbound,35.36712,139.54473,49
JR-East.KeihinTohokuNegishi.Northbound,35.36704,139.54532,50
JR-East.KeihinTohokuNegishi.Northbound,35.36704,139.54568,51
JR-East.KeihinTohokuNegishi.Northbound,35.36707,139.54621,52
JR-East.KeihinTohokuNegishi.Northbound,35.36711,139.54672,53
JR-East.KeihinTohokuNegishi.Northbound,35.36728,139.54754,54
JR-East.KeihinTohokuNegishi.Northbound,35.36736,139.54792,55
JR-East.KeihinTohokuNegishi.Northbound,35.36738,139.54801,56
JR-East.KeihinTohokuNegishi.Northbound,35.36747,139.54842,57
JR-East.KeihinTohokuNegishi.Northbound,35.36749,139.54851,58
JR-East.KeihinTohokuNegishi.Northbound,35.36759,139.54895,59
JR-East.KeihinTohokuNegishi.Northbound,35.3676,139.54903,60
JR-East.KeihinTohokuNegishi.Northbound,35.36811,139.5512,61
JR-East.KeihinTohokuNegishi.Northbound,35.36814,139.55131,62
JR-East.KeihinTohokuNegishi.Northbound,35.36821,139.5516,63
JR-East.KeihinTohokuNegishi.Northbound,35.36829,139.55191,64
JR-East.KeihinTohokuNegishi.Northbound,35.36846,139.55262,65
JR-East.KeihinTohokuNegishi.Northbound,35.3686,139.55326,66
JR-East.KeihinTohokuNegishi.Northbound,35.36876,139.55393,67
JR-East.KeihinTohokuNegishi.Northbound,35.36878,139.55404,68
JR-East.KeihinTohokuNegishi.Northbound,35.36894,139.55475,69
JR-East.KeihinTohokuNegishi.Northbound,35.36958,139.55751,70
JR-East.KeihinTohokuNegishi.Northbound,35.36985,139.55849,71
JR-East.KeihinTohokuNegishi.Northbound,35.36994,139.55882,72
JR-East.KeihinTohokuNegishi.Northbound,35.37008,139.55926,73
JR-East.KeihinTohokuNegishi.Northbound,35.37016,139.55949,74
JR-East.KeihinTohokuNegishi.Northbound,35.37025,139.55973,75
JR-East.KeihinTohokuNegishi.Northbound,35.37035,139.55994,76
JR-East.KeihinTohokuNegishi.Northbound,35.37046,139.56018,77
JR-East.KeihinTohokuNegishi.Northbound,35.37054,139.56034,78
JR-East.KeihinTohokuNegishi.Northbound,35.37068,139.56061,79
JR-East.KeihinTohokuNegishi.Northbound,35.37104,139.5612,80
JR-East.KeihinTohokuNegishi.Northbound,35.37215,139.5628,81
JR-East.KeihinTohokuNegishi.Northbound,35.3722,139.56286,82
JR-East.KeihinTohokuNegishi.Northbound,35.37285,139.56548,83
JR-East.KeihinTohokuNegishi.Northbound,35.3734,139.56773,84
JR-East.KeihinTohokuNegishi.Northbound,35.37428,139.57213,85
JR-East.KeihinTohokuNegishi.Northbound,35.37452,139.57343,86
JR-East.KeihinTohokuNegishi.Northbound,35.37497,139.57538,87
JR-East.KeihinTohokuNegishi.Northbound,35.37513,139.57605,88
JR-East.KeihinTohokuNegishi.Northbound,35.37534,139.5771,89
JR-East.KeihinTohokuNegishi.Northbound,35.37562,139.57819,90
JR-East.KeihinTohokuNegishi.Northbound,35.37588,139.57931,91
