shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.Nambu.Outbound,35.532,139.69758,0
JR-East.Nambu.Outbound,35.53073,139.69604,1
JR-East.Nambu.Outbound,35.53052,139.6958,2
JR-East.Nambu.Outbound,35.53038,139.69564,3
JR-East.Nambu.Outbound,35.52935,139.69446,4
JR-East.Nambu.Outbound,35.52857,139.69357,5
JR-East.Nambu.Outbound,35.52834,139.69331,6
JR-East.Nambu.Outbound,35.52819,139.69315,7
JR-East.Nambu.Outbound,35.52806,139.693,8
JR-East.Nambu.Outbound,35.52791,139.69284,9
JR-East.Nambu.Outbound,35.52757,139.69246,10
JR-East.Nambu.Outbound,35.52729,139.692,11
JR-East.Nambu.Outbound,35.5271,139.69155,12
JR-East.Nambu.Outbound,35.52707,139.69149,13
JR-East.Nambu.Outbound,35.52693,139.69114,14
JR-East.Nambu.Outbound,35.5268,139.69076,15
JR-East.Nambu.Outbound,35.52672,139.69024,16
JR-East.Nambu.Outbound,35.5267,139.68986,17
JR-East.Nambu.Outbound,35.52674,139.68945,18
JR-East.Nambu.Outbound,35.52678,139.68908,19
JR-East.Nambu.Outbound,35.52693,139.68865,20
JR-East.Nambu.Outbound,35.52744,139.68743,21
JR-East.Nambu.Outbound,35.52768,139.68684,22
JR-East.Nambu.Outbound,35.52787,139.68648,23
JR-East.Nambu.Outbound,35.52803,139.68624,24
JR-East.Nambu.Outbound,35.5281,139.68617,25
JR-East.Nambu.Outbound,35.52821,139.68605,26
JR-East.Nambu.Outbound,35.52841,139.68587,27
JR-East.Nambu.Outbound,35.52858,139.68572,28
JR-East.Nambu.Outbound,35.52916,139.6853,29
JR-East.Nambu.Outbound,35.52948,139.68508,30
JR-East.Nambu.Outbound,35.52977,139.68492,31
JR-East.Nambu.Outbound,35.53028,139.68465,32
JR-East.Nambu.Outbound,35.53037,139.68459,33
JR-East.Nambu.Outbound,35.53158,139.68401,34
JR-East.Nambu.Outbound,35.53159,139.68401,35
JR-East.Nambu.Outbound,35.53204,139.68379,36
