shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.NambuBranch.Inbound,35.53159,139.68401,0
JR-East.NambuBranch.Inbound,35.53158,139.68401,1
JR-East.NambuBranch.Inbound,35.53037,139.68459,2
JR-East.NambuBranch.Inbound,35.53028,139.68465,3
JR-East.NambuBranch.Inbound,35.52977,139.68492,4
JR-East.NambuBranch.Inbound,35.52948,139.68508,5
JR-East.NambuBranch.Inbound,35.52916,139.6853,6
JR-East.NambuBranch.Inbound,35.52866,139.6854,7
JR-East.NambuBranch.Inbound,35.52857,139.68541,8
JR-East.NambuBranch.Inbound,35.52833,139.68546,9
JR-East.NambuBranch.Inbound,35.52815,139.68552,10
JR-East.NambuBranch.Inbound,35.52789,139.68566,11
JR-East.NambuBranch.Inbound,35.52762,139.6858,12
JR-East.NambuBranch.Inbound,35.52715,139.68604,13
JR-East.NambuBranch.Inbound,35.52687,139.68623,14
JR-East.NambuBranch.Inbound,35.52659,139.68641,15
JR-East.NambuBranch.Inbound,35.5264,139.68659,16
JR-East.NambuBranch.Inbound,35.52623,139.68679,17
JR-East.NambuBranch.Inbound,35.52555,139.68759,18
JR-East.NambuBranch.Inbound,35.52521,139.68802,19
JR-East.NambuBranch.Inbound,35.52477,139.68855,20
JR-East.NambuBranch.Inbound,35.52422,139.68925,21
JR-East.NambuBranch.Inbound,35.52394,139.6896,22
JR-East.NambuBranch.Inbound,35.52376,139.68989,23
JR-East.NambuBranch.Inbound,35.5235,139.69036,24
JR-East.NambuBranch.Inbound,35.52341,139.69057,25
JR-East.NambuBranch.Inbound,35.52323,139.69099,26
JR-East.NambuBranch.Inbound,35.52291,139.69176,27
JR-East.NambuBranch.Inbound,35.52259,139.69243,28
JR-East.NambuBranch.Inbound,35.52234,139.69295,29
JR-East.NambuBranch.Inbound,35.52208,139.69347,30
JR-East.NambuBranch.Inbound,35.52175,139.69402,31
JR-East.NambuBranch.Inbound,35.52171,139.6941,32
JR-East.NambuBranch.Inbound,35.52148,139.69447,33
JR-East.NambuBranch.Inbound,35.52114,139.69502,34
JR-East.NambuBranch.Inbound,35.52037,139.69623,35
JR-East.NambuBranch.Inbound,35.5193,139.69781,36
