shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.Ome.Outbound,35.6983,139.41599,0
JR-East.Ome.Outbound,35.69826,139.41232,1
JR-East.Ome.Outbound,35.69824,139.41137,2
JR-East.Ome.Outbound,35.69825,139.41082,3
JR-East.Ome.Outbound,35.69826,139.41069,4
JR-East.Ome.Outbound,35.69828,139.41053,5
JR-East.Ome.Outbound,35.6983,139.41042,6
JR-East.Ome.Outbound,35.69842,139.41002,7
JR-East.Ome.Outbound,35.69873,139.40894,8
JR-East.Ome.Outbound,35.69889,139.40845,9
JR-East.Ome.Outbound,35.69973,139.4057,10
JR-East.Ome.Outbound,35.7,139.40482,11
JR-East.Ome.Outbound,35.70073,139.40244,12
JR-East.Ome.Outbound,35.70153,139.39996,13
JR-East.Ome.Outbound,35.7021,139.39809,14
JR-East.Ome.Outbound,35.70222,139.39767,15
JR-East.Ome.Outbound,35.70305,139.39503,16
JR-East.Ome.Outbound,35.70324,139.3944,17
JR-East.Ome.Outbound,35.70335,139.39404,18
JR-East.Ome.Outbound,35.7035,139.39353,19
JR-East.Ome.Outbound,35.70364,139.39306,20
JR-East.Ome.Outbound,35.704,139.39192,21
JR-East.Ome.Outbound,35.70429,139.39101,22
JR-East.Ome.Outbound,35.7047,139.38969,23
JR-East.Ome.Outbound,35.70612,139.3851,24
JR-East.Ome.Outbound,35.70643,139.38409,25
JR-East.Ome.Outbound,35.70696,139.3824,26
JR-East.Ome.Outbound,35.70741,139.38093,27
JR-East.Ome.Outbound,35.70867,139.37679,28
JR-East.Ome.Outbound,35.70933,139.37463,29
JR-East.Ome.Outbound,35.70981,139.3728,30
JR-East.Ome.Outbound,35.7101,139.3718,31
JR-East.Ome.Outbound,35.7109,139.36922,32
JR-East.Ome.Outbound,35.71136,139.36771,33
JR-East.Ome.Outbound,35.7121,139.36534,34
JR-East.Ome.Outbound,35.7127,139.36339,35
JR-East.Ome.Outbound,35.71284,139.36292,36
JR-East.Ome.Outbound,35.7136,139.36035,37
JR-East.Ome.Outbound,35.71402,139.359,38
JR-East.Ome.Outbound,35.71408,139.3588,39
JR-East.Ome.Outbound,35.71467,139.35681,40
JR-East.Ome.Outbound,35.71506,139.35553,41
JR-East.Ome.Outbound,35.71564,139.35359,42
JR-East.Ome.Outbound,35.71619,139.35181,43
JR-East.Ome.Outbound,35.71648,139.35085,44
JR-East.Ome.Outbound,35.71702,139.34917,45
JR-East.Ome.Outbound,35.71726,139.34845,46
JR-East.Ome.Outbound,35.71726,139.34843,47
JR-East.Ome.Outbound,35.71766,139.34721,48
JR-East.Ome.Outbound,35.71798,139.34646,49
JR-East.Ome.Outbound,35.71821,139.34608,50
JR-East.Ome.Outbound,35.7185,139.3456,51
JR-East.Ome.Outbound,35.7187,139.34536,52
JR-East.Ome.Outbound,35.71903,139.34504,53
JR-East.Ome.Outbound,35.71955,139.34464,54
JR-East.Ome.Outbound,35.72002,139.34431,55
JR-East.Ome.Outbound,35.72037,139.34409,56
JR-East.Ome.Outbound,35.72156,139.34319,57
JR-East.Ome.Outbound,35.72202,139.34285,58
JR-East.Ome.Outbound,35.72281,139.34222,59
JR-East.Ome.Outbound,35.72397,139.3413,60
JR-East.Ome.Outbound,35.72421,139.34112,61
JR-East.Ome.Outbound,35.72448,139.34093,62
JR-East.Ome.Outbound,35.72528,139.34036,63
JR-East.Ome.Outbound,35.72733,139.33888,64
JR-East.Ome.Outbound,35.72831,139.33821,65
JR-East.Ome.Outbound,35.72863,139.33799,66
JR-East.Ome.Outbound,35.7305,139.33664,67
JR-East.Ome.Outbound,35.73333,139.33453,68
JR-East.Ome.Outbound,35.73365,139.33429,69
JR-East.Ome.Outbound,35.73502,139.33329,70
JR-East.Ome.Outbound,35.73699,139.33182,71
JR-East.Ome.Outbound,35.74001,139.32958,72
JR-East.Ome.Outbound,35.74147,139.3285,73
JR-East.Ome.Outbound,35.7435,139.32699,74
JR-East.Ome.Outbound,35.74778,139.32384,75
JR-East.Ome.Outbound,35.75028,139.32202,76
JR-East.Ome.Outbound,35.75068,139.32171,77
JR-East.Ome.Outbound,35.75133,139.32122,78
JR-East.Ome.Outbound,35.75211,139.32067,79
JR-East.Ome.Outbound,35.75322,139.31986,80
JR-East.Ome.Outbound,35.75367,139.31952,81
JR-East.Ome.Outbound,35.75459,139.31882,82
JR-East.Ome.Outbound,35.7554,139.3182,83
JR-East.Ome.Outbound,35.75607,139.31769,84
JR-East.Ome.Outbound,35.75734,139.31672,85
JR-East.Ome.Outbound,35.75854,139.31588,86
JR-East.Ome.Outbound,35.75999,139.31479,87
