shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.Sagami.Outbound,35.33035,139.40606,0
JR-East.Sagami.Outbound,35.33065,139.40695,1
JR-East.Sagami.Outbound,35.33101,139.40797,2
JR-East.Sagami.Outbound,35.3316,139.40963,3
JR-East.Sagami.Outbound,35.33172,139.40994,4
JR-East.Sagami.Outbound,35.33185,139.41022,5
JR-East.Sagami.Outbound,35.33215,139.41059,6
JR-East.Sagami.Outbound,35.3324,139.41078,7
JR-East.Sagami.Outbound,35.33263,139.41093,8
JR-East.Sagami.Outbound,35.33283,139.41102,9
JR-East.Sagami.Outbound,35.33305,139.41105,10
JR-East.Sagami.Outbound,35.33321,139.41104,11
JR-East.Sagami.Outbound,35.33336,139.41099,12
JR-East.Sagami.Outbound,35.33381,139.41077,13
JR-East.Sagami.Outbound,35.33466,139.41028,14
JR-East.Sagami.Outbound,35.33574,139.40967,15
JR-East.Sagami.Outbound,35.33661,139.40919,16
JR-East.Sagami.Outbound,35.33775,139.40856,17
JR-East.Sagami.Outbound,35.3392,139.40773,18
JR-East.Sagami.Outbound,35.34016,139.40721,19
JR-East.Sagami.Outbound,35.34087,139.40681,20
JR-East.Sagami.Outbound,35.34155,139.40642,21
JR-East.Sagami.Outbound,35.34167,139.40636,22
JR-East.Sagami.Outbound,35.34179,139.4063,23
JR-East.Sagami.Outbound,35.34199,139.40618,24
JR-East.Sagami.Outbound,35.34454,139.40477,25
JR-East.Sagami.Outbound,35.3452,139.4044,26
JR-East.Sagami.Outbound,35.34763,139.40305,27
JR-East.Sagami.Outbound,35.34782,139.40294,28
JR-East.Sagami.Outbound,35.34828,139.40268,29
JR-East.Sagami.Outbound,35.34998,139.40175,30
JR-East.Sagami.Outbound,35.35111,139.40114,31
JR-East.Sagami.Outbound,35.35159,139.40096,32
JR-East.Sagami.Outbound,35.35229,139.40076,33
JR-East.Sagami.Outbound,35.35313,139.40057,34
JR-East.Sagami.Outbound,35.35447,139.40027,35
JR-East.Sagami.Outbound,35.35621,139.39991,36
JR-East.Sagami.Outbound,35.35699,139.39975,37
JR-East.Sagami.Outbound,35.35764,139.39957,38
JR-East.Sagami.Outbound,35.35801,139.39942,39
JR-East.Sagami.Outbound,35.35836,139.39925,40
JR-East.Sagami.Outbound,35.35872,139.39905,41
JR-East.Sagami.Outbound,35.35918,139.39873,42
JR-East.Sagami.Outbound,35.35955,139.39846,43
JR-East.Sagami.Outbound,35.35986,139.39817,44
JR-East.Sagami.Outbound,35.36017,139.39787,45
JR-East.Sagami.Outbound,35.36058,139.3974,46
JR-East.Sagami.Outbound,35.36131,139.39647,47
JR-East.Sagami.Outbound,35.36209,139.39535,48
JR-East.Sagami.Outbound,35.36275,139.39441,49
JR-East.Sagami.Outbound,35.36289,139.39421,50
JR-East.Sagami.Outbound,35.36301,139.39405,51
JR-East.Sagami.Outbound,35.36308,139.39394,52
JR-East.Sagami.Outbound,35.3631,139.39391,53
JR-East.Sagami.Outbound,35.36377,139.39293,54
JR-East.Sagami.Outbound,35.36496,139.39119,55
JR-East.Sagami.Outbound,35.36627,139.38931,56
JR-East.Sagami.Outbound,35.36713,139.38811,57
JR-East.Sagami.Outbound,35.3674,139.38773,58
JR-East.Sagami.Outbound,35.36801,139.3869,59
JR-East.Sagami.Outbound,35.36819,139.38662,60
JR-East.Sagami.Outbound,35.36844,139.38619,61
JR-East.Sagami.Outbound,35.36866,139.3858,62
JR-East.Sagami.Outbound,35.369,139.385,63
JR-East.Sagami.Outbound,35.36935,139.38426,64
JR-East.Sagami.Outbound,35.3696,139.38368,65
