shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.ShonanShinjuku.Southbound,35.90782,139.62383,0
JR-East.ShonanShinjuku.Southbound,35.90505,139.62491,1
JR-East.ShonanShinjuku.Southbound,35.90402,139.62535,2
JR-East.ShonanShinjuku.Southbound,35.90318,139.62577,3
JR-East.ShonanShinjuku.Southbound,35.90273,139.62601,4
JR-East.ShonanShinjuku.Southbound,35.90163,139.62668,5
JR-East.ShonanShinjuku.Southbound,35.90105,139.62711,6
JR-East.ShonanShinjuku.Southbound,35.90037,139.62768,7
JR-East.ShonanShinjuku.Southbound,35.9002,139.62785,8
JR-East.ShonanShinjuku.Southbound,35.89993,139.62814,9
JR-East.ShonanShinjuku.Southbound,35.8993,139.62883,10
JR-East.ShonanShinjuku.Southbound,35.8982,139.63006,11
JR-East.ShonanShinjuku.Southbound,35.89766,139.63063,12
JR-East.ShonanShinjuku.Southbound,35.89732,139.63094,13
JR-East.ShonanShinjuku.Southbound,35.89684,139.63143,14
JR-East.ShonanShinjuku.Southbound,35.89683,139.63143,15
JR-East.ShonanShinjuku.Southbound,35.89646,139.63177,16
JR-East.ShonanShinjuku.Southbound,35.89546,139.63259,17
JR-East.ShonanShinjuku.Southbound,35.89478,139.63308,18
JR-East.ShonanShinjuku.Southbound,35.89241,139.63472,19
JR-East.ShonanShinjuku.Southbound,35.89175,139.63516,20
JR-East.ShonanShinjuku.Southbound,35.89128,139.63546,21
JR-East.ShonanShinjuku.Southbound,35.89049,139.63591,22
JR-East.ShonanShinjuku.Southbound,35.89002,139.63618,23
JR-East.ShonanShinjuku.Southbound,35.88937,139.63652,24
JR-East.ShonanShinjuku.Southbound,35.88883,139.63679,25
JR-East.ShonanShinjuku.Southbound,35.88809,139.63713,26
JR-East.ShonanShinjuku.Southbound,35.88731,139.63745,27
JR-East.ShonanShinjuku.Southbound,35.88706,139.63757,28
JR-East.ShonanShinjuku.Southbound,35.88623,139.63805,29
JR-East.ShonanShinjuku.Southbound,35.88546,139.63847,30
JR-East.ShonanShinjuku.Southbound,35.88514,139.63864,31
JR-East.ShonanShinjuku.Southbound,35.88361,139.63934,32
JR-East.ShonanShinjuku.Southbound,35.88269,139.63971,33
JR-East.ShonanShinjuku.Southbound,35.88185,139.64005,34
JR-East.ShonanShinjuku.Southbound,35.88036,139.64068,35
JR-East.ShonanShinjuku.Southbound,35.87941,139.64108,36
JR-East.ShonanShinjuku.Southbound,35.87801,139.64167,37
JR-East.ShonanShinjuku.Southbound,35.87714,139.64201,38
JR-East.ShonanShinjuku.Southbound,35.87611,139.64247,39
JR-East.ShonanShinjuku.Southbound,35.87575,139.64263,40
JR-East.ShonanShinjuku.Southbound,35.8753,139.64286,41
JR-East.ShonanShinjuku.Southbound,35.87494,139.64307,42
JR-East.ShonanShinjuku.Southbound,35.87463,139.64327,43
JR-East.ShonanShinjuku.Southbound,35.87409,139.64371,44
JR-East.ShonanShinjuku.Southbound,35.87356,139.64423,45
JR-East.ShonanShinjuku.Southbound,35.8729,139.64498,46
JR-East.ShonanShinjuku.Southbound,35.8715,139.64652,47
JR-East.ShonanShinjuku.Southbound,35.86971,139.64852,48
JR-East.ShonanShinjuku.Southbound,35.86888,139.64947,49
JR-East.ShonanShinjuku.Southbound,35.8684,139.65002,50
JR-East.ShonanShinjuku.Southbound,35.86775,139.65072,51
JR-East.ShonanShinjuku.Southbound,35.86734,139.65116,52
JR-East.ShonanShinjuku.Southbound,35.86691,139.65158,53
JR-East.ShonanShinjuku.Southbound,35.86664,139.65188,54
JR-East.ShonanShinjuku.Southbound,35.86629,139.65214,55
JR-East.ShonanShinjuku.Southbound,35.86603,139.65231,56
JR-East.ShonanShinjuku.Southbound,35.8655,139.65267,57
JR-East.ShonanShinjuku.Southbound,35.86448,139.65336,58
JR-East.ShonanShinjuku.Southbound,35.86365,139.65392,59
JR-East.ShonanShinjuku.Southbound,35.86222,139.65487,60
JR-East.ShonanShinjuku.Southbound,35.86155,139.65532,61
JR-East.ShonanShinjuku.Southbound,35.86123,139.65551,62
JR-East.ShonanShinjuku.Southbound,35.86084,139.65575,63
JR-East.ShonanShinjuku.Southbound,35.86017,139.65617,64
JR-East.ShonanShinjuku.Southbound,35.85936,139.65666,65
JR-East.ShonanShinjuku.Southbound,35.85777,139.65763,66
JR-East.ShonanShinjuku.Southbound,35.8576,139.65775,67
JR-East.ShonanShinjuku.Southbound,35.85736,139.6579,68
JR-East.ShonanShinjuku.Southbound,35.85709,139.6581,69
JR-East.ShonanShinjuku.Southbound,35.85665,139.65845,70
JR-East.ShonanShinjuku.Southbound,35.85624,139.6588,71
JR-East.ShonanShinjuku.Southbound,35.85581,139.65917,72
JR-East.ShonanShinjuku.Southbound,35.85555,139.65945,73
JR-East.ShonanShinjuku.Southbound,35.85475,139.66043,74
JR-East.ShonanShinjuku.Southbound,35.85376,139.66174,75
JR-East.ShonanShinjuku.Southbound,35.85358,139.662,76
JR-East.ShonanShinjuku.Southbound,35.85267,139.66322,77
JR-East.ShonanShinjuku.Southbound,35.85245,139.66356,78
JR-East.ShonanShinjuku.Southbound,35.85222,139.66391,79
JR-East.ShonanShinjuku.Southbound,35.8518,139.66454,80
JR-East.ShonanShinjuku.Southbound,35.8516,139.66483,81
JR-East.ShonanShinjuku.Southbound,35.85139,139.66512,82
JR-East.ShonanShinjuku.Southbound,35.85101,139.66555,83
