shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.Sobu.Inbound,35.72915,140.82883,0
JR-East.Sobu.Inbound,35.7295,140.8261,1
JR-East.Sobu.Inbound,35.72951,140.82596,2
JR-East.Sobu.Inbound,35.72953,140.82577,3
JR-East.Sobu.Inbound,35.72955,140.82561,4
JR-East.Sobu.Inbound,35.72955,140.82553,5
JR-East.Sobu.Inbound,35.72957,140.82542,6
JR-East.Sobu.Inbound,35.72959,140.82522,7
JR-East.Sobu.Inbound,35.72964,140.82472,8
JR-East.Sobu.Inbound,35.72974,140.82382,9
JR-East.Sobu.Inbound,35.72977,140.82343,10
JR-East.Sobu.Inbound,35.72982,140.82299,11
JR-East.Sobu.Inbound,35.72988,140.82247,12
JR-East.Sobu.Inbound,35.72995,140.82179,13
JR-East.Sobu.Inbound,35.73004,140.82097,14
JR-East.Sobu.Inbound,35.73014,140.82006,15
JR-East.Sobu.Inbound,35.7302,140.81954,16
JR-East.Sobu.Inbound,35.73021,140.81942,17
JR-East.Sobu.Inbound,35.73023,140.81927,18
JR-East.Sobu.Inbound,35.73024,140.81912,19
JR-East.Sobu.Inbound,35.73031,140.81859,20
JR-East.Sobu.Inbound,35.73035,140.81818,21
JR-East.Sobu.Inbound,35.73044,140.81736,22
JR-East.Sobu.Inbound,35.73052,140.81685,23
JR-East.Sobu.Inbound,35.73054,140.81671,24
JR-East.Sobu.Inbound,35.73058,140.8165,25
JR-East.Sobu.Inbound,35.73065,140.81621,26
JR-East.Sobu.Inbound,35.7307,140.81605,27
JR-East.Sobu.Inbound,35.73084,140.81568,28
JR-East.Sobu.Inbound,35.73087,140.81563,29
JR-East.Sobu.Inbound,35.73126,140.8147,30
JR-East.Sobu.Inbound,35.73128,140.81463,31
JR-East.Sobu.Inbound,35.73142,140.81429,32
JR-East.Sobu.Inbound,35.73145,140.81424,33
JR-East.Sobu.Inbound,35.73146,140.81418,34
JR-East.Sobu.Inbound,35.73186,140.81325,35
JR-East.Sobu.Inbound,35.73186,140.81321,36
JR-East.Sobu.Inbound,35.73194,140.81305,37
JR-East.Sobu.Inbound,35.73196,140.81301,38
JR-East.Sobu.Inbound,35.73201,140.81289,39
JR-East.Sobu.Inbound,35.73203,140.81282,40
JR-East.Sobu.Inbound,35.73209,140.81267,41
JR-East.Sobu.Inbound,35.73211,140.8126,42
JR-East.Sobu.Inbound,35.73213,140.81255,43
JR-East.Sobu.Inbound,35.73227,140.81223,44
JR-East.Sobu.Inbound,35.73232,140.81213,45
JR-East.Sobu.Inbound,35.7324,140.81192,46
JR-East.Sobu.Inbound,35.73266,140.81128,47
JR-East.Sobu.Inbound,35.73268,140.81124,48
JR-East.Sobu.Inbound,35.73279,140.81096,49
JR-East.Sobu.Inbound,35.73323,140.80992,50
JR-East.Sobu.Inbound,35.73338,140.80958,51
JR-East.Sobu.Inbound,35.73356,140.80913,52
JR-East.Sobu.Inbound,35.73377,140.80867,53
JR-East.Sobu.Inbound,35.73388,140.80839,54
JR-East.Sobu.Inbound,35.73395,140.80823,55
JR-East.Sobu.Inbound,35.73398,140.80816,56
JR-East.Sobu.Inbound,35.73427,140.80746,57
JR-East.Sobu.Inbound,35.73429,140.80738,58
JR-East.Sobu.Inbound,35.73437,140.80718,59
JR-East.Sobu.Inbound,35.73466,140.80647,60
JR-East.Sobu.Inbound,35.73474,140.80632,61
JR-East.Sobu.Inbound,35.73484,140.80606,62
JR-East.Sobu.Inbound,35.73493,140.80582,63
JR-East.Sobu.Inbound,35.73509,140.80543,64
JR-East.Sobu.Inbound,35.7351,140.80542,65
JR-East.Sobu.Inbound,35.73557,140.80426,66
JR-East.Sobu.Inbound,35.73576,140.80383,67
JR-East.Sobu.Inbound,35.73577,140.80377,68
JR-East.Sobu.Inbound,35.7359,140.80346,69
JR-East.Sobu.Inbound,35.73591,140.80342,70
JR-East.Sobu.Inbound,35.73597,140.80329,71
JR-East.Sobu.Inbound,35.73653,140.80191,72
JR-East.Sobu.Inbound,35.7366,140.80178,73
JR-East.Sobu.Inbound,35.7369,140.80105,74
JR-East.Sobu.Inbound,35.73727,140.80015,75
JR-East.Sobu.Inbound,35.73751,140.79957,76
JR-East.Sobu.Inbound,35.73794,140.79858,77
JR-East.Sobu.Inbound,35.73826,140.7978,78
JR-East.Sobu.Inbound,35.73828,140.79776,79
JR-East.Sobu.Inbound,35.73833,140.79765,80
JR-East.Sobu.Inbound,35.73853,140.79719,81
JR-East.Sobu.Inbound,35.73865,140.79691,82
JR-East.Sobu.Inbound,35.73879,140.79659,83
JR-East.Sobu.Inbound,35.73881,140.79653,84
JR-East.Sobu.Inbound,35.73903,140.79603,85
JR-East.Sobu.Inbound,35.73905,140.79597,86
JR-East.Sobu.Inbound,35.7397,140.79442,87
JR-East.Sobu.Inbound,35.74011,140.79346,88
JR-East.Sobu.Inbound,35.74032,140.79295,89
JR-East.Sobu.Inbound,35.74052,140.79248,90
