shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.Togane.Inbound,35.60852,140.40838,0
JR-East.Togane.Inbound,35.60855,140.41218,1
JR-East.Togane.Inbound,35.60856,140.41347,2
JR-East.Togane.Inbound,35.60855,140.41378,3
JR-East.Togane.Inbound,35.60854,140.41389,4
JR-East.Togane.Inbound,35.60852,140.41396,5
JR-East.Togane.Inbound,35.60851,140.41401,6
JR-East.Togane.Inbound,35.60841,140.41432,7
JR-East.Togane.Inbound,35.60812,140.41505,8
JR-East.Togane.Inbound,35.60792,140.41548,9
JR-East.Togane.Inbound,35.60767,140.41589,10
JR-East.Togane.Inbound,35.60732,140.41633,11
JR-East.Togane.Inbound,35.60691,140.41668,12
JR-East.Togane.Inbound,35.60662,140.4169,13
JR-East.Togane.Inbound,35.60627,140.41709,14
JR-East.Togane.Inbound,35.60582,140.41726,15
JR-East.Togane.Inbound,35.60556,140.41732,16
JR-East.Togane.Inbound,35.60529,140.41737,17
JR-East.Togane.Inbound,35.60473,140.41737,18
JR-East.Togane.Inbound,35.60438,140.41733,19
JR-East.Togane.Inbound,35.60412,140.41726,20
JR-East.Togane.Inbound,35.60389,140.41718,21
JR-East.Togane.Inbound,35.60328,140.41687,22
JR-East.Togane.Inbound,35.60235,140.4164,23
JR-East.Togane.Inbound,35.60233,140.41638,24
JR-East.Togane.Inbound,35.60191,140.41617,25
JR-East.Togane.Inbound,35.60105,140.41573,26
JR-East.Togane.Inbound,35.60075,140.41557,27
JR-East.Togane.Inbound,35.60036,140.41537,28
JR-East.Togane.Inbound,35.6002,140.4153,29
JR-East.Togane.Inbound,35.60018,140.41528,30
JR-East.Togane.Inbound,35.60004,140.41521,31
JR-East.Togane.Inbound,35.5992,140.41479,32
JR-East.Togane.Inbound,35.59901,140.41469,33
JR-East.Togane.Inbound,35.5988,140.41459,34
JR-East.Togane.Inbound,35.59874,140.41455,35
JR-East.Togane.Inbound,35.59696,140.41364,36
JR-East.Togane.Inbound,35.59443,140.41236,37
JR-East.Togane.Inbound,35.59413,140.41219,38
JR-East.Togane.Inbound,35.59368,140.41184,39
JR-East.Togane.Inbound,35.59343,140.41163,40
JR-East.Togane.Inbound,35.593,140.41118,41
JR-East.Togane.Inbound,35.5927,140.41084,42
JR-East.Togane.Inbound,35.59137,140.40933,43
JR-East.Togane.Inbound,35.59129,140.40924,44
JR-East.Togane.Inbound,35.59128,140.40923,45
JR-East.Togane.Inbound,35.59123,140.40916,46
JR-East.Togane.Inbound,35.59062,140.40847,47
JR-East.Togane.Inbound,35.58955,140.40725,48
JR-East.Togane.Inbound,35.58905,140.40671,49
JR-East.Togane.Inbound,35.5889,140.40654,50
JR-East.Togane.Inbound,35.58861,140.40619,51
JR-East.Togane.Inbound,35.58767,140.40514,52
JR-East.Togane.Inbound,35.58766,140.40512,53
JR-East.Togane.Inbound,35.58659,140.40392,54
JR-East.Togane.Inbound,35.58653,140.40384,55
JR-East.Togane.Inbound,35.5865,140.40382,56
JR-East.Togane.Inbound,35.58638,140.40368,57
JR-East.Togane.Inbound,35.5863,140.40359,58
JR-East.Togane.Inbound,35.58568,140.40288,59
JR-East.Togane.Inbound,35.58543,140.4026,60
JR-East.Togane.Inbound,35.58542,140.40257,61
JR-East.Togane.Inbound,35.58462,140.40166,62
JR-East.Togane.Inbound,35.58402,140.40098,63
JR-East.Togane.Inbound,35.58398,140.40092,64
JR-East.Togane.Inbound,35.58357,140.40046,65
JR-East.Togane.Inbound,35.58297,140.39976,66
