shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.Tsurumi.Outbound,35.50822,139.67583,0
JR-East.Tsurumi.Outbound,35.50766,139.67575,1
JR-East.Tsurumi.Outbound,35.50703,139.67565,2
JR-East.Tsurumi.Outbound,35.50661,139.67555,3
JR-East.Tsurumi.Outbound,35.50583,139.67535,4
JR-East.Tsurumi.Outbound,35.50407,139.67487,5
JR-East.Tsurumi.Outbound,35.50349,139.67472,6
JR-East.Tsurumi.Outbound,35.50326,139.67471,7
JR-East.Tsurumi.Outbound,35.50288,139.67474,8
JR-East.Tsurumi.Outbound,35.50248,139.67478,9
JR-East.Tsurumi.Outbound,35.5021,139.67485,10
JR-East.Tsurumi.Outbound,35.50187,139.67489,11
JR-East.Tsurumi.Outbound,35.50141,139.67512,12
JR-East.Tsurumi.Outbound,35.50116,139.6753,13
JR-East.Tsurumi.Outbound,35.50097,139.67545,14
JR-East.Tsurumi.Outbound,35.50057,139.67597,15
JR-East.Tsurumi.Outbound,35.50046,139.67626,16
JR-East.Tsurumi.Outbound,35.50033,139.67657,17
JR-East.Tsurumi.Outbound,35.50022,139.67691,18
JR-East.Tsurumi.Outbound,35.50004,139.6775,19
JR-East.Tsurumi.Outbound,35.49995,139.67779,20
JR-East.Tsurumi.Outbound,35.49988,139.67804,21
JR-East.Tsurumi.Outbound,35.49983,139.67819,22
JR-East.Tsurumi.Outbound,35.49977,139.67834,23
JR-East.Tsurumi.Outbound,35.49967,139.67851,24
JR-East.Tsurumi.Outbound,35.49957,139.67867,25
JR-East.Tsurumi.Outbound,35.49945,139.67885,26
JR-East.Tsurumi.Outbound,35.49927,139.67905,27
JR-East.Tsurumi.Outbound,35.49886,139.67948,28
JR-East.Tsurumi.Outbound,35.49781,139.68049,29
JR-East.Tsurumi.Outbound,35.49733,139.68097,30
JR-East.Tsurumi.Outbound,35.49671,139.68158,31
JR-East.Tsurumi.Outbound,35.49628,139.682,32
JR-East.Tsurumi.Outbound,35.49581,139.68247,33
JR-East.Tsurumi.Outbound,35.49542,139.68307,34
JR-East.Tsurumi.Outbound,35.49528,139.68337,35
JR-East.Tsurumi.Outbound,35.49517,139.68367,36
JR-East.Tsurumi.Outbound,35.49509,139.68403,37
JR-East.Tsurumi.Outbound,35.49505,139.68437,38
JR-East.Tsurumi.Outbound,35.49503,139.68482,39
JR-East.Tsurumi.Outbound,35.49507,139.68526,40
JR-East.Tsurumi.Outbound,35.49511,139.68555,41
JR-East.Tsurumi.Outbound,35.49518,139.68601,42
JR-East.Tsurumi.Outbound,35.49537,139.68716,43
JR-East.Tsurumi.Outbound,35.49551,139.68796,44
JR-East.Tsurumi.Outbound,35.49567,139.68894,45
JR-East.Tsurumi.Outbound,35.49592,139.69003,46
JR-East.Tsurumi.Outbound,35.49598,139.69023,47
JR-East.Tsurumi.Outbound,35.49675,139.6929,48
JR-East.Tsurumi.Outbound,35.49701,139.69382,49
JR-East.Tsurumi.Outbound,35.49717,139.69434,50
JR-East.Tsurumi.Outbound,35.49732,139.69488,51
JR-East.Tsurumi.Outbound,35.4975,139.69537,52
JR-East.Tsurumi.Outbound,35.49771,139.69598,53
JR-East.Tsurumi.Outbound,35.49782,139.69627,54
JR-East.Tsurumi.Outbound,35.49788,139.69641,55
JR-East.Tsurumi.Outbound,35.49809,139.69693,56
JR-East.Tsurumi.Outbound,35.49813,139.69704,57
JR-East.Tsurumi.Outbound,35.49844,139.69783,58
JR-East.Tsurumi.Outbound,35.49883,139.69881,59
