shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.TsurumiOkawaBranch.Outbound,35.4993,139.69988,0
JR-East.TsurumiOkawaBranch.Outbound,35.49957,139.70054,1
JR-East.TsurumiOkawaBranch.Outbound,35.4997,139.70088,2
JR-East.TsurumiOkawaBranch.Outbound,35.49998,139.70161,3
JR-East.TsurumiOkawaBranch.Outbound,35.50022,139.70224,4
JR-East.TsurumiOkawaBranch.Outbound,35.50074,139.70355,5
JR-East.TsurumiOkawaBranch.Outbound,35.50091,139.70396,6
JR-East.TsurumiOkawaBranch.Outbound,35.50103,139.70428,7
JR-East.TsurumiOkawaBranch.Outbound,35.5011,139.70448,8
JR-East.TsurumiOkawaBranch.Outbound,35.50119,139.70468,9
JR-East.TsurumiOkawaBranch.Outbound,35.5012,139.7047,10
JR-East.TsurumiOkawaBranch.Outbound,35.50127,139.70487,11
JR-East.TsurumiOkawaBranch.Outbound,35.50139,139.70516,12
JR-East.TsurumiOkawaBranch.Outbound,35.50155,139.70555,13
JR-East.TsurumiOkawaBranch.Outbound,35.50161,139.70582,14
JR-East.TsurumiOkawaBranch.Outbound,35.50162,139.7061,15
JR-East.TsurumiOkawaBranch.Outbound,35.50162,139.70629,16
JR-East.TsurumiOkawaBranch.Outbound,35.5016,139.70646,17
JR-East.TsurumiOkawaBranch.Outbound,35.50158,139.70659,18
JR-East.TsurumiOkawaBranch.Outbound,35.50154,139.70673,19
JR-East.TsurumiOkawaBranch.Outbound,35.5015,139.7069,20
JR-East.TsurumiOkawaBranch.Outbound,35.50142,139.7071,21
JR-East.TsurumiOkawaBranch.Outbound,35.50137,139.70719,22
JR-East.TsurumiOkawaBranch.Outbound,35.50129,139.70732,23
JR-East.TsurumiOkawaBranch.Outbound,35.5012,139.70746,24
JR-East.TsurumiOkawaBranch.Outbound,35.50109,139.70758,25
JR-East.TsurumiOkawaBranch.Outbound,35.50097,139.7077,26
JR-East.TsurumiOkawaBranch.Outbound,35.50085,139.70779,27
JR-East.TsurumiOkawaBranch.Outbound,35.50076,139.70786,28
JR-East.TsurumiOkawaBranch.Outbound,35.50066,139.70793,29
JR-East.TsurumiOkawaBranch.Outbound,35.50055,139.708,30
JR-East.TsurumiOkawaBranch.Outbound,35.50042,139.70808,31
JR-East.TsurumiOkawaBranch.Outbound,35.49822,139.70952,32
JR-East.TsurumiOkawaBranch.Outbound,35.49787,139.70975,33
JR-East.TsurumiOkawaBranch.Outbound,35.49753,139.70997,34
JR-East.TsurumiOkawaBranch.Outbound,35.49605,139.71095,35
JR-East.TsurumiOkawaBranch.Outbound,35.49567,139.71119,36
JR-East.TsurumiOkawaBranch.Outbound,35.49514,139.71157,37
JR-East.TsurumiOkawaBranch.Inbound,35.4993,139.69988,37
JR-East.TsurumiOkawaBranch.Inbound,35.49957,139.70054,36
JR-East.TsurumiOkawaBranch.Inbound,35.4997,139.70088,35
JR-East.TsurumiOkawaBranch.Inbound,35.49998,139.70161,34
JR-East.TsurumiOkawaBranch.Inbound,35.50022,139.70224,33
JR-East.TsurumiOkawaBranch.Inbound,35.50074,139.70355,32
JR-East.TsurumiOkawaBranch.Inbound,35.50091,139.70396,31
JR-East.TsurumiOkawaBranch.Inbound,35.50103,139.70428,30
JR-East.TsurumiOkawaBranch.Inbound,35.5011,139.70448,29
JR-East.TsurumiOkawaBranch.Inbound,35.50119,139.70468,28
JR-East.TsurumiOkawaBranch.Inbound,35.5012,139.7047,27
JR-East.TsurumiOkawaBranch.Inbound,35.50127,139.70487,26
JR-East.TsurumiOkawaBranch.Inbound,35.50139,139.70516,25
JR-East.TsurumiOkawaBranch.Inbound,35.50155,139.70555,24
JR-East.TsurumiOkawaBranch.Inbound,35.50161,139.70582,23
JR-East.TsurumiOkawaBranch.Inbound,35.50162,139.7061,22
JR-East.TsurumiOkawaBranch.Inbound,35.50162,139.70629,21
JR-East.TsurumiOkawaBranch.Inbound,35.5016,139.70646,20
JR-East.TsurumiOkawaBranch.Inbound,35.50158,139.70659,19
JR-East.TsurumiOkawaBranch.Inbound,35.50154,139.70673,18
JR-East.TsurumiOkawaBranch.Inbound,35.5015,139.7069,17
JR-East.TsurumiOkawaBranch.Inbound,35.50142,139.7071,16
JR-East.TsurumiOkawaBranch.Inbound,35.50137,139.70719,15
JR-East.TsurumiOkawaBranch.Inbound,35.50129,139.70732,14
JR-East.TsurumiOkawaBranch.Inbound,35.5012,139.70746,13
JR-East.TsurumiOkawaBranch.Inbound,35.50109,139.70758,12
JR-East.TsurumiOkawaBranch.Inbound,35.50097,139.7077,11
JR-East.TsurumiOkawaBranch.Inbound,35.50085,139.70779,10
JR-East.TsurumiOkawaBranch.Inbound,35.50076,139.70786,9
JR-East.TsurumiOkawaBranch.Inbound,35.50066,139.70793,8
JR-East.TsurumiOkawaBranch.Inbound,35.50055,139.708,7
JR-East.TsurumiOkawaBranch.Inbound,35.50042,139.70808,6
JR-East.TsurumiOkawaBranch.Inbound,35.49822,139.70952,5
JR-East.TsurumiOkawaBranch.Inbound,35.49787,139.70975,4
JR-East.TsurumiOkawaBranch.Inbound,35.49753,139.70997,3
JR-East.TsurumiOkawaBranch.Inbound,35.49605,139.71095,2
JR-East.TsurumiOkawaBranch.Inbound,35.49567,139.71119,1
JR-East.TsurumiOkawaBranch.Inbound,35.49514,139.71157,0
