shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48597,139.70029,0
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48629,139.70106,1
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48648,139.70149,2
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48653,139.70163,3
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48668,139.70194,4
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48679,139.7021,5
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48688,139.70221,6
JR-East.TsurumiUmiShibauraBranch.Inbound,35.487,139.70232,7
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48713,139.70242,8
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48727,139.70252,9
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48739,139.70258,10
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48759,139.70264,11
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48783,139.70264,12
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48799,139.70262,13
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48816,139.70257,14
JR-East.TsurumiUmiShibauraBranch.Inbound,35.48838,139.70247,15
JR-East.TsurumiUmiShibauraBranch.Inbound,35.4915,139.7004,16
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49233,139.69985,17
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49245,139.69977,18
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49657,139.69707,19
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49679,139.69689,20
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49694,139.69673,21
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49702,139.69662,22
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49714,139.69644,23
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49719,139.69632,24
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49723,139.69617,25
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49726,139.69607,26
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49731,139.69542,27
JR-East.TsurumiUmiShibauraBranch.Inbound,35.49732,139.69488,28
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48597,139.70029,28
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48629,139.70106,27
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48648,139.70149,26
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48653,139.70163,25
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48668,139.70194,24
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48679,139.7021,23
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48688,139.70221,22
JR-East.TsurumiUmiShibauraBranch.Outbound,35.487,139.70232,21
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48713,139.70242,20
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48727,139.70252,19
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48739,139.70258,18
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48759,139.70264,17
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48783,139.70264,16
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48799,139.70262,15
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48816,139.70257,14
JR-East.TsurumiUmiShibauraBranch.Outbound,35.48838,139.70247,13
JR-East.TsurumiUmiShibauraBranch.Outbound,35.4915,139.7004,12
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49233,139.69985,11
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49245,139.69977,10
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49657,139.69707,9
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49679,139.69689,8
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49694,139.69673,7
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49702,139.69662,6
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49714,139.69644,5
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49719,139.69632,4
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49723,139.69617,3
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49726,139.69607,2
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49731,139.69542,1
JR-East.TsurumiUmiShibauraBranch.Outbound,35.49732,139.69488,0
