shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.Uchibo.Inbound,35.10822,140.10431,0
JR-East.Uchibo.Inbound,35.10702,140.10311,1
JR-East.Uchibo.Inbound,35.10653,140.10264,2
JR-East.Uchibo.Inbound,35.10627,140.10237,3
JR-East.Uchibo.Inbound,35.10523,140.10134,4
JR-East.Uchibo.Inbound,35.10448,140.1006,5
JR-East.Uchibo.Inbound,35.10409,140.1001,6
JR-East.Uchibo.Inbound,35.10399,140.09992,7
JR-East.Uchibo.Inbound,35.10381,140.0996,8
JR-East.Uchibo.Inbound,35.10367,140.09934,9
JR-East.Uchibo.Inbound,35.10333,140.0987,10
JR-East.Uchibo.Inbound,35.10307,140.0982,11
JR-East.Uchibo.Inbound,35.10275,140.0977,12
JR-East.Uchibo.Inbound,35.1025,140.09741,13
JR-East.Uchibo.Inbound,35.10215,140.09706,14
JR-East.Uchibo.Inbound,35.10187,140.09686,15
JR-East.Uchibo.Inbound,35.10161,140.09668,16
JR-East.Uchibo.Inbound,35.10124,140.09648,17
JR-East.Uchibo.Inbound,35.10118,140.09645,18
JR-East.Uchibo.Inbound,35.10097,140.09634,19
JR-East.Uchibo.Inbound,35.10081,140.09627,20
JR-East.Uchibo.Inbound,35.10049,140.09612,21
JR-East.Uchibo.Inbound,35.09982,140.09581,22
JR-East.Uchibo.Inbound,35.09962,140.09571,23
JR-East.Uchibo.Inbound,35.09932,140.09557,24
JR-East.Uchibo.Inbound,35.09823,140.09507,25
JR-East.Uchibo.Inbound,35.09821,140.09505,26
JR-East.Uchibo.Inbound,35.09645,140.09421,27
JR-East.Uchibo.Inbound,35.0954,140.09373,28
JR-East.Uchibo.Inbound,35.08985,140.09108,29
JR-East.Uchibo.Inbound,35.08959,140.091,30
JR-East.Uchibo.Inbound,35.08911,140.09104,31
JR-East.Uchibo.Inbound,35.08888,140.09112,32
JR-East.Uchibo.Inbound,35.08857,140.09131,33
JR-East.Uchibo.Inbound,35.08825,140.09151,34
JR-East.Uchibo.Inbound,35.08802,140.09169,35
JR-East.Uchibo.Inbound,35.08759,140.0922,36
JR-East.Uchibo.Inbound,35.08666,140.09339,37
JR-East.Uchibo.Inbound,35.0863,140.09387,38
JR-East.Uchibo.Inbound,35.08575,140.09456,39
JR-East.Uchibo.Inbound,35.08535,140.09499,40
JR-East.Uchibo.Inbound,35.08514,140.09514,41
JR-East.Uchibo.Inbound,35.0849,140.0953,42
JR-East.Uchibo.Inbound,35.08462,140.09541,43
JR-East.Uchibo.Inbound,35.08408,140.09555,44
JR-East.Uchibo.Inbound,35.08345,140.0957,45
JR-East.Uchibo.Inbound,35.08233,140.096,46
JR-East.Uchibo.Inbound,35.08064,140.09646,47
JR-East.Uchibo.Inbound,35.08016,140.09658,48
JR-East.Uchibo.Inbound,35.07944,140.0967,49
JR-East.Uchibo.Inbound,35.07931,140.0967,50
JR-East.Uchibo.Inbound,35.07885,140.09668,51
JR-East.Uchibo.Inbound,35.07855,140.0966,52
JR-East.Uchibo.Inbound,35.07829,140.0965,53
JR-East.Uchibo.Inbound,35.07799,140.09631,54
JR-East.Uchibo.Inbound,35.07774,140.09607,55
JR-East.Uchibo.Inbound,35.07744,140.09571,56
JR-East.Uchibo.Inbound,35.07714,140.09521,57
JR-East.Uchibo.Inbound,35.0767,140.09435,58
JR-East.Uchibo.Inbound,35.07622,140.09333,59
JR-East.Uchibo.Inbound,35.07571,140.09237,60
JR-East.Uchibo.Inbound,35.07562,140.09217,61
JR-East.Uchibo.Inbound,35.07549,140.09169,62
JR-East.Uchibo.Inbound,35.0754,140.09115,63
JR-East.Uchibo.Inbound,35.07534,140.09044,64
JR-East.Uchibo.Inbound,35.07523,140.08928,65
JR-East.Uchibo.Inbound,35.07501,140.08721,66
JR-East.Uchibo.Inbound,35.07498,140.08688,67
JR-East.Uchibo.Inbound,35.07485,140.08584,68
JR-East.Uchibo.Inbound,35.07476,140.08548,69
JR-East.Uchibo.Inbound,35.07457,140.08499,70
JR-East.Uchibo.Inbound,35.07433,140.08438,71
JR-East.Uchibo.Inbound,35.07403,140.08387,72
JR-East.Uchibo.Inbound,35.07369,140.08348,73
JR-East.Uchibo.Inbound,35.07323,140.08311,74
JR-East.Uchibo.Inbound,35.07292,140.08294,75
JR-East.Uchibo.Inbound,35.07242,140.0828,76
JR-East.Uchibo.Inbound,35.0712,140.08257,77
JR-East.Uchibo.Inbound,35.0708,140.08241,78
JR-East.Uchibo.Inbound,35.07053,140.08225,79
JR-East.Uchibo.Inbound,35.07024,140.08198,80
JR-East.Uchibo.Inbound,35.06987,140.08148,81
JR-East.Uchibo.Inbound,35.06929,140.08051,82
JR-East.Uchibo.Inbound,35.0691,140.0801,83
JR-East.Uchibo.Inbound,35.06873,140.07929,84
JR-East.Uchibo.Inbound,35.06859,140.07909,85
JR-East.Uchibo.Inbound,35.06832,140.07866,86
JR-East.Uchibo.Inbound,35.06795,140.07828,87
JR-East.Uchibo.Inbound,35.06767,140.07807,88
JR-East.Uchibo.Inbound,35.06718,140.07781,89
JR-East.Uchibo.Inbound,35.06712,140.07778,90
JR-East.Uchibo.Inbound,35.06678,140.07763,91
JR-East.Uchibo.Inbound,35.06614,140.07738,92
JR-East.Uchibo.Inbound,35.0658,140.07722,93
JR-East.Uchibo.Inbound,35.06554,140.07704,94
JR-East.Uchibo.Inbound,35.06512,140.07663,95
JR-East.Uchibo.Inbound,35.06473,140.07606,96
JR-East.Uchibo.Inbound,35.06447,140.07548,97
JR-East.Uchibo.Inbound,35.06428,140.07478,98
JR-East.Uchibo.Inbound,35.0641,140.07423,99
JR-East.Uchibo.Inbound,35.06386,140.07374,100
JR-East.Uchibo.Inbound,35.06361,140.07335,101
JR-East.Uchibo.Inbound,35.06335,140.07308,102
JR-East.Uchibo.Inbound,35.06249,140.0722,103
JR-East.Uchibo.Inbound,35.06196,140.07161,104
JR-East.Uchibo.Inbound,35.06181,140.07135,105
JR-East.Uchibo.Inbound,35.06168,140.07099,106
JR-East.Uchibo.Inbound,35.06162,140.07059,107
JR-East.Uchibo.Inbound,35.06153,140.06954,108
JR-East.Uchibo.Inbound,35.06156,140.06898,109
JR-East.Uchibo.Inbound,35.06165,140.06849,110
JR-East.Uchibo.Inbound,35.06181,140.06805,111
JR-East.Uchibo.Inbound,35.06219,140.06719,112
JR-East.Uchibo.Inbound,35.06239,140.06658,113
JR-East.Uchibo.Inbound,35.06255,140.06588,114
JR-East.Uchibo.Inbound,35.06268,140.06516,115
JR-East.Uchibo.Inbound,35.06272,140.0647,116
JR-East.Uchibo.Inbound,35.06273,140.06438,117
JR-East.Uchibo.Inbound,35.06273,140.06405,118
JR-East.Uchibo.Inbound,35.06269,140.06328,119
JR-East.Uchibo.Inbound,35.0626,140.06221,120
JR-East.Uchibo.Inbound,35.0624,140.06007,121
JR-East.Uchibo.Inbound,35.06223,140.05845,122
JR-East.Uchibo.Inbound,35.06214,140.05753,123
JR-East.Uchibo.Inbound,35.06194,140.05636,124
JR-East.Uchibo.Inbound,35.06176,140.05566,125
JR-East.Uchibo.Inbound,35.06165,140.05531,126
JR-East.Uchibo.Inbound,35.06146,140.05468,127
JR-East.Uchibo.Inbound,35.06128,140.05419,128
JR-East.Uchibo.Inbound,35.06113,140.05374,129
JR-East.Uchibo.Inbound,35.06087,140.05299,130
JR-East.Uchibo.Inbound,35.06015,140.05092,131
JR-East.Uchibo.Inbound,35.05954,140.04918,132
JR-East.Uchibo.Inbound,35.05907,140.04788,133
JR-East.Uchibo.Inbound,35.05816,140.04526,134
JR-East.Uchibo.Inbound,35.05702,140.04201,135
JR-East.Uchibo.Inbound,35.0565,140.04072,136
JR-East.Uchibo.Inbound,35.05622,140.04022,137
JR-East.Uchibo.Inbound,35.05598,140.0398,138
JR-East.Uchibo.Inbound,35.05551,140.03904,139
JR-East.Uchibo.Inbound,35.05512,140.03847,140
JR-East.Uchibo.Inbound,35.05461,140.03763,141
JR-East.Uchibo.Inbound,35.05435,140.03711,142
JR-East.Uchibo.Inbound,35.0543,140.03699,143
JR-East.Uchibo.Inbound,35.05409,140.03644,144
JR-East.Uchibo.Inbound,35.05387,140.03571,145
JR-East.Uchibo.Inbound,35.05361,140.03481,146
JR-East.Uchibo.Inbound,35.05272,140.03174,147
JR-East.Uchibo.Inbound,35.05238,140.03041,148
JR-East.Uchibo.Inbound,35.05208,140.02959,149
JR-East.Uchibo.Inbound,35.05184,140.02911,150
JR-East.Uchibo.Inbound,35.05145,140.0284,151
JR-East.Uchibo.Inbound,35.05108,140.02764,152
JR-East.Uchibo.Inbound,35.05074,140.02678,153
JR-East.Uchibo.Inbound,35.05063,140.02648,154
JR-East.Uchibo.Inbound,35.05023,140.02571,155
JR-East.Uchibo.Inbound,35.04991,140.0253,156
JR-East.Uchibo.Inbound,35.04947,140.02487,157
JR-East.Uchibo.Inbound,35.04879,140.02432,158
JR-East.Uchibo.Inbound,35.0486,140.02416,159
JR-East.Uchibo.Inbound,35.04754,140.02337,160
JR-East.Uchibo.Inbound,35.0465,140.02272,161
JR-East.Uchibo.Inbound,35.0461,140.02247,162
JR-East.Uchibo.Inbound,35.04459,140.02151,163
JR-East.Uchibo.Inbound,35.0431,140.02053,164
JR-East.Uchibo.Inbound,35.04211,140.01986,165
JR-East.Uchibo.Inbound,35.04131,140.01936,166
JR-East.Uchibo.Inbound,35.04076,140.019,167
JR-East.Uchibo.Inbound,35.04002,140.0185,168
JR-East.Uchibo.Inbound,35.03966,140.01828,169
JR-East.Uchibo.Inbound,35.03899,140.01787,170
JR-East.Uchibo.Inbound,35.03849,140.01751,171
JR-East.Uchibo.Inbound,35.03812,140.0171,172
JR-East.Uchibo.Inbound,35.0379,140.01683,173
JR-East.Uchibo.Inbound,35.03777,140.01665,174
JR-East.Uchibo.Inbound,35.03764,140.01636,175
JR-East.Uchibo.Inbound,35.03754,140.016,176
JR-East.Uchibo.Inbound,35.03751,140.01559,177
JR-East.Uchibo.Inbound,35.0375,140.015,178
JR-East.Uchibo.Inbound,35.0376,140.01389,179
JR-East.Uchibo.Inbound,35.03769,140.0131,180
JR-East.Uchibo.Inbound,35.03783,140.0118,181
JR-East.Uchibo.Inbound,35.03786,140.01112,182
JR-East.Uchibo.Inbound,35.03779,140.01051,183
JR-East.Uchibo.Inbound,35.03766,140.01006,184
JR-East.Uchibo.Inbound,35.03743,140.00965,185
JR-East.Uchibo.Inbound,35.03711,140.00914,186
JR-East.Uchibo.Inbound,35.03677,140.00873,187
JR-East.Uchibo.Inbound,35.03648,140.00853,188
JR-East.Uchibo.Inbound,35.03634,140.00844,189
JR-East.Uchibo.Inbound,35.03621,140.00836,190
JR-East.Uchibo.Inbound,35.0355,140.00801,191
JR-East.Uchibo.Inbound,35.03494,140.00765,192
JR-East.Uchibo.Inbound,35.03474,140.00744,193
JR-East.Uchibo.Inbound,35.03461,140.00729,194
JR-East.Uchibo.Inbound,35.0343,140.0069,195
JR-East.Uchibo.Inbound,35.03376,140.00605,196
JR-East.Uchibo.Inbound,35.03299,140.00491,197
JR-East.Uchibo.Inbound,35.03208,140.00326,198
JR-East.Uchibo.Inbound,35.03177,140.00254,199
JR-East.Uchibo.Inbound,35.03074,139.99934,200
JR-East.Uchibo.Inbound,35.03034,139.9981,201
JR-East.Uchibo.Inbound,35.03028,139.99794,202
JR-East.Uchibo.Inbound,35.03007,139.99748,203
JR-East.Uchibo.Inbound,35.02986,139.99716,204
JR-East.Uchibo.Inbound,35.02962,139.99676,205
JR-East.Uchibo.Inbound,35.0295,139.99651,206
JR-East.Uchibo.Inbound,35.02928,139.99608,207
JR-East.Uchibo.Inbound,35.02903,139.99564,208
JR-East.Uchibo.Inbound,35.02889,139.99542,209
JR-East.Uchibo.Inbound,35.02861,139.99494,210
JR-East.Uchibo.Inbound,35.02822,139.99427,211
JR-East.Uchibo.Inbound,35.02781,139.99359,212
JR-East.Uchibo.Inbound,35.0274,139.99296,213
JR-East.Uchibo.Inbound,35.02733,139.99285,214
JR-East.Uchibo.Inbound,35.02721,139.99268,215
JR-East.Uchibo.Inbound,35.02707,139.99248,216
JR-East.Uchibo.Inbound,35.027,139.99236,217
JR-East.Uchibo.Inbound,35.02673,139.99197,218
JR-East.Uchibo.Inbound,35.02665,139.99184,219
JR-East.Uchibo.Inbound,35.02629,139.99126,220
JR-East.Uchibo.Inbound,35.02606,139.99084,221
JR-East.Uchibo.Inbound,35.02575,139.9902,222
JR-East.Uchibo.Inbound,35.02557,139.98977,223
JR-East.Uchibo.Inbound,35.02503,139.98834,224
JR-East.Uchibo.Inbound,35.0248,139.98769,225
JR-East.Uchibo.Inbound,35.02451,139.98689,226
JR-East.Uchibo.Inbound,35.02446,139.98672,227
JR-East.Uchibo.Inbound,35.02405,139.9856,228
JR-East.Uchibo.Inbound,35.02364,139.9846,229
JR-East.Uchibo.Inbound,35.02343,139.98415,230
JR-East.Uchibo.Inbound,35.02339,139.98405,231
JR-East.Uchibo.Inbound,35.0232,139.98362,232
JR-East.Uchibo.Inbound,35.02315,139.98353,233
JR-East.Uchibo.Inbound,35.02312,139.98344,234
JR-East.Uchibo.Inbound,35.02306,139.98331,235
JR-East.Uchibo.Inbound,35.02264,139.98238,236
JR-East.Uchibo.Inbound,35.02237,139.98179,237
JR-East.Uchibo.Inbound,35.02225,139.9815,238
JR-East.Uchibo.Inbound,35.02219,139.98136,239
JR-East.Uchibo.Inbound,35.02216,139.98129,240
JR-East.Uchibo.Inbound,35.02192,139.98073,241
JR-East.Uchibo.Inbound,35.02168,139.98017,242
JR-East.Uchibo.Inbound,35.02162,139.98003,243
JR-East.Uchibo.Inbound,35.02077,139.97811,244
JR-East.Uchibo.Inbound,35.02076,139.97809,245
JR-East.Uchibo.Inbound,35.02068,139.97787,246
JR-East.Uchibo.Inbound,35.02065,139.97781,247
JR-East.Uchibo.Inbound,35.0203,139.97698,248
JR-East.Uchibo.Inbound,35.02007,139.9765,249
JR-East.Uchibo.Inbound,35.01994,139.97626,250
JR-East.Uchibo.Inbound,35.01969,139.9758,251
JR-East.Uchibo.Inbound,35.01953,139.97555,252
JR-East.Uchibo.Inbound,35.01926,139.97515,253
JR-East.Uchibo.Inbound,35.01896,139.97476,254
JR-East.Uchibo.Inbound,35.01868,139.97446,255
JR-East.Uchibo.Inbound,35.0185,139.97429,256
JR-East.Uchibo.Inbound,35.01831,139.97412,257
JR-East.Uchibo.Inbound,35.0182,139.97404,258
JR-East.Uchibo.Inbound,35.0181,139.97397,259
JR-East.Uchibo.Inbound,35.01806,139.97394,260
JR-East.Uchibo.Inbound,35.01778,139.97379,261
JR-East.Uchibo.Inbound,35.0174,139.97359,262
JR-East.Uchibo.Inbound,35.01709,139.97345,263
JR-East.Uchibo.Inbound,35.01669,139.97326,264
JR-East.Uchibo.Inbound,35.01655,139.9732,265
JR-East.Uchibo.Inbound,35.01651,139.97318,266
JR-East.Uchibo.Inbound,35.01643,139.97314,267
JR-East.Uchibo.Inbound,35.01517,139.97249,268
JR-East.Uchibo.Inbound,35.01462,139.97222,269
JR-East.Uchibo.Inbound,35.01407,139.97198,270
JR-East.Uchibo.Inbound,35.01396,139.97193,271
JR-East.Uchibo.Inbound,35.01322,139.97155,272
JR-East.Uchibo.Inbound,35.01282,139.9714,273
JR-East.Uchibo.Inbound,35.01262,139.97131,274
JR-East.Uchibo.Inbound,35.01243,139.9712,275
JR-East.Uchibo.Inbound,35.01202,139.97109,276
JR-East.Uchibo.Inbound,35.01191,139.97106,277
JR-East.Uchibo.Inbound,35.01157,139.97098,278
JR-East.Uchibo.Inbound,35.01126,139.97089,279
JR-East.Uchibo.Inbound,35.01097,139.97088,280
JR-East.Uchibo.Inbound,35.01056,139.97092,281
