shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
JR-East.Yokosuka.Inbound,35.23215,139.70134,0
JR-East.Yokosuka.Inbound,35.23284,139.70108,1
JR-East.Yokosuka.Inbound,35.23421,139.70046,2
JR-East.Yokosuka.Inbound,35.23489,139.70004,3
JR-East.Yokosuka.Inbound,35.23515,139.69987,4
JR-East.Yokosuka.Inbound,35.23541,139.69965,5
JR-East.Yokosuka.Inbound,35.23597,139.69905,6
JR-East.Yokosuka.Inbound,35.23644,139.69855,7
JR-East.Yokosuka.Inbound,35.23733,139.69757,8
JR-East.Yokosuka.Inbound,35.23784,139.69704,9
JR-East.Yokosuka.Inbound,35.23823,139.6966,10
JR-East.Yokosuka.Inbound,35.23861,139.69618,11
JR-East.Yokosuka.Inbound,35.23886,139.69589,12
JR-East.Yokosuka.Inbound,35.23911,139.69558,13
JR-East.Yokosuka.Inbound,35.23932,139.69528,14
JR-East.Yokosuka.Inbound,35.23977,139.69457,15
JR-East.Yokosuka.Inbound,35.23992,139.69433,16
JR-East.Yokosuka.Inbound,35.24033,139.69362,17
JR-East.Yokosuka.Inbound,35.24089,139.69259,18
JR-East.Yokosuka.Inbound,35.24113,139.69215,19
JR-East.Yokosuka.Inbound,35.24161,139.69132,20
JR-East.Yokosuka.Inbound,35.24178,139.69103,21
JR-East.Yokosuka.Inbound,35.24214,139.69039,22
JR-East.Yokosuka.Inbound,35.24267,139.68945,23
JR-East.Yokosuka.Inbound,35.2429,139.68903,24
JR-East.Yokosuka.Inbound,35.24332,139.68832,25
JR-East.Yokosuka.Inbound,35.24366,139.68776,26
JR-East.Yokosuka.Inbound,35.24445,139.68668,27
JR-East.Yokosuka.Inbound,35.24481,139.68619,28
JR-East.Yokosuka.Inbound,35.24518,139.68573,29
JR-East.Yokosuka.Inbound,35.24555,139.68528,30
JR-East.Yokosuka.Inbound,35.24584,139.68493,31
JR-East.Yokosuka.Inbound,35.24623,139.68446,32
JR-East.Yokosuka.Inbound,35.24706,139.68341,33
JR-East.Yokosuka.Inbound,35.24782,139.68248,34
JR-East.Yokosuka.Inbound,35.24831,139.68187,35
JR-East.Yokosuka.Inbound,35.24909,139.68093,36
