shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keikyu.Airport.Inbound,35.55039,139.78724,0
Keikyu.Airport.Inbound,35.54999,139.7864,1
Keikyu.Airport.Inbound,35.54978,139.78598,2
Keikyu.Airport.Inbound,35.54904,139.78448,3
Keikyu.Airport.Inbound,35.54897,139.78432,4
Keikyu.Airport.Inbound,35.54852,139.78338,5
Keikyu.Airport.Inbound,35.54825,139.78282,6
Keikyu.Airport.Inbound,35.54808,139.78249,7
Keikyu.Airport.Inbound,35.54739,139.78107,8
Keikyu.Airport.Inbound,35.54716,139.7806,9
Keikyu.Airport.Inbound,35.54643,139.7791,10
Keikyu.Airport.Inbound,35.54572,139.77768,11
Keikyu.Airport.Inbound,35.54508,139.77626,12
Keikyu.Airport.Inbound,35.54492,139.77575,13
Keikyu.Airport.Inbound,35.54468,139.77481,14
Keikyu.Airport.Inbound,35.54465,139.77469,15
Keikyu.Airport.Inbound,35.54452,139.77391,16
Keikyu.Airport.Inbound,35.54443,139.77283,17
Keikyu.Airport.Inbound,35.54443,139.77228,18
Keikyu.Airport.Inbound,35.54449,139.77111,19
Keikyu.Airport.Inbound,35.54465,139.76953,20
Keikyu.Airport.Inbound,35.544836,139.768073,21
Keikyu.Airport.Inbound,35.545124,139.76606,22
Keikyu.Airport.Inbound,35.54527,139.765,23
Keikyu.Airport.Inbound,35.54543,139.76385,24
Keikyu.Airport.Inbound,35.5455,139.7634,25
Keikyu.Airport.Inbound,35.54573,139.76175,26
Keikyu.Airport.Inbound,35.54597,139.76011,27
Keikyu.Airport.Inbound,35.54624,139.75848,28
Keikyu.Airport.Inbound,35.54634,139.7579,29
Keikyu.Airport.Inbound,35.54653,139.75728,30
Keikyu.Airport.Inbound,35.54683,139.75667,31
Keikyu.Airport.Inbound,35.5475,139.7556,32
Keikyu.Airport.Inbound,35.5478,139.75517,33
Keikyu.Airport.Inbound,35.54803,139.7548,34
Keikyu.Airport.Inbound,35.54863,139.75389,35
Keikyu.Airport.Inbound,35.54916,139.75266,36
Keikyu.Airport.Inbound,35.54941,139.75204,37
Keikyu.Airport.Inbound,35.54944,139.75151,38
Keikyu.Airport.Inbound,35.54951,139.75082,39
Keikyu.Airport.Inbound,35.54963,139.74949,40
Keikyu.Airport.Inbound,35.54973,139.74891,41
Keikyu.Airport.Inbound,35.54987,139.74829,42
Keikyu.Airport.Inbound,35.5499,139.74819,43
Keikyu.Airport.Inbound,35.55012,139.74743,44
Keikyu.Airport.Inbound,35.55022,139.7471,45
Keikyu.Airport.Inbound,35.55031,139.74677,46
Keikyu.Airport.Inbound,35.55047,139.74628,47
Keikyu.Airport.Inbound,35.55089,139.74491,48
Keikyu.Airport.Inbound,35.5512,139.74385,49
Keikyu.Airport.Inbound,35.5517,139.74223,50
Keikyu.Airport.Inbound,35.55209,139.74105,51
Keikyu.Airport.Inbound,35.55255,139.7394,52
Keikyu.Airport.Inbound,35.55275,139.73847,53
Keikyu.Airport.Inbound,35.55285,139.73827,54
Keikyu.Airport.Inbound,35.55286,139.73811,55
Keikyu.Airport.Inbound,35.55293,139.73664,56
Keikyu.Airport.Inbound,35.55297,139.73571,57
Keikyu.Airport.Inbound,35.55309,139.73459,58
Keikyu.Airport.Inbound,35.55334,139.73184,59
Keikyu.Airport.Inbound,35.55344,139.73112,60
Keikyu.Airport.Inbound,35.5535,139.7308,61
Keikyu.Airport.Inbound,35.55358,139.73061,62
Keikyu.Airport.Inbound,35.55371,139.7304,63
Keikyu.Airport.Inbound,35.55422,139.72985,64
Keikyu.Airport.Inbound,35.55468,139.72933,65
Keikyu.Airport.Inbound,35.55687,139.72707,66
Keikyu.Airport.Inbound,35.55897,139.7249,67
Keikyu.Airport.Inbound,35.55984909,139.72401435,68
Keikyu.Airport.Inbound,35.56031,139.72355,69
Keikyu.Airport.Inbound,35.56054,139.72346,70
Keikyu.Airport.Inbound,35.56122,139.724,71
Keikyu.Airport.Inbound,35.56163,139.7243,72
Keikyu.Airport.Inbound,35.56224,139.72473,73
Keikyu.Airport.Inbound,35.56286733,139.72515659,74
Keikyu.Airport.Outbound,35.55039,139.78724,74
Keikyu.Airport.Outbound,35.54999,139.7864,73
Keikyu.Airport.Outbound,35.54978,139.78598,72
Keikyu.Airport.Outbound,35.54904,139.78448,71
Keikyu.Airport.Outbound,35.54897,139.78432,70
Keikyu.Airport.Outbound,35.54852,139.78338,69
Keikyu.Airport.Outbound,35.54825,139.78282,68
Keikyu.Airport.Outbound,35.54808,139.78249,67
Keikyu.Airport.Outbound,35.54739,139.78107,66
Keikyu.Airport.Outbound,35.54716,139.7806,65
Keikyu.Airport.Outbound,35.54643,139.7791,64
Keikyu.Airport.Outbound,35.54572,139.77768,63
Keikyu.Airport.Outbound,35.54508,139.77626,62
Keikyu.Airport.Outbound,35.54492,139.77575,61
Keikyu.Airport.Outbound,35.54468,139.77481,60
Keikyu.Airport.Outbound,35.54465,139.77469,59
Keikyu.Airport.Outbound,35.54452,139.77391,58
Keikyu.Airport.Outbound,35.54443,139.77283,57
Keikyu.Airport.Outbound,35.54443,139.77228,56
Keikyu.Airport.Outbound,35.54449,139.77111,55
Keikyu.Airport.Outbound,35.54465,139.76953,54
Keikyu.Airport.Outbound,35.544836,139.768073,53
Keikyu.Airport.Outbound,35.545124,139.76606,52
Keikyu.Airport.Outbound,35.54527,139.765,51
Keikyu.Airport.Outbound,35.54543,139.76385,50
Keikyu.Airport.Outbound,35.5455,139.7634,49
Keikyu.Airport.Outbound,35.54573,139.76175,48
Keikyu.Airport.Outbound,35.54597,139.76011,47
Keikyu.Airport.Outbound,35.54624,139.75848,46
Keikyu.Airport.Outbound,35.54634,139.7579,45
Keikyu.Airport.Outbound,35.54653,139.75728,44
Keikyu.Airport.Outbound,35.54683,139.75667,43
Keikyu.Airport.Outbound,35.5475,139.7556,42
Keikyu.Airport.Outbound,35.5478,139.75517,41
Keikyu.Airport.Outbound,35.54803,139.7548,40
Keikyu.Airport.Outbound,35.54863,139.75389,39
Keikyu.Airport.Outbound,35.54916,139.75266,38
Keikyu.Airport.Outbound,35.54941,139.75204,37
Keikyu.Airport.Outbound,35.54944,139.75151,36
Keikyu.Airport.Outbound,35.54951,139.75082,35
Keikyu.Airport.Outbound,35.54963,139.74949,34
Keikyu.Airport.Outbound,35.54973,139.74891,33
Keikyu.Airport.Outbound,35.54987,139.74829,32
Keikyu.Airport.Outbound,35.5499,139.74819,31
Keikyu.Airport.Outbound,35.55012,139.74743,30
Keikyu.Airport.Outbound,35.55022,139.7471,29
Keikyu.Airport.Outbound,35.55031,139.74677,28
Keikyu.Airport.Outbound,35.55047,139.74628,27
