shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keikyu.Daishi.Inbound,35.53457,139.74795,0
Keikyu.Daishi.Inbound,35.53471,139.74716,1
Keikyu.Daishi.Inbound,35.53477,139.74678,2
Keikyu.Daishi.Inbound,35.53534,139.74514,3
Keikyu.Daishi.Inbound,35.53615,139.74315,4
Keikyu.Daishi.Inbound,35.53634,139.74258,5
Keikyu.Daishi.Inbound,35.53652,139.742,6
Keikyu.Daishi.Inbound,35.53658,139.74172,7
Keikyu.Daishi.Inbound,35.53661,139.7411,8
Keikyu.Daishi.Inbound,35.53661,139.74087,9
Keikyu.Daishi.Inbound,35.5366,139.74002,10
Keikyu.Daishi.Inbound,35.53656,139.73693,11
Keikyu.Daishi.Inbound,35.53659,139.73471,12
Keikyu.Daishi.Inbound,35.53659,139.73394,13
Keikyu.Daishi.Inbound,35.53655,139.73137,14
Keikyu.Daishi.Inbound,35.5365,139.7289,15
Keikyu.Daishi.Inbound,35.5365,139.72867,16
Keikyu.Daishi.Inbound,35.53647,139.72848,17
Keikyu.Daishi.Inbound,35.53585,139.72641,18
Keikyu.Daishi.Inbound,35.53569,139.72558,19
Keikyu.Daishi.Inbound,35.53559,139.72429,20
Keikyu.Daishi.Inbound,35.5354,139.72109,21
Keikyu.Daishi.Inbound,35.53536,139.72022,22
Keikyu.Daishi.Inbound,35.53528,139.71876,23
Keikyu.Daishi.Inbound,35.53508,139.71412,24
Keikyu.Daishi.Inbound,35.53503,139.71314,25
Keikyu.Daishi.Inbound,35.5351,139.7121,26
Keikyu.Daishi.Inbound,35.53531,139.71096,27
Keikyu.Daishi.Inbound,35.53536,139.71065,28
Keikyu.Daishi.Inbound,35.53544,139.71034,29
Keikyu.Daishi.Inbound,35.53569,139.70984,30
Keikyu.Daishi.Inbound,35.53578,139.70961,31
Keikyu.Daishi.Inbound,35.53578,139.70921,32
Keikyu.Daishi.Inbound,35.53579,139.70864,33
Keikyu.Daishi.Inbound,35.53573,139.70782,34
Keikyu.Daishi.Inbound,35.53562,139.70712,35
Keikyu.Daishi.Inbound,35.53548,139.70656,36
Keikyu.Daishi.Inbound,35.53515,139.70555,37
Keikyu.Daishi.Inbound,35.5349,139.70492,38
Keikyu.Daishi.Inbound,35.53408,139.70291,39
Keikyu.Daishi.Inbound,35.53346,139.70161,40
Keikyu.Daishi.Inbound,35.53338,139.70132,41
Keikyu.Daishi.Inbound,35.53264,139.70056,42
Keikyu.Daishi.Outbound,35.53457,139.74795,42
Keikyu.Daishi.Outbound,35.53471,139.74716,41
Keikyu.Daishi.Outbound,35.53477,139.74678,40
Keikyu.Daishi.Outbound,35.53534,139.74514,39
Keikyu.Daishi.Outbound,35.53615,139.74315,38
Keikyu.Daishi.Outbound,35.53634,139.74258,37
Keikyu.Daishi.Outbound,35.53652,139.742,36
Keikyu.Daishi.Outbound,35.53658,139.74172,35
Keikyu.Daishi.Outbound,35.53661,139.7411,34
Keikyu.Daishi.Outbound,35.53661,139.74087,33
Keikyu.Daishi.Outbound,35.5366,139.74002,32
Keikyu.Daishi.Outbound,35.53656,139.73693,31
Keikyu.Daishi.Outbound,35.53659,139.73471,30
Keikyu.Daishi.Outbound,35.53659,139.73394,29
Keikyu.Daishi.Outbound,35.53655,139.73137,28
Keikyu.Daishi.Outbound,35.5365,139.7289,27
Keikyu.Daishi.Outbound,35.5365,139.72867,26
Keikyu.Daishi.Outbound,35.53647,139.72848,25
Keikyu.Daishi.Outbound,35.53585,139.72641,24
Keikyu.Daishi.Outbound,35.53569,139.72558,23
Keikyu.Daishi.Outbound,35.53559,139.72429,22
Keikyu.Daishi.Outbound,35.5354,139.72109,21
Keikyu.Daishi.Outbound,35.53536,139.72022,20
Keikyu.Daishi.Outbound,35.53528,139.71876,19
Keikyu.Daishi.Outbound,35.53508,139.71412,18
Keikyu.Daishi.Outbound,35.53503,139.71314,17
Keikyu.Daishi.Outbound,35.5351,139.7121,16
Keikyu.Daishi.Outbound,35.53531,139.71096,15
Keikyu.Daishi.Outbound,35.53536,139.71065,14
Keikyu.Daishi.Outbound,35.53544,139.71034,13
Keikyu.Daishi.Outbound,35.53569,139.70984,12
Keikyu.Daishi.Outbound,35.53578,139.70961,11
Keikyu.Daishi.Outbound,35.53578,139.70921,10
Keikyu.Daishi.Outbound,35.53579,139.70864,9
Keikyu.Daishi.Outbound,35.53573,139.70782,8
Keikyu.Daishi.Outbound,35.53562,139.70712,7
Keikyu.Daishi.Outbound,35.53548,139.70656,6
Keikyu.Daishi.Outbound,35.53515,139.70555,5
Keikyu.Daishi.Outbound,35.5349,139.70492,4
Keikyu.Daishi.Outbound,35.53408,139.70291,3
Keikyu.Daishi.Outbound,35.53346,139.70161,2
Keikyu.Daishi.Outbound,35.53338,139.70132,1
Keikyu.Daishi.Outbound,35.53264,139.70056,0
