shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keikyu.Zushi.Inbound,35.29364,139.58036,0
Keikyu.Zushi.Inbound,35.2937,139.58037,1
Keikyu.Zushi.Inbound,35.29383,139.5804,2
Keikyu.Zushi.Inbound,35.29398,139.58044,3
Keikyu.Zushi.Inbound,35.29414,139.58048,4
Keikyu.Zushi.Inbound,35.29427,139.58051,5
Keikyu.Zushi.Inbound,35.29443,139.58057,6
Keikyu.Zushi.Inbound,35.29459,139.58062,7
Keikyu.Zushi.Inbound,35.29476,139.5807,8
Keikyu.Zushi.Inbound,35.29491,139.58077,9
Keikyu.Zushi.Inbound,35.29527,139.58095,10
Keikyu.Zushi.Inbound,35.29562,139.58119,11
Keikyu.Zushi.Inbound,35.29586,139.58137,12
Keikyu.Zushi.Inbound,35.29603,139.58151,13
Keikyu.Zushi.Inbound,35.29621,139.5817,14
Keikyu.Zushi.Inbound,35.29641,139.58195,15
Keikyu.Zushi.Inbound,35.2966,139.58224,16
Keikyu.Zushi.Inbound,35.29676,139.58249,17
Keikyu.Zushi.Inbound,35.29692,139.58275,18
Keikyu.Zushi.Inbound,35.29708,139.58306,19
Keikyu.Zushi.Inbound,35.29721,139.58335,20
Keikyu.Zushi.Inbound,35.29733,139.58362,21
Keikyu.Zushi.Inbound,35.29741,139.58388,22
Keikyu.Zushi.Inbound,35.29746,139.58403,23
Keikyu.Zushi.Inbound,35.29771,139.58484,24
Keikyu.Zushi.Inbound,35.29784,139.58525,25
Keikyu.Zushi.Inbound,35.29795,139.58564,26
Keikyu.Zushi.Inbound,35.29809,139.58598,27
Keikyu.Zushi.Inbound,35.29817,139.58617,28
Keikyu.Zushi.Inbound,35.29834,139.58651,29
Keikyu.Zushi.Inbound,35.29847,139.58673,30
Keikyu.Zushi.Inbound,35.29866,139.58701,31
Keikyu.Zushi.Inbound,35.29874,139.58712,32
Keikyu.Zushi.Inbound,35.29886,139.58723,33
Keikyu.Zushi.Inbound,35.29915,139.58749,34
Keikyu.Zushi.Inbound,35.29948,139.58777,35
Keikyu.Zushi.Inbound,35.29977,139.58796,36
Keikyu.Zushi.Inbound,35.30016,139.58825,37
Keikyu.Zushi.Inbound,35.30057,139.58855,38
Keikyu.Zushi.Inbound,35.30101,139.58887,39
Keikyu.Zushi.Inbound,35.3015,139.58923,40
Keikyu.Zushi.Inbound,35.30217,139.58971,41
Keikyu.Zushi.Inbound,35.30254,139.58998,42
Keikyu.Zushi.Inbound,35.30281,139.59019,43
Keikyu.Zushi.Inbound,35.30313,139.59041,44
Keikyu.Zushi.Inbound,35.30346,139.59065,45
Keikyu.Zushi.Inbound,35.30362,139.59074,46
Keikyu.Zushi.Inbound,35.30387,139.59095,47
Keikyu.Zushi.Inbound,35.30408,139.59109,48
Keikyu.Zushi.Inbound,35.30433,139.59128,49
Keikyu.Zushi.Inbound,35.30463,139.59147,50
Keikyu.Zushi.Inbound,35.30495,139.5917,51
Keikyu.Zushi.Inbound,35.30522,139.5919,52
Keikyu.Zushi.Inbound,35.3055,139.59214,53
Keikyu.Zushi.Inbound,35.30574,139.59235,54
Keikyu.Zushi.Inbound,35.30601,139.5926,55
Keikyu.Zushi.Inbound,35.30655,139.59318,56
Keikyu.Zushi.Inbound,35.30679,139.59342,57
Keikyu.Zushi.Inbound,35.30689,139.59354,58
Keikyu.Zushi.Inbound,35.30703,139.59372,59
Keikyu.Zushi.Inbound,35.30726,139.59402,60
Keikyu.Zushi.Inbound,35.30737,139.59421,61
Keikyu.Zushi.Inbound,35.3078,139.59489,62
Keikyu.Zushi.Inbound,35.30798,139.59521,63
Keikyu.Zushi.Inbound,35.30866,139.59646,64
Keikyu.Zushi.Inbound,35.30892,139.59697,65
Keikyu.Zushi.Inbound,35.30925,139.59759,66
Keikyu.Zushi.Inbound,35.30955,139.59813,67
Keikyu.Zushi.Inbound,35.30972,139.59842,68
Keikyu.Zushi.Inbound,35.30985,139.59859,69
Keikyu.Zushi.Inbound,35.31006,139.59886,70
Keikyu.Zushi.Inbound,35.31019,139.599,71
Keikyu.Zushi.Inbound,35.31038,139.5992,72
Keikyu.Zushi.Inbound,35.31053,139.59935,73
Keikyu.Zushi.Inbound,35.31075,139.59953,74
Keikyu.Zushi.Inbound,35.31098,139.5997,75
Keikyu.Zushi.Inbound,35.31116,139.59982,76
Keikyu.Zushi.Inbound,35.3114,139.59993,77
Keikyu.Zushi.Inbound,35.31165,139.60003,78
Keikyu.Zushi.Inbound,35.31199,139.60015,79
Keikyu.Zushi.Inbound,35.31226,139.6002,80
Keikyu.Zushi.Inbound,35.3125,139.60025,81
Keikyu.Zushi.Inbound,35.31284,139.60027,82
Keikyu.Zushi.Inbound,35.3132,139.60025,83
Keikyu.Zushi.Inbound,35.31344,139.60022,84
Keikyu.Zushi.Inbound,35.31371,139.60017,85
Keikyu.Zushi.Inbound,35.31391,139.60009,86
Keikyu.Zushi.Inbound,35.31403,139.60006,87
Keikyu.Zushi.Inbound,35.31426,139.59999,88
Keikyu.Zushi.Inbound,35.31439,139.59995,89
Keikyu.Zushi.Inbound,35.31466,139.59982,90
Keikyu.Zushi.Inbound,35.31485,139.59973,91
Keikyu.Zushi.Inbound,35.3152,139.59958,92
Keikyu.Zushi.Inbound,35.31547,139.59947,93
Keikyu.Zushi.Inbound,35.3157,139.59941,94
Keikyu.Zushi.Inbound,35.31589,139.59938,95
Keikyu.Zushi.Inbound,35.31595,139.59937,96
Keikyu.Zushi.Inbound,35.31606,139.59939,97
Keikyu.Zushi.Inbound,35.31618,139.5994,98
Keikyu.Zushi.Inbound,35.31635,139.59943,99
Keikyu.Zushi.Inbound,35.31656,139.59948,100
Keikyu.Zushi.Inbound,35.31681,139.59956,101
Keikyu.Zushi.Inbound,35.31701,139.59966,102
Keikyu.Zushi.Inbound,35.31713,139.59972,103
Keikyu.Zushi.Inbound,35.31727,139.5998,104
Keikyu.Zushi.Inbound,35.31749,139.59995,105
Keikyu.Zushi.Inbound,35.31774,139.60015,106
Keikyu.Zushi.Inbound,35.31795,139.60029,107
Keikyu.Zushi.Inbound,35.31819,139.60047,108
Keikyu.Zushi.Inbound,35.31834,139.60062,109
Keikyu.Zushi.Inbound,35.31854,139.60082,110
Keikyu.Zushi.Inbound,35.31866,139.60099,111
Keikyu.Zushi.Inbound,35.31887,139.60132,112
Keikyu.Zushi.Inbound,35.31907,139.60168,113
Keikyu.Zushi.Inbound,35.31925,139.60201,114
Keikyu.Zushi.Inbound,35.31937,139.60227,115
Keikyu.Zushi.Inbound,35.31972,139.60302,116
Keikyu.Zushi.Inbound,35.31992,139.60346,117
Keikyu.Zushi.Inbound,35.32022,139.60412,118
Keikyu.Zushi.Inbound,35.32037,139.60445,119
Keikyu.Zushi.Inbound,35.32053,139.60478,120
Keikyu.Zushi.Inbound,35.32082,139.60555,121
Keikyu.Zushi.Inbound,35.32099,139.60601,122
Keikyu.Zushi.Inbound,35.32107,139.60626,123
Keikyu.Zushi.Inbound,35.32116,139.60664,124
Keikyu.Zushi.Inbound,35.32122,139.60691,125
Keikyu.Zushi.Inbound,35.32143,139.60776,126
Keikyu.Zushi.Inbound,35.32158,139.60845,127
Keikyu.Zushi.Inbound,35.32175,139.60914,128
Keikyu.Zushi.Inbound,35.32186,139.60945,129
Keikyu.Zushi.Inbound,35.32191,139.60963,130
Keikyu.Zushi.Inbound,35.32203,139.61,131
Keikyu.Zushi.Inbound,35.32214,139.61024,132
Keikyu.Zushi.Inbound,35.32236,139.61075,133
Keikyu.Zushi.Inbound,35.32255,139.61114,134
Keikyu.Zushi.Inbound,35.3229,139.61184,135
Keikyu.Zushi.Inbound,35.32322,139.61256,136
Keikyu.Zushi.Inbound,35.32333,139.6128,137
Keikyu.Zushi.Inbound,35.32345,139.61308,138
Keikyu.Zushi.Inbound,35.32383,139.61384,139
Keikyu.Zushi.Inbound,35.32426,139.61474,140
Keikyu.Zushi.Inbound,35.3245,139.61525,141
Keikyu.Zushi.Inbound,35.32488,139.61605,142
Keikyu.Zushi.Inbound,35.32503,139.61633,143
Keikyu.Zushi.Inbound,35.32542,139.61713,144
Keikyu.Zushi.Inbound,35.32559,139.61749,145
Keikyu.Zushi.Inbound,35.32579,139.61788,146
Keikyu.Zushi.Inbound,35.32592,139.61814,147
Keikyu.Zushi.Inbound,35.32612,139.61842,148
Keikyu.Zushi.Inbound,35.32625,139.61862,149
Keikyu.Zushi.Inbound,35.32639,139.61879,150
Keikyu.Zushi.Inbound,35.32649,139.6189,151
Keikyu.Zushi.Inbound,35.3266,139.61902,152
Keikyu.Zushi.Inbound,35.32672,139.61913,153
Keikyu.Zushi.Inbound,35.32694,139.61935,154
Keikyu.Zushi.Inbound,35.32711,139.6195,155
Keikyu.Zushi.Inbound,35.32722,139.61961,156
Keikyu.Zushi.Inbound,35.32749,139.61978,157
Keikyu.Zushi.Inbound,35.32759,139.61981,158
Keikyu.Zushi.Inbound,35.32788,139.61988,159
Keikyu.Zushi.Inbound,35.32809,139.61993,160
Keikyu.Zushi.Inbound,35.3285,139.62001,161
Keikyu.Zushi.Inbound,35.32895,139.62007,162
Keikyu.Zushi.Inbound,35.32928,139.6201,163
Keikyu.Zushi.Inbound,35.32979,139.62013,164
Keikyu.Zushi.Inbound,35.33047,139.62014,165
Keikyu.Zushi.Inbound,35.33179,139.62011,166
Keikyu.Zushi.Outbound,35.29364,139.58036,166
Keikyu.Zushi.Outbound,35.2937,139.58037,165
Keikyu.Zushi.Outbound,35.29383,139.5804,164
Keikyu.Zushi.Outbound,35.29398,139.58044,163
Keikyu.Zushi.Outbound,35.29414,139.58048,162
Keikyu.Zushi.Outbound,35.29427,139.58051,161
Keikyu.Zushi.Outbound,35.29443,139.58057,160
Keikyu.Zushi.Outbound,35.29459,139.58062,159
Keikyu.Zushi.Outbound,35.29476,139.5807,158
Keikyu.Zushi.Outbound,35.29491,139.58077,157
Keikyu.Zushi.Outbound,35.29527,139.58095,156
Keikyu.Zushi.Outbound,35.29562,139.58119,155
Keikyu.Zushi.Outbound,35.29586,139.58137,154
Keikyu.Zushi.Outbound,35.29603,139.58151,153
Keikyu.Zushi.Outbound,35.29621,139.5817,152
Keikyu.Zushi.Outbound,35.29641,139.58195,151
Keikyu.Zushi.Outbound,35.2966,139.58224,150
Keikyu.Zushi.Outbound,35.29676,139.58249,149
Keikyu.Zushi.Outbound,35.29692,139.58275,148
Keikyu.Zushi.Outbound,35.29708,139.58306,147
Keikyu.Zushi.Outbound,35.29721,139.58335,146
Keikyu.Zushi.Outbound,35.29733,139.58362,145
Keikyu.Zushi.Outbound,35.29741,139.58388,144
Keikyu.Zushi.Outbound,35.29746,139.58403,143
Keikyu.Zushi.Outbound,35.29771,139.58484,142
Keikyu.Zushi.Outbound,35.29784,139.58525,141
Keikyu.Zushi.Outbound,35.29795,139.58564,140
Keikyu.Zushi.Outbound,35.29809,139.58598,139
Keikyu.Zushi.Outbound,35.29817,139.58617,138
Keikyu.Zushi.Outbound,35.29834,139.58651,137
Keikyu.Zushi.Outbound,35.29847,139.58673,136
Keikyu.Zushi.Outbound,35.29866,139.58701,135
Keikyu.Zushi.Outbound,35.29874,139.58712,134
Keikyu.Zushi.Outbound,35.29886,139.58723,133
Keikyu.Zushi.Outbound,35.29915,139.58749,132
Keikyu.Zushi.Outbound,35.29948,139.58777,131
Keikyu.Zushi.Outbound,35.29977,139.58796,130
Keikyu.Zushi.Outbound,35.30016,139.58825,129
Keikyu.Zushi.Outbound,35.30057,139.58855,128
Keikyu.Zushi.Outbound,35.30101,139.58887,127
Keikyu.Zushi.Outbound,35.3015,139.58923,126
Keikyu.Zushi.Outbound,35.30217,139.58971,125
Keikyu.Zushi.Outbound,35.30254,139.58998,124
Keikyu.Zushi.Outbound,35.30281,139.59019,123
Keikyu.Zushi.Outbound,35.30313,139.59041,122
Keikyu.Zushi.Outbound,35.30346,139.59065,121
Keikyu.Zushi.Outbound,35.30362,139.59074,120
Keikyu.Zushi.Outbound,35.30387,139.59095,119
Keikyu.Zushi.Outbound,35.30408,139.59109,118
Keikyu.Zushi.Outbound,35.30433,139.59128,117
Keikyu.Zushi.Outbound,35.30463,139.59147,116
Keikyu.Zushi.Outbound,35.30495,139.5917,115
Keikyu.Zushi.Outbound,35.30522,139.5919,114
Keikyu.Zushi.Outbound,35.3055,139.59214,113
Keikyu.Zushi.Outbound,35.30574,139.59235,112
Keikyu.Zushi.Outbound,35.30601,139.5926,111
Keikyu.Zushi.Outbound,35.30655,139.59318,110
Keikyu.Zushi.Outbound,35.30679,139.59342,109
Keikyu.Zushi.Outbound,35.30689,139.59354,108
Keikyu.Zushi.Outbound,35.30703,139.59372,107
Keikyu.Zushi.Outbound,35.30726,139.59402,106
Keikyu.Zushi.Outbound,35.30737,139.59421,105
Keikyu.Zushi.Outbound,35.3078,139.59489,104
Keikyu.Zushi.Outbound,35.30798,139.59521,103
Keikyu.Zushi.Outbound,35.30866,139.59646,102
Keikyu.Zushi.Outbound,35.30892,139.59697,101
Keikyu.Zushi.Outbound,35.30925,139.59759,100
Keikyu.Zushi.Outbound,35.30955,139.59813,99
Keikyu.Zushi.Outbound,35.30972,139.59842,98
Keikyu.Zushi.Outbound,35.30985,139.59859,97
Keikyu.Zushi.Outbound,35.31006,139.59886,96
Keikyu.Zushi.Outbound,35.31019,139.599,95
Keikyu.Zushi.Outbound,35.31038,139.5992,94
Keikyu.Zushi.Outbound,35.31053,139.59935,93
Keikyu.Zushi.Outbound,35.31075,139.59953,92
Keikyu.Zushi.Outbound,35.31098,139.5997,91
Keikyu.Zushi.Outbound,35.31116,139.59982,90
Keikyu.Zushi.Outbound,35.3114,139.59993,89
Keikyu.Zushi.Outbound,35.31165,139.60003,88
Keikyu.Zushi.Outbound,35.31199,139.60015,87
Keikyu.Zushi.Outbound,35.31226,139.6002,86
Keikyu.Zushi.Outbound,35.3125,139.60025,85
Keikyu.Zushi.Outbound,35.31284,139.60027,84
Keikyu.Zushi.Outbound,35.3132,139.60025,83
Keikyu.Zushi.Outbound,35.31344,139.60022,82
Keikyu.Zushi.Outbound,35.31371,139.60017,81
Keikyu.Zushi.Outbound,35.31391,139.60009,80
Keikyu.Zushi.Outbound,35.31403,139.60006,79
Keikyu.Zushi.Outbound,35.31426,139.59999,78
Keikyu.Zushi.Outbound,35.31439,139.59995,77
Keikyu.Zushi.Outbound,35.31466,139.59982,76
Keikyu.Zushi.Outbound,35.31485,139.59973,75
