shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keio.Dobutsuen.Inbound,35.64901,139.4046,0
Keio.Dobutsuen.Inbound,35.64987,139.40608,1
Keio.Dobutsuen.Inbound,35.65004,139.40644,2
Keio.Dobutsuen.Inbound,35.65031,139.40698,3
Keio.Dobutsuen.Inbound,35.6504,139.4072,4
Keio.Dobutsuen.Inbound,35.65053,139.40744,5
Keio.Dobutsuen.Inbound,35.65076,139.40784,6
Keio.Dobutsuen.Inbound,35.65102,139.40814,7
Keio.Dobutsuen.Inbound,35.6512,139.40834,8
Keio.Dobutsuen.Inbound,35.65143,139.40852,9
Keio.Dobutsuen.Inbound,35.65201,139.40878,10
Keio.Dobutsuen.Inbound,35.65261,139.40902,11
Keio.Dobutsuen.Inbound,35.65292,139.40917,12
Keio.Dobutsuen.Inbound,35.65318,139.40934,13
Keio.Dobutsuen.Inbound,35.65341,139.4095,14
Keio.Dobutsuen.Inbound,35.65361,139.40971,15
Keio.Dobutsuen.Inbound,35.65404,139.41024,16
Keio.Dobutsuen.Inbound,35.65422,139.4105,17
Keio.Dobutsuen.Inbound,35.65439,139.41067,18
Keio.Dobutsuen.Inbound,35.65495,139.41103,19
Keio.Dobutsuen.Inbound,35.65565,139.41147,20
Keio.Dobutsuen.Inbound,35.65593,139.41167,21
Keio.Dobutsuen.Inbound,35.65654,139.41232,22
Keio.Dobutsuen.Inbound,35.65683,139.41266,23
Keio.Dobutsuen.Inbound,35.65708,139.41302,24
Keio.Dobutsuen.Inbound,35.65717,139.41317,25
Keio.Dobutsuen.Inbound,35.65723,139.41331,26
Keio.Dobutsuen.Inbound,35.65733,139.41369,27
Keio.Dobutsuen.Inbound,35.65761,139.4145,28
Keio.Dobutsuen.Inbound,35.65771,139.41474,29
Keio.Dobutsuen.Inbound,35.65791,139.41511,30
Keio.Dobutsuen.Inbound,35.65805,139.4153,31
Keio.Dobutsuen.Inbound,35.65816,139.41537,32
Keio.Dobutsuen.Inbound,35.6584,139.41547,33
Keio.Dobutsuen.Inbound,35.65895,139.41561,34
Keio.Dobutsuen.Inbound,35.65916,139.41564,35
Keio.Dobutsuen.Inbound,35.65938,139.41568,36
Keio.Dobutsuen.Inbound,35.65956,139.41569,37
Keio.Dobutsuen.Inbound,35.65977,139.4157,38
Keio.Dobutsuen.Inbound,35.66001,139.41571,39
Keio.Dobutsuen.Inbound,35.66037,139.41568,40
Keio.Dobutsuen.Inbound,35.66063,139.41561,41
Keio.Dobutsuen.Inbound,35.66097,139.41547,42
Keio.Dobutsuen.Inbound,35.66142,139.41503,43
Keio.Dobutsuen.Inbound,35.66159,139.41464,44
Keio.Dobutsuen.Inbound,35.66188,139.41397,45
Keio.Dobutsuen.Inbound,35.66267,139.41223,46
Keio.Dobutsuen.Outbound,35.64901,139.4046,46
Keio.Dobutsuen.Outbound,35.64987,139.40608,45
Keio.Dobutsuen.Outbound,35.65004,139.40644,44
Keio.Dobutsuen.Outbound,35.65031,139.40698,43
Keio.Dobutsuen.Outbound,35.6504,139.4072,42
Keio.Dobutsuen.Outbound,35.65053,139.40744,41
Keio.Dobutsuen.Outbound,35.65076,139.40784,40
Keio.Dobutsuen.Outbound,35.65102,139.40814,39
Keio.Dobutsuen.Outbound,35.6512,139.40834,38
Keio.Dobutsuen.Outbound,35.65143,139.40852,37
Keio.Dobutsuen.Outbound,35.65201,139.40878,36
Keio.Dobutsuen.Outbound,35.65261,139.40902,35
Keio.Dobutsuen.Outbound,35.65292,139.40917,34
Keio.Dobutsuen.Outbound,35.65318,139.40934,33
Keio.Dobutsuen.Outbound,35.65341,139.4095,32
Keio.Dobutsuen.Outbound,35.65361,139.40971,31
Keio.Dobutsuen.Outbound,35.65404,139.41024,30
Keio.Dobutsuen.Outbound,35.65422,139.4105,29
Keio.Dobutsuen.Outbound,35.65439,139.41067,28
Keio.Dobutsuen.Outbound,35.65495,139.41103,27
Keio.Dobutsuen.Outbound,35.65565,139.41147,26
Keio.Dobutsuen.Outbound,35.65593,139.41167,25
Keio.Dobutsuen.Outbound,35.65654,139.41232,24
Keio.Dobutsuen.Outbound,35.65683,139.41266,23
Keio.Dobutsuen.Outbound,35.65708,139.41302,22
Keio.Dobutsuen.Outbound,35.65717,139.41317,21
Keio.Dobutsuen.Outbound,35.65723,139.41331,20
Keio.Dobutsuen.Outbound,35.65733,139.41369,19
Keio.Dobutsuen.Outbound,35.65761,139.4145,18
Keio.Dobutsuen.Outbound,35.65771,139.41474,17
Keio.Dobutsuen.Outbound,35.65791,139.41511,16
Keio.Dobutsuen.Outbound,35.65805,139.4153,15
Keio.Dobutsuen.Outbound,35.65816,139.41537,14
Keio.Dobutsuen.Outbound,35.6584,139.41547,13
Keio.Dobutsuen.Outbound,35.65895,139.41561,12
Keio.Dobutsuen.Outbound,35.65916,139.41564,11
Keio.Dobutsuen.Outbound,35.65938,139.41568,10
Keio.Dobutsuen.Outbound,35.65956,139.41569,9
Keio.Dobutsuen.Outbound,35.65977,139.4157,8
Keio.Dobutsuen.Outbound,35.66001,139.41571,7
Keio.Dobutsuen.Outbound,35.66037,139.41568,6
Keio.Dobutsuen.Outbound,35.66063,139.41561,5
Keio.Dobutsuen.Outbound,35.66097,139.41547,4
Keio.Dobutsuen.Outbound,35.66142,139.41503,3
Keio.Dobutsuen.Outbound,35.66159,139.41464,2
Keio.Dobutsuen.Outbound,35.66188,139.41397,1
Keio.Dobutsuen.Outbound,35.66267,139.41223,0
