shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keio.Inokashira.Inbound,35.70253,139.58016,0
Keio.Inokashira.Inbound,35.70205,139.58046,1
Keio.Inokashira.Inbound,35.70157,139.58077,2
Keio.Inokashira.Inbound,35.70127,139.58096,3
Keio.Inokashira.Inbound,35.70104,139.58111,4
Keio.Inokashira.Inbound,35.70079,139.58126,5
Keio.Inokashira.Inbound,35.70054,139.58139,6
Keio.Inokashira.Inbound,35.70027,139.5815,7
Keio.Inokashira.Inbound,35.70007,139.58157,8
Keio.Inokashira.Inbound,35.69988,139.58162,9
Keio.Inokashira.Inbound,35.69962,139.58168,10
Keio.Inokashira.Inbound,35.69947,139.58172,11
Keio.Inokashira.Inbound,35.6992,139.58181,12
Keio.Inokashira.Inbound,35.6989,139.58191,13
Keio.Inokashira.Inbound,35.69876,139.58197,14
Keio.Inokashira.Inbound,35.69864,139.58203,15
Keio.Inokashira.Inbound,35.69851,139.5821,16
Keio.Inokashira.Inbound,35.69839,139.58219,17
Keio.Inokashira.Inbound,35.69821,139.58234,18
Keio.Inokashira.Inbound,35.69806,139.58245,19
Keio.Inokashira.Inbound,35.6976,139.58278,20
Keio.Inokashira.Inbound,35.69755,139.58282,21
Keio.Inokashira.Inbound,35.69704,139.58342,22
Keio.Inokashira.Inbound,35.69676,139.58378,23
Keio.Inokashira.Inbound,35.69649,139.58407,24
Keio.Inokashira.Inbound,35.69595,139.58458,25
Keio.Inokashira.Inbound,35.69546,139.585,26
Keio.Inokashira.Inbound,35.69505,139.58536,27
Keio.Inokashira.Inbound,35.69477,139.58558,28
Keio.Inokashira.Inbound,35.69449,139.58582,29
Keio.Inokashira.Inbound,35.69418,139.58608,30
Keio.Inokashira.Inbound,35.69381,139.58639,31
Keio.Inokashira.Inbound,35.69354,139.58665,32
Keio.Inokashira.Inbound,35.6933,139.58684,33
Keio.Inokashira.Inbound,35.69302,139.58715,34
Keio.Inokashira.Inbound,35.69281,139.58739,35
Keio.Inokashira.Inbound,35.6927,139.58758,36
Keio.Inokashira.Inbound,35.69249,139.58806,37
Keio.Inokashira.Inbound,35.69232,139.58844,38
Keio.Inokashira.Inbound,35.6922,139.58874,39
Keio.Inokashira.Inbound,35.6919,139.58985,40
Keio.Inokashira.Inbound,35.69181,139.59014,41
Keio.Inokashira.Inbound,35.69173,139.5904,42
Keio.Inokashira.Inbound,35.69162,139.59071,43
Keio.Inokashira.Inbound,35.69162,139.59073,44
Keio.Inokashira.Inbound,35.69155,139.59097,45
Keio.Inokashira.Inbound,35.69146,139.59121,46
Keio.Inokashira.Inbound,35.69134,139.59156,47
Keio.Inokashira.Inbound,35.69125,139.59185,48
Keio.Inokashira.Inbound,35.69109,139.59232,49
Keio.Inokashira.Inbound,35.691,139.5926,50
Keio.Inokashira.Inbound,35.69089,139.59295,51
Keio.Inokashira.Inbound,35.69073,139.59332,52
Keio.Inokashira.Inbound,35.69066,139.59362,53
Keio.Inokashira.Inbound,35.69051,139.59405,54
Keio.Inokashira.Inbound,35.69042,139.59435,55
Keio.Inokashira.Inbound,35.69028,139.59477,56
Keio.Inokashira.Inbound,35.69015,139.59516,57
Keio.Inokashira.Inbound,35.69002,139.59554,58
Keio.Inokashira.Inbound,35.68991,139.59582,59
Keio.Inokashira.Inbound,35.68982,139.59607,60
Keio.Inokashira.Inbound,35.6897,139.5964,61
Keio.Inokashira.Inbound,35.6896,139.59663,62
Keio.Inokashira.Inbound,35.68947,139.59695,63
Keio.Inokashira.Inbound,35.68934,139.59725,64
Keio.Inokashira.Inbound,35.68922,139.59749,65
Keio.Inokashira.Inbound,35.68887,139.59812,66
Keio.Inokashira.Inbound,35.68868,139.59846,67
Keio.Inokashira.Inbound,35.68854,139.59867,68
Keio.Inokashira.Inbound,35.6884,139.59888,69
Keio.Inokashira.Inbound,35.68788,139.59977,70
Keio.Inokashira.Inbound,35.68778,139.59992,71
Keio.Inokashira.Inbound,35.6877,139.60004,72
Keio.Inokashira.Inbound,35.68744,139.60051,73
Keio.Inokashira.Inbound,35.68727,139.60083,74
Keio.Inokashira.Inbound,35.68701,139.60133,75
Keio.Inokashira.Inbound,35.68681,139.60176,76
Keio.Inokashira.Inbound,35.68657,139.60226,77
Keio.Inokashira.Inbound,35.68641,139.60274,78
Keio.Inokashira.Inbound,35.68616,139.60341,79
Keio.Inokashira.Inbound,35.68594,139.604,80
Keio.Inokashira.Inbound,35.68577,139.60448,81
Keio.Inokashira.Inbound,35.68572,139.60463,82
Keio.Inokashira.Inbound,35.68558,139.60501,83
Keio.Inokashira.Inbound,35.68549,139.60528,84
Keio.Inokashira.Inbound,35.68538,139.60559,85
Keio.Inokashira.Inbound,35.68525,139.60598,86
Keio.Inokashira.Inbound,35.68504,139.60658,87
Keio.Inokashira.Inbound,35.68487,139.60702,88
Keio.Inokashira.Inbound,35.6847,139.60751,89
Keio.Inokashira.Inbound,35.68461,139.60782,90
Keio.Inokashira.Inbound,35.68448,139.60819,91
Keio.Inokashira.Inbound,35.68431,139.60866,92
Keio.Inokashira.Inbound,35.68421,139.60897,93
Keio.Inokashira.Inbound,35.68415,139.60914,94
Keio.Inokashira.Inbound,35.68408,139.60936,95
Keio.Inokashira.Inbound,35.684,139.60961,96
Keio.Inokashira.Inbound,35.68394,139.60982,97
Keio.Inokashira.Inbound,35.68383,139.61013,98
Keio.Inokashira.Inbound,35.68377,139.61036,99
Keio.Inokashira.Inbound,35.68364,139.61077,100
Keio.Inokashira.Inbound,35.68357,139.61101,101
Keio.Inokashira.Inbound,35.68343,139.61172,102
Keio.Inokashira.Inbound,35.68341,139.61203,103
Keio.Inokashira.Inbound,35.68336,139.61289,104
Keio.Inokashira.Inbound,35.68334,139.61351,105
Keio.Inokashira.Inbound,35.68332,139.614,106
Keio.Inokashira.Inbound,35.68329,139.61465,107
Keio.Inokashira.Inbound,35.68323,139.61581,108
Keio.Inokashira.Inbound,35.68321,139.61615,109
Keio.Inokashira.Inbound,35.68317,139.61677,110
Keio.Inokashira.Inbound,35.68315,139.61712,111
Keio.Inokashira.Inbound,35.6831,139.61759,112
Keio.Inokashira.Inbound,35.68303,139.61816,113
Keio.Inokashira.Inbound,35.68297,139.61859,114
Keio.Inokashira.Inbound,35.6829,139.61912,115
Keio.Inokashira.Inbound,35.68286,139.61952,116
Keio.Inokashira.Inbound,35.68279,139.62001,117
Keio.Inokashira.Inbound,35.68266,139.62106,118
Keio.Inokashira.Inbound,35.68265,139.62126,119
Keio.Inokashira.Inbound,35.68257,139.62178,120
Keio.Inokashira.Inbound,35.68235,139.62351,121
Keio.Inokashira.Inbound,35.68206,139.6258,122
Keio.Inokashira.Inbound,35.68198,139.62643,123
Keio.Inokashira.Inbound,35.68178,139.62701,124
Keio.Inokashira.Inbound,35.68137,139.62814,125
Keio.Inokashira.Inbound,35.68057,139.63041,126
Keio.Inokashira.Inbound,35.67997,139.63208,127
Keio.Inokashira.Inbound,35.67954,139.63325,128
Keio.Inokashira.Inbound,35.67907,139.63459,129
Keio.Inokashira.Inbound,35.67868,139.63572,130
Keio.Inokashira.Inbound,35.67837,139.63658,131
Keio.Inokashira.Inbound,35.67758,139.63882,132
Keio.Inokashira.Inbound,35.67715,139.64006,133
Keio.Inokashira.Inbound,35.67648,139.64203,134
Keio.Inokashira.Inbound,35.67597,139.64331,135
Keio.Inokashira.Inbound,35.67569,139.64391,136
Keio.Inokashira.Inbound,35.67532,139.64456,137
Keio.Inokashira.Inbound,35.67437,139.64595,138
Keio.Inokashira.Inbound,35.67352,139.64715,139
Keio.Inokashira.Inbound,35.6733,139.64747,140
Keio.Inokashira.Inbound,35.67213,139.64911,141
Keio.Inokashira.Inbound,35.6719,139.64941,142
Keio.Inokashira.Inbound,35.67151,139.64983,143
Keio.Inokashira.Inbound,35.67105,139.6501,144
Keio.Inokashira.Inbound,35.67039,139.65026,145
Keio.Inokashira.Inbound,35.6699,139.65018,146
Keio.Inokashira.Inbound,35.66983,139.6502,147
Keio.Inokashira.Inbound,35.66954,139.65028,148
Keio.Inokashira.Inbound,35.66863,139.65048,149
Keio.Inokashira.Inbound,35.66811,139.65059,150
Keio.Inokashira.Inbound,35.66801,139.65062,151
Keio.Inokashira.Inbound,35.66785,139.65066,152
Keio.Inokashira.Inbound,35.66756,139.65074,153
Keio.Inokashira.Inbound,35.66737,139.65082,154
Keio.Inokashira.Inbound,35.66626,139.65146,155
Keio.Inokashira.Inbound,35.66539,139.65196,156
Keio.Inokashira.Inbound,35.66515,139.65209,157
Keio.Inokashira.Inbound,35.66507,139.65214,158
Keio.Inokashira.Inbound,35.66432,139.65261,159
Keio.Inokashira.Inbound,35.66399,139.65288,160
Keio.Inokashira.Inbound,35.66374,139.65311,161
Keio.Inokashira.Inbound,35.66343,139.65347,162
Keio.Inokashira.Inbound,35.66309,139.65403,163
Keio.Inokashira.Inbound,35.66295,139.65442,164
Keio.Inokashira.Inbound,35.66278,139.65495,165
Keio.Inokashira.Inbound,35.66275,139.65515,166
Keio.Inokashira.Inbound,35.66265,139.65559,167
Keio.Inokashira.Inbound,35.66261,139.65583,168
Keio.Inokashira.Inbound,35.66259,139.65599,169
Keio.Inokashira.Inbound,35.66258,139.65623,170
Keio.Inokashira.Inbound,35.66257,139.65824,171
Keio.Inokashira.Inbound,35.66255,139.659,172
Keio.Inokashira.Inbound,35.66255,139.65929,173
Keio.Inokashira.Inbound,35.66255,139.65937,174
Keio.Inokashira.Inbound,35.66257,139.66006,175
Keio.Inokashira.Inbound,35.66258,139.66052,176
Keio.Inokashira.Inbound,35.66258,139.66089,177
Keio.Inokashira.Inbound,35.66241,139.66189,178
Keio.Inokashira.Inbound,35.66171,139.66597,179
Keio.Inokashira.Inbound,35.6615,139.66717,180
Keio.Inokashira.Inbound,35.66149,139.66722,181
Keio.Inokashira.Inbound,35.66142,139.66762,182
Keio.Inokashira.Inbound,35.66123,139.66867,183
Keio.Inokashira.Inbound,35.66118,139.66893,184
Keio.Inokashira.Inbound,35.66112,139.66927,185
Keio.Inokashira.Inbound,35.66107,139.66956,186
Keio.Inokashira.Inbound,35.66046,139.67297,187
Keio.Inokashira.Inbound,35.66028,139.67394,188
Keio.Inokashira.Inbound,35.66024,139.67415,189
Keio.Inokashira.Inbound,35.66006,139.67513,190
Keio.Inokashira.Inbound,35.65984,139.67628,191
Keio.Inokashira.Inbound,35.65976,139.67671,192
Keio.Inokashira.Inbound,35.65973,139.67717,193
Keio.Inokashira.Inbound,35.65968,139.67777,194
Keio.Inokashira.Inbound,35.65963,139.67838,195
Keio.Inokashira.Inbound,35.65958,139.67883,196
Keio.Inokashira.Inbound,35.65944,139.6797,197
Keio.Inokashira.Inbound,35.65902,139.68223,198
Keio.Inokashira.Inbound,35.65886,139.68317,199
Keio.Inokashira.Inbound,35.65848,139.68498,200
Keio.Inokashira.Inbound,35.6583,139.68558,201
Keio.Inokashira.Inbound,35.65814,139.68599,202
Keio.Inokashira.Inbound,35.6577,139.687,203
Keio.Inokashira.Inbound,35.65755,139.68738,204
Keio.Inokashira.Inbound,35.65745,139.6876,205
Keio.Inokashira.Inbound,35.65727,139.68815,206
Keio.Inokashira.Inbound,35.65719,139.68841,207
Keio.Inokashira.Inbound,35.6571,139.68895,208
Keio.Inokashira.Inbound,35.65708,139.68916,209
Keio.Inokashira.Inbound,35.65707,139.68937,210
Keio.Inokashira.Inbound,35.65707,139.69018,211
Keio.Inokashira.Inbound,35.65707,139.69032,212
Keio.Inokashira.Inbound,35.65708,139.69074,213
Keio.Inokashira.Inbound,35.65716,139.69269,214
Keio.Inokashira.Inbound,35.65718,139.69334,215
Keio.Inokashira.Inbound,35.65718,139.69341,216
Keio.Inokashira.Inbound,35.6572,139.69357,217
Keio.Inokashira.Inbound,35.65724,139.694,218
Keio.Inokashira.Inbound,35.65767,139.69562,219
Keio.Inokashira.Inbound,35.65786,139.69644,220
Keio.Inokashira.Inbound,35.65821,139.69787,221
Keio.Inokashira.Inbound,35.658331,139.698492,222
Keio.Inokashira.Inbound,35.658403,139.698906,223
Keio.Inokashira.Inbound,35.658587,139.70009,224
Keio.Inokashira.Inbound,35.658662,139.700593,225
Keio.Inokashira.Outbound,35.70253,139.58016,225
Keio.Inokashira.Outbound,35.70205,139.58046,224
Keio.Inokashira.Outbound,35.70157,139.58077,223
Keio.Inokashira.Outbound,35.70127,139.58096,222
Keio.Inokashira.Outbound,35.70104,139.58111,221
Keio.Inokashira.Outbound,35.70079,139.58126,220
Keio.Inokashira.Outbound,35.70054,139.58139,219
Keio.Inokashira.Outbound,35.70027,139.5815,218
Keio.Inokashira.Outbound,35.70007,139.58157,217
Keio.Inokashira.Outbound,35.69988,139.58162,216
Keio.Inokashira.Outbound,35.69962,139.58168,215
Keio.Inokashira.Outbound,35.69947,139.58172,214
Keio.Inokashira.Outbound,35.6992,139.58181,213
Keio.Inokashira.Outbound,35.6989,139.58191,212
Keio.Inokashira.Outbound,35.69876,139.58197,211
Keio.Inokashira.Outbound,35.69864,139.58203,210
Keio.Inokashira.Outbound,35.69851,139.5821,209
Keio.Inokashira.Outbound,35.69839,139.58219,208
Keio.Inokashira.Outbound,35.69821,139.58234,207
Keio.Inokashira.Outbound,35.69806,139.58245,206
Keio.Inokashira.Outbound,35.6976,139.58278,205
Keio.Inokashira.Outbound,35.69755,139.58282,204
Keio.Inokashira.Outbound,35.69704,139.58342,203
Keio.Inokashira.Outbound,35.69676,139.58378,202
Keio.Inokashira.Outbound,35.69649,139.58407,201
Keio.Inokashira.Outbound,35.69595,139.58458,200
Keio.Inokashira.Outbound,35.69546,139.585,199
Keio.Inokashira.Outbound,35.69505,139.58536,198
Keio.Inokashira.Outbound,35.69477,139.58558,197
Keio.Inokashira.Outbound,35.69449,139.58582,196
Keio.Inokashira.Outbound,35.69418,139.58608,195
Keio.Inokashira.Outbound,35.69381,139.58639,194
Keio.Inokashira.Outbound,35.69354,139.58665,193
Keio.Inokashira.Outbound,35.6933,139.58684,192
Keio.Inokashira.Outbound,35.69302,139.58715,191
Keio.Inokashira.Outbound,35.69281,139.58739,190
Keio.Inokashira.Outbound,35.6927,139.58758,189
Keio.Inokashira.Outbound,35.69249,139.58806,188
Keio.Inokashira.Outbound,35.69232,139.58844,187
Keio.Inokashira.Outbound,35.6922,139.58874,186
Keio.Inokashira.Outbound,35.6919,139.58985,185
Keio.Inokashira.Outbound,35.69181,139.59014,184
Keio.Inokashira.Outbound,35.69173,139.5904,183
Keio.Inokashira.Outbound,35.69162,139.59071,182
Keio.Inokashira.Outbound,35.69162,139.59073,181
Keio.Inokashira.Outbound,35.69155,139.59097,180
Keio.Inokashira.Outbound,35.69146,139.59121,179
Keio.Inokashira.Outbound,35.69134,139.59156,178
Keio.Inokashira.Outbound,35.69125,139.59185,177
Keio.Inokashira.Outbound,35.69109,139.59232,176
Keio.Inokashira.Outbound,35.691,139.5926,175
Keio.Inokashira.Outbound,35.69089,139.59295,174
Keio.Inokashira.Outbound,35.69073,139.59332,173
Keio.Inokashira.Outbound,35.69066,139.59362,172
Keio.Inokashira.Outbound,35.69051,139.59405,171
Keio.Inokashira.Outbound,35.69042,139.59435,170
Keio.Inokashira.Outbound,35.69028,139.59477,169
Keio.Inokashira.Outbound,35.69015,139.59516,168
Keio.Inokashira.Outbound,35.69002,139.59554,167
Keio.Inokashira.Outbound,35.68991,139.59582,166
Keio.Inokashira.Outbound,35.68982,139.59607,165
Keio.Inokashira.Outbound,35.6897,139.5964,164
Keio.Inokashira.Outbound,35.6896,139.59663,163
Keio.Inokashira.Outbound,35.68947,139.59695,162
Keio.Inokashira.Outbound,35.68934,139.59725,161
Keio.Inokashira.Outbound,35.68922,139.59749,160
Keio.Inokashira.Outbound,35.68887,139.59812,159
Keio.Inokashira.Outbound,35.68868,139.59846,158
Keio.Inokashira.Outbound,35.68854,139.59867,157
Keio.Inokashira.Outbound,35.6884,139.59888,156
Keio.Inokashira.Outbound,35.68788,139.59977,155
Keio.Inokashira.Outbound,35.68778,139.59992,154
