shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keio.Keibajo.Outbound,35.66854,139.49602,0
Keio.Keibajo.Outbound,35.669,139.49478,1
Keio.Keibajo.Outbound,35.66935,139.49376,2
Keio.Keibajo.Outbound,35.6693,139.49285,3
Keio.Keibajo.Outbound,35.66927,139.49233,4
Keio.Keibajo.Outbound,35.66915,139.49182,5
Keio.Keibajo.Outbound,35.66901,139.49133,6
Keio.Keibajo.Outbound,35.66865,139.48978,7
Keio.Keibajo.Outbound,35.66842,139.48871,8
Keio.Keibajo.Outbound,35.66831,139.48747,9
Keio.Keibajo.Outbound,35.66829,139.48692,10
Keio.Keibajo.Outbound,35.6683,139.48657,11
Keio.Keibajo.Outbound,35.66833,139.48584,12
Keio.Keibajo.Outbound,35.66838,139.48449,13
Keio.Keibajo.Inbound,35.66854,139.49602,13
Keio.Keibajo.Inbound,35.669,139.49478,12
Keio.Keibajo.Inbound,35.66935,139.49376,11
Keio.Keibajo.Inbound,35.6693,139.49285,10
Keio.Keibajo.Inbound,35.66927,139.49233,9
Keio.Keibajo.Inbound,35.66915,139.49182,8
Keio.Keibajo.Inbound,35.66901,139.49133,7
Keio.Keibajo.Inbound,35.66865,139.48978,6
Keio.Keibajo.Inbound,35.66842,139.48871,5
Keio.Keibajo.Inbound,35.66831,139.48747,4
Keio.Keibajo.Inbound,35.66829,139.48692,3
Keio.Keibajo.Inbound,35.6683,139.48657,2
Keio.Keibajo.Inbound,35.66833,139.48584,1
Keio.Keibajo.Inbound,35.66838,139.48449,0
