shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keio.KeioNew.Outbound,35.6886983651626,139.699290705142,0
Keio.KeioNew.Outbound,35.68815,139.69791,1
Keio.KeioNew.Outbound,35.68778,139.69701,2
Keio.KeioNew.Outbound,35.68731,139.69582,3
Keio.KeioNew.Outbound,35.687,139.69509,4
Keio.KeioNew.Outbound,35.6867,139.69448,5
Keio.KeioNew.Outbound,35.68642,139.69407,6
Keio.KeioNew.Outbound,35.68558,139.6929,7
Keio.KeioNew.Outbound,35.68445,139.6913,8
Keio.KeioNew.Outbound,35.68402,139.69072,9
Keio.KeioNew.Outbound,35.68367,139.69042,10
Keio.KeioNew.Outbound,35.68332,139.69012,11
Keio.KeioNew.Outbound,35.68295,139.68981,12
Keio.KeioNew.Outbound,35.6826426592798,139.689485096953,13
Keio.KeioNew.Outbound,35.6826,139.68944,14
Keio.KeioNew.Outbound,35.68227,139.68918,15
Keio.KeioNew.Outbound,35.682,139.68896,16
Keio.KeioNew.Outbound,35.6817,139.68862,17
Keio.KeioNew.Outbound,35.68114,139.68792,18
Keio.KeioNew.Outbound,35.68058,139.68706,19
Keio.KeioNew.Outbound,35.68013,139.68628,20
Keio.KeioNew.Outbound,35.67985,139.6856,21
Keio.KeioNew.Outbound,35.67941,139.68429,22
Keio.KeioNew.Outbound,35.67922,139.68379,23
Keio.KeioNew.Outbound,35.67886,139.68279,24
Keio.KeioNew.Outbound,35.67874,139.68246,25
Keio.KeioNew.Outbound,35.67831,139.68154,26
Keio.KeioNew.Outbound,35.6777,139.6803,27
Keio.KeioNew.Outbound,35.67727,139.67946,28
Keio.KeioNew.Outbound,35.6771,139.67892,29
Keio.KeioNew.Outbound,35.6769,139.67821,30
Keio.KeioNew.Outbound,35.67662,139.67723,31
Keio.KeioNew.Outbound,35.67641,139.67624,32
Keio.KeioNew.Outbound,35.67613,139.6751,33
Keio.KeioNew.Outbound,35.6759,139.67416,34
Keio.KeioNew.Outbound,35.67576,139.67384,35
Keio.KeioNew.Outbound,35.67578,139.67349,36
Keio.KeioNew.Outbound,35.67533,139.67217,37
Keio.KeioNew.Outbound,35.67388,139.66789,38
Keio.KeioNew.Outbound,35.67344,139.66646,39
Keio.KeioNew.Inbound,35.6886983651626,139.699290705142,39
Keio.KeioNew.Inbound,35.68815,139.69791,38
Keio.KeioNew.Inbound,35.68778,139.69701,37
Keio.KeioNew.Inbound,35.68731,139.69582,36
Keio.KeioNew.Inbound,35.687,139.69509,35
Keio.KeioNew.Inbound,35.6867,139.69448,34
Keio.KeioNew.Inbound,35.68642,139.69407,33
Keio.KeioNew.Inbound,35.68558,139.6929,32
Keio.KeioNew.Inbound,35.68445,139.6913,31
Keio.KeioNew.Inbound,35.68402,139.69072,30
Keio.KeioNew.Inbound,35.68367,139.69042,29
Keio.KeioNew.Inbound,35.68332,139.69012,28
Keio.KeioNew.Inbound,35.68295,139.68981,27
Keio.KeioNew.Inbound,35.6826426592798,139.689485096953,26
Keio.KeioNew.Inbound,35.6826,139.68944,25
Keio.KeioNew.Inbound,35.68227,139.68918,24
Keio.KeioNew.Inbound,35.682,139.68896,23
Keio.KeioNew.Inbound,35.6817,139.68862,22
Keio.KeioNew.Inbound,35.68114,139.68792,21
Keio.KeioNew.Inbound,35.68058,139.68706,20
Keio.KeioNew.Inbound,35.68013,139.68628,19
Keio.KeioNew.Inbound,35.67985,139.6856,18
Keio.KeioNew.Inbound,35.67941,139.68429,17
Keio.KeioNew.Inbound,35.67922,139.68379,16
Keio.KeioNew.Inbound,35.67886,139.68279,15
Keio.KeioNew.Inbound,35.67874,139.68246,14
Keio.KeioNew.Inbound,35.67831,139.68154,13
Keio.KeioNew.Inbound,35.6777,139.6803,12
Keio.KeioNew.Inbound,35.67727,139.67946,11
Keio.KeioNew.Inbound,35.6771,139.67892,10
Keio.KeioNew.Inbound,35.6769,139.67821,9
Keio.KeioNew.Inbound,35.67662,139.67723,8
Keio.KeioNew.Inbound,35.67641,139.67624,7
Keio.KeioNew.Inbound,35.67613,139.6751,6
Keio.KeioNew.Inbound,35.6759,139.67416,5
Keio.KeioNew.Inbound,35.67576,139.67384,4
Keio.KeioNew.Inbound,35.67578,139.67349,3
Keio.KeioNew.Inbound,35.67533,139.67217,2
Keio.KeioNew.Inbound,35.67388,139.66789,1
Keio.KeioNew.Inbound,35.67344,139.66646,0
