shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keio.Sagamihara.Outbound,35.65143,139.54591,0
Keio.Sagamihara.Outbound,35.65211,139.54356,1
Keio.Sagamihara.Outbound,35.65231,139.54289,2
Keio.Sagamihara.Outbound,35.6523,139.54253,3
Keio.Sagamihara.Outbound,35.65229,139.54206,4
Keio.Sagamihara.Outbound,35.65227,139.5419,5
Keio.Sagamihara.Outbound,35.65222,139.54163,6
Keio.Sagamihara.Outbound,35.65215,139.54146,7
Keio.Sagamihara.Outbound,35.65204,139.54123,8
Keio.Sagamihara.Outbound,35.65186,139.54098,9
Keio.Sagamihara.Outbound,35.65175,139.54085,10
Keio.Sagamihara.Outbound,35.65156,139.54067,11
Keio.Sagamihara.Outbound,35.65125,139.54048,12
Keio.Sagamihara.Outbound,35.65092,139.54029,13
Keio.Sagamihara.Outbound,35.65028,139.53997,14
Keio.Sagamihara.Outbound,35.64998,139.53982,15
Keio.Sagamihara.Outbound,35.64974,139.5397,16
Keio.Sagamihara.Outbound,35.64946,139.53956,17
Keio.Sagamihara.Outbound,35.64791,139.53878,18
Keio.Sagamihara.Outbound,35.64688,139.53826,19
Keio.Sagamihara.Outbound,35.64573,139.53769,20
Keio.Sagamihara.Outbound,35.64555,139.53759,21
Keio.Sagamihara.Outbound,35.64538,139.53747,22
Keio.Sagamihara.Outbound,35.64519,139.53732,23
Keio.Sagamihara.Outbound,35.64488,139.53705,24
Keio.Sagamihara.Outbound,35.64481,139.53697,25
Keio.Sagamihara.Outbound,35.64418,139.53635,26
Keio.Sagamihara.Outbound,35.64397,139.53616,27
Keio.Sagamihara.Outbound,35.64375,139.53596,28
Keio.Sagamihara.Outbound,35.64355,139.53582,29
Keio.Sagamihara.Outbound,35.64339,139.53572,30
Keio.Sagamihara.Outbound,35.64306,139.53556,31
Keio.Sagamihara.Outbound,35.64272,139.53543,32
Keio.Sagamihara.Outbound,35.64233,139.53532,33
Keio.Sagamihara.Outbound,35.64191,139.53521,34
Keio.Sagamihara.Outbound,35.64125,139.5351,35
Keio.Sagamihara.Outbound,35.64067,139.53501,36
Keio.Sagamihara.Outbound,35.64005,139.53492,37
Keio.Sagamihara.Outbound,35.63982,139.53489,38
Keio.Sagamihara.Outbound,35.63917,139.53481,39
Keio.Sagamihara.Outbound,35.6387,139.53476,40
Keio.Sagamihara.Outbound,35.63819,139.5347,41
