shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keio.Takao.Inbound,35.63192,139.2695,0
Keio.Takao.Inbound,35.63284,139.27013,1
Keio.Takao.Inbound,35.63289,139.27016,2
Keio.Takao.Inbound,35.63329,139.27041,3
Keio.Takao.Inbound,35.63365,139.2706,4
Keio.Takao.Inbound,35.63421,139.27088,5
Keio.Takao.Inbound,35.63444,139.27097,6
Keio.Takao.Inbound,35.63542,139.27143,7
Keio.Takao.Inbound,35.63597,139.27172,8
Keio.Takao.Inbound,35.63645,139.27189,9
Keio.Takao.Inbound,35.63661,139.27191,10
Keio.Takao.Inbound,35.6368,139.27192,11
Keio.Takao.Inbound,35.63714,139.2719,12
Keio.Takao.Inbound,35.63756,139.27188,13
Keio.Takao.Inbound,35.63779,139.27188,14
Keio.Takao.Inbound,35.63806,139.27189,15
Keio.Takao.Inbound,35.63827,139.27194,16
Keio.Takao.Inbound,35.63849,139.272,17
Keio.Takao.Inbound,35.63869,139.27209,18
Keio.Takao.Inbound,35.63882,139.27216,19
Keio.Takao.Inbound,35.63898,139.2723,20
Keio.Takao.Inbound,35.63914,139.27247,21
Keio.Takao.Inbound,35.63925,139.27262,22
Keio.Takao.Inbound,35.63946,139.27293,23
Keio.Takao.Inbound,35.63976,139.27344,24
Keio.Takao.Inbound,35.64004,139.27399,25
Keio.Takao.Inbound,35.64021,139.27432,26
Keio.Takao.Inbound,35.64032,139.27457,27
Keio.Takao.Inbound,35.6404,139.27481,28
Keio.Takao.Inbound,35.64045,139.27508,29
Keio.Takao.Inbound,35.64053,139.27556,30
Keio.Takao.Inbound,35.64069,139.27671,31
Keio.Takao.Inbound,35.64078,139.27728,32
Keio.Takao.Inbound,35.64088,139.27783,33
Keio.Takao.Inbound,35.64103,139.27876,34
Keio.Takao.Inbound,35.64115,139.27944,35
Keio.Takao.Inbound,35.64129,139.28009,36
Keio.Takao.Inbound,35.64148,139.28089,37
Keio.Takao.Inbound,35.64149,139.28094,38
Keio.Takao.Inbound,35.64182,139.28248,39
Keio.Takao.Inbound,35.64184,139.28258,40
Keio.Takao.Inbound,35.64194,139.28312,41
Keio.Takao.Inbound,35.64196,139.28328,42
Keio.Takao.Inbound,35.642,139.2836,43
Keio.Takao.Inbound,35.642,139.28396,44
Keio.Takao.Inbound,35.64194,139.28431,45
Keio.Takao.Inbound,35.64188,139.28457,46
Keio.Takao.Inbound,35.64178,139.28495,47
Keio.Takao.Inbound,35.64156,139.28577,48
Keio.Takao.Inbound,35.64153,139.28605,49
Keio.Takao.Inbound,35.64153,139.28628,50
Keio.Takao.Inbound,35.64155,139.28671,51
Keio.Takao.Inbound,35.64168,139.28797,52
Keio.Takao.Inbound,35.64172,139.28867,53
Keio.Takao.Inbound,35.64171,139.28882,54
Keio.Takao.Inbound,35.6417,139.28897,55
Keio.Takao.Inbound,35.64165,139.28924,56
Keio.Takao.Inbound,35.64145,139.29008,57
Keio.Takao.Inbound,35.64115,139.29132,58
Keio.Takao.Inbound,35.64074,139.29295,59
Keio.Takao.Inbound,35.64044,139.29434,60
Keio.Takao.Inbound,35.64037,139.29485,61
Keio.Takao.Inbound,35.64033,139.29528,62
Keio.Takao.Inbound,35.64033,139.29557,63
Keio.Takao.Inbound,35.64033,139.29594,64
Keio.Takao.Inbound,35.64037,139.29643,65
Keio.Takao.Inbound,35.64043,139.29692,66
Keio.Takao.Inbound,35.64058,139.29764,67
Keio.Takao.Inbound,35.6408,139.29861,68
Keio.Takao.Inbound,35.64121,139.30032,69
Keio.Takao.Inbound,35.64128,139.30056,70
Keio.Takao.Inbound,35.64169,139.30218,71
Keio.Takao.Inbound,35.64188,139.30299,72
Keio.Takao.Inbound,35.6421,139.30383,73
Keio.Takao.Inbound,35.64221,139.30419,74
Keio.Takao.Inbound,35.64232,139.3045,75
Keio.Takao.Inbound,35.64259,139.30535,76
Keio.Takao.Inbound,35.64276,139.30585,77
Keio.Takao.Inbound,35.64296,139.30642,78
Keio.Takao.Inbound,35.64307,139.30673,79
Keio.Takao.Inbound,35.64324,139.30725,80
Keio.Takao.Inbound,35.6434,139.30777,81
Keio.Takao.Inbound,35.64359,139.30834,82
Keio.Takao.Inbound,35.64363,139.30846,83
Keio.Takao.Inbound,35.64375,139.30884,84
Keio.Takao.Inbound,35.64385,139.30916,85
Keio.Takao.Inbound,35.64395,139.30947,86
Keio.Takao.Inbound,35.64408,139.30987,87
Keio.Takao.Inbound,35.64418,139.31015,88
Keio.Takao.Inbound,35.64455,139.31141,89
Keio.Takao.Inbound,35.64468,139.31206,90
Keio.Takao.Inbound,35.64478,139.31281,91
Keio.Takao.Inbound,35.64482,139.31349,92
Keio.Takao.Inbound,35.64482,139.31391,93
Keio.Takao.Inbound,35.64476,139.31482,94
Keio.Takao.Inbound,35.64473,139.31516,95
Keio.Takao.Inbound,35.64462,139.31661,96
Keio.Takao.Inbound,35.6446,139.31692,97
Keio.Takao.Inbound,35.64438,139.32036,98
Keio.Takao.Inbound,35.64433,139.32115,99
Keio.Takao.Inbound,35.64428,139.32162,100
Keio.Takao.Inbound,35.64422,139.32264,101
Keio.Takao.Inbound,35.6442,139.32322,102
Keio.Takao.Inbound,35.64422,139.3236,103
Keio.Takao.Inbound,35.64428,139.32396,104
Keio.Takao.Inbound,35.64436,139.32442,105
Keio.Takao.Inbound,35.64469,139.32579,106
Keio.Takao.Inbound,35.64494,139.32683,107
Keio.Takao.Inbound,35.64514,139.32776,108
Keio.Takao.Inbound,35.64537,139.32874,109
Keio.Takao.Inbound,35.6455,139.32949,110
Keio.Takao.Inbound,35.64557,139.33015,111
Keio.Takao.Inbound,35.64561,139.33064,112
Keio.Takao.Inbound,35.64561,139.331,113
Keio.Takao.Inbound,35.64561,139.33127,114
Keio.Takao.Inbound,35.64558,139.33176,115
Keio.Takao.Inbound,35.64553,139.33227,116
Keio.Takao.Inbound,35.64546,139.33268,117
Keio.Takao.Inbound,35.64537,139.33323,118
Keio.Takao.Inbound,35.6453,139.33353,119
Keio.Takao.Inbound,35.64516,139.33409,120
Keio.Takao.Inbound,35.64488,139.33512,121
Keio.Takao.Inbound,35.64448,139.33653,122
Keio.Takao.Inbound,35.64424,139.33739,123
Keio.Takao.Inbound,35.64409,139.33788,124
Keio.Takao.Inbound,35.64397,139.33835,125
Keio.Takao.Inbound,35.64386,139.33877,126
Keio.Takao.Inbound,35.6437,139.33946,127
Keio.Takao.Inbound,35.64367,139.33971,128
Keio.Takao.Inbound,35.64366,139.33993,129
Keio.Takao.Inbound,35.64364,139.34026,130
Keio.Takao.Inbound,35.64366,139.34075,131
Keio.Takao.Inbound,35.6437,139.34109,132
Keio.Takao.Inbound,35.64382,139.3416,133
Keio.Takao.Inbound,35.64397,139.34199,134
Keio.Takao.Inbound,35.64412,139.34234,135
Keio.Takao.Inbound,35.64441,139.34292,136
Keio.Takao.Inbound,35.64466,139.34331,137
Keio.Takao.Inbound,35.64486,139.34356,138
Keio.Takao.Inbound,35.64587,139.34488,139
Keio.Takao.Inbound,35.64605,139.34517,140
Keio.Takao.Inbound,35.64625,139.34553,141
Keio.Takao.Inbound,35.64636,139.34581,142
Keio.Takao.Inbound,35.64647,139.34616,143
Keio.Takao.Inbound,35.64652,139.34636,144
Keio.Takao.Inbound,35.64667,139.34707,145
Keio.Takao.Inbound,35.64671,139.34745,146
Keio.Takao.Inbound,35.64674,139.34782,147
Keio.Takao.Inbound,35.64674,139.34804,148
Keio.Takao.Inbound,35.64673,139.34824,149
Keio.Takao.Inbound,35.64672,139.34826,150
Keio.Takao.Inbound,35.64671,139.34836,151
Keio.Takao.Inbound,35.6467,139.34846,152
Keio.Takao.Inbound,35.64667,139.34863,153
Keio.Takao.Inbound,35.64662,139.34883,154
Keio.Takao.Inbound,35.64652,139.34914,155
Keio.Takao.Inbound,35.6464,139.34946,156
Keio.Takao.Inbound,35.6461,139.35018,157
Keio.Takao.Inbound,35.64602,139.35038,158
Keio.Takao.Inbound,35.64565,139.35131,159
Keio.Takao.Inbound,35.64543,139.35188,160
Keio.Takao.Inbound,35.64536,139.35204,161
Keio.Takao.Inbound,35.64505,139.35282,162
Keio.Takao.Inbound,35.64499,139.35296,163
Keio.Takao.Inbound,35.64495,139.35308,164
Keio.Takao.Inbound,35.64473,139.3536,165
Keio.Takao.Inbound,35.64444,139.35429,166
Keio.Takao.Inbound,35.64434,139.35452,167
Keio.Takao.Inbound,35.64402,139.35528,168
