shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keisei.Chiba.Outbound,35.68379,140.02411,0
Keisei.Chiba.Outbound,35.68349,140.02558,1
Keisei.Chiba.Outbound,35.68343,140.0259,2
Keisei.Chiba.Outbound,35.68321,140.02701,3
Keisei.Chiba.Outbound,35.6831,140.02755,4
Keisei.Chiba.Outbound,35.68306,140.02769,5
Keisei.Chiba.Outbound,35.68303,140.02788,6
Keisei.Chiba.Outbound,35.683,140.028,7
Keisei.Chiba.Outbound,35.68284,140.02881,8
Keisei.Chiba.Outbound,35.68261,140.02961,9
Keisei.Chiba.Outbound,35.68227,140.0305,10
Keisei.Chiba.Outbound,35.682,140.03095,11
Keisei.Chiba.Outbound,35.68122,140.03194,12
Keisei.Chiba.Outbound,35.68109,140.0321,13
Keisei.Chiba.Outbound,35.68087,140.03235,14
Keisei.Chiba.Outbound,35.68054,140.03275,15
Keisei.Chiba.Outbound,35.68013,140.03323,16
Keisei.Chiba.Outbound,35.67616,140.0379,17
Keisei.Chiba.Outbound,35.67491,140.03937,18
Keisei.Chiba.Outbound,35.67467,140.03965,19
Keisei.Chiba.Outbound,35.67306,140.04151,20
Keisei.Chiba.Outbound,35.67278,140.04184,21
Keisei.Chiba.Outbound,35.67242,140.04227,22
Keisei.Chiba.Outbound,35.67177,140.04307,23
Keisei.Chiba.Outbound,35.67008,140.04504,24
Keisei.Chiba.Outbound,35.66991,140.04523,25
Keisei.Chiba.Outbound,35.66879,140.04655,26
Keisei.Chiba.Outbound,35.6675,140.04809,27
Keisei.Chiba.Outbound,35.6666,140.04917,28
Keisei.Chiba.Outbound,35.66475,140.05136,29
Keisei.Chiba.Outbound,35.66265,140.05384,30
Keisei.Chiba.Outbound,35.66153,140.05517,31
Keisei.Chiba.Outbound,35.66098,140.05574,32
Keisei.Chiba.Outbound,35.66083,140.05587,33
Keisei.Chiba.Outbound,35.6605,140.0561,34
Keisei.Chiba.Outbound,35.65994,140.05631,35
Keisei.Chiba.Outbound,35.6587,140.05672,36
Keisei.Chiba.Outbound,35.65796,140.05709,37
Keisei.Chiba.Outbound,35.65758,140.05733,38
Keisei.Chiba.Outbound,35.6572,140.05776,39
Keisei.Chiba.Outbound,35.65627,140.05916,40
Keisei.Chiba.Outbound,35.6549,140.06143,41
Keisei.Chiba.Outbound,35.65421,140.06256,42
Keisei.Chiba.Outbound,35.65402,140.06286,43
Keisei.Chiba.Outbound,35.65369,140.06346,44
Keisei.Chiba.Outbound,35.6536,140.06367,45
Keisei.Chiba.Outbound,35.65267,140.06631,46
Keisei.Chiba.Outbound,35.65235,140.06721,47
Keisei.Chiba.Outbound,35.65201,140.06828,48
Keisei.Chiba.Outbound,35.65073,140.07206,49
Keisei.Chiba.Outbound,35.6507,140.07213,50
Keisei.Chiba.Outbound,35.64987,140.07461,51
Keisei.Chiba.Outbound,35.64965,140.07531,52
Keisei.Chiba.Outbound,35.64952,140.07598,53
