shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keisei.Chihara.Inbound,35.53259,140.16995,0
Keisei.Chihara.Inbound,35.53326,140.17006,1
Keisei.Chihara.Inbound,35.53441,140.17023,2
Keisei.Chihara.Inbound,35.5345,140.17025,3
Keisei.Chihara.Inbound,35.53506,140.17035,4
Keisei.Chihara.Inbound,35.53589,140.17049,5
Keisei.Chihara.Inbound,35.53598,140.17051,6
Keisei.Chihara.Inbound,35.53604,140.17052,7
Keisei.Chihara.Inbound,35.53621,140.17054,8
Keisei.Chihara.Inbound,35.53652,140.17058,9
Keisei.Chihara.Inbound,35.53867,140.17088,10
Keisei.Chihara.Inbound,35.5393,140.17096,11
Keisei.Chihara.Inbound,35.54071,140.17115,12
Keisei.Chihara.Inbound,35.54168,140.17125,13
Keisei.Chihara.Inbound,35.54325,140.17146,14
Keisei.Chihara.Inbound,35.5447,140.17156,15
Keisei.Chihara.Inbound,35.5453,140.17155,16
Keisei.Chihara.Inbound,35.54585,140.17145,17
Keisei.Chihara.Inbound,35.54634,140.17128,18
Keisei.Chihara.Inbound,35.54693,140.17103,19
Keisei.Chihara.Inbound,35.54735,140.17075,20
Keisei.Chihara.Inbound,35.54762,140.17053,21
Keisei.Chihara.Inbound,35.54788,140.1703,22
Keisei.Chihara.Inbound,35.54811,140.17007,23
Keisei.Chihara.Inbound,35.54842,140.16967,24
Keisei.Chihara.Inbound,35.54895,140.16885,25
Keisei.Chihara.Inbound,35.54928,140.16825,26
Keisei.Chihara.Inbound,35.54975,140.16708,27
Keisei.Chihara.Inbound,35.54986,140.16678,28
Keisei.Chihara.Inbound,35.55018,140.16589,29
Keisei.Chihara.Inbound,35.55028,140.16561,30
Keisei.Chihara.Inbound,35.55054,140.16488,31
Keisei.Chihara.Inbound,35.5516,140.16179,32
Keisei.Chihara.Inbound,35.55179,140.16132,33
Keisei.Chihara.Inbound,35.55192,140.161,34
Keisei.Chihara.Inbound,35.55229,140.16039,35
Keisei.Chihara.Inbound,35.553,140.15944,36
Keisei.Chihara.Inbound,35.55349,140.15895,37
Keisei.Chihara.Inbound,35.55398,140.15856,38
Keisei.Chihara.Inbound,35.55461,140.15818,39
Keisei.Chihara.Inbound,35.55563,140.15789,40
Keisei.Chihara.Inbound,35.55597,140.15784,41
Keisei.Chihara.Inbound,35.5567,140.1578,42
