shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keisei.HigashiNarita.Inbound,35.76902,140.38774,0
Keisei.HigashiNarita.Inbound,35.77035,140.38676,1
Keisei.HigashiNarita.Inbound,35.77119,140.38612,2
Keisei.HigashiNarita.Inbound,35.77196,140.38554,3
Keisei.HigashiNarita.Inbound,35.77268,140.38496,4
Keisei.HigashiNarita.Inbound,35.77315,140.3846,5
Keisei.HigashiNarita.Inbound,35.77349,140.38423,6
Keisei.HigashiNarita.Inbound,35.77373,140.38389,7
Keisei.HigashiNarita.Inbound,35.77416,140.38303,8
Keisei.HigashiNarita.Inbound,35.77452,140.38217,9
Keisei.HigashiNarita.Inbound,35.7749,140.38096,10
Keisei.HigashiNarita.Inbound,35.77525,140.37983,11
Keisei.HigashiNarita.Inbound,35.77564,140.37852,12
Keisei.HigashiNarita.Inbound,35.77581,140.37806,13
Keisei.HigashiNarita.Inbound,35.77649,140.37607,14
Keisei.HigashiNarita.Inbound,35.77651,140.37598,15
Keisei.HigashiNarita.Inbound,35.77666,140.37558,16
Keisei.HigashiNarita.Inbound,35.77686,140.37496,17
Keisei.HigashiNarita.Inbound,35.77688,140.37494,18
Keisei.HigashiNarita.Inbound,35.77699,140.37462,19
Keisei.HigashiNarita.Inbound,35.77707,140.37439,20
Keisei.HigashiNarita.Inbound,35.77789,140.37171,21
Keisei.HigashiNarita.Inbound,35.77799,140.37079,22
Keisei.HigashiNarita.Inbound,35.77801,140.37043,23
Keisei.HigashiNarita.Inbound,35.77803,140.37003,24
Keisei.HigashiNarita.Inbound,35.77808,140.36923,25
Keisei.HigashiNarita.Inbound,35.77807,140.36881,26
Keisei.HigashiNarita.Inbound,35.77804,140.36806,27
Keisei.HigashiNarita.Inbound,35.77799,140.36754,28
Keisei.HigashiNarita.Inbound,35.77796,140.36726,29
Keisei.HigashiNarita.Inbound,35.77789,140.36684,30
Keisei.HigashiNarita.Inbound,35.77775,140.36621,31
Keisei.HigashiNarita.Inbound,35.77767,140.36587,32
Keisei.HigashiNarita.Inbound,35.77745,140.36508,33
Keisei.HigashiNarita.Inbound,35.77724,140.36434,34
