shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keisei.Kanamachi.Outbound,35.75083,139.86572,0
Keisei.Kanamachi.Outbound,35.75091,139.86746,1
Keisei.Kanamachi.Outbound,35.75092,139.86768,2
Keisei.Kanamachi.Outbound,35.75098,139.86876,3
Keisei.Kanamachi.Outbound,35.75112,139.8692,4
Keisei.Kanamachi.Outbound,35.75126,139.86959,5
Keisei.Kanamachi.Outbound,35.75156,139.87007,6
Keisei.Kanamachi.Outbound,35.752,139.87078,7
Keisei.Kanamachi.Outbound,35.75207,139.87091,8
Keisei.Kanamachi.Outbound,35.75235,139.8714,9
Keisei.Kanamachi.Outbound,35.75244,139.87153,10
Keisei.Kanamachi.Outbound,35.75261,139.87175,11
Keisei.Kanamachi.Outbound,35.75295,139.87219,12
Keisei.Kanamachi.Outbound,35.75323,139.8725,13
Keisei.Kanamachi.Outbound,35.75384,139.8731,14
Keisei.Kanamachi.Outbound,35.75439,139.8736,15
Keisei.Kanamachi.Outbound,35.75539,139.87447,16
Keisei.Kanamachi.Outbound,35.75606,139.87503,17
Keisei.Kanamachi.Outbound,35.75642,139.8753,18
Keisei.Kanamachi.Outbound,35.75681,139.87552,19
Keisei.Kanamachi.Outbound,35.75707,139.87559,20
Keisei.Kanamachi.Outbound,35.75756,139.87573,21
Keisei.Kanamachi.Outbound,35.75782,139.87577,22
Keisei.Kanamachi.Outbound,35.75819,139.87581,23
Keisei.Kanamachi.Outbound,35.75852,139.87579,24
Keisei.Kanamachi.Outbound,35.75902,139.87561,25
Keisei.Kanamachi.Outbound,35.75911,139.87557,26
Keisei.Kanamachi.Outbound,35.75957,139.87532,27
Keisei.Kanamachi.Outbound,35.76,139.87508,28
Keisei.Kanamachi.Outbound,35.76081,139.87458,29
Keisei.Kanamachi.Outbound,35.7617,139.87404,30
Keisei.Kanamachi.Outbound,35.76176,139.874,31
Keisei.Kanamachi.Outbound,35.76232,139.87367,32
Keisei.Kanamachi.Outbound,35.76362,139.87292,33
Keisei.Kanamachi.Outbound,35.76502,139.872,34
Keisei.Kanamachi.Outbound,35.76541,139.87175,35
Keisei.Kanamachi.Outbound,35.76576,139.87152,36
Keisei.Kanamachi.Outbound,35.76632,139.8712,37
Keisei.Kanamachi.Outbound,35.76674,139.87097,38
Keisei.Kanamachi.Outbound,35.76711,139.87081,39
Keisei.Kanamachi.Outbound,35.76729,139.87074,40
Keisei.Kanamachi.Outbound,35.76815,139.87049,41
Keisei.Kanamachi.Outbound,35.76875,139.87021,42
Keisei.Kanamachi.Inbound,35.75083,139.86572,42
Keisei.Kanamachi.Inbound,35.75091,139.86746,41
Keisei.Kanamachi.Inbound,35.75092,139.86768,40
Keisei.Kanamachi.Inbound,35.75098,139.86876,39
Keisei.Kanamachi.Inbound,35.75112,139.8692,38
Keisei.Kanamachi.Inbound,35.75126,139.86959,37
Keisei.Kanamachi.Inbound,35.75156,139.87007,36
Keisei.Kanamachi.Inbound,35.752,139.87078,35
Keisei.Kanamachi.Inbound,35.75207,139.87091,34
Keisei.Kanamachi.Inbound,35.75235,139.8714,33
Keisei.Kanamachi.Inbound,35.75244,139.87153,32
Keisei.Kanamachi.Inbound,35.75261,139.87175,31
Keisei.Kanamachi.Inbound,35.75295,139.87219,30
Keisei.Kanamachi.Inbound,35.75323,139.8725,29
Keisei.Kanamachi.Inbound,35.75384,139.8731,28
Keisei.Kanamachi.Inbound,35.75439,139.8736,27
Keisei.Kanamachi.Inbound,35.75539,139.87447,26
Keisei.Kanamachi.Inbound,35.75606,139.87503,25
Keisei.Kanamachi.Inbound,35.75642,139.8753,24
Keisei.Kanamachi.Inbound,35.75681,139.87552,23
Keisei.Kanamachi.Inbound,35.75707,139.87559,22
Keisei.Kanamachi.Inbound,35.75756,139.87573,21
Keisei.Kanamachi.Inbound,35.75782,139.87577,20
Keisei.Kanamachi.Inbound,35.75819,139.87581,19
Keisei.Kanamachi.Inbound,35.75852,139.87579,18
Keisei.Kanamachi.Inbound,35.75902,139.87561,17
Keisei.Kanamachi.Inbound,35.75911,139.87557,16
Keisei.Kanamachi.Inbound,35.75957,139.87532,15
Keisei.Kanamachi.Inbound,35.76,139.87508,14
Keisei.Kanamachi.Inbound,35.76081,139.87458,13
Keisei.Kanamachi.Inbound,35.7617,139.87404,12
Keisei.Kanamachi.Inbound,35.76176,139.874,11
Keisei.Kanamachi.Inbound,35.76232,139.87367,10
Keisei.Kanamachi.Inbound,35.76362,139.87292,9
Keisei.Kanamachi.Inbound,35.76502,139.872,8
Keisei.Kanamachi.Inbound,35.76541,139.87175,7
Keisei.Kanamachi.Inbound,35.76576,139.87152,6
Keisei.Kanamachi.Inbound,35.76632,139.8712,5
Keisei.Kanamachi.Inbound,35.76674,139.87097,4
Keisei.Kanamachi.Inbound,35.76711,139.87081,3
Keisei.Kanamachi.Inbound,35.76729,139.87074,2
Keisei.Kanamachi.Inbound,35.76815,139.87049,1
Keisei.Kanamachi.Inbound,35.76875,139.87021,0
