shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keisei.Main.Inbound,35.76452,140.38551,0
Keisei.Main.Inbound,35.76693,140.3871,1
Keisei.Main.Inbound,35.7678,140.3877,2
Keisei.Main.Inbound,35.76828,140.388,3
Keisei.Main.Inbound,35.76973,140.38883,4
Keisei.Main.Inbound,35.77001,140.38893,5
Keisei.Main.Inbound,35.77025,140.38896,6
Keisei.Main.Inbound,35.77063,140.38893,7
Keisei.Main.Inbound,35.77096,140.3889,8
Keisei.Main.Inbound,35.77116,140.38882,9
Keisei.Main.Inbound,35.77143,140.38866,10
Keisei.Main.Inbound,35.77178,140.38846,11
Keisei.Main.Inbound,35.77414,140.38676,12
Keisei.Main.Inbound,35.77451,140.3865,13
Keisei.Main.Inbound,35.77491,140.38618,14
Keisei.Main.Inbound,35.77504,140.3861,15
Keisei.Main.Inbound,35.77542,140.38585,16
Keisei.Main.Inbound,35.77584,140.38556,17
Keisei.Main.Inbound,35.77623,140.38531,18
Keisei.Main.Inbound,35.77657,140.38504,19
Keisei.Main.Inbound,35.77668,140.38496,20
Keisei.Main.Inbound,35.77733,140.38449,21
Keisei.Main.Inbound,35.77749,140.38415,22
Keisei.Main.Inbound,35.77766,140.38381,23
Keisei.Main.Inbound,35.77775,140.38341,24
Keisei.Main.Inbound,35.77779,140.38308,25
Keisei.Main.Inbound,35.77778,140.38269,26
Keisei.Main.Inbound,35.77771,140.38245,27
Keisei.Main.Inbound,35.77762,140.38211,28
Keisei.Main.Inbound,35.77744,140.38177,29
Keisei.Main.Inbound,35.77715,140.38135,30
Keisei.Main.Inbound,35.77683,140.38088,31
Keisei.Main.Inbound,35.77646,140.3804,32
Keisei.Main.Inbound,35.77629,140.38012,33
Keisei.Main.Inbound,35.7761,140.3797,34
Keisei.Main.Inbound,35.77594,140.37931,35
Keisei.Main.Inbound,35.7759,140.37915,36
Keisei.Main.Inbound,35.77586,140.37878,37
Keisei.Main.Inbound,35.77583,140.37849,38
Keisei.Main.Inbound,35.77581,140.37806,39
Keisei.Main.Inbound,35.77649,140.37607,40
Keisei.Main.Inbound,35.77651,140.37598,41
Keisei.Main.Inbound,35.77666,140.37558,42
Keisei.Main.Inbound,35.77686,140.37496,43
Keisei.Main.Inbound,35.77688,140.37494,44
Keisei.Main.Inbound,35.77699,140.37462,45
Keisei.Main.Inbound,35.77707,140.37439,46
Keisei.Main.Inbound,35.77789,140.37171,47
Keisei.Main.Inbound,35.77799,140.37079,48
Keisei.Main.Inbound,35.77801,140.37043,49
Keisei.Main.Inbound,35.77803,140.37003,50
Keisei.Main.Inbound,35.77808,140.36923,51
Keisei.Main.Inbound,35.77807,140.36881,52
Keisei.Main.Inbound,35.77804,140.36806,53
Keisei.Main.Inbound,35.77799,140.36754,54
Keisei.Main.Inbound,35.77796,140.36726,55
Keisei.Main.Inbound,35.77789,140.36684,56
Keisei.Main.Inbound,35.77775,140.36621,57
Keisei.Main.Inbound,35.77767,140.36587,58
Keisei.Main.Inbound,35.77745,140.36508,59
Keisei.Main.Inbound,35.77724,140.36434,60
Keisei.Main.Inbound,35.77679,140.36285,61
Keisei.Main.Inbound,35.77678,140.36284,62
Keisei.Main.Inbound,35.77678,140.36277,63
Keisei.Main.Inbound,35.77673,140.36264,64
Keisei.Main.Inbound,35.77666,140.36241,65
Keisei.Main.Inbound,35.77665,140.36234,66
Keisei.Main.Inbound,35.77652,140.36195,67
Keisei.Main.Inbound,35.77647,140.36173,68
Keisei.Main.Inbound,35.77592,140.35966,69
Keisei.Main.Inbound,35.77589,140.35951,70
Keisei.Main.Inbound,35.77578,140.35909,71
Keisei.Main.Inbound,35.77568,140.35864,72
Keisei.Main.Inbound,35.77555,140.35808,73
Keisei.Main.Inbound,35.77544,140.3576,74
Keisei.Main.Inbound,35.77542,140.35743,75
Keisei.Main.Inbound,35.77541,140.3574,76
Keisei.Main.Inbound,35.77532,140.3568,77
Keisei.Main.Inbound,35.77525,140.35601,78
Keisei.Main.Inbound,35.77522,140.35569,79
Keisei.Main.Inbound,35.77517,140.35519,80
Keisei.Main.Inbound,35.77517,140.35513,81
Keisei.Main.Inbound,35.77508,140.35414,82
Keisei.Main.Inbound,35.77505,140.35384,83
Keisei.Main.Inbound,35.77506,140.35382,84
Keisei.Main.Inbound,35.77496,140.35286,85
Keisei.Main.Inbound,35.77497,140.35276,86
Keisei.Main.Inbound,35.77485,140.35158,87
Keisei.Main.Inbound,35.77486,140.3515,88
Keisei.Main.Inbound,35.77483,140.3512,89
Keisei.Main.Inbound,35.77482,140.35116,90
Keisei.Main.Inbound,35.77478,140.35056,91
Keisei.Main.Inbound,35.77473,140.35008,92
Keisei.Main.Inbound,35.77471,140.34984,93
Keisei.Main.Inbound,35.77463,140.34903,94
