shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keisei.NaritaSkyAccess.Inbound,35.76452,140.38551,0
Keisei.NaritaSkyAccess.Inbound,35.76693,140.3871,1
Keisei.NaritaSkyAccess.Inbound,35.7678,140.3877,2
Keisei.NaritaSkyAccess.Inbound,35.76828,140.388,3
Keisei.NaritaSkyAccess.Inbound,35.76973,140.38883,4
Keisei.NaritaSkyAccess.Inbound,35.77001,140.38893,5
Keisei.NaritaSkyAccess.Inbound,35.77025,140.38896,6
Keisei.NaritaSkyAccess.Inbound,35.77063,140.38893,7
Keisei.NaritaSkyAccess.Inbound,35.77096,140.3889,8
Keisei.NaritaSkyAccess.Inbound,35.77116,140.38882,9
Keisei.NaritaSkyAccess.Inbound,35.77143,140.38866,10
Keisei.NaritaSkyAccess.Inbound,35.77178,140.38846,11
Keisei.NaritaSkyAccess.Inbound,35.77414,140.38676,12
Keisei.NaritaSkyAccess.Inbound,35.77451,140.3865,13
Keisei.NaritaSkyAccess.Inbound,35.77491,140.38618,14
Keisei.NaritaSkyAccess.Inbound,35.77504,140.3861,15
Keisei.NaritaSkyAccess.Inbound,35.77542,140.38585,16
Keisei.NaritaSkyAccess.Inbound,35.77584,140.38556,17
Keisei.NaritaSkyAccess.Inbound,35.77623,140.38531,18
Keisei.NaritaSkyAccess.Inbound,35.77657,140.38504,19
Keisei.NaritaSkyAccess.Inbound,35.77668,140.38496,20
Keisei.NaritaSkyAccess.Inbound,35.77733,140.38449,21
Keisei.NaritaSkyAccess.Inbound,35.77813,140.38389,22
Keisei.NaritaSkyAccess.Inbound,35.77893,140.38332,23
Keisei.NaritaSkyAccess.Inbound,35.77975,140.38273,24
Keisei.NaritaSkyAccess.Inbound,35.78036,140.38228,25
Keisei.NaritaSkyAccess.Inbound,35.78058,140.38211,26
Keisei.NaritaSkyAccess.Inbound,35.78238,140.38084,27
Keisei.NaritaSkyAccess.Inbound,35.78299,140.38038,28
Keisei.NaritaSkyAccess.Inbound,35.78334,140.38011,29
Keisei.NaritaSkyAccess.Inbound,35.78383,140.37975,30
Keisei.NaritaSkyAccess.Inbound,35.78426,140.37947,31
Keisei.NaritaSkyAccess.Inbound,35.78452,140.37927,32
Keisei.NaritaSkyAccess.Inbound,35.78484,140.37902,33
Keisei.NaritaSkyAccess.Inbound,35.78495,140.37893,34
Keisei.NaritaSkyAccess.Inbound,35.78519,140.37872,35
Keisei.NaritaSkyAccess.Inbound,35.78548,140.37848,36
Keisei.NaritaSkyAccess.Inbound,35.78573,140.37824,37
Keisei.NaritaSkyAccess.Inbound,35.78588,140.3781,38
Keisei.NaritaSkyAccess.Inbound,35.78607,140.3779,39
Keisei.NaritaSkyAccess.Inbound,35.78699,140.37691,40
Keisei.NaritaSkyAccess.Inbound,35.7874,140.37643,41
Keisei.NaritaSkyAccess.Inbound,35.78817,140.37545,42
Keisei.NaritaSkyAccess.Inbound,35.78872,140.37464,43
Keisei.NaritaSkyAccess.Inbound,35.78909,140.37408,44
Keisei.NaritaSkyAccess.Inbound,35.78921,140.37387,45
Keisei.NaritaSkyAccess.Inbound,35.78931,140.3737,46
Keisei.NaritaSkyAccess.Inbound,35.78981,140.37287,47
Keisei.NaritaSkyAccess.Inbound,35.78988,140.37274,48
Keisei.NaritaSkyAccess.Inbound,35.78995,140.37263,49
Keisei.NaritaSkyAccess.Inbound,35.79008,140.37233,50
Keisei.NaritaSkyAccess.Inbound,35.79032,140.37188,51
Keisei.NaritaSkyAccess.Inbound,35.7904,140.37171,52
Keisei.NaritaSkyAccess.Inbound,35.79081,140.37069,53
Keisei.NaritaSkyAccess.Inbound,35.79145,140.36905,54
Keisei.NaritaSkyAccess.Inbound,35.79172,140.36828,55
Keisei.NaritaSkyAccess.Inbound,35.79186,140.36789,56
Keisei.NaritaSkyAccess.Inbound,35.79203,140.36723,57
Keisei.NaritaSkyAccess.Inbound,35.79222,140.36655,58
Keisei.NaritaSkyAccess.Inbound,35.79227,140.36634,59
Keisei.NaritaSkyAccess.Inbound,35.79236,140.36605,60
Keisei.NaritaSkyAccess.Inbound,35.79243,140.36555,61
Keisei.NaritaSkyAccess.Inbound,35.79256,140.365,62
Keisei.NaritaSkyAccess.Inbound,35.79266,140.36438,63
Keisei.NaritaSkyAccess.Inbound,35.79282,140.36312,64
Keisei.NaritaSkyAccess.Inbound,35.79291,140.36212,65
Keisei.NaritaSkyAccess.Inbound,35.79316,140.35944,66
Keisei.NaritaSkyAccess.Inbound,35.79339,140.35707,67
Keisei.NaritaSkyAccess.Inbound,35.79346,140.35649,68
Keisei.NaritaSkyAccess.Inbound,35.79393,140.35134,69
Keisei.NaritaSkyAccess.Inbound,35.79426,140.34753,70
Keisei.NaritaSkyAccess.Inbound,35.79434,140.34655,71
Keisei.NaritaSkyAccess.Inbound,35.79446,140.34547,72
Keisei.NaritaSkyAccess.Inbound,35.7945,140.34491,73
Keisei.NaritaSkyAccess.Inbound,35.79451,140.34486,74
Keisei.NaritaSkyAccess.Inbound,35.79489,140.34071,75
Keisei.NaritaSkyAccess.Inbound,35.79502,140.3393,76
Keisei.NaritaSkyAccess.Inbound,35.79543,140.33496,77
Keisei.NaritaSkyAccess.Inbound,35.79548,140.33422,78
Keisei.NaritaSkyAccess.Inbound,35.79556,140.33337,79
Keisei.NaritaSkyAccess.Inbound,35.79566,140.33233,80
Keisei.NaritaSkyAccess.Inbound,35.79568,140.33212,81
Keisei.NaritaSkyAccess.Inbound,35.79593,140.32931,82
Keisei.NaritaSkyAccess.Inbound,35.79603,140.32828,83
Keisei.NaritaSkyAccess.Inbound,35.79622,140.32616,84
Keisei.NaritaSkyAccess.Inbound,35.79628,140.32547,85
