shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Keisei.Oshiage.Outbound,35.70972,139.81158,0
Keisei.Oshiage.Outbound,35.71072,139.81324,1
Keisei.Oshiage.Outbound,35.7114,139.81421,2
Keisei.Oshiage.Outbound,35.71184,139.81476,3
Keisei.Oshiage.Outbound,35.7121,139.81508,4
Keisei.Oshiage.Outbound,35.71269,139.81561,5
Keisei.Oshiage.Outbound,35.71308,139.81589,6
Keisei.Oshiage.Outbound,35.71487,139.81698,7
Keisei.Oshiage.Outbound,35.7151,139.81712,8
Keisei.Oshiage.Outbound,35.71609,139.81773,9
Keisei.Oshiage.Outbound,35.71681,139.81816,10
Keisei.Oshiage.Outbound,35.71709,139.81841,11
Keisei.Oshiage.Outbound,35.7172,139.81852,12
Keisei.Oshiage.Outbound,35.71728,139.81861,13
Keisei.Oshiage.Outbound,35.71742,139.81875,14
Keisei.Oshiage.Outbound,35.71806,139.81955,15
Keisei.Oshiage.Outbound,35.71812,139.81963,16
Keisei.Oshiage.Outbound,35.71916,139.82093,17
Keisei.Oshiage.Outbound,35.71939,139.8212,18
Keisei.Oshiage.Outbound,35.72024,139.82221,19
Keisei.Oshiage.Outbound,35.72036,139.82233,20
Keisei.Oshiage.Outbound,35.72067,139.82264,21
Keisei.Oshiage.Outbound,35.72119,139.82308,22
Keisei.Oshiage.Outbound,35.72233,139.82406,23
Keisei.Oshiage.Outbound,35.72254,139.82423,24
Keisei.Oshiage.Outbound,35.72482,139.82622,25
Keisei.Oshiage.Outbound,35.72627,139.82747,26
Keisei.Oshiage.Outbound,35.72651,139.82767,27
Keisei.Oshiage.Outbound,35.72665,139.82779,28
Keisei.Oshiage.Outbound,35.7272,139.82827,29
Keisei.Oshiage.Outbound,35.72774,139.82889,30
Keisei.Oshiage.Outbound,35.72807,139.82926,31
Keisei.Oshiage.Outbound,35.72815,139.82937,32
Keisei.Oshiage.Outbound,35.72955,139.83144,33
Keisei.Oshiage.Outbound,35.73126,139.83398,34
Keisei.Oshiage.Outbound,35.73217,139.83533,35
Keisei.Oshiage.Outbound,35.73321,139.83684,36
Keisei.Oshiage.Outbound,35.73335,139.83704,37
Keisei.Oshiage.Outbound,35.73383,139.83775,38
Keisei.Oshiage.Outbound,35.73524,139.83981,39
Keisei.Oshiage.Outbound,35.73599,139.84088,40
Keisei.Oshiage.Outbound,35.736,139.84089,41
Keisei.Oshiage.Outbound,35.73643,139.84154,42
Keisei.Oshiage.Outbound,35.7368,139.84222,43
Keisei.Oshiage.Outbound,35.73709,139.84286,44
Keisei.Oshiage.Outbound,35.73728,139.84342,45
Keisei.Oshiage.Outbound,35.7374,139.8439,46
Keisei.Oshiage.Outbound,35.73747,139.84418,47
Keisei.Oshiage.Outbound,35.73762,139.845,48
Keisei.Oshiage.Outbound,35.73769,139.84538,49
Keisei.Oshiage.Outbound,35.73793,139.84672,50
Keisei.Oshiage.Outbound,35.73804,139.84734,51
Keisei.Oshiage.Outbound,35.73834,139.84898,52
Keisei.Oshiage.Outbound,35.73854,139.84979,53
Keisei.Oshiage.Outbound,35.73864,139.85006,54
Keisei.Oshiage.Outbound,35.73871,139.85028,55
Keisei.Oshiage.Outbound,35.7389,139.85065,56
Keisei.Oshiage.Outbound,35.73912,139.85096,57
Keisei.Oshiage.Outbound,35.73938,139.8512,58
Keisei.Oshiage.Outbound,35.73947,139.85127,59
Keisei.Oshiage.Outbound,35.74015,139.85181,60
Keisei.Oshiage.Outbound,35.74086,139.85237,61
