shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
MIR.TsukubaExpress.Outbound,35.6976,139.77395,0
MIR.TsukubaExpress.Outbound,35.69877,139.77435,1
MIR.TsukubaExpress.Outbound,35.70054,139.77455,2
MIR.TsukubaExpress.Outbound,35.70106,139.77461,3
MIR.TsukubaExpress.Outbound,35.70267,139.77449,4
MIR.TsukubaExpress.Outbound,35.7068,139.77534,5
MIR.TsukubaExpress.Outbound,35.70701,139.77548,6
MIR.TsukubaExpress.Outbound,35.70715,139.77565,7
MIR.TsukubaExpress.Outbound,35.70728,139.77584,8
MIR.TsukubaExpress.Outbound,35.70738,139.77603,9
MIR.TsukubaExpress.Outbound,35.70747,139.7763,10
MIR.TsukubaExpress.Outbound,35.70751,139.77665,11
MIR.TsukubaExpress.Outbound,35.70699,139.78118,12
MIR.TsukubaExpress.Outbound,35.70677,139.7835,13
MIR.TsukubaExpress.Outbound,35.70636,139.78858,14
MIR.TsukubaExpress.Outbound,35.70637,139.7891,15
MIR.TsukubaExpress.Outbound,35.70643,139.78946,16
MIR.TsukubaExpress.Outbound,35.70654,139.78976,17
MIR.TsukubaExpress.Outbound,35.70669,139.79005,18
MIR.TsukubaExpress.Outbound,35.70686,139.79026,19
MIR.TsukubaExpress.Outbound,35.70709,139.79052,20
MIR.TsukubaExpress.Outbound,35.70747,139.79077,21
MIR.TsukubaExpress.Outbound,35.70952,139.79149,22
MIR.TsukubaExpress.Outbound,35.71011,139.79166,23
MIR.TsukubaExpress.Outbound,35.71145,139.79205,24
MIR.TsukubaExpress.Outbound,35.71193,139.79216,25
MIR.TsukubaExpress.Outbound,35.71308,139.7923,26
MIR.TsukubaExpress.Outbound,35.71478,139.79261,27
MIR.TsukubaExpress.Outbound,35.71523,139.79265,28
MIR.TsukubaExpress.Outbound,35.71581,139.79266,29
MIR.TsukubaExpress.Outbound,35.71616,139.79268,30
MIR.TsukubaExpress.Outbound,35.71667,139.7927,31
MIR.TsukubaExpress.Outbound,35.71722,139.7927,32
MIR.TsukubaExpress.Outbound,35.71771,139.79272,33
MIR.TsukubaExpress.Outbound,35.71815,139.79271,34
MIR.TsukubaExpress.Outbound,35.71858,139.79269,35
MIR.TsukubaExpress.Outbound,35.71882,139.79263,36
MIR.TsukubaExpress.Outbound,35.71909,139.79252,37
MIR.TsukubaExpress.Outbound,35.71936,139.79234,38
MIR.TsukubaExpress.Outbound,35.71978,139.79208,39
MIR.TsukubaExpress.Outbound,35.72029,139.79179,40
MIR.TsukubaExpress.Outbound,35.72063,139.79158,41
MIR.TsukubaExpress.Outbound,35.72093,139.79141,42
