shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Seibu.Haijima.Outbound,35.73648,139.48944,0
Seibu.Haijima.Outbound,35.73735,139.48745,1
Seibu.Haijima.Outbound,35.73741,139.48731,2
Seibu.Haijima.Outbound,35.7375,139.48713,3
Seibu.Haijima.Outbound,35.73767,139.48683,4
Seibu.Haijima.Outbound,35.73785,139.48652,5
Seibu.Haijima.Outbound,35.738,139.48627,6
Seibu.Haijima.Outbound,35.73809,139.48612,7
Seibu.Haijima.Outbound,35.73825,139.48587,8
Seibu.Haijima.Outbound,35.7384,139.48566,9
Seibu.Haijima.Outbound,35.73853,139.48548,10
Seibu.Haijima.Outbound,35.73866,139.48532,11
Seibu.Haijima.Outbound,35.73887,139.48506,12
Seibu.Haijima.Outbound,35.73917,139.48472,13
Seibu.Haijima.Outbound,35.73956,139.48429,14
Seibu.Haijima.Outbound,35.73984,139.48364,15
Seibu.Haijima.Outbound,35.73997,139.4833,16
Seibu.Haijima.Outbound,35.74006,139.48294,17
Seibu.Haijima.Outbound,35.74012,139.48265,18
Seibu.Haijima.Outbound,35.74014,139.4824,19
Seibu.Haijima.Outbound,35.74015,139.48208,20
Seibu.Haijima.Outbound,35.74013,139.48168,21
Seibu.Haijima.Outbound,35.74007,139.48118,22
Seibu.Haijima.Outbound,35.74,139.48075,23
Seibu.Haijima.Outbound,35.73979,139.47976,24
Seibu.Haijima.Outbound,35.73971,139.47937,25
Seibu.Haijima.Outbound,35.73969,139.47912,26
Seibu.Haijima.Outbound,35.73968,139.47901,27
Seibu.Haijima.Outbound,35.73969,139.47884,28
Seibu.Haijima.Outbound,35.73971,139.47875,29
Seibu.Haijima.Outbound,35.73974,139.47862,30
Seibu.Haijima.Outbound,35.73981,139.4784,31
Seibu.Haijima.Outbound,35.7399,139.47813,32
Seibu.Haijima.Outbound,35.74,139.47792,33
Seibu.Haijima.Outbound,35.74013,139.4777,34
Seibu.Haijima.Outbound,35.74031,139.47745,35
Seibu.Haijima.Outbound,35.74055,139.47715,36
Seibu.Haijima.Outbound,35.74094,139.47668,37
Seibu.Haijima.Outbound,35.74125,139.4762,38
Seibu.Haijima.Outbound,35.74148,139.4758,39
Seibu.Haijima.Outbound,35.74191,139.47473,40
Seibu.Haijima.Outbound,35.74204,139.4741,41
Seibu.Haijima.Outbound,35.74206,139.47384,42
Seibu.Haijima.Outbound,35.74206,139.47363,43
Seibu.Haijima.Outbound,35.74204,139.47341,44
Seibu.Haijima.Outbound,35.74196,139.473,45
Seibu.Haijima.Outbound,35.74194,139.47293,46
Seibu.Haijima.Outbound,35.74185,139.47247,47
Seibu.Haijima.Outbound,35.74174,139.47194,48
Seibu.Haijima.Outbound,35.7417,139.47174,49
Seibu.Haijima.Outbound,35.74169,139.47152,50
Seibu.Haijima.Outbound,35.74169,139.47133,51
Seibu.Haijima.Outbound,35.74182,139.46939,52
Seibu.Haijima.Outbound,35.742,139.4666,53
Seibu.Haijima.Outbound,35.74202,139.4658,54
Seibu.Haijima.Outbound,35.74199,139.46551,55
Seibu.Haijima.Outbound,35.74195,139.46534,56
Seibu.Haijima.Outbound,35.74187,139.46512,57
Seibu.Haijima.Outbound,35.74177,139.46492,58
Seibu.Haijima.Outbound,35.74162,139.46472,59
Seibu.Haijima.Outbound,35.74146,139.46457,60
Seibu.Haijima.Outbound,35.7413,139.46446,61
Seibu.Haijima.Outbound,35.74106,139.46433,62
Seibu.Haijima.Outbound,35.74086,139.46424,63
Seibu.Haijima.Outbound,35.74064,139.4642,64
Seibu.Haijima.Outbound,35.73987,139.46404,65
Seibu.Haijima.Outbound,35.73935,139.46385,66
Seibu.Haijima.Outbound,35.73814,139.46359,67
Seibu.Haijima.Outbound,35.73699,139.4634,68
Seibu.Haijima.Outbound,35.73528,139.46313,69
Seibu.Haijima.Outbound,35.73482,139.46301,70
Seibu.Haijima.Outbound,35.73435,139.46286,71
Seibu.Haijima.Outbound,35.73414,139.46274,72
Seibu.Haijima.Outbound,35.73395,139.46264,73
Seibu.Haijima.Outbound,35.73381,139.46254,74
Seibu.Haijima.Outbound,35.73367,139.46242,75
Seibu.Haijima.Outbound,35.73357,139.46231,76
Seibu.Haijima.Outbound,35.73348,139.4622,77
Seibu.Haijima.Outbound,35.73336,139.46207,78
Seibu.Haijima.Outbound,35.73327,139.46196,79
Seibu.Haijima.Outbound,35.73324,139.46191,80
Seibu.Haijima.Outbound,35.73312,139.46174,81
Seibu.Haijima.Outbound,35.73307,139.46165,82
Seibu.Haijima.Outbound,35.73299,139.46149,83
Seibu.Haijima.Outbound,35.73291,139.46129,84
Seibu.Haijima.Outbound,35.73282,139.46103,85
Seibu.Haijima.Outbound,35.73278,139.4609,86
Seibu.Haijima.Outbound,35.73273,139.46071,87
Seibu.Haijima.Outbound,35.73269,139.46057,88
Seibu.Haijima.Outbound,35.73265,139.46031,89
Seibu.Haijima.Outbound,35.73262,139.46004,90
Seibu.Haijima.Outbound,35.73261,139.4595,91
Seibu.Haijima.Outbound,35.73262,139.45903,92
Seibu.Haijima.Outbound,35.73267,139.45802,93
Seibu.Haijima.Outbound,35.73273,139.45679,94
Seibu.Haijima.Outbound,35.73295,139.45284,95
Seibu.Haijima.Outbound,35.73304,139.45109,96
Seibu.Haijima.Outbound,35.73306,139.45062,97
Seibu.Haijima.Outbound,35.73321,139.44749,98
Seibu.Haijima.Outbound,35.73328,139.446,99
Seibu.Haijima.Outbound,35.7334,139.44366,100
Seibu.Haijima.Outbound,35.73354,139.44122,101
Seibu.Haijima.Outbound,35.73359,139.44002,102
Seibu.Haijima.Outbound,35.73368,139.43865,103
Seibu.Haijima.Outbound,35.73371,139.43796,104
Seibu.Haijima.Outbound,35.73372,139.43717,105
Seibu.Haijima.Outbound,35.73372,139.43698,106
Seibu.Haijima.Outbound,35.73372,139.4369,107
Seibu.Haijima.Outbound,35.7337,139.43674,108
Seibu.Haijima.Outbound,35.73368,139.43655,109
Seibu.Haijima.Outbound,35.73366,139.43638,110
Seibu.Haijima.Outbound,35.73364,139.43625,111
Seibu.Haijima.Outbound,35.73361,139.43613,112
Seibu.Haijima.Outbound,35.73356,139.4359,113
Seibu.Haijima.Outbound,35.73352,139.43573,114
Seibu.Haijima.Outbound,35.73348,139.43561,115
Seibu.Haijima.Outbound,35.73344,139.43546,116
Seibu.Haijima.Outbound,35.7334,139.43537,117
