shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Seibu.Kokubunji.Outbound,35.70018,139.48235,0
Seibu.Kokubunji.Outbound,35.70015,139.48141,1
Seibu.Kokubunji.Outbound,35.70011,139.48002,2
Seibu.Kokubunji.Outbound,35.70011,139.47965,3
Seibu.Kokubunji.Outbound,35.70011,139.47936,4
Seibu.Kokubunji.Outbound,35.70015,139.47927,5
Seibu.Kokubunji.Outbound,35.70019,139.47919,6
Seibu.Kokubunji.Outbound,35.70021,139.47908,7
Seibu.Kokubunji.Outbound,35.70023,139.47873,8
Seibu.Kokubunji.Outbound,35.70025,139.47762,9
Seibu.Kokubunji.Outbound,35.70023,139.47679,10
Seibu.Kokubunji.Outbound,35.70023,139.4759,11
Seibu.Kokubunji.Outbound,35.7002,139.47519,12
Seibu.Kokubunji.Outbound,35.70018,139.47466,13
Seibu.Kokubunji.Outbound,35.70018,139.47433,14
Seibu.Kokubunji.Outbound,35.70018,139.47424,15
Seibu.Kokubunji.Outbound,35.70019,139.47411,16
Seibu.Kokubunji.Outbound,35.70025,139.4739,17
Seibu.Kokubunji.Outbound,35.70031,139.47369,18
Seibu.Kokubunji.Outbound,35.70043,139.47327,19
Seibu.Kokubunji.Outbound,35.70057,139.47295,20
Seibu.Kokubunji.Outbound,35.70065,139.47277,21
Seibu.Kokubunji.Outbound,35.70076,139.47261,22
Seibu.Kokubunji.Outbound,35.70087,139.47246,23
Seibu.Kokubunji.Outbound,35.70094,139.47237,24
Seibu.Kokubunji.Outbound,35.70104,139.47227,25
Seibu.Kokubunji.Outbound,35.70115,139.47216,26
Seibu.Kokubunji.Outbound,35.70168,139.47173,27
Seibu.Kokubunji.Outbound,35.70338,139.47037,28
Seibu.Kokubunji.Outbound,35.70344,139.47032,29
Seibu.Kokubunji.Outbound,35.70431,139.46961,30
Seibu.Kokubunji.Outbound,35.70625,139.46801,31
Seibu.Kokubunji.Outbound,35.70729,139.46717,32
Seibu.Kokubunji.Outbound,35.70869,139.46601,33
Seibu.Kokubunji.Outbound,35.70898,139.46579,34
Seibu.Kokubunji.Outbound,35.70921,139.46558,35
Seibu.Kokubunji.Outbound,35.70955,139.46531,36
Seibu.Kokubunji.Outbound,35.70998,139.46496,37
Seibu.Kokubunji.Outbound,35.71032,139.46469,38
Seibu.Kokubunji.Outbound,35.71096,139.4642,39
Seibu.Kokubunji.Outbound,35.71174,139.46358,40
Seibu.Kokubunji.Outbound,35.71238,139.46304,41
Seibu.Kokubunji.Outbound,35.71266,139.46279,42
Seibu.Kokubunji.Outbound,35.71338,139.4622,43
Seibu.Kokubunji.Outbound,35.71366,139.46197,44
Seibu.Kokubunji.Outbound,35.71414,139.46158,45
Seibu.Kokubunji.Outbound,35.71448,139.46132,46
Seibu.Kokubunji.Outbound,35.71493,139.46096,47
Seibu.Kokubunji.Outbound,35.71508,139.46085,48
Seibu.Kokubunji.Outbound,35.71521,139.46075,49
Seibu.Kokubunji.Outbound,35.71536,139.46066,50
Seibu.Kokubunji.Outbound,35.71547,139.4606,51
Seibu.Kokubunji.Outbound,35.71559,139.46054,52
Seibu.Kokubunji.Outbound,35.7158,139.46044,53
Seibu.Kokubunji.Outbound,35.71602,139.46036,54
Seibu.Kokubunji.Outbound,35.7162,139.46031,55
Seibu.Kokubunji.Outbound,35.71632,139.46028,56
Seibu.Kokubunji.Outbound,35.71651,139.46024,57
Seibu.Kokubunji.Outbound,35.7168,139.46018,58
Seibu.Kokubunji.Outbound,35.71694,139.46016,59
Seibu.Kokubunji.Outbound,35.71707,139.46014,60
Seibu.Kokubunji.Outbound,35.71717,139.46013,61
Seibu.Kokubunji.Outbound,35.71738,139.46012,62
Seibu.Kokubunji.Outbound,35.71753,139.46014,63
Seibu.Kokubunji.Outbound,35.71763,139.46014,64
Seibu.Kokubunji.Outbound,35.71771,139.46015,65
Seibu.Kokubunji.Outbound,35.71777,139.46016,66
Seibu.Kokubunji.Outbound,35.71791,139.46019,67
Seibu.Kokubunji.Outbound,35.71877,139.46035,68
Seibu.Kokubunji.Outbound,35.71924,139.46043,69
Seibu.Kokubunji.Outbound,35.72045,139.46064,70
Seibu.Kokubunji.Outbound,35.72166,139.46083,71
Seibu.Kokubunji.Outbound,35.72191,139.46088,72
Seibu.Kokubunji.Outbound,35.72258,139.46099,73
Seibu.Kokubunji.Outbound,35.72344,139.46113,74
Seibu.Kokubunji.Outbound,35.72635,139.46163,75
Seibu.Kokubunji.Outbound,35.72789,139.46189,76
Seibu.Kokubunji.Outbound,35.73528,139.46313,77
Seibu.Kokubunji.Outbound,35.73699,139.4634,78
Seibu.Kokubunji.Outbound,35.73814,139.46359,79
Seibu.Kokubunji.Outbound,35.73935,139.46385,80
Seibu.Kokubunji.Outbound,35.74035,139.46399,81
Seibu.Kokubunji.Outbound,35.74105,139.46408,82
Seibu.Kokubunji.Outbound,35.74175,139.46419,83
Seibu.Kokubunji.Outbound,35.74275,139.46436,84
Seibu.Kokubunji.Outbound,35.74293,139.4644,85
Seibu.Kokubunji.Outbound,35.74328,139.46446,86
Seibu.Kokubunji.Outbound,35.74331,139.46446,87
Seibu.Kokubunji.Outbound,35.74539,139.4648,88
Seibu.Kokubunji.Outbound,35.74592,139.46489,89
Seibu.Kokubunji.Outbound,35.74624,139.46494,90
Seibu.Kokubunji.Outbound,35.7467,139.46501,91
Seibu.Kokubunji.Outbound,35.74714,139.46505,92
Seibu.Kokubunji.Outbound,35.748,139.46509,93
Seibu.Kokubunji.Outbound,35.74947,139.46514,94
Seibu.Kokubunji.Outbound,35.75138,139.4652,95
Seibu.Kokubunji.Outbound,35.75182,139.46522,96
Seibu.Kokubunji.Outbound,35.75216,139.46523,97
Seibu.Kokubunji.Outbound,35.75268,139.46525,98
Seibu.Kokubunji.Outbound,35.75288,139.46525,99
Seibu.Kokubunji.Outbound,35.75322,139.46531,100
Seibu.Kokubunji.Outbound,35.75482,139.46547,101
Seibu.Kokubunji.Outbound,35.75668,139.46564,102
Seibu.Kokubunji.Outbound,35.75687,139.46564,103
Seibu.Kokubunji.Outbound,35.75756,139.46569,104
Seibu.Kokubunji.Outbound,35.75863,139.46577,105
Seibu.Kokubunji.Outbound,35.75903,139.46581,106
Seibu.Kokubunji.Outbound,35.7609,139.46591,107
Seibu.Kokubunji.Inbound,35.70018,139.48235,107
Seibu.Kokubunji.Inbound,35.70015,139.48141,106
Seibu.Kokubunji.Inbound,35.70011,139.48002,105
Seibu.Kokubunji.Inbound,35.70011,139.47965,104
Seibu.Kokubunji.Inbound,35.70011,139.47936,103
Seibu.Kokubunji.Inbound,35.70015,139.47927,102
Seibu.Kokubunji.Inbound,35.70019,139.47919,101
Seibu.Kokubunji.Inbound,35.70021,139.47908,100
Seibu.Kokubunji.Inbound,35.70023,139.47873,99
Seibu.Kokubunji.Inbound,35.70025,139.47762,98
Seibu.Kokubunji.Inbound,35.70023,139.47679,97
Seibu.Kokubunji.Inbound,35.70023,139.4759,96
Seibu.Kokubunji.Inbound,35.7002,139.47519,95
Seibu.Kokubunji.Inbound,35.70018,139.47466,94
Seibu.Kokubunji.Inbound,35.70018,139.47433,93
Seibu.Kokubunji.Inbound,35.70018,139.47424,92
Seibu.Kokubunji.Inbound,35.70019,139.47411,91
Seibu.Kokubunji.Inbound,35.70025,139.4739,90
Seibu.Kokubunji.Inbound,35.70031,139.47369,89
Seibu.Kokubunji.Inbound,35.70043,139.47327,88
Seibu.Kokubunji.Inbound,35.70057,139.47295,87
Seibu.Kokubunji.Inbound,35.70065,139.47277,86
Seibu.Kokubunji.Inbound,35.70076,139.47261,85
Seibu.Kokubunji.Inbound,35.70087,139.47246,84
Seibu.Kokubunji.Inbound,35.70094,139.47237,83
Seibu.Kokubunji.Inbound,35.70104,139.47227,82
Seibu.Kokubunji.Inbound,35.70115,139.47216,81
Seibu.Kokubunji.Inbound,35.70168,139.47173,80
Seibu.Kokubunji.Inbound,35.70338,139.47037,79
Seibu.Kokubunji.Inbound,35.70344,139.47032,78
Seibu.Kokubunji.Inbound,35.70431,139.46961,77
Seibu.Kokubunji.Inbound,35.70625,139.46801,76
Seibu.Kokubunji.Inbound,35.70729,139.46717,75
Seibu.Kokubunji.Inbound,35.70869,139.46601,74
Seibu.Kokubunji.Inbound,35.70898,139.46579,73
Seibu.Kokubunji.Inbound,35.70921,139.46558,72
Seibu.Kokubunji.Inbound,35.70955,139.46531,71
Seibu.Kokubunji.Inbound,35.70998,139.46496,70
Seibu.Kokubunji.Inbound,35.71032,139.46469,69
Seibu.Kokubunji.Inbound,35.71096,139.4642,68
Seibu.Kokubunji.Inbound,35.71174,139.46358,67
Seibu.Kokubunji.Inbound,35.71238,139.46304,66
Seibu.Kokubunji.Inbound,35.71266,139.46279,65
Seibu.Kokubunji.Inbound,35.71338,139.4622,64
Seibu.Kokubunji.Inbound,35.71366,139.46197,63
Seibu.Kokubunji.Inbound,35.71414,139.46158,62
Seibu.Kokubunji.Inbound,35.71448,139.46132,61
Seibu.Kokubunji.Inbound,35.71493,139.46096,60
Seibu.Kokubunji.Inbound,35.71508,139.46085,59
Seibu.Kokubunji.Inbound,35.71521,139.46075,58
Seibu.Kokubunji.Inbound,35.71536,139.46066,57
Seibu.Kokubunji.Inbound,35.71547,139.4606,56
Seibu.Kokubunji.Inbound,35.71559,139.46054,55
Seibu.Kokubunji.Inbound,35.7158,139.46044,54
Seibu.Kokubunji.Inbound,35.71602,139.46036,53
Seibu.Kokubunji.Inbound,35.7162,139.46031,52
Seibu.Kokubunji.Inbound,35.71632,139.46028,51
Seibu.Kokubunji.Inbound,35.71651,139.46024,50
Seibu.Kokubunji.Inbound,35.7168,139.46018,49
Seibu.Kokubunji.Inbound,35.71694,139.46016,48
Seibu.Kokubunji.Inbound,35.71707,139.46014,47
Seibu.Kokubunji.Inbound,35.71717,139.46013,46
Seibu.Kokubunji.Inbound,35.71738,139.46012,45
Seibu.Kokubunji.Inbound,35.71753,139.46014,44
Seibu.Kokubunji.Inbound,35.71763,139.46014,43
Seibu.Kokubunji.Inbound,35.71771,139.46015,42
Seibu.Kokubunji.Inbound,35.71777,139.46016,41
Seibu.Kokubunji.Inbound,35.71791,139.46019,40
Seibu.Kokubunji.Inbound,35.71877,139.46035,39
Seibu.Kokubunji.Inbound,35.71924,139.46043,38
Seibu.Kokubunji.Inbound,35.72045,139.46064,37
Seibu.Kokubunji.Inbound,35.72166,139.46083,36
Seibu.Kokubunji.Inbound,35.72191,139.46088,35
Seibu.Kokubunji.Inbound,35.72258,139.46099,34
Seibu.Kokubunji.Inbound,35.72344,139.46113,33
Seibu.Kokubunji.Inbound,35.72635,139.46163,32
Seibu.Kokubunji.Inbound,35.72789,139.46189,31
Seibu.Kokubunji.Inbound,35.73528,139.46313,30
Seibu.Kokubunji.Inbound,35.73699,139.4634,29
Seibu.Kokubunji.Inbound,35.73814,139.46359,28
Seibu.Kokubunji.Inbound,35.73935,139.46385,27
Seibu.Kokubunji.Inbound,35.74035,139.46399,26
Seibu.Kokubunji.Inbound,35.74105,139.46408,25
Seibu.Kokubunji.Inbound,35.74175,139.46419,24
Seibu.Kokubunji.Inbound,35.74275,139.46436,23
Seibu.Kokubunji.Inbound,35.74293,139.4644,22
Seibu.Kokubunji.Inbound,35.74328,139.46446,21
Seibu.Kokubunji.Inbound,35.74331,139.46446,20
Seibu.Kokubunji.Inbound,35.74539,139.4648,19
Seibu.Kokubunji.Inbound,35.74592,139.46489,18
Seibu.Kokubunji.Inbound,35.74624,139.46494,17
Seibu.Kokubunji.Inbound,35.7467,139.46501,16
Seibu.Kokubunji.Inbound,35.74714,139.46505,15
Seibu.Kokubunji.Inbound,35.748,139.46509,14
Seibu.Kokubunji.Inbound,35.74947,139.46514,13
Seibu.Kokubunji.Inbound,35.75138,139.4652,12
Seibu.Kokubunji.Inbound,35.75182,139.46522,11
Seibu.Kokubunji.Inbound,35.75216,139.46523,10
Seibu.Kokubunji.Inbound,35.75268,139.46525,9
Seibu.Kokubunji.Inbound,35.75288,139.46525,8
Seibu.Kokubunji.Inbound,35.75322,139.46531,7
Seibu.Kokubunji.Inbound,35.75482,139.46547,6
Seibu.Kokubunji.Inbound,35.75668,139.46564,5
Seibu.Kokubunji.Inbound,35.75687,139.46564,4
Seibu.Kokubunji.Inbound,35.75756,139.46569,3
Seibu.Kokubunji.Inbound,35.75863,139.46577,2
Seibu.Kokubunji.Inbound,35.75903,139.46581,1
Seibu.Kokubunji.Inbound,35.7609,139.46591,0
