shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Seibu.Sayama.Inbound,35.77056,139.41921,0
Seibu.Sayama.Inbound,35.77172,139.42062,1
Seibu.Sayama.Inbound,35.77207,139.42101,2
Seibu.Sayama.Inbound,35.77241,139.42138,3
Seibu.Sayama.Inbound,35.77271,139.42168,4
Seibu.Sayama.Inbound,35.77282,139.42177,5
Seibu.Sayama.Inbound,35.77291,139.42183,6
Seibu.Sayama.Inbound,35.77354,139.42236,7
Seibu.Sayama.Inbound,35.77392,139.42268,8
Seibu.Sayama.Inbound,35.7744,139.42307,9
Seibu.Sayama.Inbound,35.7747,139.42332,10
Seibu.Sayama.Inbound,35.77488,139.42349,11
Seibu.Sayama.Inbound,35.77495,139.42355,12
Seibu.Sayama.Inbound,35.77512,139.42372,13
Seibu.Sayama.Inbound,35.77526,139.42387,14
Seibu.Sayama.Inbound,35.77538,139.42402,15
Seibu.Sayama.Inbound,35.77566,139.42437,16
Seibu.Sayama.Inbound,35.77584,139.4246,17
Seibu.Sayama.Inbound,35.77603,139.42488,18
Seibu.Sayama.Inbound,35.77624,139.42516,19
Seibu.Sayama.Inbound,35.77635,139.42535,20
Seibu.Sayama.Inbound,35.77648,139.42555,21
Seibu.Sayama.Inbound,35.77662,139.42584,22
Seibu.Sayama.Inbound,35.77671,139.42605,23
Seibu.Sayama.Inbound,35.77682,139.42633,24
Seibu.Sayama.Inbound,35.77692,139.42665,25
Seibu.Sayama.Inbound,35.77697,139.42685,26
Seibu.Sayama.Inbound,35.77702,139.42709,27
Seibu.Sayama.Inbound,35.77708,139.42734,28
Seibu.Sayama.Inbound,35.77711,139.42748,29
Seibu.Sayama.Inbound,35.77714,139.42763,30
Seibu.Sayama.Inbound,35.77716,139.42784,31
Seibu.Sayama.Inbound,35.77715,139.42893,32
Seibu.Sayama.Inbound,35.77716,139.42955,33
Seibu.Sayama.Inbound,35.77716,139.43082,34
Seibu.Sayama.Inbound,35.77716,139.43113,35
Seibu.Sayama.Inbound,35.7772,139.4319,36
Seibu.Sayama.Inbound,35.77726,139.43241,37
Seibu.Sayama.Inbound,35.77731,139.43277,38
Seibu.Sayama.Inbound,35.77739,139.43333,39
Seibu.Sayama.Inbound,35.7775,139.43397,40
Seibu.Sayama.Inbound,35.77757,139.43452,41
Seibu.Sayama.Inbound,35.7776,139.43485,42
Seibu.Sayama.Inbound,35.77763,139.43542,43
Seibu.Sayama.Inbound,35.77768,139.43634,44
Seibu.Sayama.Inbound,35.77771,139.43679,45
Seibu.Sayama.Inbound,35.77773,139.43719,46
Seibu.Sayama.Inbound,35.77777,139.43761,47
Seibu.Sayama.Inbound,35.77782,139.43782,48
Seibu.Sayama.Inbound,35.77787,139.438,49
Seibu.Sayama.Inbound,35.77794,139.43818,50
Seibu.Sayama.Inbound,35.77801,139.43832,51
Seibu.Sayama.Inbound,35.77809,139.43852,52
Seibu.Sayama.Inbound,35.77825,139.43885,53
Seibu.Sayama.Inbound,35.77855,139.43945,54
Seibu.Sayama.Inbound,35.77892,139.44013,55
Seibu.Sayama.Inbound,35.77919,139.44066,56
Seibu.Sayama.Inbound,35.77928,139.44084,57
Seibu.Sayama.Inbound,35.77961,139.44149,58
Seibu.Sayama.Inbound,35.78018,139.44258,59
Seibu.Sayama.Inbound,35.78053,139.44324,60
Seibu.Sayama.Inbound,35.78075,139.44367,61
Seibu.Sayama.Inbound,35.7809,139.444,62
Seibu.Sayama.Inbound,35.78112,139.44439,63
Seibu.Sayama.Inbound,35.78133,139.44481,64
Seibu.Sayama.Inbound,35.7815,139.44508,65
Seibu.Sayama.Inbound,35.78165,139.44532,66
Seibu.Sayama.Inbound,35.78177,139.4455,67
Seibu.Sayama.Inbound,35.78193,139.4457,68
Seibu.Sayama.Inbound,35.78205,139.44585,69
Seibu.Sayama.Inbound,35.78224,139.44605,70
Seibu.Sayama.Inbound,35.78239,139.4462,71
Seibu.Sayama.Inbound,35.78254,139.44632,72
Seibu.Sayama.Inbound,35.78274,139.44646,73
Seibu.Sayama.Inbound,35.78287,139.44654,74
Seibu.Sayama.Inbound,35.78306,139.44664,75
Seibu.Sayama.Inbound,35.78329,139.44675,76
Seibu.Sayama.Inbound,35.78351,139.44683,77
Seibu.Sayama.Inbound,35.78361,139.44685,78
Seibu.Sayama.Inbound,35.78383,139.44691,79
Seibu.Sayama.Inbound,35.784,139.44695,80
Seibu.Sayama.Inbound,35.78416,139.44699,81
Seibu.Sayama.Inbound,35.78448,139.44706,82
Seibu.Sayama.Inbound,35.78473,139.44712,83
Seibu.Sayama.Inbound,35.78494,139.44717,84
Seibu.Sayama.Inbound,35.7852,139.44723,85
Seibu.Sayama.Inbound,35.78534,139.44728,86
Seibu.Sayama.Inbound,35.78567,139.44738,87
Seibu.Sayama.Inbound,35.78594,139.44749,88
Seibu.Sayama.Inbound,35.78614,139.44757,89
Seibu.Sayama.Inbound,35.78634,139.44766,90
Seibu.Sayama.Inbound,35.7865,139.44776,91
Seibu.Sayama.Inbound,35.78666,139.44786,92
Seibu.Sayama.Inbound,35.7868,139.44798,93
Seibu.Sayama.Inbound,35.78695,139.4481,94
Seibu.Sayama.Inbound,35.78711,139.44829,95
Seibu.Sayama.Inbound,35.78726,139.44848,96
Seibu.Sayama.Inbound,35.78738,139.44867,97
Seibu.Sayama.Inbound,35.78748,139.44885,98
Seibu.Sayama.Inbound,35.78767,139.44921,99
Seibu.Sayama.Inbound,35.78791,139.44969,100
Seibu.Sayama.Inbound,35.78812,139.45012,101
Seibu.Sayama.Inbound,35.78839,139.45066,102
Seibu.Sayama.Inbound,35.78864,139.45116,103
Seibu.Sayama.Inbound,35.78888,139.45169,104
Seibu.Sayama.Inbound,35.78916,139.45224,105
Seibu.Sayama.Inbound,35.78926,139.45249,106
Seibu.Sayama.Inbound,35.78936,139.45271,107
Seibu.Sayama.Inbound,35.78945,139.45292,108
Seibu.Sayama.Inbound,35.78952,139.4531,109
Seibu.Sayama.Inbound,35.78953,139.45315,110
Seibu.Sayama.Inbound,35.78959,139.45337,111
Seibu.Sayama.Inbound,35.78963,139.45357,112
Seibu.Sayama.Inbound,35.78965,139.45375,113
Seibu.Sayama.Inbound,35.78967,139.45391,114
Seibu.Sayama.Inbound,35.78966,139.45409,115
Seibu.Sayama.Inbound,35.78963,139.45428,116
Seibu.Sayama.Inbound,35.78959,139.45455,117
Seibu.Sayama.Inbound,35.78954,139.45481,118
Seibu.Sayama.Inbound,35.78946,139.45509,119
Seibu.Sayama.Inbound,35.78937,139.45532,120
Seibu.Sayama.Inbound,35.78927,139.45555,121
Seibu.Sayama.Inbound,35.78885,139.45613,122
Seibu.Sayama.Inbound,35.78852,139.45657,123
Seibu.Sayama.Inbound,35.78839,139.45673,124
Seibu.Sayama.Outbound,35.77056,139.41921,125
Seibu.Sayama.Outbound,35.77143,139.42026,124
Seibu.Sayama.Outbound,35.77172,139.42062,123
Seibu.Sayama.Outbound,35.77207,139.42101,122
Seibu.Sayama.Outbound,35.77241,139.42138,121
Seibu.Sayama.Outbound,35.77271,139.42168,120
Seibu.Sayama.Outbound,35.77282,139.42177,119
Seibu.Sayama.Outbound,35.77291,139.42183,118
Seibu.Sayama.Outbound,35.77354,139.42236,117
Seibu.Sayama.Outbound,35.77392,139.42268,116
Seibu.Sayama.Outbound,35.7744,139.42307,115
Seibu.Sayama.Outbound,35.7747,139.42332,114
Seibu.Sayama.Outbound,35.77488,139.42349,113
Seibu.Sayama.Outbound,35.77495,139.42355,112
Seibu.Sayama.Outbound,35.77512,139.42372,111
Seibu.Sayama.Outbound,35.77526,139.42387,110
Seibu.Sayama.Outbound,35.77538,139.42402,109
Seibu.Sayama.Outbound,35.77566,139.42437,108
Seibu.Sayama.Outbound,35.77584,139.4246,107
Seibu.Sayama.Outbound,35.77603,139.42488,106
Seibu.Sayama.Outbound,35.77624,139.42516,105
Seibu.Sayama.Outbound,35.77635,139.42535,104
Seibu.Sayama.Outbound,35.77648,139.42555,103
Seibu.Sayama.Outbound,35.77662,139.42584,102
Seibu.Sayama.Outbound,35.77671,139.42605,101
Seibu.Sayama.Outbound,35.77682,139.42633,100
Seibu.Sayama.Outbound,35.77692,139.42665,99
Seibu.Sayama.Outbound,35.77697,139.42685,98
Seibu.Sayama.Outbound,35.77702,139.42709,97
Seibu.Sayama.Outbound,35.77708,139.42734,96
Seibu.Sayama.Outbound,35.77711,139.42748,95
Seibu.Sayama.Outbound,35.77714,139.42763,94
Seibu.Sayama.Outbound,35.77716,139.42784,93
Seibu.Sayama.Outbound,35.77715,139.42893,92
Seibu.Sayama.Outbound,35.77716,139.42955,91
Seibu.Sayama.Outbound,35.77716,139.43082,90
Seibu.Sayama.Outbound,35.77716,139.43113,89
Seibu.Sayama.Outbound,35.7772,139.4319,88
Seibu.Sayama.Outbound,35.77726,139.43241,87
Seibu.Sayama.Outbound,35.77731,139.43277,86
Seibu.Sayama.Outbound,35.77739,139.43333,85
Seibu.Sayama.Outbound,35.7775,139.43397,84
Seibu.Sayama.Outbound,35.77757,139.43452,83
Seibu.Sayama.Outbound,35.7776,139.43485,82
Seibu.Sayama.Outbound,35.77763,139.43542,81
Seibu.Sayama.Outbound,35.77768,139.43634,80
Seibu.Sayama.Outbound,35.77771,139.43679,79
Seibu.Sayama.Outbound,35.77773,139.43719,78
Seibu.Sayama.Outbound,35.77777,139.43761,77
Seibu.Sayama.Outbound,35.77782,139.43782,76
Seibu.Sayama.Outbound,35.77787,139.438,75
Seibu.Sayama.Outbound,35.77794,139.43818,74
Seibu.Sayama.Outbound,35.77801,139.43832,73
Seibu.Sayama.Outbound,35.77809,139.43852,72
Seibu.Sayama.Outbound,35.77825,139.43885,71
Seibu.Sayama.Outbound,35.77855,139.43945,70
