shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Seibu.SeibuYurakucho.Outbound,35.74291,139.68054,0
Seibu.SeibuYurakucho.Outbound,35.74388,139.6785,1
Seibu.SeibuYurakucho.Outbound,35.74501,139.67588,2
Seibu.SeibuYurakucho.Outbound,35.74501,139.67546,3
Seibu.SeibuYurakucho.Outbound,35.74502,139.67509,4
Seibu.SeibuYurakucho.Outbound,35.74502,139.67463,5
Seibu.SeibuYurakucho.Outbound,35.74489,139.67406,6
Seibu.SeibuYurakucho.Outbound,35.74167,139.66964,7
Seibu.SeibuYurakucho.Outbound,35.74086,139.66842,8
Seibu.SeibuYurakucho.Outbound,35.74041,139.66766,9
Seibu.SeibuYurakucho.Outbound,35.73962,139.66611,10
Seibu.SeibuYurakucho.Outbound,35.73907,139.66462,11
Seibu.SeibuYurakucho.Outbound,35.73869,139.66312,12
Seibu.SeibuYurakucho.Outbound,35.73861,139.66258,13
Seibu.SeibuYurakucho.Outbound,35.73843,139.66133,14
Seibu.SeibuYurakucho.Outbound,35.73814,139.65853,15
Seibu.SeibuYurakucho.Outbound,35.73801,139.65723,16
Seibu.SeibuYurakucho.Outbound,35.73792,139.65633,17
Seibu.SeibuYurakucho.Outbound,35.73805,139.65582,18
Seibu.SeibuYurakucho.Outbound,35.73804,139.65557,19
Seibu.SeibuYurakucho.Outbound,35.73783,139.65331,20
Seibu.SeibuYurakucho.Inbound,35.74291,139.68054,20
Seibu.SeibuYurakucho.Inbound,35.74388,139.6785,19
Seibu.SeibuYurakucho.Inbound,35.74501,139.67588,18
Seibu.SeibuYurakucho.Inbound,35.74501,139.67546,17
Seibu.SeibuYurakucho.Inbound,35.74502,139.67509,16
Seibu.SeibuYurakucho.Inbound,35.74502,139.67463,15
Seibu.SeibuYurakucho.Inbound,35.74489,139.67406,14
Seibu.SeibuYurakucho.Inbound,35.74167,139.66964,13
Seibu.SeibuYurakucho.Inbound,35.74086,139.66842,12
Seibu.SeibuYurakucho.Inbound,35.74041,139.66766,11
Seibu.SeibuYurakucho.Inbound,35.73962,139.66611,10
Seibu.SeibuYurakucho.Inbound,35.73907,139.66462,9
Seibu.SeibuYurakucho.Inbound,35.73869,139.66312,8
Seibu.SeibuYurakucho.Inbound,35.73861,139.66258,7
Seibu.SeibuYurakucho.Inbound,35.73843,139.66133,6
Seibu.SeibuYurakucho.Inbound,35.73814,139.65853,5
Seibu.SeibuYurakucho.Inbound,35.73801,139.65723,4
Seibu.SeibuYurakucho.Inbound,35.73792,139.65633,3
Seibu.SeibuYurakucho.Inbound,35.73805,139.65582,2
Seibu.SeibuYurakucho.Inbound,35.73804,139.65557,1
Seibu.SeibuYurakucho.Inbound,35.73783,139.65331,0
