shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Seibu.Seibuen.Inbound,35.76791,139.44845,0
Seibu.Seibuen.Inbound,35.76756,139.44934,1
Seibu.Seibuen.Inbound,35.7672,139.45028,2
Seibu.Seibuen.Inbound,35.76697,139.45087,3
Seibu.Seibuen.Inbound,35.76665,139.45175,4
Seibu.Seibuen.Inbound,35.76655,139.45209,5
Seibu.Seibuen.Inbound,35.76645,139.45249,6
Seibu.Seibuen.Inbound,35.76641,139.45278,7
Seibu.Seibuen.Inbound,35.76639,139.453,8
Seibu.Seibuen.Inbound,35.76637,139.45322,9
Seibu.Seibuen.Inbound,35.76637,139.45334,10
Seibu.Seibuen.Inbound,35.76641,139.4538,11
Seibu.Seibuen.Inbound,35.76648,139.45434,12
Seibu.Seibuen.Inbound,35.76657,139.45484,13
Seibu.Seibuen.Inbound,35.76682,139.45611,14
Seibu.Seibuen.Inbound,35.76694,139.45671,15
Seibu.Seibuen.Inbound,35.76708,139.45753,16
Seibu.Seibuen.Inbound,35.76723,139.45832,17
Seibu.Seibuen.Inbound,35.76736,139.459,18
Seibu.Seibuen.Inbound,35.76736,139.45902,19
Seibu.Seibuen.Inbound,35.7675,139.45981,20
Seibu.Seibuen.Inbound,35.76759,139.46036,21
Seibu.Seibuen.Inbound,35.76778,139.46154,22
Seibu.Seibuen.Inbound,35.76789,139.46223,23
Seibu.Seibuen.Inbound,35.76797,139.46281,24
Seibu.Seibuen.Inbound,35.768,139.46297,25
Seibu.Seibuen.Inbound,35.76804,139.46322,26
Seibu.Seibuen.Inbound,35.76806,139.46351,27
Seibu.Seibuen.Inbound,35.76807,139.46387,28
Seibu.Seibuen.Inbound,35.76806,139.46433,29
Seibu.Seibuen.Inbound,35.76804,139.46453,30
Seibu.Seibuen.Inbound,35.768,139.46476,31
Seibu.Seibuen.Inbound,35.76797,139.46493,32
Seibu.Seibuen.Inbound,35.76793,139.46509,33
Seibu.Seibuen.Inbound,35.76787,139.46526,34
Seibu.Seibuen.Inbound,35.76777,139.46546,35
Seibu.Seibuen.Inbound,35.76766,139.46568,36
Seibu.Seibuen.Inbound,35.76754,139.46588,37
Seibu.Seibuen.Inbound,35.76734,139.46615,38
Seibu.Seibuen.Inbound,35.76719,139.46634,39
Seibu.Seibuen.Inbound,35.76698,139.46657,40
Seibu.Seibuen.Inbound,35.76684,139.46669,41
Seibu.Seibuen.Inbound,35.76662,139.46682,42
Seibu.Seibuen.Inbound,35.76636,139.46694,43
Seibu.Seibuen.Inbound,35.766,139.46706,44
Seibu.Seibuen.Inbound,35.76575,139.46713,45
Seibu.Seibuen.Inbound,35.76546,139.46714,46
Seibu.Seibuen.Inbound,35.76518,139.46713,47
Seibu.Seibuen.Inbound,35.7649,139.46711,48
Seibu.Seibuen.Inbound,35.76464,139.46708,49
Seibu.Seibuen.Inbound,35.76439,139.46695,50
Seibu.Seibuen.Inbound,35.76407,139.46678,51
Seibu.Seibuen.Inbound,35.76365,139.46656,52
Seibu.Seibuen.Inbound,35.76346,139.46646,53
Seibu.Seibuen.Inbound,35.76312,139.4663,54
Seibu.Seibuen.Inbound,35.76271,139.46613,55
Seibu.Seibuen.Inbound,35.76249,139.46604,56
Seibu.Seibuen.Inbound,35.7624,139.46602,57
Seibu.Seibuen.Inbound,35.76221,139.46599,58
Seibu.Seibuen.Inbound,35.7619,139.46596,59
Seibu.Seibuen.Inbound,35.76135,139.46595,60
Seibu.Seibuen.Inbound,35.7609,139.46591,61
Seibu.Seibuen.Inbound,35.75903,139.46581,62
Seibu.Seibuen.Outbound,35.76791,139.44845,62
Seibu.Seibuen.Outbound,35.76756,139.44934,61
Seibu.Seibuen.Outbound,35.7672,139.45028,60
Seibu.Seibuen.Outbound,35.76697,139.45087,59
Seibu.Seibuen.Outbound,35.76665,139.45175,58
Seibu.Seibuen.Outbound,35.76655,139.45209,57
Seibu.Seibuen.Outbound,35.76645,139.45249,56
Seibu.Seibuen.Outbound,35.76641,139.45278,55
Seibu.Seibuen.Outbound,35.76639,139.453,54
Seibu.Seibuen.Outbound,35.76637,139.45322,53
Seibu.Seibuen.Outbound,35.76637,139.45334,52
Seibu.Seibuen.Outbound,35.76641,139.4538,51
Seibu.Seibuen.Outbound,35.76648,139.45434,50
Seibu.Seibuen.Outbound,35.76657,139.45484,49
Seibu.Seibuen.Outbound,35.76682,139.45611,48
Seibu.Seibuen.Outbound,35.76694,139.45671,47
Seibu.Seibuen.Outbound,35.76708,139.45753,46
Seibu.Seibuen.Outbound,35.76723,139.45832,45
Seibu.Seibuen.Outbound,35.76736,139.459,44
Seibu.Seibuen.Outbound,35.76736,139.45902,43
Seibu.Seibuen.Outbound,35.7675,139.45981,42
Seibu.Seibuen.Outbound,35.76759,139.46036,41
Seibu.Seibuen.Outbound,35.76778,139.46154,40
Seibu.Seibuen.Outbound,35.76789,139.46223,39
Seibu.Seibuen.Outbound,35.76797,139.46281,38
Seibu.Seibuen.Outbound,35.768,139.46297,37
Seibu.Seibuen.Outbound,35.76804,139.46322,36
Seibu.Seibuen.Outbound,35.76806,139.46351,35
Seibu.Seibuen.Outbound,35.76807,139.46387,34
Seibu.Seibuen.Outbound,35.76806,139.46433,33
Seibu.Seibuen.Outbound,35.76804,139.46453,32
Seibu.Seibuen.Outbound,35.768,139.46476,31
Seibu.Seibuen.Outbound,35.76797,139.46493,30
Seibu.Seibuen.Outbound,35.76793,139.46509,29
Seibu.Seibuen.Outbound,35.76787,139.46526,28
Seibu.Seibuen.Outbound,35.76777,139.46546,27
Seibu.Seibuen.Outbound,35.76766,139.46568,26
Seibu.Seibuen.Outbound,35.76754,139.46588,25
Seibu.Seibuen.Outbound,35.76734,139.46615,24
Seibu.Seibuen.Outbound,35.76719,139.46634,23
Seibu.Seibuen.Outbound,35.76698,139.46657,22
Seibu.Seibuen.Outbound,35.76684,139.46669,21
Seibu.Seibuen.Outbound,35.76662,139.46682,20
Seibu.Seibuen.Outbound,35.76636,139.46694,19
Seibu.Seibuen.Outbound,35.766,139.46706,18
Seibu.Seibuen.Outbound,35.76575,139.46713,17
