shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Seibu.Tamagawa.Outbound,35.70192,139.54474,0
Seibu.Tamagawa.Outbound,35.7019,139.54379,1
Seibu.Tamagawa.Outbound,35.7019,139.5431,2
Seibu.Tamagawa.Outbound,35.70189,139.54202,3
Seibu.Tamagawa.Outbound,35.70187,139.54086,4
Seibu.Tamagawa.Outbound,35.70185,139.53974,5
Seibu.Tamagawa.Outbound,35.70182,139.53862,6
Seibu.Tamagawa.Outbound,35.7018,139.53742,7
Seibu.Tamagawa.Outbound,35.70176,139.53641,8
Seibu.Tamagawa.Outbound,35.70173,139.53608,9
Seibu.Tamagawa.Outbound,35.70164,139.5357,10
Seibu.Tamagawa.Outbound,35.70147,139.53525,11
Seibu.Tamagawa.Outbound,35.70133,139.53495,12
Seibu.Tamagawa.Outbound,35.7009,139.53424,13
Seibu.Tamagawa.Outbound,35.70054,139.53367,14
Seibu.Tamagawa.Outbound,35.70036,139.53338,15
Seibu.Tamagawa.Outbound,35.69977,139.53249,16
Seibu.Tamagawa.Outbound,35.69918,139.53158,17
Seibu.Tamagawa.Outbound,35.69858,139.53063,18
Seibu.Tamagawa.Outbound,35.69798,139.52971,19
Seibu.Tamagawa.Outbound,35.69732,139.52869,20
Seibu.Tamagawa.Outbound,35.69674,139.52782,21
Seibu.Tamagawa.Outbound,35.69623,139.52711,22
Seibu.Tamagawa.Outbound,35.69561,139.52638,23
Seibu.Tamagawa.Outbound,35.6951,139.52593,24
Seibu.Tamagawa.Outbound,35.69493,139.5258,25
Seibu.Tamagawa.Outbound,35.6948,139.52571,26
Seibu.Tamagawa.Outbound,35.69453,139.52555,27
Seibu.Tamagawa.Outbound,35.69418,139.52538,28
Seibu.Tamagawa.Outbound,35.69353,139.52507,29
Seibu.Tamagawa.Outbound,35.69295,139.5248,30
Seibu.Tamagawa.Outbound,35.69216,139.52441,31
Seibu.Tamagawa.Outbound,35.69123,139.52395,32
Seibu.Tamagawa.Outbound,35.691,139.52386,33
Seibu.Tamagawa.Outbound,35.69073,139.52373,34
Seibu.Tamagawa.Outbound,35.68985,139.52331,35
Seibu.Tamagawa.Outbound,35.68917,139.52298,36
Seibu.Tamagawa.Outbound,35.68873,139.52278,37
Seibu.Tamagawa.Outbound,35.68833,139.52259,38
Seibu.Tamagawa.Outbound,35.68808,139.52247,39
Seibu.Tamagawa.Outbound,35.68746,139.52218,40
Seibu.Tamagawa.Outbound,35.68744,139.52217,41
Seibu.Tamagawa.Outbound,35.68661,139.52178,42
Seibu.Tamagawa.Outbound,35.68614,139.52156,43
Seibu.Tamagawa.Outbound,35.68583,139.52141,44
Seibu.Tamagawa.Outbound,35.68573,139.52136,45
Seibu.Tamagawa.Outbound,35.68509,139.52106,46
Seibu.Tamagawa.Outbound,35.68434,139.52071,47
Seibu.Tamagawa.Outbound,35.68375,139.52044,48
Seibu.Tamagawa.Outbound,35.68285,139.52001,49
Seibu.Tamagawa.Outbound,35.68198,139.51959,50
Seibu.Tamagawa.Outbound,35.68115,139.51919,51
Seibu.Tamagawa.Outbound,35.68085,139.51905,52
Seibu.Tamagawa.Outbound,35.68028,139.51878,53
Seibu.Tamagawa.Outbound,35.67941,139.51837,54
Seibu.Tamagawa.Outbound,35.67855,139.51797,55
Seibu.Tamagawa.Outbound,35.67784,139.51763,56
Seibu.Tamagawa.Outbound,35.67771,139.51758,57
Seibu.Tamagawa.Outbound,35.67731,139.51738,58
Seibu.Tamagawa.Outbound,35.67634,139.51692,59
Seibu.Tamagawa.Outbound,35.67601,139.51677,60
Seibu.Tamagawa.Outbound,35.67587,139.51671,61
Seibu.Tamagawa.Outbound,35.67508,139.51634,62
Seibu.Tamagawa.Outbound,35.67444,139.51604,63
Seibu.Tamagawa.Outbound,35.67367,139.51567,64
Seibu.Tamagawa.Outbound,35.67309,139.5154,65
Seibu.Tamagawa.Outbound,35.67226,139.515,66
Seibu.Tamagawa.Outbound,35.67136,139.51458,67
Seibu.Tamagawa.Outbound,35.67046,139.51414,68
Seibu.Tamagawa.Outbound,35.6699,139.51384,69
Seibu.Tamagawa.Outbound,35.66943,139.51347,70
Seibu.Tamagawa.Outbound,35.6688,139.51287,71
Seibu.Tamagawa.Outbound,35.66823,139.5123,72
Seibu.Tamagawa.Outbound,35.66682,139.5103,73
Seibu.Tamagawa.Outbound,35.66579,139.50875,74
Seibu.Tamagawa.Outbound,35.66546,139.5083,75
Seibu.Tamagawa.Outbound,35.66506,139.50775,76
Seibu.Tamagawa.Outbound,35.66473,139.50737,77
Seibu.Tamagawa.Outbound,35.66385,139.50608,78
Seibu.Tamagawa.Outbound,35.66325,139.50525,79
Seibu.Tamagawa.Outbound,35.66274,139.50465,80
Seibu.Tamagawa.Outbound,35.66241,139.50436,81
Seibu.Tamagawa.Outbound,35.66206,139.50409,82
Seibu.Tamagawa.Outbound,35.66169,139.50392,83
Seibu.Tamagawa.Outbound,35.66092,139.5037,84
Seibu.Tamagawa.Outbound,35.6593,139.50327,85
Seibu.Tamagawa.Outbound,35.65827,139.50296,86
Seibu.Tamagawa.Outbound,35.65802,139.50285,87
Seibu.Tamagawa.Outbound,35.65784,139.50277,88
Seibu.Tamagawa.Outbound,35.65748,139.50255,89
Seibu.Tamagawa.Outbound,35.6572,139.50231,90
Seibu.Tamagawa.Outbound,35.65698,139.50202,91
Seibu.Tamagawa.Outbound,35.65682,139.50174,92
Seibu.Tamagawa.Outbound,35.65665,139.50134,93
Seibu.Tamagawa.Outbound,35.65644,139.50063,94
Seibu.Tamagawa.Outbound,35.65635,139.50028,95
Seibu.Tamagawa.Outbound,35.65607,139.49904,96
Seibu.Tamagawa.Outbound,35.65595,139.49856,97
Seibu.Tamagawa.Outbound,35.65587,139.49803,98
Seibu.Tamagawa.Outbound,35.65585,139.49757,99
Seibu.Tamagawa.Outbound,35.65584,139.49679,100
Seibu.Tamagawa.Outbound,35.65604,139.49168,101
Seibu.Tamagawa.Outbound,35.65616,139.48921,102
Seibu.Tamagawa.Outbound,35.65621,139.48807,103
Seibu.Tamagawa.Inbound,35.70192,139.54474,103
Seibu.Tamagawa.Inbound,35.7019,139.54379,102
Seibu.Tamagawa.Inbound,35.7019,139.5431,101
Seibu.Tamagawa.Inbound,35.70189,139.54202,100
Seibu.Tamagawa.Inbound,35.70187,139.54086,99
Seibu.Tamagawa.Inbound,35.70185,139.53974,98
Seibu.Tamagawa.Inbound,35.70182,139.53862,97
Seibu.Tamagawa.Inbound,35.7018,139.53742,96
Seibu.Tamagawa.Inbound,35.70176,139.53641,95
Seibu.Tamagawa.Inbound,35.70173,139.53608,94
Seibu.Tamagawa.Inbound,35.70164,139.5357,93
Seibu.Tamagawa.Inbound,35.70147,139.53525,92
Seibu.Tamagawa.Inbound,35.70133,139.53495,91
Seibu.Tamagawa.Inbound,35.7009,139.53424,90
Seibu.Tamagawa.Inbound,35.70054,139.53367,89
Seibu.Tamagawa.Inbound,35.70036,139.53338,88
Seibu.Tamagawa.Inbound,35.69977,139.53249,87
Seibu.Tamagawa.Inbound,35.69918,139.53158,86
Seibu.Tamagawa.Inbound,35.69858,139.53063,85
Seibu.Tamagawa.Inbound,35.69798,139.52971,84
Seibu.Tamagawa.Inbound,35.69732,139.52869,83
Seibu.Tamagawa.Inbound,35.69674,139.52782,82
Seibu.Tamagawa.Inbound,35.69623,139.52711,81
Seibu.Tamagawa.Inbound,35.69561,139.52638,80
Seibu.Tamagawa.Inbound,35.6951,139.52593,79
Seibu.Tamagawa.Inbound,35.69493,139.5258,78
Seibu.Tamagawa.Inbound,35.6948,139.52571,77
Seibu.Tamagawa.Inbound,35.69453,139.52555,76
Seibu.Tamagawa.Inbound,35.69418,139.52538,75
Seibu.Tamagawa.Inbound,35.69353,139.52507,74
Seibu.Tamagawa.Inbound,35.69295,139.5248,73
Seibu.Tamagawa.Inbound,35.69216,139.52441,72
Seibu.Tamagawa.Inbound,35.69123,139.52395,71
Seibu.Tamagawa.Inbound,35.691,139.52386,70
Seibu.Tamagawa.Inbound,35.69073,139.52373,69
Seibu.Tamagawa.Inbound,35.68985,139.52331,68
Seibu.Tamagawa.Inbound,35.68917,139.52298,67
Seibu.Tamagawa.Inbound,35.68873,139.52278,66
Seibu.Tamagawa.Inbound,35.68833,139.52259,65
Seibu.Tamagawa.Inbound,35.68808,139.52247,64
Seibu.Tamagawa.Inbound,35.68746,139.52218,63
Seibu.Tamagawa.Inbound,35.68744,139.52217,62
Seibu.Tamagawa.Inbound,35.68661,139.52178,61
Seibu.Tamagawa.Inbound,35.68614,139.52156,60
Seibu.Tamagawa.Inbound,35.68583,139.52141,59
Seibu.Tamagawa.Inbound,35.68573,139.52136,58
Seibu.Tamagawa.Inbound,35.68509,139.52106,57
Seibu.Tamagawa.Inbound,35.68434,139.52071,56
Seibu.Tamagawa.Inbound,35.68375,139.52044,55
Seibu.Tamagawa.Inbound,35.68285,139.52001,54
Seibu.Tamagawa.Inbound,35.68198,139.51959,53
Seibu.Tamagawa.Inbound,35.68115,139.51919,52
Seibu.Tamagawa.Inbound,35.68085,139.51905,51
Seibu.Tamagawa.Inbound,35.68028,139.51878,50
Seibu.Tamagawa.Inbound,35.67941,139.51837,49
Seibu.Tamagawa.Inbound,35.67855,139.51797,48
Seibu.Tamagawa.Inbound,35.67784,139.51763,47
Seibu.Tamagawa.Inbound,35.67771,139.51758,46
Seibu.Tamagawa.Inbound,35.67731,139.51738,45
Seibu.Tamagawa.Inbound,35.67634,139.51692,44
Seibu.Tamagawa.Inbound,35.67601,139.51677,43
Seibu.Tamagawa.Inbound,35.67587,139.51671,42
Seibu.Tamagawa.Inbound,35.67508,139.51634,41
Seibu.Tamagawa.Inbound,35.67444,139.51604,40
Seibu.Tamagawa.Inbound,35.67367,139.51567,39
Seibu.Tamagawa.Inbound,35.67309,139.5154,38
Seibu.Tamagawa.Inbound,35.67226,139.515,37
Seibu.Tamagawa.Inbound,35.67136,139.51458,36
Seibu.Tamagawa.Inbound,35.67046,139.51414,35
Seibu.Tamagawa.Inbound,35.6699,139.51384,34
Seibu.Tamagawa.Inbound,35.66943,139.51347,33
Seibu.Tamagawa.Inbound,35.6688,139.51287,32
Seibu.Tamagawa.Inbound,35.66823,139.5123,31
Seibu.Tamagawa.Inbound,35.66682,139.5103,30
Seibu.Tamagawa.Inbound,35.66579,139.50875,29
Seibu.Tamagawa.Inbound,35.66546,139.5083,28
Seibu.Tamagawa.Inbound,35.66506,139.50775,27
Seibu.Tamagawa.Inbound,35.66473,139.50737,26
Seibu.Tamagawa.Inbound,35.66385,139.50608,25
Seibu.Tamagawa.Inbound,35.66325,139.50525,24
Seibu.Tamagawa.Inbound,35.66274,139.50465,23
Seibu.Tamagawa.Inbound,35.66241,139.50436,22
Seibu.Tamagawa.Inbound,35.66206,139.50409,21
Seibu.Tamagawa.Inbound,35.66169,139.50392,20
Seibu.Tamagawa.Inbound,35.66092,139.5037,19
Seibu.Tamagawa.Inbound,35.6593,139.50327,18
Seibu.Tamagawa.Inbound,35.65827,139.50296,17
Seibu.Tamagawa.Inbound,35.65802,139.50285,16
Seibu.Tamagawa.Inbound,35.65784,139.50277,15
Seibu.Tamagawa.Inbound,35.65748,139.50255,14
Seibu.Tamagawa.Inbound,35.6572,139.50231,13
Seibu.Tamagawa.Inbound,35.65698,139.50202,12
Seibu.Tamagawa.Inbound,35.65682,139.50174,11
Seibu.Tamagawa.Inbound,35.65665,139.50134,10
Seibu.Tamagawa.Inbound,35.65644,139.50063,9
Seibu.Tamagawa.Inbound,35.65635,139.50028,8
Seibu.Tamagawa.Inbound,35.65607,139.49904,7
Seibu.Tamagawa.Inbound,35.65595,139.49856,6
Seibu.Tamagawa.Inbound,35.65587,139.49803,5
Seibu.Tamagawa.Inbound,35.65585,139.49757,4
Seibu.Tamagawa.Inbound,35.65584,139.49679,3
Seibu.Tamagawa.Inbound,35.65604,139.49168,2
Seibu.Tamagawa.Inbound,35.65616,139.48921,1
Seibu.Tamagawa.Inbound,35.65621,139.48807,0
