shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Seibu.Tamako.Outbound,35.70085,139.47942,0
Seibu.Tamako.Outbound,35.70095,139.47934,1
Seibu.Tamako.Outbound,35.70105,139.47928,2
Seibu.Tamako.Outbound,35.70116,139.47921,3
Seibu.Tamako.Outbound,35.70135,139.47913,4
Seibu.Tamako.Outbound,35.70284,139.47845,5
Seibu.Tamako.Outbound,35.70405,139.47788,6
Seibu.Tamako.Outbound,35.70428,139.47777,7
Seibu.Tamako.Outbound,35.70454,139.47763,8
Seibu.Tamako.Outbound,35.70468,139.47756,9
Seibu.Tamako.Outbound,35.7048,139.47751,10
Seibu.Tamako.Outbound,35.70489,139.47748,11
Seibu.Tamako.Outbound,35.70503,139.47744,12
Seibu.Tamako.Outbound,35.70516,139.47742,13
Seibu.Tamako.Outbound,35.70525,139.47742,14
Seibu.Tamako.Outbound,35.70537,139.47742,15
Seibu.Tamako.Outbound,35.70545,139.47743,16
Seibu.Tamako.Outbound,35.70552,139.47744,17
Seibu.Tamako.Outbound,35.70567,139.47747,18
Seibu.Tamako.Outbound,35.70588,139.47751,19
Seibu.Tamako.Outbound,35.70602,139.47755,20
Seibu.Tamako.Outbound,35.70616,139.47759,21
Seibu.Tamako.Outbound,35.70652,139.4777,22
Seibu.Tamako.Outbound,35.70736,139.47794,23
Seibu.Tamako.Outbound,35.70808,139.47815,24
Seibu.Tamako.Outbound,35.7087,139.47832,25
Seibu.Tamako.Outbound,35.70985,139.47863,26
Seibu.Tamako.Outbound,35.71033,139.47875,27
Seibu.Tamako.Outbound,35.711,139.47891,28
Seibu.Tamako.Outbound,35.71123,139.47898,29
Seibu.Tamako.Outbound,35.7116,139.47906,30
Seibu.Tamako.Outbound,35.71194,139.47915,31
Seibu.Tamako.Outbound,35.7124,139.47928,32
Seibu.Tamako.Outbound,35.71272,139.47935,33
Seibu.Tamako.Outbound,35.71336,139.4795,34
Seibu.Tamako.Outbound,35.71359,139.47956,35
Seibu.Tamako.Outbound,35.71377,139.47961,36
Seibu.Tamako.Outbound,35.71405,139.47968,37
Seibu.Tamako.Outbound,35.7143,139.47974,38
Seibu.Tamako.Outbound,35.71459,139.47982,39
Seibu.Tamako.Outbound,35.71495,139.47991,40
Seibu.Tamako.Outbound,35.71519,139.47998,41
Seibu.Tamako.Outbound,35.71559,139.48009,42
Seibu.Tamako.Outbound,35.71587,139.48016,43
Seibu.Tamako.Outbound,35.71653,139.4803,44
Seibu.Tamako.Outbound,35.71678,139.48035,45
Seibu.Tamako.Outbound,35.71696,139.48038,46
Seibu.Tamako.Outbound,35.71703,139.48039,47
Seibu.Tamako.Outbound,35.71714,139.48039,48
Seibu.Tamako.Outbound,35.71724,139.48039,49
Seibu.Tamako.Outbound,35.71739,139.48038,50
Seibu.Tamako.Outbound,35.71777,139.48035,51
Seibu.Tamako.Outbound,35.71865,139.48029,52
Seibu.Tamako.Outbound,35.72,139.4802,53
Seibu.Tamako.Outbound,35.72074,139.48016,54
Seibu.Tamako.Outbound,35.72146,139.4801,55
Seibu.Tamako.Outbound,35.7217,139.4801,56
Seibu.Tamako.Outbound,35.72251,139.48003,57
Seibu.Tamako.Outbound,35.72312,139.47993,58
Seibu.Tamako.Outbound,35.72346,139.47986,59
Seibu.Tamako.Outbound,35.72356,139.47983,60
Seibu.Tamako.Outbound,35.72367,139.4798,61
Seibu.Tamako.Outbound,35.72378,139.47975,62
Seibu.Tamako.Outbound,35.72388,139.4797,63
Seibu.Tamako.Outbound,35.72398,139.47963,64
Seibu.Tamako.Outbound,35.7241,139.47954,65
Seibu.Tamako.Outbound,35.7242,139.47947,66
Seibu.Tamako.Outbound,35.72482,139.47897,67
Seibu.Tamako.Outbound,35.7251,139.47874,68
Seibu.Tamako.Outbound,35.7252,139.47865,69
Seibu.Tamako.Outbound,35.72536,139.4785,70
Seibu.Tamako.Outbound,35.72544,139.47841,71
Seibu.Tamako.Outbound,35.72584,139.47799,72
Seibu.Tamako.Outbound,35.72594,139.47789,73
Seibu.Tamako.Outbound,35.72607,139.47777,74
Seibu.Tamako.Outbound,35.72615,139.47769,75
Seibu.Tamako.Outbound,35.72621,139.47764,76
Seibu.Tamako.Outbound,35.72629,139.47758,77
