shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Seibu.Toshima.Inbound,35.74247,139.64804,0
Seibu.Toshima.Inbound,35.7416,139.648,1
Seibu.Toshima.Inbound,35.74073,139.64794,2
Seibu.Toshima.Inbound,35.73975,139.64791,3
Seibu.Toshima.Inbound,35.73927,139.64791,4
Seibu.Toshima.Inbound,35.73885,139.64802,5
Seibu.Toshima.Inbound,35.73861,139.64816,6
Seibu.Toshima.Inbound,35.73835,139.6484,7
Seibu.Toshima.Inbound,35.73811,139.64872,8
Seibu.Toshima.Inbound,35.73804,139.64889,9
Seibu.Toshima.Inbound,35.73785,139.64938,10
Seibu.Toshima.Inbound,35.73777,139.6497,11
Seibu.Toshima.Inbound,35.73766,139.6503,12
Seibu.Toshima.Inbound,35.73767,139.65115,13
Seibu.Toshima.Inbound,35.73772,139.65197,14
Seibu.Toshima.Inbound,35.73783,139.65331,15
Seibu.Toshima.Inbound,35.73804,139.65557,16
Seibu.Toshima.Outbound,35.74247,139.64804,16
Seibu.Toshima.Outbound,35.7416,139.648,15
Seibu.Toshima.Outbound,35.74073,139.64794,14
Seibu.Toshima.Outbound,35.73975,139.64791,13
Seibu.Toshima.Outbound,35.73927,139.64791,12
Seibu.Toshima.Outbound,35.73885,139.64802,11
Seibu.Toshima.Outbound,35.73861,139.64816,10
Seibu.Toshima.Outbound,35.73835,139.6484,9
Seibu.Toshima.Outbound,35.73811,139.64872,8
Seibu.Toshima.Outbound,35.73804,139.64889,7
Seibu.Toshima.Outbound,35.73785,139.64938,6
Seibu.Toshima.Outbound,35.73777,139.6497,5
Seibu.Toshima.Outbound,35.73766,139.6503,4
Seibu.Toshima.Outbound,35.73767,139.65115,3
Seibu.Toshima.Outbound,35.73772,139.65197,2
Seibu.Toshima.Outbound,35.73783,139.65331,1
Seibu.Toshima.Outbound,35.73804,139.65557,0
