shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Seibu.Yamaguchi.Outbound,35.76511,139.44288,0
Seibu.Yamaguchi.Outbound,35.76646,139.44255,1
Seibu.Yamaguchi.Outbound,35.76658,139.44252,2
Seibu.Yamaguchi.Outbound,35.76665,139.44251,3
Seibu.Yamaguchi.Outbound,35.76674,139.44249,4
Seibu.Yamaguchi.Outbound,35.76678,139.44247,5
Seibu.Yamaguchi.Outbound,35.76684,139.44244,6
Seibu.Yamaguchi.Outbound,35.76702,139.44236,7
Seibu.Yamaguchi.Outbound,35.76713,139.4423,8
Seibu.Yamaguchi.Outbound,35.76721,139.44224,9
Seibu.Yamaguchi.Outbound,35.76727,139.44218,10
Seibu.Yamaguchi.Outbound,35.76733,139.44204,11
Seibu.Yamaguchi.Outbound,35.76738,139.44188,12
Seibu.Yamaguchi.Outbound,35.76742,139.44168,13
Seibu.Yamaguchi.Outbound,35.76747,139.44158,14
Seibu.Yamaguchi.Outbound,35.76751,139.44148,15
Seibu.Yamaguchi.Outbound,35.76757,139.44134,16
Seibu.Yamaguchi.Outbound,35.76763,139.44123,17
Seibu.Yamaguchi.Outbound,35.76769,139.44116,18
Seibu.Yamaguchi.Outbound,35.76783,139.44102,19
Seibu.Yamaguchi.Outbound,35.7679,139.44095,20
Seibu.Yamaguchi.Outbound,35.76798,139.44088,21
Seibu.Yamaguchi.Outbound,35.76818,139.44075,22
Seibu.Yamaguchi.Outbound,35.76842,139.4406,23
Seibu.Yamaguchi.Outbound,35.76859,139.44048,24
Seibu.Yamaguchi.Outbound,35.76876,139.44037,25
Seibu.Yamaguchi.Outbound,35.7693,139.44001,26
Seibu.Yamaguchi.Outbound,35.76938,139.43988,27
Seibu.Yamaguchi.Outbound,35.76949,139.43972,28
Seibu.Yamaguchi.Outbound,35.76955,139.43957,29
Seibu.Yamaguchi.Outbound,35.76961,139.43942,30
Seibu.Yamaguchi.Outbound,35.76965,139.43927,31
Seibu.Yamaguchi.Outbound,35.76968,139.43913,32
Seibu.Yamaguchi.Outbound,35.76969,139.43892,33
Seibu.Yamaguchi.Outbound,35.76968,139.43877,34
Seibu.Yamaguchi.Outbound,35.76964,139.43858,35
Seibu.Yamaguchi.Outbound,35.7696,139.4384,36
Seibu.Yamaguchi.Outbound,35.76955,139.43827,37
Seibu.Yamaguchi.Outbound,35.76951,139.43814,38
Seibu.Yamaguchi.Outbound,35.76943,139.43804,39
Seibu.Yamaguchi.Outbound,35.76935,139.43796,40
Seibu.Yamaguchi.Outbound,35.76926,139.43787,41
Seibu.Yamaguchi.Outbound,35.76919,139.43783,42
Seibu.Yamaguchi.Outbound,35.76909,139.43782,43
Seibu.Yamaguchi.Outbound,35.76888,139.43785,44
Seibu.Yamaguchi.Outbound,35.76874,139.43787,45
Seibu.Yamaguchi.Outbound,35.76862,139.43789,46
Seibu.Yamaguchi.Outbound,35.76852,139.43789,47
Seibu.Yamaguchi.Outbound,35.76841,139.43786,48
Seibu.Yamaguchi.Outbound,35.76832,139.43781,49
Seibu.Yamaguchi.Outbound,35.76826,139.43775,50
Seibu.Yamaguchi.Outbound,35.76821,139.43765,51
Seibu.Yamaguchi.Outbound,35.76816,139.43756,52
Seibu.Yamaguchi.Outbound,35.76813,139.43739,53
Seibu.Yamaguchi.Outbound,35.76809,139.43719,54
Seibu.Yamaguchi.Outbound,35.76806,139.43709,55
Seibu.Yamaguchi.Outbound,35.76801,139.43694,56
Seibu.Yamaguchi.Outbound,35.76797,139.43686,57
Seibu.Yamaguchi.Outbound,35.76792,139.43675,58
Seibu.Yamaguchi.Outbound,35.76785,139.43664,59
Seibu.Yamaguchi.Outbound,35.76779,139.43654,60
Seibu.Yamaguchi.Outbound,35.76774,139.43641,61
Seibu.Yamaguchi.Outbound,35.7677,139.43629,62
Seibu.Yamaguchi.Outbound,35.76766,139.43611,63
Seibu.Yamaguchi.Outbound,35.76765,139.43593,64
Seibu.Yamaguchi.Outbound,35.76765,139.43577,65
Seibu.Yamaguchi.Outbound,35.76765,139.43544,66
Seibu.Yamaguchi.Outbound,35.76764,139.43522,67
Seibu.Yamaguchi.Outbound,35.76765,139.43498,68
Seibu.Yamaguchi.Outbound,35.76767,139.43475,69
Seibu.Yamaguchi.Outbound,35.76768,139.43453,70
Seibu.Yamaguchi.Outbound,35.76771,139.43435,71
Seibu.Yamaguchi.Outbound,35.76776,139.43413,72
Seibu.Yamaguchi.Outbound,35.76782,139.43388,73
Seibu.Yamaguchi.Outbound,35.76786,139.43362,74
Seibu.Yamaguchi.Outbound,35.76788,139.43345,75
Seibu.Yamaguchi.Outbound,35.76788,139.43336,76
Seibu.Yamaguchi.Outbound,35.76784,139.43323,77
Seibu.Yamaguchi.Outbound,35.76778,139.43309,78
Seibu.Yamaguchi.Outbound,35.76771,139.43292,79
Seibu.Yamaguchi.Outbound,35.76763,139.43274,80
Seibu.Yamaguchi.Outbound,35.76755,139.43257,81
Seibu.Yamaguchi.Outbound,35.76747,139.43237,82
Seibu.Yamaguchi.Outbound,35.76739,139.43216,83
Seibu.Yamaguchi.Outbound,35.76732,139.43198,84
Seibu.Yamaguchi.Outbound,35.76724,139.4317,85
Seibu.Yamaguchi.Outbound,35.76719,139.43148,86
Seibu.Yamaguchi.Outbound,35.76716,139.43127,87
Seibu.Yamaguchi.Outbound,35.76716,139.43108,88
Seibu.Yamaguchi.Outbound,35.76718,139.43088,89
Seibu.Yamaguchi.Outbound,35.76721,139.43067,90
Seibu.Yamaguchi.Outbound,35.76728,139.43016,91
Seibu.Yamaguchi.Outbound,35.76735,139.42978,92
Seibu.Yamaguchi.Outbound,35.76744,139.42922,93
Seibu.Yamaguchi.Outbound,35.76749,139.42912,94
Seibu.Yamaguchi.Outbound,35.76751,139.42901,95
Seibu.Yamaguchi.Outbound,35.76751,139.42891,96
Seibu.Yamaguchi.Outbound,35.76749,139.42876,97
Seibu.Yamaguchi.Outbound,35.76746,139.42864,98
Seibu.Yamaguchi.Outbound,35.7674,139.42845,99
Seibu.Yamaguchi.Outbound,35.76736,139.42834,100
Seibu.Yamaguchi.Outbound,35.76725,139.42814,101
Seibu.Yamaguchi.Outbound,35.76717,139.42801,102
Seibu.Yamaguchi.Outbound,35.7671,139.42787,103
Seibu.Yamaguchi.Outbound,35.76705,139.42772,104
Seibu.Yamaguchi.Outbound,35.76705,139.42756,105
Seibu.Yamaguchi.Outbound,35.76707,139.42742,106
Seibu.Yamaguchi.Outbound,35.76712,139.42716,107
Seibu.Yamaguchi.Outbound,35.76718,139.42674,108
Seibu.Yamaguchi.Outbound,35.76722,139.42662,109
Seibu.Yamaguchi.Outbound,35.76727,139.42652,110
Seibu.Yamaguchi.Outbound,35.76734,139.42641,111
Seibu.Yamaguchi.Outbound,35.76743,139.42619,112
Seibu.Yamaguchi.Outbound,35.7675,139.42596,113
Seibu.Yamaguchi.Outbound,35.76756,139.42576,114
Seibu.Yamaguchi.Outbound,35.7676,139.42564,115
Seibu.Yamaguchi.Outbound,35.76764,139.42552,116
Seibu.Yamaguchi.Outbound,35.7677,139.42536,117
Seibu.Yamaguchi.Outbound,35.76774,139.4252,118
Seibu.Yamaguchi.Outbound,35.76776,139.42504,119
Seibu.Yamaguchi.Outbound,35.76777,139.4249,120
Seibu.Yamaguchi.Outbound,35.76776,139.42475,121
Seibu.Yamaguchi.Outbound,35.76772,139.42455,122
Seibu.Yamaguchi.Outbound,35.76769,139.42437,123
Seibu.Yamaguchi.Outbound,35.76763,139.42412,124
Seibu.Yamaguchi.Outbound,35.76761,139.42402,125
Seibu.Yamaguchi.Outbound,35.76761,139.42385,126
Seibu.Yamaguchi.Outbound,35.76762,139.4237,127
Seibu.Yamaguchi.Outbound,35.76765,139.42357,128
Seibu.Yamaguchi.Outbound,35.76769,139.42347,129
Seibu.Yamaguchi.Outbound,35.76777,139.42329,130
