shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SendaiMunicipal.Tozai.Westbound,38.24482291,140.94932703,0
SendaiMunicipal.Tozai.Westbound,38.24496568,140.94748532,1
SendaiMunicipal.Tozai.Westbound,38.24500851,140.94681431,2
SendaiMunicipal.Tozai.Westbound,38.24505134,140.94654306,3
SendaiMunicipal.Tozai.Westbound,38.24512273,140.94625752,4
SendaiMunicipal.Tozai.Westbound,38.24535115,140.94588632,5
SendaiMunicipal.Tozai.Westbound,38.24559386,140.94568645,6
SendaiMunicipal.Tozai.Westbound,38.24586512,140.94564362,7
SendaiMunicipal.Tozai.Westbound,38.24643619,140.94561507,8
SendaiMunicipal.Tozai.Westbound,38.2489489,140.94578639,9
SendaiMunicipal.Tozai.Westbound,38.24936292,140.94578639,10
SendaiMunicipal.Tozai.Westbound,38.24977695,140.94561507,11
SendaiMunicipal.Tozai.Westbound,38.24994827,140.94545802,12
SendaiMunicipal.Tozai.Westbound,38.25046224,140.94474418,13
SendaiMunicipal.Tozai.Westbound,38.25061928,140.94394468,14
SendaiMunicipal.Tozai.Westbound,38.25083343,140.93780568,15
SendaiMunicipal.Tozai.Westbound,38.25091433,140.93615052,16
SendaiMunicipal.Tozai.Westbound,38.25094289,140.93521777,17
SendaiMunicipal.Tozai.Westbound,38.25122366,140.92770819,18
SendaiMunicipal.Tozai.Westbound,38.25152348,140.92137217,19
SendaiMunicipal.Tozai.Westbound,38.25158058,140.92044418,20
SendaiMunicipal.Tozai.Westbound,38.25182329,140.91421951,21
SendaiMunicipal.Tozai.Westbound,38.25189467,140.91264335,22
SendaiMunicipal.Tozai.Westbound,38.25186612,140.91211511,23
SendaiMunicipal.Tozai.Westbound,38.25168052,140.91158687,24
SendaiMunicipal.Tozai.Westbound,38.25126649,140.91097297,25
SendaiMunicipal.Tozai.Westbound,38.25080964,140.91073026,26
SendaiMunicipal.Tozai.Westbound,38.25046699,140.91065888,27
SendaiMunicipal.Tozai.Westbound,38.25006725,140.9105875,28
SendaiMunicipal.Tozai.Westbound,38.24976743,140.91048756,29
SendaiMunicipal.Tozai.Westbound,38.249539,140.91031624,30
SendaiMunicipal.Tozai.Westbound,38.24928202,140.90998787,31
SendaiMunicipal.Tozai.Westbound,38.24918209,140.9096024,32
SendaiMunicipal.Tozai.Westbound,38.24915353,140.90920265,33
SendaiMunicipal.Tozai.Westbound,38.24951045,140.90650434,34
SendaiMunicipal.Tozai.Westbound,38.24963894,140.90561918,35
SendaiMunicipal.Tozai.Westbound,38.24971033,140.90486251,36
SendaiMunicipal.Tozai.Westbound,38.24971033,140.90417723,37
SendaiMunicipal.Tozai.Westbound,38.24962467,140.90147892,38
SendaiMunicipal.Tozai.Westbound,38.24959611,140.90003697,39
SendaiMunicipal.Tozai.Westbound,38.24959611,140.89977998,40
SendaiMunicipal.Tozai.Westbound,38.24968177,140.89929457,41
SendaiMunicipal.Tozai.Westbound,38.2499102,140.89858074,42
SendaiMunicipal.Tozai.Westbound,38.2503385,140.89778124,43
SendaiMunicipal.Tozai.Westbound,38.25059549,140.89716734,44
SendaiMunicipal.Tozai.Westbound,38.25076681,140.89631073,45
SendaiMunicipal.Tozai.Westbound,38.2508953,140.8953342,46
SendaiMunicipal.Tozai.Westbound,38.2510809,140.89369237,47
SendaiMunicipal.Tozai.Westbound,38.25119511,140.89277866,48
SendaiMunicipal.Tozai.Westbound,38.25130932,140.89180784,49
SendaiMunicipal.Tozai.Westbound,38.25140926,140.89142237,50
SendaiMunicipal.Tozai.Westbound,38.25158058,140.89103689,51
SendaiMunicipal.Tozai.Westbound,38.25198033,140.89060859,52
SendaiMunicipal.Tozai.Westbound,38.25228014,140.89040872,53
SendaiMunicipal.Tozai.Westbound,38.25272272,140.89030878,54
SendaiMunicipal.Tozai.Westbound,38.25312247,140.89036589,55
SendaiMunicipal.Tozai.Westbound,38.25380776,140.89055148,56
SendaiMunicipal.Tozai.Westbound,38.25413612,140.89065142,57
SendaiMunicipal.Tozai.Westbound,38.25446449,140.89067997,58
SendaiMunicipal.Tozai.Westbound,38.2547643,140.89062287,59
SendaiMunicipal.Tozai.Westbound,38.25512122,140.89043727,60
SendaiMunicipal.Tozai.Westbound,38.25552097,140.89006607,61
SendaiMunicipal.Tozai.Westbound,38.25580651,140.88950928,62
SendaiMunicipal.Tozai.Westbound,38.25592072,140.88886682,63
SendaiMunicipal.Tozai.Westbound,38.25612059,140.88674815,64
SendaiMunicipal.Tozai.Westbound,38.2561777,140.88639123,65
SendaiMunicipal.Tozai.Westbound,38.25637758,140.88603431,66
SendaiMunicipal.Tozai.Westbound,38.256606,140.88580589,67
SendaiMunicipal.Tozai.Westbound,38.25673449,140.88572023,68
SendaiMunicipal.Tozai.Westbound,38.25703431,140.8856774,69
SendaiMunicipal.Tozai.Westbound,38.25736267,140.8856774,70
SendaiMunicipal.Tozai.Westbound,38.25769104,140.88574878,71
SendaiMunicipal.Tozai.Westbound,38.25840488,140.88589155,72
SendaiMunicipal.Tozai.Westbound,38.25870469,140.8859201,73
SendaiMunicipal.Tozai.Westbound,38.25904733,140.88590582,74
SendaiMunicipal.Tozai.Westbound,38.25931859,140.88577733,75
SendaiMunicipal.Tozai.Westbound,38.25958985,140.88546324,76
SendaiMunicipal.Tozai.Westbound,38.25977188,140.88499925,77
SendaiMunicipal.Tozai.Westbound,38.26007526,140.88374408,78
SendaiMunicipal.Tozai.Westbound,38.26019245,140.88315957,79
SendaiMunicipal.Tozai.Westbound,38.26020672,140.88238386,80
SendaiMunicipal.Tozai.Westbound,38.26012582,140.88177948,81
SendaiMunicipal.Tozai.Westbound,38.25989263,140.88070872,82
SendaiMunicipal.Tozai.Westbound,38.25963565,140.87966711,83
SendaiMunicipal.Tozai.Westbound,38.25928206,140.87822774,84
SendaiMunicipal.Tozai.Westbound,38.25890492,140.87668529,85
SendaiMunicipal.Tozai.Westbound,38.25889064,140.87644497,86
SendaiMunicipal.Tozai.Westbound,38.25894014,140.87609828,87
SendaiMunicipal.Tozai.Westbound,38.25907577,140.87577348,88
SendaiMunicipal.Tozai.Westbound,38.25925066,140.87552007,89
SendaiMunicipal.Tozai.Westbound,38.2595005,140.87524881,90
SendaiMunicipal.Tozai.Westbound,38.25965754,140.8750882,91
SendaiMunicipal.Tozai.Westbound,38.25980388,140.87487762,92
SendaiMunicipal.Tozai.Westbound,38.25990382,140.87470986,93
SendaiMunicipal.Tozai.Westbound,38.25997163,140.87448144,94
SendaiMunicipal.Tozai.Westbound,38.25999662,140.87426728,95
SendaiMunicipal.Tozai.Westbound,38.25999662,140.87404599,96
SendaiMunicipal.Tozai.Westbound,38.25996806,140.87378187,97
SendaiMunicipal.Tozai.Westbound,38.259836,140.87299665,98
SendaiMunicipal.Tozai.Westbound,38.25975034,140.87251481,99
SendaiMunicipal.Tozai.Westbound,38.2595933,140.87160824,100
SendaiMunicipal.Tozai.Westbound,38.25926279,140.86982364,101
SendaiMunicipal.Tozai.Westbound,38.25906649,140.86901462,102
SendaiMunicipal.Tozai.Westbound,38.25888208,140.86830673,103
SendaiMunicipal.Tozai.Westbound,38.258775,140.86774756,104
SendaiMunicipal.Tozai.Westbound,38.25872146,140.86712295,105
SendaiMunicipal.Tozai.Westbound,38.25872741,140.86674819,106
SendaiMunicipal.Tozai.Westbound,38.25886423,140.86525508,107
SendaiMunicipal.Tozai.Westbound,38.25888208,140.86504092,108
SendaiMunicipal.Tozai.Westbound,38.25897726,140.86413078,109
SendaiMunicipal.Tozai.Westbound,38.25904864,140.86342884,110
SendaiMunicipal.Tozai.Westbound,38.25914382,140.86250085,111
SendaiMunicipal.Tozai.Westbound,38.2592152,140.86210229,112
SendaiMunicipal.Tozai.Westbound,38.25923305,140.86198927,113
SendaiMunicipal.Tozai.Westbound,38.25935162,140.86163492,114
SendaiMunicipal.Tozai.Westbound,38.25970378,140.86069742,115
SendaiMunicipal.Tozai.Westbound,38.25980372,140.86035002,116
SendaiMunicipal.Tozai.Westbound,38.25987035,140.85997882,117
SendaiMunicipal.Tozai.Westbound,38.26004167,140.85836079,118
SendaiMunicipal.Tozai.Westbound,38.26011781,140.85762791,119
SendaiMunicipal.Tozai.Westbound,38.26013923,140.85746611,120
SendaiMunicipal.Tozai.Westbound,38.26026058,140.85620262,121
SendaiMunicipal.Tozai.Westbound,38.26033553,140.85560299,122
SendaiMunicipal.Tozai.Westbound,38.26040454,140.85533292,123
SendaiMunicipal.Tozai.Westbound,38.2604545,140.85516874,124
SendaiMunicipal.Tozai.Westbound,38.26056158,140.85490819,125
SendaiMunicipal.Tozai.Westbound,38.26062939,140.85477256,126
SendaiMunicipal.Tozai.Westbound,38.26088281,140.85438352,127
SendaiMunicipal.Tozai.Westbound,38.26122307,140.85389751,128
SendaiMunicipal.Tozai.Westbound,38.26134799,140.85371191,129
SendaiMunicipal.Tozai.Westbound,38.26143722,140.85356201,130
SendaiMunicipal.Tozai.Westbound,38.26152288,140.85338355,131
SendaiMunicipal.Tozai.Westbound,38.26156214,140.85328361,132
SendaiMunicipal.Tozai.Westbound,38.26161925,140.85311229,133
SendaiMunicipal.Tozai.Westbound,38.2616478,140.85294097,134
SendaiMunicipal.Tozai.Westbound,38.26166208,140.85279463,135
SendaiMunicipal.Tozai.Westbound,38.26166922,140.85263402,136
SendaiMunicipal.Tozai.Westbound,38.26165851,140.85249482,137
SendaiMunicipal.Tozai.Westbound,38.26164067,140.85231279,138
SendaiMunicipal.Tozai.Westbound,38.26157285,140.85204867,139
SendaiMunicipal.Tozai.Westbound,38.26099821,140.85078518,140
SendaiMunicipal.Tozai.Westbound,38.26065914,140.84994999,141
SendaiMunicipal.Tozai.Westbound,38.26019157,140.8488599,142
SendaiMunicipal.Tozai.Westbound,38.25969189,140.84764399,143
SendaiMunicipal.Tozai.Westbound,38.25922194,140.846484,144
SendaiMunicipal.Tozai.Westbound,38.25894236,140.84568094,145
SendaiMunicipal.Tozai.Westbound,38.25809765,140.84310279,146
SendaiMunicipal.Tozai.Westbound,38.25790729,140.84251982,147
SendaiMunicipal.Tozai.Westbound,38.25781211,140.8421629,148
SendaiMunicipal.Tozai.Westbound,38.25774787,140.84180004,149
SendaiMunicipal.Tozai.Westbound,38.25774787,140.8412944,150
SendaiMunicipal.Tozai.Westbound,38.25781925,140.84072333,151
SendaiMunicipal.Tozai.Westbound,38.25797392,140.83984888,152
SendaiMunicipal.Tozai.Westbound,38.25803162,140.83948137,153
SendaiMunicipal.Tozai.Westbound,38.25805541,140.83920535,154
SendaiMunicipal.Tozai.Westbound,38.25805065,140.83889602,155
SendaiMunicipal.Tozai.Westbound,38.25800782,140.8385391,156
SendaiMunicipal.Tozai.Westbound,38.2579174,140.83821074,157
SendaiMunicipal.Tozai.Westbound,38.25776512,140.83780147,158
SendaiMunicipal.Tozai.Westbound,38.25741772,140.83701149,159
SendaiMunicipal.Tozai.Westbound,38.25722736,140.83664862,160
SendaiMunicipal.Tozai.Westbound,38.25695967,140.8363036,161
SendaiMunicipal.Tozai.Westbound,38.25666819,140.8360716,162
SendaiMunicipal.Tozai.Westbound,38.25632911,140.83588124,163
SendaiMunicipal.Tozai.Westbound,38.25550225,140.83548269,164
SendaiMunicipal.Tozai.Westbound,38.25480626,140.8351912,165
SendaiMunicipal.Tozai.Westbound,38.25416975,140.83494731,166
SendaiMunicipal.Tozai.Westbound,38.25383663,140.83482238,167
SendaiMunicipal.Tozai.Westbound,38.25362843,140.83476885,168
SendaiMunicipal.Tozai.Westbound,38.25346781,140.83474505,169
SendaiMunicipal.Tozai.Westbound,38.25323581,140.8347391,170
SendaiMunicipal.Tozai.Westbound,38.25298002,140.83478074,171
SendaiMunicipal.Tozai.Westbound,38.25274803,140.83485808,172
SendaiMunicipal.Tozai.Westbound,38.25256957,140.83495325,173
SendaiMunicipal.Tozai.Westbound,38.25228403,140.83515551,174
SendaiMunicipal.Tozai.Westbound,38.25204014,140.8354113,175
SendaiMunicipal.Tozai.Westbound,38.25180219,140.83577655,176
SendaiMunicipal.Tozai.Westbound,38.25162968,140.83616321,177
SendaiMunicipal.Tozai.Westbound,38.2513263,140.83692464,178
SendaiMunicipal.Tozai.Westbound,38.25089799,140.8379835,179
SendaiMunicipal.Tozai.Westbound,38.25039236,140.83925651,180
SendaiMunicipal.Tozai.Westbound,38.24980344,140.84072583,181
SendaiMunicipal.Tozai.Westbound,38.24892899,140.84290898,182
SendaiMunicipal.Tozai.Westbound,38.24804264,140.84514568,183
SendaiMunicipal.Tozai.Westbound,38.24766193,140.84605582,184
SendaiMunicipal.Tozai.Westbound,38.24750726,140.84632946,185
SendaiMunicipal.Tozai.Westbound,38.24738234,140.84651387,186
SendaiMunicipal.Tozai.Westbound,38.24725742,140.84665663,187
SendaiMunicipal.Tozai.Westbound,38.24704922,140.84685294,188
SendaiMunicipal.Tozai.Westbound,38.24677558,140.84702545,189
SendaiMunicipal.Tozai.Westbound,38.24642461,140.84716227,190
SendaiMunicipal.Tozai.Westbound,38.24610338,140.84719796,191
SendaiMunicipal.Tozai.Westbound,38.24591897,140.84719201,192
SendaiMunicipal.Tozai.Westbound,38.24560369,140.84712658,193
SendaiMunicipal.Tozai.Westbound,38.24530031,140.84698381,194
SendaiMunicipal.Tozai.Westbound,38.24502073,140.84677561,195
SendaiMunicipal.Tozai.Westbound,38.24477088,140.84650792,196
SendaiMunicipal.Tozai.Westbound,38.24453294,140.84615695,197
SendaiMunicipal.Tozai.Westbound,38.24393331,140.84509809,198
SendaiMunicipal.Tozai.Westbound,38.24353832,140.84439853,199
SendaiMunicipal.Tozai.Westbound,38.24311954,140.8436371,200
SendaiMunicipal.Tozai.Eastbound,38.24482291,140.94932703,200
SendaiMunicipal.Tozai.Eastbound,38.24496568,140.94748532,199
SendaiMunicipal.Tozai.Eastbound,38.24500851,140.94681431,198
SendaiMunicipal.Tozai.Eastbound,38.24505134,140.94654306,197
SendaiMunicipal.Tozai.Eastbound,38.24512273,140.94625752,196
SendaiMunicipal.Tozai.Eastbound,38.24535115,140.94588632,195
SendaiMunicipal.Tozai.Eastbound,38.24559386,140.94568645,194
SendaiMunicipal.Tozai.Eastbound,38.24586512,140.94564362,193
SendaiMunicipal.Tozai.Eastbound,38.24643619,140.94561507,192
SendaiMunicipal.Tozai.Eastbound,38.2489489,140.94578639,191
SendaiMunicipal.Tozai.Eastbound,38.24936292,140.94578639,190
SendaiMunicipal.Tozai.Eastbound,38.24977695,140.94561507,189
SendaiMunicipal.Tozai.Eastbound,38.24994827,140.94545802,188
SendaiMunicipal.Tozai.Eastbound,38.25046224,140.94474418,187
SendaiMunicipal.Tozai.Eastbound,38.25061928,140.94394468,186
SendaiMunicipal.Tozai.Eastbound,38.25083343,140.93780568,185
SendaiMunicipal.Tozai.Eastbound,38.25091433,140.93615052,184
SendaiMunicipal.Tozai.Eastbound,38.25094289,140.93521777,183
SendaiMunicipal.Tozai.Eastbound,38.25122366,140.92770819,182
SendaiMunicipal.Tozai.Eastbound,38.25152348,140.92137217,181
SendaiMunicipal.Tozai.Eastbound,38.25158058,140.92044418,180
SendaiMunicipal.Tozai.Eastbound,38.25182329,140.91421951,179
SendaiMunicipal.Tozai.Eastbound,38.25189467,140.91264335,178
SendaiMunicipal.Tozai.Eastbound,38.25186612,140.91211511,177
SendaiMunicipal.Tozai.Eastbound,38.25168052,140.91158687,176
SendaiMunicipal.Tozai.Eastbound,38.25126649,140.91097297,175
SendaiMunicipal.Tozai.Eastbound,38.25080964,140.91073026,174
SendaiMunicipal.Tozai.Eastbound,38.25046699,140.91065888,173
SendaiMunicipal.Tozai.Eastbound,38.25006725,140.9105875,172
SendaiMunicipal.Tozai.Eastbound,38.24976743,140.91048756,171
SendaiMunicipal.Tozai.Eastbound,38.249539,140.91031624,170
SendaiMunicipal.Tozai.Eastbound,38.24928202,140.90998787,169
SendaiMunicipal.Tozai.Eastbound,38.24918209,140.9096024,168
SendaiMunicipal.Tozai.Eastbound,38.24915353,140.90920265,167
SendaiMunicipal.Tozai.Eastbound,38.24951045,140.90650434,166
SendaiMunicipal.Tozai.Eastbound,38.24963894,140.90561918,165
SendaiMunicipal.Tozai.Eastbound,38.24971033,140.90486251,164
SendaiMunicipal.Tozai.Eastbound,38.24971033,140.90417723,163
SendaiMunicipal.Tozai.Eastbound,38.24962467,140.90147892,162
SendaiMunicipal.Tozai.Eastbound,38.24959611,140.90003697,161
SendaiMunicipal.Tozai.Eastbound,38.24959611,140.89977998,160
SendaiMunicipal.Tozai.Eastbound,38.24968177,140.89929457,159
SendaiMunicipal.Tozai.Eastbound,38.2499102,140.89858074,158
SendaiMunicipal.Tozai.Eastbound,38.2503385,140.89778124,157
SendaiMunicipal.Tozai.Eastbound,38.25059549,140.89716734,156
SendaiMunicipal.Tozai.Eastbound,38.25076681,140.89631073,155
SendaiMunicipal.Tozai.Eastbound,38.2508953,140.8953342,154
SendaiMunicipal.Tozai.Eastbound,38.2510809,140.89369237,153
SendaiMunicipal.Tozai.Eastbound,38.25119511,140.89277866,152
SendaiMunicipal.Tozai.Eastbound,38.25130932,140.89180784,151
SendaiMunicipal.Tozai.Eastbound,38.25140926,140.89142237,150
SendaiMunicipal.Tozai.Eastbound,38.25158058,140.89103689,149
SendaiMunicipal.Tozai.Eastbound,38.25198033,140.89060859,148
SendaiMunicipal.Tozai.Eastbound,38.25228014,140.89040872,147
