shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Sotetsu.Izumino.Inbound,35.39602,139.4652,0
Sotetsu.Izumino.Inbound,35.39646,139.46704,1
Sotetsu.Izumino.Inbound,35.39661,139.46778,2
Sotetsu.Izumino.Inbound,35.39708,139.4699,3
Sotetsu.Izumino.Inbound,35.3972,139.47049,4
Sotetsu.Izumino.Inbound,35.39777,139.474,5
Sotetsu.Izumino.Inbound,35.39836,139.4762,6
Sotetsu.Izumino.Inbound,35.39844,139.4764,7
Sotetsu.Izumino.Inbound,35.39872,139.47692,8
Sotetsu.Izumino.Inbound,35.39899,139.47733,9
Sotetsu.Izumino.Inbound,35.39916,139.47754,10
Sotetsu.Izumino.Inbound,35.39925,139.47764,11
Sotetsu.Izumino.Inbound,35.39942,139.47784,12
Sotetsu.Izumino.Inbound,35.39974,139.47816,13
Sotetsu.Izumino.Inbound,35.40008,139.47844,14
Sotetsu.Izumino.Inbound,35.40029,139.47859,15
Sotetsu.Izumino.Inbound,35.40051,139.47872,16
Sotetsu.Izumino.Inbound,35.40093,139.47894,17
Sotetsu.Izumino.Inbound,35.40219,139.4796,18
Sotetsu.Izumino.Inbound,35.40257,139.47979,19
Sotetsu.Izumino.Inbound,35.40283,139.47997,20
Sotetsu.Izumino.Inbound,35.40308,139.48015,21
Sotetsu.Izumino.Inbound,35.40335,139.48037,22
Sotetsu.Izumino.Inbound,35.40418,139.48107,23
Sotetsu.Izumino.Inbound,35.40511,139.48187,24
Sotetsu.Izumino.Inbound,35.40516,139.48192,25
Sotetsu.Izumino.Inbound,35.40613,139.4828,26
Sotetsu.Izumino.Inbound,35.40618,139.48285,27
Sotetsu.Izumino.Inbound,35.40624,139.48291,28
Sotetsu.Izumino.Inbound,35.40845,139.48484,29
Sotetsu.Izumino.Inbound,35.40907,139.48539,30
Sotetsu.Izumino.Inbound,35.40967,139.48588,31
Sotetsu.Izumino.Inbound,35.41003,139.48617,32
Sotetsu.Izumino.Inbound,35.41025,139.48631,33
Sotetsu.Izumino.Inbound,35.4104,139.48639,34
Sotetsu.Izumino.Inbound,35.41094,139.48661,35
Sotetsu.Izumino.Inbound,35.41139,139.48677,36
Sotetsu.Izumino.Inbound,35.41165,139.48684,37
Sotetsu.Izumino.Inbound,35.41188,139.48689,38
Sotetsu.Izumino.Inbound,35.41236,139.48693,39
Sotetsu.Izumino.Inbound,35.41304,139.48698,40
Sotetsu.Izumino.Inbound,35.41432,139.48706,41
Sotetsu.Izumino.Inbound,35.41438,139.48707,42
Sotetsu.Izumino.Inbound,35.41582,139.4873,43
Sotetsu.Izumino.Inbound,35.41588,139.48731,44
Sotetsu.Izumino.Inbound,35.41749,139.48753,45
Sotetsu.Izumino.Inbound,35.41806,139.48762,46
Sotetsu.Izumino.Inbound,35.41865,139.4877,47
Sotetsu.Izumino.Inbound,35.4189,139.48771,48
Sotetsu.Izumino.Inbound,35.41918,139.48769,49
Sotetsu.Izumino.Inbound,35.41954,139.48764,50
Sotetsu.Izumino.Inbound,35.4197,139.48759,51
Sotetsu.Izumino.Inbound,35.41993,139.48752,52
Sotetsu.Izumino.Inbound,35.42063,139.48729,53
Sotetsu.Izumino.Inbound,35.42118,139.48714,54
Sotetsu.Izumino.Inbound,35.42158,139.48704,55
Sotetsu.Izumino.Inbound,35.42197,139.48696,56
Sotetsu.Izumino.Inbound,35.42234,139.48692,57
Sotetsu.Izumino.Inbound,35.42278,139.4869,58
Sotetsu.Izumino.Inbound,35.42321,139.4869,59
Sotetsu.Izumino.Inbound,35.4235,139.48694,60
Sotetsu.Izumino.Inbound,35.42383,139.48696,61
Sotetsu.Izumino.Inbound,35.42439,139.48699,62
Sotetsu.Izumino.Inbound,35.42487,139.48702,63
Sotetsu.Izumino.Inbound,35.42545,139.48708,64
Sotetsu.Izumino.Inbound,35.42591,139.48711,65
Sotetsu.Izumino.Inbound,35.42628,139.48717,66
Sotetsu.Izumino.Inbound,35.42679,139.48731,67
Sotetsu.Izumino.Inbound,35.42734,139.48751,68
Sotetsu.Izumino.Inbound,35.42753,139.4876,69
Sotetsu.Izumino.Inbound,35.42789,139.48781,70
Sotetsu.Izumino.Inbound,35.42846,139.48827,71
Sotetsu.Izumino.Inbound,35.42863,139.48845,72
Sotetsu.Izumino.Inbound,35.42883,139.48865,73
Sotetsu.Izumino.Inbound,35.42915,139.48908,74
Sotetsu.Izumino.Inbound,35.42945,139.48964,75
Sotetsu.Izumino.Inbound,35.42971,139.49037,76
Sotetsu.Izumino.Inbound,35.42982,139.49077,77
Sotetsu.Izumino.Inbound,35.42984,139.4909,78
Sotetsu.Izumino.Inbound,35.4299,139.49145,79
Sotetsu.Izumino.Inbound,35.42989,139.492,80
Sotetsu.Izumino.Inbound,35.42989,139.49217,81
Sotetsu.Izumino.Inbound,35.42987,139.49244,82
Sotetsu.Izumino.Inbound,35.42983,139.49326,83
Sotetsu.Izumino.Inbound,35.42971,139.49405,84
Sotetsu.Izumino.Inbound,35.42928,139.49619,85
Sotetsu.Izumino.Inbound,35.42916,139.4968,86
Sotetsu.Izumino.Inbound,35.42892,139.49812,87
Sotetsu.Izumino.Inbound,35.42881,139.49897,88
Sotetsu.Izumino.Inbound,35.42868,139.50004,89
Sotetsu.Izumino.Inbound,35.42869,139.50096,90
Sotetsu.Izumino.Inbound,35.42878,139.50171,91
Sotetsu.Izumino.Inbound,35.42894,139.50239,92
Sotetsu.Izumino.Inbound,35.42945,139.50453,93
Sotetsu.Izumino.Inbound,35.42975,139.50586,94
Sotetsu.Izumino.Inbound,35.43011,139.50741,95
Sotetsu.Izumino.Inbound,35.43028,139.50811,96
Sotetsu.Izumino.Inbound,35.43068,139.50975,97
Sotetsu.Izumino.Inbound,35.43107,139.51141,98
Sotetsu.Izumino.Inbound,35.43154,139.51314,99
Sotetsu.Izumino.Inbound,35.43158,139.51324,100
Sotetsu.Izumino.Inbound,35.43181,139.51395,101
Sotetsu.Izumino.Inbound,35.43207,139.51452,102
Sotetsu.Izumino.Inbound,35.43258,139.51548,103
Sotetsu.Izumino.Inbound,35.43299,139.51614,104
Sotetsu.Izumino.Inbound,35.43395,139.51756,105
Sotetsu.Izumino.Inbound,35.43477,139.5186,106
Sotetsu.Izumino.Inbound,35.43667,139.5202,107
Sotetsu.Izumino.Inbound,35.43881,139.52153,108
Sotetsu.Izumino.Inbound,35.43907,139.52165,109
Sotetsu.Izumino.Inbound,35.43941,139.52183,110
Sotetsu.Izumino.Inbound,35.43993,139.5221,111
Sotetsu.Izumino.Inbound,35.44005,139.52215,112
Sotetsu.Izumino.Inbound,35.44053,139.52233,113
Sotetsu.Izumino.Inbound,35.44159,139.52274,114
Sotetsu.Izumino.Inbound,35.4481,139.5254,115
Sotetsu.Izumino.Inbound,35.44943,139.52583,116
Sotetsu.Izumino.Inbound,35.45128,139.52643,117
Sotetsu.Izumino.Inbound,35.45152,139.52645,118
Sotetsu.Izumino.Inbound,35.4522,139.5264,119
Sotetsu.Izumino.Inbound,35.45235,139.52638,120
Sotetsu.Izumino.Inbound,35.45266,139.52633,121
Sotetsu.Izumino.Inbound,35.45297,139.52628,122
Sotetsu.Izumino.Inbound,35.45355,139.52614,123
Sotetsu.Izumino.Inbound,35.45451,139.52576,124
Sotetsu.Izumino.Inbound,35.45502,139.5255,125
