shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Sotetsu.JRDirect.Outbound,35.48055395,139.5852239,0
Sotetsu.JRDirect.Outbound,35.47952915,139.5838377,1
Sotetsu.JRDirect.Outbound,35.47907662,139.58317947,2
Sotetsu.JRDirect.Outbound,35.47877493,139.5825761,3
Sotetsu.JRDirect.Outbound,35.47848696,139.58158876,4
Sotetsu.JRDirect.Outbound,35.47822641,139.58077969,5
Sotetsu.JRDirect.Outbound,35.47765732,139.57870217,6
Sotetsu.JRDirect.Outbound,35.4767694,139.57571959,7
Sotetsu.JRDirect.Outbound,35.47664599,139.57518478,8
Sotetsu.JRDirect.Outbound,35.47657399,139.57477682,9
Sotetsu.JRDirect.Outbound,35.476526,139.57432772,10
Sotetsu.JRDirect.Outbound,35.47650886,139.57390262,11
Sotetsu.JRDirect.Outbound,35.476502,139.57354265,12
Sotetsu.JRDirect.Outbound,35.476526,139.5731484,13
Sotetsu.JRDirect.Outbound,35.47658085,139.57265816,14
Sotetsu.JRDirect.Outbound,35.47669741,139.57203765,15
Sotetsu.JRDirect.Outbound,35.47688939,139.57136914,16
Sotetsu.JRDirect.Outbound,35.47715337,139.57059092,17
Sotetsu.JRDirect.Outbound,35.47729096,139.57019764,18
Sotetsu.JRDirect.Outbound,35.47741827,139.56986469,19
Sotetsu.JRDirect.Outbound,35.47755047,139.56949012,20
Sotetsu.JRDirect.Outbound,35.47775367,139.56872384,21
Sotetsu.JRDirect.Outbound,35.4778467,139.56840313,22
Sotetsu.JRDirect.Outbound,35.4779128,139.56806528,23
Sotetsu.JRDirect.Outbound,35.47794463,139.56780333,24
Sotetsu.JRDirect.Outbound,35.47799849,139.56740917,25
Sotetsu.JRDirect.Outbound,35.47801807,139.56713742,26
Sotetsu.JRDirect.Outbound,35.4780177,139.56671043,27
Sotetsu.JRDirect.Outbound,35.47811193,139.56433123,28
Sotetsu.JRDirect.Inbound,35.48055395,139.5852239,28
Sotetsu.JRDirect.Inbound,35.47952915,139.5838377,27
Sotetsu.JRDirect.Inbound,35.47907662,139.58317947,26
Sotetsu.JRDirect.Inbound,35.47877493,139.5825761,25
Sotetsu.JRDirect.Inbound,35.47848696,139.58158876,24
Sotetsu.JRDirect.Inbound,35.47822641,139.58077969,23
Sotetsu.JRDirect.Inbound,35.47765732,139.57870217,22
Sotetsu.JRDirect.Inbound,35.4767694,139.57571959,21
Sotetsu.JRDirect.Inbound,35.47664599,139.57518478,20
Sotetsu.JRDirect.Inbound,35.47657399,139.57477682,19
Sotetsu.JRDirect.Inbound,35.476526,139.57432772,18
Sotetsu.JRDirect.Inbound,35.47650886,139.57390262,17
Sotetsu.JRDirect.Inbound,35.476502,139.57354265,16
Sotetsu.JRDirect.Inbound,35.476526,139.5731484,15
Sotetsu.JRDirect.Inbound,35.47658085,139.57265816,14
Sotetsu.JRDirect.Inbound,35.47669741,139.57203765,13
Sotetsu.JRDirect.Inbound,35.47688939,139.57136914,12
Sotetsu.JRDirect.Inbound,35.47715337,139.57059092,11
Sotetsu.JRDirect.Inbound,35.47729096,139.57019764,10
Sotetsu.JRDirect.Inbound,35.47741827,139.56986469,9
Sotetsu.JRDirect.Inbound,35.47755047,139.56949012,8
Sotetsu.JRDirect.Inbound,35.47775367,139.56872384,7
Sotetsu.JRDirect.Inbound,35.4778467,139.56840313,6
Sotetsu.JRDirect.Inbound,35.4779128,139.56806528,5
Sotetsu.JRDirect.Inbound,35.47794463,139.56780333,4
Sotetsu.JRDirect.Inbound,35.47799849,139.56740917,3
Sotetsu.JRDirect.Inbound,35.47801807,139.56713742,2
Sotetsu.JRDirect.Inbound,35.4780177,139.56671043,1
Sotetsu.JRDirect.Inbound,35.47811193,139.56433123,0
