shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
TWR.Rinkai.Outbound,35.64592,139.82786,0
TWR.Rinkai.Outbound,35.64574,139.82534,1
TWR.Rinkai.Outbound,35.6455,139.82255,2
TWR.Rinkai.Outbound,35.64507,139.81737,3
TWR.Rinkai.Outbound,35.64495,139.81686,4
TWR.Rinkai.Outbound,35.64455,139.81567,5
TWR.Rinkai.Outbound,35.64245,139.80943,6
TWR.Rinkai.Outbound,35.64119,139.80539,7
TWR.Rinkai.Outbound,35.64117,139.80533,8
TWR.Rinkai.Outbound,35.64047,139.80299,9
TWR.Rinkai.Outbound,35.64045,139.80294,10
TWR.Rinkai.Outbound,35.6404,139.80278,11
TWR.Rinkai.Outbound,35.64036,139.80267,12
TWR.Rinkai.Outbound,35.64024,139.80242,13
TWR.Rinkai.Outbound,35.63983,139.80165,14
TWR.Rinkai.Outbound,35.63944,139.80094,15
TWR.Rinkai.Outbound,35.63935,139.80077,16
TWR.Rinkai.Outbound,35.63758,139.79752,17
TWR.Rinkai.Outbound,35.63663,139.79578,18
TWR.Rinkai.Outbound,35.63476,139.79235,19
TWR.Rinkai.Outbound,35.63406,139.79104,20
TWR.Rinkai.Outbound,35.63278,139.78867,21
TWR.Rinkai.Outbound,35.63225,139.78769,22
TWR.Rinkai.Outbound,35.63151,139.78632,23
TWR.Rinkai.Outbound,35.62998,139.78352,24
TWR.Rinkai.Outbound,35.62728,139.77844,25
TWR.Rinkai.Outbound,35.62689,139.77768,26
TWR.Rinkai.Outbound,35.62618,139.77639,27
TWR.Rinkai.Outbound,35.62592,139.77572,28
TWR.Rinkai.Outbound,35.62576,139.77529,29
TWR.Rinkai.Outbound,35.62552,139.77438,30
TWR.Rinkai.Outbound,35.62533,139.77318,31
TWR.Rinkai.Outbound,35.62526,139.77226,32
TWR.Rinkai.Outbound,35.62519,139.77022,33
TWR.Rinkai.Outbound,35.62517,139.76979,34
TWR.Rinkai.Outbound,35.62515,139.76937,35
TWR.Rinkai.Outbound,35.62515,139.76893,36
TWR.Rinkai.Outbound,35.62515,139.76852,37
TWR.Rinkai.Outbound,35.62515,139.76823,38
TWR.Rinkai.Outbound,35.62512,139.76707,39
TWR.Rinkai.Outbound,35.62506,139.76397,40
TWR.Rinkai.Outbound,35.625,139.76169,41
TWR.Rinkai.Outbound,35.62495,139.75994,42
TWR.Rinkai.Outbound,35.62484,139.75933,43
