shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
TamaMonorail.TamaMonorail.Northbound,35.62352,139.42267,0
TamaMonorail.TamaMonorail.Northbound,35.62419,139.4229,1
TamaMonorail.TamaMonorail.Northbound,35.62426,139.42292,2
TamaMonorail.TamaMonorail.Northbound,35.6257,139.42341,3
TamaMonorail.TamaMonorail.Northbound,35.62641,139.42364,4
TamaMonorail.TamaMonorail.Northbound,35.62685,139.42376,5
TamaMonorail.TamaMonorail.Northbound,35.62717,139.42379,6
TamaMonorail.TamaMonorail.Northbound,35.62749,139.42378,7
TamaMonorail.TamaMonorail.Northbound,35.62777,139.42374,8
TamaMonorail.TamaMonorail.Northbound,35.62802,139.42368,9
TamaMonorail.TamaMonorail.Northbound,35.62905,139.42324,10
TamaMonorail.TamaMonorail.Northbound,35.62924,139.42315,11
TamaMonorail.TamaMonorail.Northbound,35.62977,139.4229,12
TamaMonorail.TamaMonorail.Northbound,35.63076,139.42245,13
TamaMonorail.TamaMonorail.Northbound,35.63113,139.4223,14
TamaMonorail.TamaMonorail.Northbound,35.63141,139.42217,15
TamaMonorail.TamaMonorail.Northbound,35.63147,139.42215,16
TamaMonorail.TamaMonorail.Northbound,35.63212,139.42192,17
TamaMonorail.TamaMonorail.Northbound,35.63218,139.42189,18
TamaMonorail.TamaMonorail.Northbound,35.63269,139.42169,19
TamaMonorail.TamaMonorail.Northbound,35.63331,139.42139,20
TamaMonorail.TamaMonorail.Northbound,35.6336,139.42117,21
TamaMonorail.TamaMonorail.Northbound,35.63386,139.4209,22
TamaMonorail.TamaMonorail.Northbound,35.63414,139.42057,23
TamaMonorail.TamaMonorail.Northbound,35.63486,139.4195,24
TamaMonorail.TamaMonorail.Northbound,35.63593,139.41786,25
TamaMonorail.TamaMonorail.Northbound,35.63662,139.41683,26
TamaMonorail.TamaMonorail.Northbound,35.63666,139.41676,27
TamaMonorail.TamaMonorail.Northbound,35.63706,139.41613,28
TamaMonorail.TamaMonorail.Northbound,35.63711,139.41606,29
TamaMonorail.TamaMonorail.Northbound,35.63767,139.4153,30
TamaMonorail.TamaMonorail.Northbound,35.63816,139.4147,31
TamaMonorail.TamaMonorail.Northbound,35.6384,139.41445,32
TamaMonorail.TamaMonorail.Northbound,35.63933,139.41377,33
TamaMonorail.TamaMonorail.Northbound,35.63963,139.4135,34
TamaMonorail.TamaMonorail.Northbound,35.63989,139.41317,35
TamaMonorail.TamaMonorail.Northbound,35.6401,139.41282,36
TamaMonorail.TamaMonorail.Northbound,35.64041,139.41214,37
TamaMonorail.TamaMonorail.Northbound,35.64169,139.40916,38
TamaMonorail.TamaMonorail.Northbound,35.64173,139.40908,39
TamaMonorail.TamaMonorail.Northbound,35.64204,139.40837,40
TamaMonorail.TamaMonorail.Northbound,35.64235,139.40746,41
TamaMonorail.TamaMonorail.Northbound,35.64247,139.40705,42
TamaMonorail.TamaMonorail.Northbound,35.64259,139.4064,43
TamaMonorail.TamaMonorail.Northbound,35.64267,139.40586,44
TamaMonorail.TamaMonorail.Northbound,35.64281,139.40527,45
TamaMonorail.TamaMonorail.Northbound,35.6429,139.40498,46
TamaMonorail.TamaMonorail.Northbound,35.64304,139.40463,47
TamaMonorail.TamaMonorail.Northbound,35.64316,139.40442,48
TamaMonorail.TamaMonorail.Northbound,35.64329,139.40428,49
TamaMonorail.TamaMonorail.Northbound,35.6434,139.40419,50
TamaMonorail.TamaMonorail.Northbound,35.64353,139.40413,51
TamaMonorail.TamaMonorail.Northbound,35.64357,139.40411,52
TamaMonorail.TamaMonorail.Northbound,35.64384,139.40403,53
TamaMonorail.TamaMonorail.Northbound,35.64406,139.40398,54
TamaMonorail.TamaMonorail.Northbound,35.6442,139.40397,55
TamaMonorail.TamaMonorail.Northbound,35.6444,139.40398,56
TamaMonorail.TamaMonorail.Northbound,35.64515,139.40403,57
TamaMonorail.TamaMonorail.Northbound,35.64544,139.40404,58
TamaMonorail.TamaMonorail.Northbound,35.64578,139.40395,59
TamaMonorail.TamaMonorail.Northbound,35.64599,139.40384,60
TamaMonorail.TamaMonorail.Northbound,35.6465,139.40357,61
TamaMonorail.TamaMonorail.Northbound,35.64671,139.40349,62
TamaMonorail.TamaMonorail.Northbound,35.64693,139.40349,63
TamaMonorail.TamaMonorail.Northbound,35.64725,139.40351,64
TamaMonorail.TamaMonorail.Northbound,35.64814,139.40371,65
TamaMonorail.TamaMonorail.Northbound,35.64821,139.40372,66
TamaMonorail.TamaMonorail.Northbound,35.64886,139.40391,67
TamaMonorail.TamaMonorail.Northbound,35.64894,139.40393,68
TamaMonorail.TamaMonorail.Northbound,35.6492,139.40401,69
TamaMonorail.TamaMonorail.Northbound,35.64936,139.40408,70
TamaMonorail.TamaMonorail.Northbound,35.6495,139.40422,71
TamaMonorail.TamaMonorail.Northbound,35.64968,139.40444,72
TamaMonorail.TamaMonorail.Northbound,35.64989,139.40478,73
TamaMonorail.TamaMonorail.Northbound,35.6501,139.40513,74
TamaMonorail.TamaMonorail.Northbound,35.65027,139.4055,75
TamaMonorail.TamaMonorail.Northbound,35.65041,139.40585,76
TamaMonorail.TamaMonorail.Northbound,35.6506,139.40666,77
TamaMonorail.TamaMonorail.Northbound,35.65069,139.40705,78
TamaMonorail.TamaMonorail.Northbound,35.6508,139.40734,79
TamaMonorail.TamaMonorail.Northbound,35.65093,139.40758,80
TamaMonorail.TamaMonorail.Northbound,35.65114,139.40783,81
TamaMonorail.TamaMonorail.Northbound,35.65142,139.40813,82
TamaMonorail.TamaMonorail.Northbound,35.65169,139.40829,83
TamaMonorail.TamaMonorail.Northbound,35.65223,139.40852,84
TamaMonorail.TamaMonorail.Northbound,35.65289,139.40875,85
TamaMonorail.TamaMonorail.Northbound,35.65313,139.40889,86
TamaMonorail.TamaMonorail.Northbound,35.65335,139.40902,87
TamaMonorail.TamaMonorail.Northbound,35.65353,139.40918,88
TamaMonorail.TamaMonorail.Northbound,35.65375,139.40939,89
TamaMonorail.TamaMonorail.Northbound,35.65394,139.40961,90
TamaMonorail.TamaMonorail.Northbound,35.65412,139.40986,91
TamaMonorail.TamaMonorail.Northbound,35.65431,139.41012,92
TamaMonorail.TamaMonorail.Northbound,35.65447,139.41028,93
TamaMonorail.TamaMonorail.Northbound,35.65466,139.41043,94
TamaMonorail.TamaMonorail.Northbound,35.65488,139.41055,95
TamaMonorail.TamaMonorail.Northbound,35.65492,139.41057,96
TamaMonorail.TamaMonorail.Northbound,35.65554,139.41094,97
TamaMonorail.TamaMonorail.Northbound,35.65561,139.41098,98
TamaMonorail.TamaMonorail.Northbound,35.65577,139.41108,99
TamaMonorail.TamaMonorail.Northbound,35.65594,139.41121,100
TamaMonorail.TamaMonorail.Northbound,35.6561,139.41135,101
TamaMonorail.TamaMonorail.Northbound,35.65624,139.41148,102
TamaMonorail.TamaMonorail.Northbound,35.65648,139.41171,103
TamaMonorail.TamaMonorail.Northbound,35.65678,139.41208,104
TamaMonorail.TamaMonorail.Northbound,35.65702,139.41238,105
TamaMonorail.TamaMonorail.Northbound,35.65727,139.41263,106
TamaMonorail.TamaMonorail.Northbound,35.65746,139.41281,107
TamaMonorail.TamaMonorail.Northbound,35.65766,139.41295,108
TamaMonorail.TamaMonorail.Northbound,35.65841,139.41338,109
TamaMonorail.TamaMonorail.Northbound,35.65879,139.41361,110
TamaMonorail.TamaMonorail.Northbound,35.65919,139.41389,111
TamaMonorail.TamaMonorail.Northbound,35.65954,139.41415,112
TamaMonorail.TamaMonorail.Northbound,35.66035,139.41484,113
TamaMonorail.TamaMonorail.Northbound,35.66071,139.41508,114
TamaMonorail.TamaMonorail.Northbound,35.6609,139.41514,115
TamaMonorail.TamaMonorail.Northbound,35.66095,139.41516,116
TamaMonorail.TamaMonorail.Northbound,35.66163,139.41531,117
TamaMonorail.TamaMonorail.Northbound,35.6617,139.41534,118
TamaMonorail.TamaMonorail.Northbound,35.66221,139.41553,119
TamaMonorail.TamaMonorail.Northbound,35.66224,139.41554,120
TamaMonorail.TamaMonorail.Northbound,35.66245,139.41566,121
TamaMonorail.TamaMonorail.Northbound,35.66259,139.41575,122
TamaMonorail.TamaMonorail.Northbound,35.66279,139.41593,123
TamaMonorail.TamaMonorail.Northbound,35.66307,139.41623,124
TamaMonorail.TamaMonorail.Northbound,35.66374,139.417,125
TamaMonorail.TamaMonorail.Northbound,35.66443,139.41778,126
TamaMonorail.TamaMonorail.Northbound,35.66501,139.41843,127
TamaMonorail.TamaMonorail.Northbound,35.6654,139.41879,128
TamaMonorail.TamaMonorail.Northbound,35.66587,139.41914,129
TamaMonorail.TamaMonorail.Northbound,35.66642,139.4195,130
TamaMonorail.TamaMonorail.Northbound,35.6676,139.4202,131
TamaMonorail.TamaMonorail.Northbound,35.66824,139.42052,132
TamaMonorail.TamaMonorail.Northbound,35.66853,139.42062,133
TamaMonorail.TamaMonorail.Northbound,35.66878,139.42062,134
TamaMonorail.TamaMonorail.Northbound,35.66922,139.42062,135
TamaMonorail.TamaMonorail.Northbound,35.6699,139.42052,136
TamaMonorail.TamaMonorail.Northbound,35.67026,139.42048,137
TamaMonorail.TamaMonorail.Northbound,35.67043,139.42044,138
TamaMonorail.TamaMonorail.Northbound,35.6706,139.42038,139
TamaMonorail.TamaMonorail.Northbound,35.67104,139.4201,140
TamaMonorail.TamaMonorail.Northbound,35.67159,139.41962,141
TamaMonorail.TamaMonorail.Northbound,35.67189,139.41926,142
TamaMonorail.TamaMonorail.Northbound,35.67239,139.41851,143
TamaMonorail.TamaMonorail.Northbound,35.67326,139.41714,144
TamaMonorail.TamaMonorail.Northbound,35.67448,139.41519,145
TamaMonorail.TamaMonorail.Northbound,35.67553,139.41351,146
TamaMonorail.TamaMonorail.Northbound,35.67716,139.41091,147
TamaMonorail.TamaMonorail.Northbound,35.67807,139.40946,148
TamaMonorail.TamaMonorail.Northbound,35.67843,139.40885,149
TamaMonorail.TamaMonorail.Northbound,35.67907,139.40777,150
TamaMonorail.TamaMonorail.Northbound,35.6799,139.40635,151
TamaMonorail.TamaMonorail.Northbound,35.68017,139.406,152
TamaMonorail.TamaMonorail.Northbound,35.68032,139.40589,153
TamaMonorail.TamaMonorail.Northbound,35.68049,139.40579,154
TamaMonorail.TamaMonorail.Northbound,35.6807,139.40572,155
TamaMonorail.TamaMonorail.Northbound,35.68085,139.40568,156
TamaMonorail.TamaMonorail.Northbound,35.681,139.40566,157
TamaMonorail.TamaMonorail.Northbound,35.68115,139.40565,158
TamaMonorail.TamaMonorail.Northbound,35.6813,139.40567,159
TamaMonorail.TamaMonorail.Northbound,35.68141,139.4057,160
TamaMonorail.TamaMonorail.Northbound,35.68163,139.40578,161
TamaMonorail.TamaMonorail.Northbound,35.68243,139.40616,162
TamaMonorail.TamaMonorail.Northbound,35.68297,139.40642,163
TamaMonorail.TamaMonorail.Northbound,35.68376,139.40677,164
TamaMonorail.TamaMonorail.Northbound,35.68477,139.4072,165
TamaMonorail.TamaMonorail.Northbound,35.68509,139.40734,166
TamaMonorail.TamaMonorail.Northbound,35.68553,139.40754,167
TamaMonorail.TamaMonorail.Northbound,35.6864,139.40789,168
TamaMonorail.TamaMonorail.Northbound,35.68753,139.40835,169
TamaMonorail.TamaMonorail.Northbound,35.68906,139.40898,170
TamaMonorail.TamaMonorail.Northbound,35.68954,139.40916,171
TamaMonorail.TamaMonorail.Northbound,35.69006,139.4094,172
TamaMonorail.TamaMonorail.Northbound,35.69109,139.40983,173
TamaMonorail.TamaMonorail.Northbound,35.69159,139.41007,174
TamaMonorail.TamaMonorail.Northbound,35.69309,139.41087,175
TamaMonorail.TamaMonorail.Northbound,35.69404,139.41139,176
TamaMonorail.TamaMonorail.Northbound,35.69587,139.41241,177
TamaMonorail.TamaMonorail.Northbound,35.69647,139.41274,178
TamaMonorail.TamaMonorail.Northbound,35.69689,139.41296,179
TamaMonorail.TamaMonorail.Northbound,35.69707,139.41305,180
TamaMonorail.TamaMonorail.Northbound,35.69719,139.41308,181
TamaMonorail.TamaMonorail.Northbound,35.69729,139.41309,182
TamaMonorail.TamaMonorail.Northbound,35.69741,139.41307,183
TamaMonorail.TamaMonorail.Northbound,35.6975,139.41305,184
TamaMonorail.TamaMonorail.Northbound,35.69759,139.41302,185
TamaMonorail.TamaMonorail.Northbound,35.69774,139.41295,186
TamaMonorail.TamaMonorail.Northbound,35.69798,139.41282,187
TamaMonorail.TamaMonorail.Northbound,35.69817,139.41271,188
TamaMonorail.TamaMonorail.Northbound,35.6983,139.41266,189
TamaMonorail.TamaMonorail.Northbound,35.6984,139.41263,190
TamaMonorail.TamaMonorail.Northbound,35.69908,139.41264,191
TamaMonorail.TamaMonorail.Northbound,35.69997,139.41269,192
TamaMonorail.TamaMonorail.Northbound,35.70417,139.41271,193
TamaMonorail.TamaMonorail.Northbound,35.706,139.41271,194
TamaMonorail.TamaMonorail.Northbound,35.70778,139.41271,195
TamaMonorail.TamaMonorail.Northbound,35.70898,139.41271,196
TamaMonorail.TamaMonorail.Northbound,35.70905,139.41271,197
TamaMonorail.TamaMonorail.Northbound,35.70921,139.41273,198
TamaMonorail.TamaMonorail.Northbound,35.70935,139.41277,199
TamaMonorail.TamaMonorail.Northbound,35.70948,139.41284,200
TamaMonorail.TamaMonorail.Northbound,35.70967,139.41295,201
TamaMonorail.TamaMonorail.Northbound,35.70984,139.41308,202
TamaMonorail.TamaMonorail.Northbound,35.71025,139.41347,203
TamaMonorail.TamaMonorail.Northbound,35.7104,139.41361,204
TamaMonorail.TamaMonorail.Northbound,35.7111,139.41426,205
TamaMonorail.TamaMonorail.Northbound,35.71405,139.41687,206
TamaMonorail.TamaMonorail.Northbound,35.71449,139.41727,207
TamaMonorail.TamaMonorail.Northbound,35.71642,139.41897,208
TamaMonorail.TamaMonorail.Northbound,35.71738,139.41984,209
TamaMonorail.TamaMonorail.Northbound,35.71751,139.41993,210
TamaMonorail.TamaMonorail.Northbound,35.71758,139.41998,211
TamaMonorail.TamaMonorail.Northbound,35.71766,139.42001,212
TamaMonorail.TamaMonorail.Northbound,35.71772,139.42002,213
TamaMonorail.TamaMonorail.Northbound,35.71783,139.42002,214
TamaMonorail.TamaMonorail.Northbound,35.71791,139.42001,215
TamaMonorail.TamaMonorail.Northbound,35.71798,139.41999,216
TamaMonorail.TamaMonorail.Northbound,35.71817,139.41991,217
TamaMonorail.TamaMonorail.Northbound,35.71831,139.41984,218
TamaMonorail.TamaMonorail.Northbound,35.71856,139.41972,219
