shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Toei.Arakawa.Toei.Minowabashi,35.71181,139.71929,0
Toei.Arakawa.Toei.Minowabashi,35.71194,139.71882,1
Toei.Arakawa.Toei.Minowabashi,35.71243,139.71697,2
Toei.Arakawa.Toei.Minowabashi,35.71277,139.7151,3
Toei.Arakawa.Toei.Minowabashi,35.71281,139.71492,4
Toei.Arakawa.Toei.Minowabashi,35.7129,139.71443,5
Toei.Arakawa.Toei.Minowabashi,35.71292,139.7143,6
Toei.Arakawa.Toei.Minowabashi,35.714,139.71219,7
Toei.Arakawa.Toei.Minowabashi,35.71412,139.71201,8
Toei.Arakawa.Toei.Minowabashi,35.7142,139.71193,9
Toei.Arakawa.Toei.Minowabashi,35.71435,139.71188,10
Toei.Arakawa.Toei.Minowabashi,35.71451,139.71186,11
Toei.Arakawa.Toei.Minowabashi,35.71468,139.71189,12
Toei.Arakawa.Toei.Minowabashi,35.71479,139.71191,13
Toei.Arakawa.Toei.Minowabashi,35.71494,139.71195,14
Toei.Arakawa.Toei.Minowabashi,35.71554,139.71221,15
Toei.Arakawa.Toei.Minowabashi,35.71596,139.71241,16
Toei.Arakawa.Toei.Minowabashi,35.71645,139.71265,17
Toei.Arakawa.Toei.Minowabashi,35.71807,139.71344,18
Toei.Arakawa.Toei.Minowabashi,35.71842,139.71366,19
Toei.Arakawa.Toei.Minowabashi,35.7204,139.71502,20
Toei.Arakawa.Toei.Minowabashi,35.72076,139.71529,21
Toei.Arakawa.Toei.Minowabashi,35.72139,139.71577,22
Toei.Arakawa.Toei.Minowabashi,35.72382,139.71756,23
Toei.Arakawa.Toei.Minowabashi,35.72405,139.71779,24
Toei.Arakawa.Toei.Minowabashi,35.72433,139.7181,25
Toei.Arakawa.Toei.Minowabashi,35.7245,139.71838,26
Toei.Arakawa.Toei.Minowabashi,35.72472,139.71883,27
Toei.Arakawa.Toei.Minowabashi,35.7254,139.7205,28
Toei.Arakawa.Toei.Minowabashi,35.7256,139.72097,29
Toei.Arakawa.Toei.Minowabashi,35.72566,139.72112,30
Toei.Arakawa.Toei.Minowabashi,35.72619,139.72231,31
Toei.Arakawa.Toei.Minowabashi,35.7264,139.72263,32
Toei.Arakawa.Toei.Minowabashi,35.72662,139.7229,33
Toei.Arakawa.Toei.Minowabashi,35.7268,139.72308,34
Toei.Arakawa.Toei.Minowabashi,35.72736,139.72358,35
Toei.Arakawa.Toei.Minowabashi,35.72808,139.72415,36
Toei.Arakawa.Toei.Minowabashi,35.7286,139.72463,37
Toei.Arakawa.Toei.Minowabashi,35.72893,139.72498,38
Toei.Arakawa.Toei.Minowabashi,35.72989,139.72602,39
Toei.Arakawa.Toei.Minowabashi,35.73004,139.72623,40
Toei.Arakawa.Toei.Minowabashi,35.7305,139.72718,41
Toei.Arakawa.Toei.Minowabashi,35.73087,139.72794,42
Toei.Arakawa.Toei.Minowabashi,35.73094,139.72815,43
Toei.Arakawa.Toei.Minowabashi,35.73096,139.72831,44
Toei.Arakawa.Toei.Minowabashi,35.73093,139.72862,45
Toei.Arakawa.Toei.Minowabashi,35.73091,139.72887,46
Toei.Arakawa.Toei.Minowabashi,35.73094,139.72895,47
Toei.Arakawa.Toei.Minowabashi,35.73102,139.72902,48
Toei.Arakawa.Toei.Minowabashi,35.73115,139.72917,49
Toei.Arakawa.Toei.Minowabashi,35.73145,139.7294,50
Toei.Arakawa.Toei.Minowabashi,35.73179,139.72951,51
Toei.Arakawa.Toei.Minowabashi,35.73226,139.7296,52
Toei.Arakawa.Toei.Minowabashi,35.73241,139.72959,53
Toei.Arakawa.Toei.Minowabashi,35.73267,139.72953,54
Toei.Arakawa.Toei.Minowabashi,35.73315,139.72928,55
Toei.Arakawa.Toei.Minowabashi,35.73369,139.72897,56
Toei.Arakawa.Toei.Minowabashi,35.73496,139.72804,57
Toei.Arakawa.Toei.Minowabashi,35.73536,139.72778,58
Toei.Arakawa.Toei.Minowabashi,35.73602,139.72742,59
Toei.Arakawa.Toei.Minowabashi,35.73616,139.7274,60
Toei.Arakawa.Toei.Minowabashi,35.73631,139.7274,61
Toei.Arakawa.Toei.Minowabashi,35.73648,139.72745,62
Toei.Arakawa.Toei.Minowabashi,35.73665,139.72756,63
Toei.Arakawa.Toei.Minowabashi,35.73689,139.72778,64
Toei.Arakawa.Toei.Minowabashi,35.73763,139.72847,65
Toei.Arakawa.Toei.Minowabashi,35.73824,139.729,66
Toei.Arakawa.Toei.Minowabashi,35.73863,139.72931,67
Toei.Arakawa.Toei.Minowabashi,35.73892,139.72947,68
Toei.Arakawa.Toei.Minowabashi,35.73933,139.72964,69
Toei.Arakawa.Toei.Minowabashi,35.74092,139.73024,70
Toei.Arakawa.Toei.Minowabashi,35.74129,139.73046,71
Toei.Arakawa.Toei.Minowabashi,35.74161,139.73069,72
Toei.Arakawa.Toei.Minowabashi,35.74321,139.73192,73
Toei.Arakawa.Toei.Minowabashi,35.7436,139.73222,74
Toei.Arakawa.Toei.Minowabashi,35.74404,139.73254,75
Toei.Arakawa.Toei.Minowabashi,35.74443,139.73283,76
Toei.Arakawa.Toei.Minowabashi,35.74462,139.73297,77
Toei.Arakawa.Toei.Minowabashi,35.7448,139.73318,78
Toei.Arakawa.Toei.Minowabashi,35.74521,139.73373,79
Toei.Arakawa.Toei.Minowabashi,35.74558,139.73416,80
Toei.Arakawa.Toei.Minowabashi,35.74589,139.73443,81
Toei.Arakawa.Toei.Minowabashi,35.74627,139.7347,82
Toei.Arakawa.Toei.Minowabashi,35.74718,139.73533,83
Toei.Arakawa.Toei.Minowabashi,35.74742,139.7355,84
Toei.Arakawa.Toei.Minowabashi,35.74938,139.73686,85
Toei.Arakawa.Toei.Minowabashi,35.74989,139.73721,86
Toei.Arakawa.Toei.Minowabashi,35.75024,139.73743,87
Toei.Arakawa.Toei.Minowabashi,35.75035,139.7375,88
Toei.Arakawa.Toei.Minowabashi,35.75053,139.73752,89
Toei.Arakawa.Toei.Minowabashi,35.75069,139.73745,90
Toei.Arakawa.Toei.Minowabashi,35.75175,139.73663,91
Toei.Arakawa.Toei.Minowabashi,35.75197,139.73647,92
Toei.Arakawa.Toei.Minowabashi,35.75216,139.73638,93
Toei.Arakawa.Toei.Minowabashi,35.75228,139.73639,94
Toei.Arakawa.Toei.Minowabashi,35.75244,139.73645,95
Toei.Arakawa.Toei.Minowabashi,35.75257,139.73655,96
Toei.Arakawa.Toei.Minowabashi,35.75269,139.7367,97
Toei.Arakawa.Toei.Minowabashi,35.75283,139.73696,98
Toei.Arakawa.Toei.Minowabashi,35.75289,139.73712,99
Toei.Arakawa.Toei.Minowabashi,35.75295,139.73738,100
Toei.Arakawa.Toei.Minowabashi,35.75289,139.73798,101
Toei.Arakawa.Toei.Minowabashi,35.75274,139.73824,102
Toei.Arakawa.Toei.Minowabashi,35.75256,139.73846,103
Toei.Arakawa.Toei.Minowabashi,35.75236,139.73871,104
Toei.Arakawa.Toei.Minowabashi,35.75194,139.73917,105
Toei.Arakawa.Toei.Minowabashi,35.75151,139.7397,106
Toei.Arakawa.Toei.Minowabashi,35.75085,139.74051,107
Toei.Arakawa.Toei.Minowabashi,35.75077,139.74062,108
Toei.Arakawa.Toei.Minowabashi,35.75075,139.74096,109
Toei.Arakawa.Toei.Minowabashi,35.75082,139.74193,110
Toei.Arakawa.Toei.Minowabashi,35.75086,139.74251,111
Toei.Arakawa.Toei.Minowabashi,35.7509,139.74295,112
Toei.Arakawa.Toei.Minowabashi,35.75102,139.74483,113
Toei.Arakawa.Toei.Minowabashi,35.75104,139.74579,114
Toei.Arakawa.Toei.Minowabashi,35.75108,139.74677,115
Toei.Arakawa.Toei.Minowabashi,35.75107,139.74697,116
Toei.Arakawa.Toei.Minowabashi,35.75107,139.74702,117
Toei.Arakawa.Toei.Minowabashi,35.75107,139.74758,118
Toei.Arakawa.Toei.Minowabashi,35.75106,139.74784,119
Toei.Arakawa.Toei.Minowabashi,35.75103,139.74865,120
Toei.Arakawa.Toei.Minowabashi,35.75098,139.74984,121
Toei.Arakawa.Toei.Minowabashi,35.75098,139.74993,122
Toei.Arakawa.Toei.Minowabashi,35.75097,139.75006,123
Toei.Arakawa.Toei.Minowabashi,35.75095,139.75054,124
Toei.Arakawa.Toei.Minowabashi,35.75094,139.75078,125
Toei.Arakawa.Toei.Minowabashi,35.75092,139.7514,126
Toei.Arakawa.Toei.Minowabashi,35.7509,139.75169,127
Toei.Arakawa.Toei.Minowabashi,35.7509,139.75181,128
Toei.Arakawa.Toei.Minowabashi,35.75088,139.7524,129
Toei.Arakawa.Toei.Minowabashi,35.75087,139.75256,130
Toei.Arakawa.Toei.Minowabashi,35.75085,139.75305,131
Toei.Arakawa.Toei.Minowabashi,35.75083,139.7535,132
Toei.Arakawa.Toei.Minowabashi,35.75082,139.75356,133
Toei.Arakawa.Toei.Minowabashi,35.75079,139.75433,134
Toei.Arakawa.Toei.Minowabashi,35.75077,139.75474,135
Toei.Arakawa.Toei.Minowabashi,35.75076,139.75501,136
Toei.Arakawa.Toei.Minowabashi,35.75075,139.75513,137
Toei.Arakawa.Toei.Minowabashi,35.75072,139.75579,138
Toei.Arakawa.Toei.Minowabashi,35.75068,139.75679,139
Toei.Arakawa.Toei.Minowabashi,35.75066,139.7572,140
Toei.Arakawa.Toei.Minowabashi,35.75065,139.75741,141
Toei.Arakawa.Toei.Minowabashi,35.75064,139.75775,142
Toei.Arakawa.Toei.Minowabashi,35.75064,139.75789,143
Toei.Arakawa.Toei.Minowabashi,35.75061,139.75861,144
