shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Toei.NipporiToneri.Outbound,35.72854,139.77086,0
Toei.NipporiToneri.Outbound,35.72905,139.77146,1
Toei.NipporiToneri.Outbound,35.72938,139.77184,2
Toei.NipporiToneri.Outbound,35.72951,139.77195,3
Toei.NipporiToneri.Outbound,35.72969,139.77193,4
Toei.NipporiToneri.Outbound,35.73092,139.77052,5
Toei.NipporiToneri.Outbound,35.73155,139.76974,6
Toei.NipporiToneri.Outbound,35.73269,139.76824,7
Toei.NipporiToneri.Outbound,35.73289,139.76809,8
Toei.NipporiToneri.Outbound,35.73327,139.76809,9
Toei.NipporiToneri.Outbound,35.7341,139.76817,10
Toei.NipporiToneri.Outbound,35.73584,139.76835,11
Toei.NipporiToneri.Outbound,35.73771,139.76858,12
Toei.NipporiToneri.Outbound,35.73903,139.76876,13
Toei.NipporiToneri.Outbound,35.73972,139.7688,14
Toei.NipporiToneri.Outbound,35.74275,139.7691,15
Toei.NipporiToneri.Outbound,35.74337,139.76916,16
Toei.NipporiToneri.Outbound,35.74542,139.76936,17
Toei.NipporiToneri.Outbound,35.74741,139.76983,18
Toei.NipporiToneri.Outbound,35.74785,139.76988,19
Toei.NipporiToneri.Outbound,35.74864,139.76997,20
Toei.NipporiToneri.Outbound,35.74902,139.77001,21
Toei.NipporiToneri.Outbound,35.75317,139.77001,22
Toei.NipporiToneri.Outbound,35.75438,139.77017,23
Toei.NipporiToneri.Outbound,35.75489,139.77024,24
Toei.NipporiToneri.Outbound,35.75766,139.77061,25
Toei.NipporiToneri.Outbound,35.75966,139.7709,26
Toei.NipporiToneri.Outbound,35.76022,139.77099,27
Toei.NipporiToneri.Outbound,35.76243,139.77104,28
Toei.NipporiToneri.Outbound,35.76283,139.77092,29
Toei.NipporiToneri.Outbound,35.76375,139.77086,30
Toei.NipporiToneri.Outbound,35.76452,139.77084,31
Toei.NipporiToneri.Outbound,35.76784,139.77075,32
Toei.NipporiToneri.Outbound,35.76867,139.77069,33
Toei.NipporiToneri.Outbound,35.77309,139.77039,34
Toei.NipporiToneri.Outbound,35.77338,139.77037,35
Toei.NipporiToneri.Outbound,35.77419,139.77032,36
Toei.NipporiToneri.Outbound,35.77666,139.77016,37
Toei.NipporiToneri.Outbound,35.77872,139.77016,38
Toei.NipporiToneri.Outbound,35.78083,139.77014,39
Toei.NipporiToneri.Outbound,35.78149,139.77014,40
Toei.NipporiToneri.Outbound,35.78584,139.7701,41
Toei.NipporiToneri.Outbound,35.78843,139.7701,42
Toei.NipporiToneri.Outbound,35.78893,139.7701,43
Toei.NipporiToneri.Outbound,35.79621,139.77012,44
Toei.NipporiToneri.Outbound,35.79712,139.77012,45
Toei.NipporiToneri.Outbound,35.80201,139.77019,46
Toei.NipporiToneri.Outbound,35.8055,139.77014,47
Toei.NipporiToneri.Outbound,35.80594,139.77013,48
Toei.NipporiToneri.Outbound,35.80815,139.7701,49
Toei.NipporiToneri.Outbound,35.81128,139.77007,50
Toei.NipporiToneri.Outbound,35.81267,139.77041,51
Toei.NipporiToneri.Outbound,35.81376,139.77061,52
Toei.NipporiToneri.Outbound,35.81442,139.77068,53
Toei.NipporiToneri.Outbound,35.81479,139.77072,54
Toei.NipporiToneri.Inbound,35.72854,139.77086,54
Toei.NipporiToneri.Inbound,35.72905,139.77146,53
Toei.NipporiToneri.Inbound,35.72938,139.77184,52
Toei.NipporiToneri.Inbound,35.72951,139.77195,51
Toei.NipporiToneri.Inbound,35.72969,139.77193,50
Toei.NipporiToneri.Inbound,35.73092,139.77052,49
Toei.NipporiToneri.Inbound,35.73155,139.76974,48
Toei.NipporiToneri.Inbound,35.73269,139.76824,47
Toei.NipporiToneri.Inbound,35.73289,139.76809,46
Toei.NipporiToneri.Inbound,35.73327,139.76809,45
Toei.NipporiToneri.Inbound,35.7341,139.76817,44
Toei.NipporiToneri.Inbound,35.73584,139.76835,43
Toei.NipporiToneri.Inbound,35.73771,139.76858,42
Toei.NipporiToneri.Inbound,35.73903,139.76876,41
Toei.NipporiToneri.Inbound,35.73972,139.7688,40
Toei.NipporiToneri.Inbound,35.74275,139.7691,39
Toei.NipporiToneri.Inbound,35.74337,139.76916,38
Toei.NipporiToneri.Inbound,35.74542,139.76936,37
Toei.NipporiToneri.Inbound,35.74741,139.76983,36
Toei.NipporiToneri.Inbound,35.74785,139.76988,35
Toei.NipporiToneri.Inbound,35.74864,139.76997,34
Toei.NipporiToneri.Inbound,35.74902,139.77001,33
Toei.NipporiToneri.Inbound,35.75317,139.77001,32
Toei.NipporiToneri.Inbound,35.75438,139.77017,31
Toei.NipporiToneri.Inbound,35.75489,139.77024,30
Toei.NipporiToneri.Inbound,35.75766,139.77061,29
Toei.NipporiToneri.Inbound,35.75966,139.7709,28
Toei.NipporiToneri.Inbound,35.76022,139.77099,27
Toei.NipporiToneri.Inbound,35.76243,139.77104,26
Toei.NipporiToneri.Inbound,35.76283,139.77092,25
Toei.NipporiToneri.Inbound,35.76375,139.77086,24
Toei.NipporiToneri.Inbound,35.76452,139.77084,23
Toei.NipporiToneri.Inbound,35.76784,139.77075,22
Toei.NipporiToneri.Inbound,35.76867,139.77069,21
Toei.NipporiToneri.Inbound,35.77309,139.77039,20
Toei.NipporiToneri.Inbound,35.77338,139.77037,19
Toei.NipporiToneri.Inbound,35.77419,139.77032,18
Toei.NipporiToneri.Inbound,35.77666,139.77016,17
Toei.NipporiToneri.Inbound,35.77872,139.77016,16
Toei.NipporiToneri.Inbound,35.78083,139.77014,15
Toei.NipporiToneri.Inbound,35.78149,139.77014,14
Toei.NipporiToneri.Inbound,35.78584,139.7701,13
Toei.NipporiToneri.Inbound,35.78843,139.7701,12
Toei.NipporiToneri.Inbound,35.78893,139.7701,11
Toei.NipporiToneri.Inbound,35.79621,139.77012,10
Toei.NipporiToneri.Inbound,35.79712,139.77012,9
Toei.NipporiToneri.Inbound,35.80201,139.77019,8
Toei.NipporiToneri.Inbound,35.8055,139.77014,7
Toei.NipporiToneri.Inbound,35.80594,139.77013,6
Toei.NipporiToneri.Inbound,35.80815,139.7701,5
Toei.NipporiToneri.Inbound,35.81128,139.77007,4
Toei.NipporiToneri.Inbound,35.81267,139.77041,3
Toei.NipporiToneri.Inbound,35.81376,139.77061,2
Toei.NipporiToneri.Inbound,35.81442,139.77068,1
Toei.NipporiToneri.Inbound,35.81479,139.77072,0
