shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Toei.Oedo.InnerLoop,35.69085,139.69428,146
Toei.Oedo.InnerLoop,35.69073,139.69345,145
Toei.Oedo.InnerLoop,35.69045,139.6918,144
Toei.Oedo.InnerLoop,35.69011,139.68952,143
Toei.Oedo.InnerLoop,35.69006,139.68912,142
Toei.Oedo.InnerLoop,35.6901,139.68849,141
Toei.Oedo.InnerLoop,35.69016,139.68794,140
Toei.Oedo.InnerLoop,35.69041,139.68694,139
Toei.Oedo.InnerLoop,35.69046,139.68647,138
Toei.Oedo.InnerLoop,35.69043,139.686,137
Toei.Oedo.InnerLoop,35.69038,139.68569,136
Toei.Oedo.InnerLoop,35.6902,139.68535,135
Toei.Oedo.InnerLoop,35.6896,139.68398,134
Toei.Oedo.InnerLoop,35.6894,139.68337,133
Toei.Oedo.InnerLoop,35.68938,139.68332,132
Toei.Oedo.InnerLoop,35.68942,139.68271,131
Toei.Oedo.InnerLoop,35.68963,139.68217,130
Toei.Oedo.InnerLoop,35.68997,139.68193,129
Toei.Oedo.InnerLoop,35.69041,139.6818,128
Toei.Oedo.InnerLoop,35.69069,139.6818,127
Toei.Oedo.InnerLoop,35.69093,139.68181,126
Toei.Oedo.InnerLoop,35.69165,139.68188,125
Toei.Oedo.InnerLoop,35.69289,139.6821,124
Toei.Oedo.InnerLoop,35.69656,139.68287,123
Toei.Oedo.InnerLoop,35.69699,139.68291,122
Toei.Oedo.InnerLoop,35.69717,139.68293,121
Toei.Oedo.InnerLoop,35.69858,139.68299,120
Toei.Oedo.InnerLoop,35.70042,139.68304,119
Toei.Oedo.InnerLoop,35.70085,139.68298,118
Toei.Oedo.InnerLoop,35.70184,139.68254,117
Toei.Oedo.InnerLoop,35.70219,139.68246,116
Toei.Oedo.InnerLoop,35.70246,139.68244,115
Toei.Oedo.InnerLoop,35.7031,139.68246,114
Toei.Oedo.InnerLoop,35.7039,139.68252,113
Toei.Oedo.InnerLoop,35.70593,139.68275,112
Toei.Oedo.InnerLoop,35.70637,139.68283,111
Toei.Oedo.InnerLoop,35.70672,139.68296,110
Toei.Oedo.InnerLoop,35.70802,139.68354,109
Toei.Oedo.InnerLoop,35.71033,139.68463,108
Toei.Oedo.InnerLoop,35.71055,139.68473,107
Toei.Oedo.InnerLoop,35.71117,139.68502,106
Toei.Oedo.InnerLoop,35.71321,139.686,105
Toei.Oedo.InnerLoop,35.71452,139.68662,104
Toei.Oedo.InnerLoop,35.715,139.68683,103
Toei.Oedo.InnerLoop,35.71562,139.68713,102
Toei.Oedo.InnerLoop,35.71744,139.68798,101
Toei.Oedo.InnerLoop,35.71795,139.68823,100
Toei.Oedo.InnerLoop,35.71825,139.68835,99
Toei.Oedo.InnerLoop,35.71841,139.68842,98
Toei.Oedo.InnerLoop,35.71879,139.68849,97
Toei.Oedo.InnerLoop,35.71915,139.68844,96
Toei.Oedo.InnerLoop,35.71956,139.68827,95
