shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71107,139.79803,0
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71072,139.79775,1
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71042,139.79752,2
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70976,139.79697,3
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70949,139.79673,4
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70928,139.79646,5
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70909,139.79593,6
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70898,139.79518,7
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70915,139.79428,8
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.7093,139.79347,9
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70937,139.79307,10
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70942,139.79279,11
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70953,139.7922,12
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70968,139.79139,13
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70981,139.79081,14
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.7099,139.79043,15
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71001,139.7898,16
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71003,139.78967,17
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71016,139.789,18
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71031,139.78823,19
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71039,139.78776,20
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71045,139.7875,21
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71058,139.78678,22
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71066,139.78631,23
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71076,139.78579,24
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71088,139.78505,25
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71109,139.7839,26
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71124,139.78303,27
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71126,139.78291,28
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71144,139.78194,29
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71151,139.78151,30
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71153,139.78143,31
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71168,139.78056,32
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71169,139.78051,33
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71176,139.78011,34
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71195,139.77907,35
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71197,139.77896,36
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71207,139.77839,37
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.7121,139.77817,38
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71215,139.7779,39
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71225,139.77743,40
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71223,139.77709,41
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71213,139.7767,42
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71175,139.77531,43
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71163,139.77487,44
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71154,139.77455,45
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71145,139.7743,46
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71122,139.77414,47
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71054,139.77383,48
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.71038,139.77376,49
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70977,139.77354,50
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70961,139.77347,51
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70937,139.77339,52
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70916,139.77333,53
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70882,139.77324,54
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70838,139.77315,55
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70726,139.7729,56
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70716,139.77285,57
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70708,139.77281,58
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70658,139.77254,59
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70635,139.77241,60
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70587,139.77215,61
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70571,139.77209,62
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70519,139.77202,63
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70509,139.772,64
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70448,139.77195,65
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70381,139.77188,66
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70363,139.77186,67
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70319,139.77181,68
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70296,139.77178,69
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70237,139.77172,70
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70186,139.77166,71
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70138,139.7716,72
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70095,139.77156,73
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.70082,139.77154,74
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.7002,139.77146,75
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69967,139.7714,76
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69768,139.7712,77
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69744,139.77114,78
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69692,139.77095,79
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69581,139.77047,80
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69534,139.77032,81
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69515,139.77032,82
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69485,139.77043,83
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69427,139.77066,84
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69414,139.77071,85
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69329,139.77107,86
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69315,139.77113,87
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69203,139.77155,88
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69158,139.77176,89
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.69094,139.77205,90
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.6902,139.77234,91
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68993,139.77246,92
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68974,139.77254,93
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68938,139.77269,94
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68904,139.77282,95
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68864,139.77299,96
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68785,139.7733,97
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68764,139.77339,98
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68747,139.77346,99
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68679,139.77374,100
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68671,139.77378,101
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68628,139.77396,102
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68546,139.77429,103
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68485,139.77455,104
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68464,139.77461,105
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68433,139.77456,106
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68378,139.7744,107
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68356,139.77433,108
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68347,139.7743,109
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68252,139.77373,110
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.6822,139.77354,111
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68195,139.77338,112
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68156,139.77313,113
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68138,139.77302,114
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.6808,139.77265,115
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68038,139.77238,116
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.68003,139.77216,117
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.67968,139.77194,118
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.6793,139.7717,119
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.67878,139.77138,120
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.67812,139.77098,121
TokyoMetro.Ginza.TokyoMetro.Shibuya,35.67776,139.77076,122
