shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.65945,139.69997,0
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.65945,139.7021,1
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.65993,139.70487,2
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66027,139.70604,3
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66074,139.70672,4
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66164,139.70817,5
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66211,139.70893,6
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66295,139.71018,7
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66298,139.71022,8
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66334,139.71069,9
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66399,139.71134,10
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66441,139.71171,11
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.6652,139.71244,12
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66588,139.71305,13
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.66913,139.71582,14
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67001,139.71657,15
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67009,139.7167,16
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.6702,139.71689,17
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67033,139.71717,18
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67067,139.71801,19
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67075,139.71833,20
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67093,139.71876,21
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67191,139.72107,22
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.6724,139.72233,23
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67264,139.72311,24
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67293,139.72399,25
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67327,139.72504,26
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67374,139.72637,27
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67382,139.72659,28
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67421,139.72789,29
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67462,139.72917,30
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.6749,139.73025,31
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67504,139.73074,32
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67523,139.73126,33
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67567,139.73209,34
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67626,139.73312,35
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67777,139.73566,36
TokyoMetro.Hanzomon.TokyoMetro.Oshiage,35.67801,139.73601,37
