shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69701,139.68284,0
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69716,139.68157,1
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69736,139.67994,2
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69758,139.67806,3
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69766,139.67706,4
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69767,139.67591,5
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69697,139.67483,6
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69656,139.67433,7
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69628,139.67409,8
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69613,139.67409,9
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69562,139.67415,10
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69453,139.67433,11
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69312,139.6745,12
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69243,139.67453,13
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69207,139.67448,14
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69177,139.67416,15
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69159,139.6739,16
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69136,139.67348,17
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69134,139.67304,18
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69129,139.67245,19
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.6911,139.67074,20
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69089,139.6689,21
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69075,139.66741,22
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69063,139.66699,23
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.69058,139.66689,24
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.6904,139.66654,25
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68989,139.66566,26
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68963,139.66518,27
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68925,139.66459,28
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68898,139.66428,29
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68881,139.66415,30
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68855,139.66401,31
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68833,139.66392,32
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68805,139.66388,33
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68756,139.66383,34
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68719,139.66374,35
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68671,139.66359,36
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68577,139.66328,37
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68508,139.66302,38
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68493,139.66282,39
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68478,139.66252,40
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68438,139.66108,41
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68418,139.66045,42
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68402,139.65995,43
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68367,139.65867,44
TokyoMetro.MarunouchiBranch.TokyoMetro.Honancho,35.68336,139.6572,45
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69701,139.68284,45
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69716,139.68157,44
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69736,139.67994,43
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69758,139.67806,42
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69766,139.67706,41
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69767,139.67591,40
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69697,139.67483,39
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69656,139.67433,38
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69628,139.67409,37
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69613,139.67409,36
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69562,139.67415,35
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69453,139.67433,34
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69312,139.6745,33
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69243,139.67453,32
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69207,139.67448,31
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69177,139.67416,30
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69159,139.6739,29
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69136,139.67348,28
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69134,139.67304,27
TokyoMetro.MarunouchiBranch.TokyoMetro.NakanoSakaue,35.69129,139.67245,26
