shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70671,139.95979,0
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70696,139.95935,1
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70777,139.95798,2
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70782,139.95788,3
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70852,139.95648,4
TokyoMetro.Tozai.TokyoMetro.Nakano,35.7088,139.95595,5
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70935,139.95466,6
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70982,139.95343,7
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70988,139.95328,8
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70994,139.95307,9
TokyoMetro.Tozai.TokyoMetro.Nakano,35.71,139.9528,10
TokyoMetro.Tozai.TokyoMetro.Nakano,35.71002,139.95264,11
TokyoMetro.Tozai.TokyoMetro.Nakano,35.71008,139.95228,12
TokyoMetro.Tozai.TokyoMetro.Nakano,35.7101,139.95199,13
TokyoMetro.Tozai.TokyoMetro.Nakano,35.71011,139.95166,14
TokyoMetro.Tozai.TokyoMetro.Nakano,35.71008,139.95097,15
TokyoMetro.Tozai.TokyoMetro.Nakano,35.71004,139.95071,16
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70996,139.95026,17
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70975,139.94955,18
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70965,139.94925,19
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70941,139.94872,20
TokyoMetro.Tozai.TokyoMetro.Nakano,35.7093,139.94849,21
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70917,139.94831,22
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70907,139.94818,23
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70893,139.948,24
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70865,139.94767,25
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70792,139.94689,26
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70789,139.94686,27
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70596,139.94478,28
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70401,139.94267,29
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70396,139.9426,30
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70264,139.94123,31
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70258,139.94116,32
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70189,139.94037,33
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70103,139.93941,34
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70046,139.93868,35
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70043,139.93864,36
TokyoMetro.Tozai.TokyoMetro.Nakano,35.70006,139.93811,37
TokyoMetro.Tozai.TokyoMetro.Nakano,35.69918,139.93668,38
TokyoMetro.Tozai.TokyoMetro.Nakano,35.69845,139.93536,39
TokyoMetro.Tozai.TokyoMetro.Nakano,35.69653,139.93204,40
TokyoMetro.Tozai.TokyoMetro.Nakano,35.69517,139.92971,41
TokyoMetro.Tozai.TokyoMetro.Nakano,35.6949,139.92926,42
TokyoMetro.Tozai.TokyoMetro.Nakano,35.69457,139.92873,43
TokyoMetro.Tozai.TokyoMetro.Nakano,35.69429,139.9283,44
TokyoMetro.Tozai.TokyoMetro.Nakano,35.694,139.9279,45
TokyoMetro.Tozai.TokyoMetro.Nakano,35.69357,139.92736,46
TokyoMetro.Tozai.TokyoMetro.Nakano,35.69312,139.9268,47
TokyoMetro.Tozai.TokyoMetro.Nakano,35.69268,139.92628,48
TokyoMetro.Tozai.TokyoMetro.Nakano,35.69226,139.92578,49
