shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Tokyu.Ikegami.Inbound,35.56179,139.71501,0
Tokyu.Ikegami.Inbound,35.56175,139.71417,1
Tokyu.Ikegami.Inbound,35.56175,139.71409,2
Tokyu.Ikegami.Inbound,35.56176,139.71382,3
Tokyu.Ikegami.Inbound,35.56176,139.7137,4
Tokyu.Ikegami.Inbound,35.56176,139.7126,5
Tokyu.Ikegami.Inbound,35.56178,139.71172,6
Tokyu.Ikegami.Inbound,35.56177,139.71157,7
Tokyu.Ikegami.Inbound,35.56179,139.71105,8
Tokyu.Ikegami.Inbound,35.56184,139.71067,9
Tokyu.Ikegami.Inbound,35.56192,139.71037,10
Tokyu.Ikegami.Inbound,35.56204,139.71008,11
Tokyu.Ikegami.Inbound,35.5622,139.7098,12
Tokyu.Ikegami.Inbound,35.56238,139.70958,13
Tokyu.Ikegami.Inbound,35.56258,139.70939,14
Tokyu.Ikegami.Inbound,35.56296,139.70913,15
Tokyu.Ikegami.Inbound,35.56366,139.70876,16
Tokyu.Ikegami.Inbound,35.56426,139.70844,17
Tokyu.Ikegami.Inbound,35.56432,139.70841,18
Tokyu.Ikegami.Inbound,35.56571,139.70784,19
Tokyu.Ikegami.Inbound,35.56701,139.70724,20
Tokyu.Ikegami.Inbound,35.56797,139.70684,21
Tokyu.Ikegami.Inbound,35.56953,139.70612,22
Tokyu.Ikegami.Inbound,35.56993,139.7059,23
Tokyu.Ikegami.Inbound,35.57026,139.70574,24
Tokyu.Ikegami.Inbound,35.57056,139.70552,25
Tokyu.Ikegami.Inbound,35.57086,139.70526,26
Tokyu.Ikegami.Inbound,35.57114,139.7049,27
Tokyu.Ikegami.Inbound,35.57134,139.70466,28
Tokyu.Ikegami.Inbound,35.57151,139.7044,29
Tokyu.Ikegami.Inbound,35.57167,139.70408,30
Tokyu.Ikegami.Inbound,35.57183,139.70364,31
Tokyu.Ikegami.Inbound,35.57191,139.70326,32
Tokyu.Ikegami.Inbound,35.57194,139.703,33
Tokyu.Ikegami.Inbound,35.57195,139.70273,34
Tokyu.Ikegami.Inbound,35.57198,139.70238,35
Tokyu.Ikegami.Inbound,35.57197,139.7022,36
Tokyu.Ikegami.Inbound,35.57193,139.70132,37
Tokyu.Ikegami.Inbound,35.57186,139.7,38
Tokyu.Ikegami.Inbound,35.57179,139.69892,39
Tokyu.Ikegami.Inbound,35.57177,139.69867,40
Tokyu.Ikegami.Inbound,35.57171,139.6971,41
Tokyu.Ikegami.Inbound,35.57168,139.69675,42
Tokyu.Ikegami.Inbound,35.5717,139.69642,43
Tokyu.Ikegami.Inbound,35.57173,139.69588,44
Tokyu.Ikegami.Inbound,35.57182,139.69524,45
Tokyu.Ikegami.Inbound,35.57191,139.69449,46
