shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Tokyu.Kodomonokuni.Outbound,35.53185,139.49536,0
Tokyu.Kodomonokuni.Outbound,35.53201,139.49284,1
Tokyu.Kodomonokuni.Outbound,35.53206,139.49256,2
Tokyu.Kodomonokuni.Outbound,35.53216,139.4922,3
Tokyu.Kodomonokuni.Outbound,35.53225,139.49199,4
Tokyu.Kodomonokuni.Outbound,35.53235,139.49183,5
Tokyu.Kodomonokuni.Outbound,35.5325,139.49167,6
Tokyu.Kodomonokuni.Outbound,35.53287,139.49138,7
Tokyu.Kodomonokuni.Outbound,35.53311,139.49124,8
Tokyu.Kodomonokuni.Outbound,35.53328,139.49119,9
Tokyu.Kodomonokuni.Outbound,35.53351,139.49117,10
Tokyu.Kodomonokuni.Outbound,35.53374,139.4912,11
Tokyu.Kodomonokuni.Outbound,35.534,139.49127,12
Tokyu.Kodomonokuni.Outbound,35.53434,139.49139,13
Tokyu.Kodomonokuni.Outbound,35.53551,139.49182,14
Tokyu.Kodomonokuni.Outbound,35.53696,139.49233,15
Tokyu.Kodomonokuni.Outbound,35.53718,139.49241,16
Tokyu.Kodomonokuni.Outbound,35.53819,139.49275,17
Tokyu.Kodomonokuni.Outbound,35.53828,139.49278,18
Tokyu.Kodomonokuni.Outbound,35.53859,139.4929,19
Tokyu.Kodomonokuni.Outbound,35.53948,139.49317,20
Tokyu.Kodomonokuni.Outbound,35.54086,139.49365,21
Tokyu.Kodomonokuni.Outbound,35.54107,139.49372,22
Tokyu.Kodomonokuni.Outbound,35.54147,139.49387,23
Tokyu.Kodomonokuni.Outbound,35.54191,139.494,24
Tokyu.Kodomonokuni.Outbound,35.54213,139.49401,25
Tokyu.Kodomonokuni.Outbound,35.54234,139.49399,26
Tokyu.Kodomonokuni.Outbound,35.54356,139.49355,27
Tokyu.Kodomonokuni.Outbound,35.54419,139.49335,28
Tokyu.Kodomonokuni.Outbound,35.54428,139.4933,29
Tokyu.Kodomonokuni.Outbound,35.54463,139.49312,30
Tokyu.Kodomonokuni.Outbound,35.54483,139.493,31
Tokyu.Kodomonokuni.Outbound,35.54498,139.49285,32
Tokyu.Kodomonokuni.Outbound,35.54524,139.49256,33
Tokyu.Kodomonokuni.Outbound,35.54554,139.49222,34
Tokyu.Kodomonokuni.Outbound,35.54596,139.49176,35
Tokyu.Kodomonokuni.Outbound,35.54649,139.49119,36
Tokyu.Kodomonokuni.Outbound,35.54674,139.49095,37
Tokyu.Kodomonokuni.Outbound,35.5469,139.49084,38
Tokyu.Kodomonokuni.Outbound,35.54704,139.49079,39
Tokyu.Kodomonokuni.Outbound,35.54724,139.49074,40
Tokyu.Kodomonokuni.Outbound,35.54773,139.49066,41
Tokyu.Kodomonokuni.Outbound,35.5493,139.49039,42
Tokyu.Kodomonokuni.Outbound,35.54931,139.49039,43
Tokyu.Kodomonokuni.Outbound,35.55087,139.49014,44
Tokyu.Kodomonokuni.Outbound,35.55175,139.49,45
Tokyu.Kodomonokuni.Outbound,35.55239,139.48988,46
Tokyu.Kodomonokuni.Outbound,35.55262,139.48982,47
Tokyu.Kodomonokuni.Outbound,35.5528,139.48974,48
Tokyu.Kodomonokuni.Outbound,35.55302,139.48959,49
Tokyu.Kodomonokuni.Outbound,35.55326,139.4894,50
Tokyu.Kodomonokuni.Outbound,35.5535,139.48917,51
Tokyu.Kodomonokuni.Outbound,35.55401,139.48874,52
Tokyu.Kodomonokuni.Outbound,35.55477,139.48805,53
Tokyu.Kodomonokuni.Outbound,35.55517,139.48773,54
Tokyu.Kodomonokuni.Outbound,35.55549,139.48747,55
Tokyu.Kodomonokuni.Outbound,35.55571,139.48733,56
Tokyu.Kodomonokuni.Outbound,35.55591,139.48724,57
Tokyu.Kodomonokuni.Outbound,35.55612,139.48716,58
Tokyu.Kodomonokuni.Outbound,35.55663,139.48701,59
Tokyu.Kodomonokuni.Outbound,35.55761,139.48677,60
Tokyu.Kodomonokuni.Outbound,35.55839,139.48656,61
Tokyu.Kodomonokuni.Inbound,35.53185,139.49536,61
Tokyu.Kodomonokuni.Inbound,35.53201,139.49284,60
Tokyu.Kodomonokuni.Inbound,35.53206,139.49256,59
Tokyu.Kodomonokuni.Inbound,35.53216,139.4922,58
Tokyu.Kodomonokuni.Inbound,35.53225,139.49199,57
Tokyu.Kodomonokuni.Inbound,35.53235,139.49183,56
Tokyu.Kodomonokuni.Inbound,35.5325,139.49167,55
Tokyu.Kodomonokuni.Inbound,35.53287,139.49138,54
Tokyu.Kodomonokuni.Inbound,35.53311,139.49124,53
