shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Tokyu.Meguro.Inbound,35.55282,139.64669,0
Tokyu.Meguro.Inbound,35.55516,139.64737,1
Tokyu.Meguro.Inbound,35.55549,139.64747,2
Tokyu.Meguro.Inbound,35.55577,139.64756,3
Tokyu.Meguro.Inbound,35.55601,139.64769,4
Tokyu.Meguro.Inbound,35.5563,139.6479,5
Tokyu.Meguro.Inbound,35.55671,139.64831,6
Tokyu.Meguro.Inbound,35.55736,139.64899,7
Tokyu.Meguro.Inbound,35.55753,139.64918,8
Tokyu.Meguro.Inbound,35.55846,139.65018,9
Tokyu.Meguro.Inbound,35.55857,139.65029,10
Tokyu.Meguro.Inbound,35.55871,139.65044,11
Tokyu.Meguro.Inbound,35.55879,139.65052,12
Tokyu.Meguro.Inbound,35.55892,139.65067,13
Tokyu.Meguro.Inbound,35.55949,139.65125,14
Tokyu.Meguro.Inbound,35.55969,139.65143,15
Tokyu.Meguro.Inbound,35.55992,139.65161,16
Tokyu.Meguro.Inbound,35.56045,139.65199,17
Tokyu.Meguro.Inbound,35.56123,139.65248,18
Tokyu.Meguro.Inbound,35.5622,139.65303,19
Tokyu.Meguro.Inbound,35.5636,139.65371,20
Tokyu.Meguro.Inbound,35.56376,139.65378,21
Tokyu.Meguro.Inbound,35.56453,139.65416,22
Tokyu.Meguro.Inbound,35.56511,139.65443,23
Tokyu.Meguro.Inbound,35.5663,139.655,24
Tokyu.Meguro.Inbound,35.56642,139.65506,25
Tokyu.Meguro.Inbound,35.56672,139.6552,26
Tokyu.Meguro.Inbound,35.56846,139.65606,27
Tokyu.Meguro.Inbound,35.57154,139.65756,28
Tokyu.Meguro.Inbound,35.57174,139.65766,29
Tokyu.Meguro.Inbound,35.57317,139.65838,30
Tokyu.Meguro.Inbound,35.57325,139.65842,31
Tokyu.Meguro.Inbound,35.57341,139.65849,32
Tokyu.Meguro.Inbound,35.57396,139.65877,33
Tokyu.Meguro.Inbound,35.57401,139.65879,34
Tokyu.Meguro.Inbound,35.57415,139.65885,35
Tokyu.Meguro.Inbound,35.57464,139.65909,36
Tokyu.Meguro.Inbound,35.57656,139.66003,37
Tokyu.Meguro.Inbound,35.57663,139.66006,38
Tokyu.Meguro.Inbound,35.57856,139.66103,39
Tokyu.Meguro.Inbound,35.57992,139.66168,40
Tokyu.Meguro.Inbound,35.581,139.6622,41
Tokyu.Meguro.Inbound,35.58251,139.66293,42
Tokyu.Meguro.Inbound,35.58342,139.66339,43
Tokyu.Meguro.Inbound,35.58363,139.66351,44
Tokyu.Meguro.Inbound,35.58381,139.66362,45
Tokyu.Meguro.Inbound,35.58412,139.66382,46
Tokyu.Meguro.Inbound,35.58425,139.66392,47
Tokyu.Meguro.Inbound,35.58441,139.66406,48
Tokyu.Meguro.Inbound,35.58454,139.66419,49
Tokyu.Meguro.Inbound,35.58481,139.66447,50
Tokyu.Meguro.Inbound,35.58529,139.66512,51
Tokyu.Meguro.Inbound,35.58658,139.66687,52
Tokyu.Meguro.Inbound,35.58704,139.66742,53
Tokyu.Meguro.Inbound,35.58765,139.66817,54
Tokyu.Meguro.Inbound,35.58779,139.66834,55
Tokyu.Meguro.Inbound,35.58799,139.66858,56
Tokyu.Meguro.Inbound,35.58811,139.66871,57
Tokyu.Meguro.Inbound,35.58837,139.66887,58
Tokyu.Meguro.Inbound,35.58848,139.6689,59
Tokyu.Meguro.Inbound,35.5887,139.6689,60
Tokyu.Meguro.Inbound,35.58892,139.66888,61
Tokyu.Meguro.Inbound,35.59037,139.66848,62
Tokyu.Meguro.Inbound,35.59105,139.66831,63
Tokyu.Meguro.Inbound,35.59124,139.66827,64
Tokyu.Meguro.Inbound,35.59338,139.66771,65
Tokyu.Meguro.Inbound,35.59417,139.66752,66
Tokyu.Meguro.Inbound,35.59446,139.66748,67
Tokyu.Meguro.Inbound,35.59469,139.66747,68
Tokyu.Meguro.Inbound,35.59472,139.66747,69
Tokyu.Meguro.Inbound,35.59663,139.66731,70
Tokyu.Meguro.Inbound,35.59795,139.66726,71
Tokyu.Meguro.Inbound,35.5986,139.66727,72
Tokyu.Meguro.Inbound,35.59895,139.6673,73
Tokyu.Meguro.Inbound,35.60002,139.66738,74
Tokyu.Meguro.Inbound,35.60112,139.66748,75
Tokyu.Meguro.Inbound,35.60154,139.66775,76
Tokyu.Meguro.Inbound,35.60217,139.66816,77
Tokyu.Meguro.Inbound,35.60251,139.66848,78
Tokyu.Meguro.Inbound,35.6028,139.66886,79
Tokyu.Meguro.Inbound,35.60313,139.66951,80
Tokyu.Meguro.Inbound,35.60335,139.67021,81
Tokyu.Meguro.Inbound,35.60383,139.67197,82
Tokyu.Meguro.Inbound,35.60406,139.67285,83
Tokyu.Meguro.Inbound,35.6043,139.67371,84
Tokyu.Meguro.Inbound,35.60468,139.6752,85
Tokyu.Meguro.Inbound,35.60517,139.67701,86
Tokyu.Meguro.Inbound,35.60569,139.67901,87
Tokyu.Meguro.Inbound,35.60573,139.67921,88
Tokyu.Meguro.Inbound,35.60593,139.68,89
Tokyu.Meguro.Inbound,35.60599,139.68023,90
Tokyu.Meguro.Inbound,35.60619,139.68103,91
Tokyu.Meguro.Inbound,35.60679,139.68327,92
Tokyu.Meguro.Inbound,35.60695,139.68386,93
Tokyu.Meguro.Inbound,35.60699,139.68404,94
Tokyu.Meguro.Inbound,35.60725,139.68501,95
Tokyu.Meguro.Inbound,35.60736,139.68543,96
Tokyu.Meguro.Inbound,35.60741,139.68557,97
Tokyu.Meguro.Inbound,35.60769,139.68669,98
Tokyu.Meguro.Inbound,35.60805,139.68806,99
Tokyu.Meguro.Inbound,35.60837,139.68925,100
Tokyu.Meguro.Inbound,35.60844,139.68956,101
Tokyu.Meguro.Inbound,35.6086,139.69015,102
Tokyu.Meguro.Inbound,35.60868,139.69046,103
Tokyu.Meguro.Inbound,35.60883,139.69105,104
Tokyu.Meguro.Inbound,35.60891,139.69134,105
Tokyu.Meguro.Inbound,35.6092,139.69244,106
Tokyu.Meguro.Inbound,35.60942,139.69331,107
Tokyu.Meguro.Inbound,35.6095,139.69347,108
Tokyu.Meguro.Inbound,35.60954,139.69357,109
Tokyu.Meguro.Inbound,35.60975,139.69377,110
Tokyu.Meguro.Inbound,35.61043,139.69444,111
Tokyu.Meguro.Inbound,35.61071,139.69472,112
Tokyu.Meguro.Inbound,35.61108,139.69509,113
Tokyu.Meguro.Inbound,35.61172,139.69563,114
Tokyu.Meguro.Inbound,35.61172,139.69564,115
Tokyu.Meguro.Inbound,35.6119,139.69579,116
Tokyu.Meguro.Inbound,35.61239,139.69621,117
Tokyu.Meguro.Inbound,35.61513,139.69845,118
Tokyu.Meguro.Inbound,35.61574,139.69897,119
Tokyu.Meguro.Inbound,35.61578,139.699,120
Tokyu.Meguro.Inbound,35.61596,139.69915,121
Tokyu.Meguro.Inbound,35.61774,139.70058,122
Tokyu.Meguro.Inbound,35.61848,139.70125,123
Tokyu.Meguro.Inbound,35.61911,139.70205,124
Tokyu.Meguro.Inbound,35.61925,139.70225,125
Tokyu.Meguro.Inbound,35.6202,139.70392,126
Tokyu.Meguro.Inbound,35.62082,139.70502,127
Tokyu.Meguro.Inbound,35.62121,139.70573,128
Tokyu.Meguro.Inbound,35.62337,139.70955,129
Tokyu.Meguro.Inbound,35.62522,139.71279,130
Tokyu.Meguro.Inbound,35.62536,139.71304,131
Tokyu.Meguro.Inbound,35.62569,139.71362,132
Tokyu.Meguro.Inbound,35.62574,139.71371,133
Tokyu.Meguro.Inbound,35.62584,139.71388,134
Tokyu.Meguro.Inbound,35.62599,139.71412,135
Tokyu.Meguro.Inbound,35.62615,139.71431,136
Tokyu.Meguro.Inbound,35.62634,139.71449,137
Tokyu.Meguro.Inbound,35.62677,139.7148,138
Tokyu.Meguro.Inbound,35.62707,139.71501,139
Tokyu.Meguro.Inbound,35.62778,139.71555,140
Tokyu.Meguro.Inbound,35.62809,139.71577,141
Tokyu.Meguro.Inbound,35.62879,139.71626,142
Tokyu.Meguro.Inbound,35.62897,139.71634,143
Tokyu.Meguro.Inbound,35.62918,139.7164,144
Tokyu.Meguro.Inbound,35.62939,139.71644,145
Tokyu.Meguro.Inbound,35.62967,139.71646,146
Tokyu.Meguro.Inbound,35.63016,139.71645,147
Tokyu.Meguro.Inbound,35.63036,139.71642,148
Tokyu.Meguro.Inbound,35.63051,139.71639,149
Tokyu.Meguro.Inbound,35.63068,139.71634,150
Tokyu.Meguro.Inbound,35.63133,139.71606,151
Tokyu.Meguro.Inbound,35.63177,139.7159,152
Tokyu.Meguro.Inbound,35.6332,139.71542,153
Tokyu.Meguro.Outbound,35.55282,139.64669,153
Tokyu.Meguro.Outbound,35.55516,139.64737,152
Tokyu.Meguro.Outbound,35.55549,139.64747,151
Tokyu.Meguro.Outbound,35.55577,139.64756,150
Tokyu.Meguro.Outbound,35.55601,139.64769,149
Tokyu.Meguro.Outbound,35.5563,139.6479,148
Tokyu.Meguro.Outbound,35.55671,139.64831,147
Tokyu.Meguro.Outbound,35.55736,139.64899,146
Tokyu.Meguro.Outbound,35.55753,139.64918,145
Tokyu.Meguro.Outbound,35.55846,139.65018,144
Tokyu.Meguro.Outbound,35.55857,139.65029,143
Tokyu.Meguro.Outbound,35.55871,139.65044,142
Tokyu.Meguro.Outbound,35.55879,139.65052,141
Tokyu.Meguro.Outbound,35.55892,139.65067,140
Tokyu.Meguro.Outbound,35.55949,139.65125,139
Tokyu.Meguro.Outbound,35.55969,139.65143,138
Tokyu.Meguro.Outbound,35.55992,139.65161,137
Tokyu.Meguro.Outbound,35.56045,139.65199,136
Tokyu.Meguro.Outbound,35.56123,139.65248,135
Tokyu.Meguro.Outbound,35.5622,139.65303,134
Tokyu.Meguro.Outbound,35.5636,139.65371,133
Tokyu.Meguro.Outbound,35.56376,139.65378,132
Tokyu.Meguro.Outbound,35.56453,139.65416,131
Tokyu.Meguro.Outbound,35.56511,139.65443,130
Tokyu.Meguro.Outbound,35.5663,139.655,129
Tokyu.Meguro.Outbound,35.56642,139.65506,128
Tokyu.Meguro.Outbound,35.56672,139.6552,127
Tokyu.Meguro.Outbound,35.56846,139.65606,126
Tokyu.Meguro.Outbound,35.57154,139.65756,125
Tokyu.Meguro.Outbound,35.57174,139.65766,124
Tokyu.Meguro.Outbound,35.57317,139.65838,123
Tokyu.Meguro.Outbound,35.57325,139.65842,122
Tokyu.Meguro.Outbound,35.57341,139.65849,121
Tokyu.Meguro.Outbound,35.57396,139.65877,120
Tokyu.Meguro.Outbound,35.57401,139.65879,119
Tokyu.Meguro.Outbound,35.57415,139.65885,118
Tokyu.Meguro.Outbound,35.57464,139.65909,117
Tokyu.Meguro.Outbound,35.57656,139.66003,116
Tokyu.Meguro.Outbound,35.57663,139.66006,115
Tokyu.Meguro.Outbound,35.57856,139.66103,114
Tokyu.Meguro.Outbound,35.57992,139.66168,113
Tokyu.Meguro.Outbound,35.581,139.6622,112
Tokyu.Meguro.Outbound,35.58251,139.66293,111
