shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Tokyu.Oimachi.Outbound,35.60759,139.73506,0
Tokyu.Oimachi.Outbound,35.60775,139.73373,1
Tokyu.Oimachi.Outbound,35.60781,139.73324,2
Tokyu.Oimachi.Outbound,35.60781,139.73322,3
Tokyu.Oimachi.Outbound,35.60811,139.72987,4
Tokyu.Oimachi.Outbound,35.60834,139.72751,5
Tokyu.Oimachi.Outbound,35.60837,139.72735,6
Tokyu.Oimachi.Outbound,35.60855,139.72677,7
Tokyu.Oimachi.Outbound,35.60858,139.72668,8
Tokyu.Oimachi.Outbound,35.60884,139.72594,9
Tokyu.Oimachi.Outbound,35.60887,139.72587,10
Tokyu.Oimachi.Outbound,35.60898,139.72553,11
Tokyu.Oimachi.Outbound,35.60907,139.72526,12
Tokyu.Oimachi.Outbound,35.6092,139.72448,13
Tokyu.Oimachi.Outbound,35.60924,139.72422,14
Tokyu.Oimachi.Outbound,35.60922,139.72352,15
Tokyu.Oimachi.Outbound,35.60918,139.72267,16
Tokyu.Oimachi.Outbound,35.60908,139.72001,17
Tokyu.Oimachi.Outbound,35.60901,139.7188,18
Tokyu.Oimachi.Outbound,35.60885,139.71798,19
Tokyu.Oimachi.Outbound,35.60877,139.71751,20
Tokyu.Oimachi.Outbound,35.60864,139.71707,21
Tokyu.Oimachi.Outbound,35.60834,139.71641,22
Tokyu.Oimachi.Outbound,35.6079,139.71571,23
Tokyu.Oimachi.Outbound,35.6075,139.71512,24
Tokyu.Oimachi.Outbound,35.60709,139.71453,25
Tokyu.Oimachi.Outbound,35.60601,139.71297,26
Tokyu.Oimachi.Outbound,35.60596,139.7129,27
Tokyu.Oimachi.Outbound,35.60548,139.7122,28
Tokyu.Oimachi.Outbound,35.60544,139.71214,29
Tokyu.Oimachi.Outbound,35.60474,139.71107,30
Tokyu.Oimachi.Outbound,35.60452,139.7107,31
Tokyu.Oimachi.Outbound,35.60434,139.71022,32
Tokyu.Oimachi.Outbound,35.60428,139.71006,33
Tokyu.Oimachi.Outbound,35.60426,139.70999,34
Tokyu.Oimachi.Outbound,35.60418,139.70975,35
Tokyu.Oimachi.Outbound,35.60407,139.70943,36
Tokyu.Oimachi.Outbound,35.60396,139.70889,37
Tokyu.Oimachi.Outbound,35.6038,139.70796,38
Tokyu.Oimachi.Outbound,35.60382,139.70713,39
Tokyu.Oimachi.Outbound,35.60396,139.70641,40
Tokyu.Oimachi.Outbound,35.60406,139.70599,41
Tokyu.Oimachi.Outbound,35.60413,139.70577,42
Tokyu.Oimachi.Outbound,35.60415,139.70566,43
Tokyu.Oimachi.Outbound,35.60427,139.70517,44
Tokyu.Oimachi.Outbound,35.6043,139.70504,45
Tokyu.Oimachi.Outbound,35.60436,139.70478,46
Tokyu.Oimachi.Outbound,35.60437,139.70475,47
Tokyu.Oimachi.Outbound,35.60457,139.70387,48
Tokyu.Oimachi.Outbound,35.60463,139.70362,49
Tokyu.Oimachi.Outbound,35.60479,139.70291,50
Tokyu.Oimachi.Outbound,35.60484,139.70272,51
Tokyu.Oimachi.Outbound,35.60485,139.70266,52
Tokyu.Oimachi.Outbound,35.60501,139.70176,53
Tokyu.Oimachi.Outbound,35.60505,139.70151,54
Tokyu.Oimachi.Outbound,35.60508,139.70133,55
Tokyu.Oimachi.Outbound,35.60512,139.70104,56
Tokyu.Oimachi.Outbound,35.60512,139.70094,57
Tokyu.Oimachi.Outbound,35.60513,139.70074,58
Tokyu.Oimachi.Outbound,35.60515,139.70035,59
