shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Tokyu.Setagaya.Outbound,35.64413,139.66961,0
Tokyu.Setagaya.Outbound,35.64408,139.66876,1
Tokyu.Setagaya.Outbound,35.64407,139.66842,2
Tokyu.Setagaya.Outbound,35.64409,139.66791,3
Tokyu.Setagaya.Outbound,35.64416,139.66749,4
Tokyu.Setagaya.Outbound,35.64423,139.66723,5
Tokyu.Setagaya.Outbound,35.64438,139.66672,6
Tokyu.Setagaya.Outbound,35.64466,139.66598,7
Tokyu.Setagaya.Outbound,35.64545,139.66409,8
Tokyu.Setagaya.Outbound,35.6457,139.66348,9
Tokyu.Setagaya.Outbound,35.64594,139.66284,10
Tokyu.Setagaya.Outbound,35.64605,139.66236,11
Tokyu.Setagaya.Outbound,35.64613,139.66185,12
Tokyu.Setagaya.Outbound,35.64614,139.66133,13
Tokyu.Setagaya.Outbound,35.64612,139.66099,14
Tokyu.Setagaya.Outbound,35.646,139.6603,15
Tokyu.Setagaya.Outbound,35.64585,139.65952,16
Tokyu.Setagaya.Outbound,35.64564,139.65884,17
Tokyu.Setagaya.Outbound,35.64524,139.65798,18
Tokyu.Setagaya.Outbound,35.64445,139.6566,19
Tokyu.Setagaya.Outbound,35.64426,139.65625,20
Tokyu.Setagaya.Outbound,35.64413,139.6559,21
Tokyu.Setagaya.Outbound,35.64395,139.65535,22
Tokyu.Setagaya.Outbound,35.64382,139.65463,23
Tokyu.Setagaya.Outbound,35.64353,139.65126,24
Tokyu.Setagaya.Outbound,35.64346,139.65042,25
Tokyu.Setagaya.Outbound,35.64332,139.64901,26
Tokyu.Setagaya.Outbound,35.6432,139.64789,27
Tokyu.Setagaya.Outbound,35.64318,139.64758,28
Tokyu.Setagaya.Outbound,35.64322,139.64726,29
Tokyu.Setagaya.Outbound,35.64329,139.64694,30
Tokyu.Setagaya.Outbound,35.64338,139.64667,31
Tokyu.Setagaya.Outbound,35.64352,139.64641,32
Tokyu.Setagaya.Outbound,35.64365,139.64628,33
Tokyu.Setagaya.Outbound,35.64385,139.64615,34
Tokyu.Setagaya.Outbound,35.64551,139.64517,35
Tokyu.Setagaya.Outbound,35.64604,139.64491,36
Tokyu.Setagaya.Outbound,35.64655,139.64478,37
Tokyu.Setagaya.Outbound,35.64719,139.64481,38
Tokyu.Setagaya.Outbound,35.64791,139.64503,39
