shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Tokyu.TokyuTamagawa.Outbound,35.59472,139.66747,0
Tokyu.TokyuTamagawa.Outbound,35.59457,139.66748,1
Tokyu.TokyuTamagawa.Outbound,35.59417,139.66753,2
Tokyu.TokyuTamagawa.Outbound,35.59381,139.66761,3
Tokyu.TokyuTamagawa.Outbound,35.59328,139.66774,4
Tokyu.TokyuTamagawa.Outbound,35.59187,139.66811,5
Tokyu.TokyuTamagawa.Outbound,35.59065,139.66842,6
Tokyu.TokyuTamagawa.Outbound,35.59038,139.6685,7
Tokyu.TokyuTamagawa.Outbound,35.59037,139.6685,8
Tokyu.TokyuTamagawa.Outbound,35.58894,139.66889,9
Tokyu.TokyuTamagawa.Outbound,35.58892,139.66889,10
Tokyu.TokyuTamagawa.Outbound,35.58824,139.66911,11
Tokyu.TokyuTamagawa.Outbound,35.58658,139.66966,12
Tokyu.TokyuTamagawa.Outbound,35.58628,139.66985,13
Tokyu.TokyuTamagawa.Outbound,35.58609,139.66996,14
Tokyu.TokyuTamagawa.Outbound,35.58549,139.67028,15
Tokyu.TokyuTamagawa.Outbound,35.58513,139.67053,16
Tokyu.TokyuTamagawa.Outbound,35.58488,139.67074,17
Tokyu.TokyuTamagawa.Outbound,35.58453,139.67106,18
Tokyu.TokyuTamagawa.Outbound,35.58275,139.6729,19
Tokyu.TokyuTamagawa.Outbound,35.58223,139.67344,20
Tokyu.TokyuTamagawa.Outbound,35.58187,139.67382,21
Tokyu.TokyuTamagawa.Outbound,35.58079,139.67496,22
Tokyu.TokyuTamagawa.Outbound,35.57801,139.67785,23
Tokyu.TokyuTamagawa.Outbound,35.57563,139.68031,24
Tokyu.TokyuTamagawa.Outbound,35.57514,139.68079,25
Tokyu.TokyuTamagawa.Outbound,35.57392,139.68203,26
Tokyu.TokyuTamagawa.Outbound,35.57309,139.68292,27
Tokyu.TokyuTamagawa.Outbound,35.5723,139.6837,28
Tokyu.TokyuTamagawa.Outbound,35.57215,139.68389,29
Tokyu.TokyuTamagawa.Outbound,35.57195,139.6842,30
Tokyu.TokyuTamagawa.Outbound,35.57149,139.68514,31
Tokyu.TokyuTamagawa.Outbound,35.57116,139.68584,32
Tokyu.TokyuTamagawa.Outbound,35.57027,139.68776,33
Tokyu.TokyuTamagawa.Outbound,35.57,139.68837,34
Tokyu.TokyuTamagawa.Outbound,35.56969,139.68896,35
Tokyu.TokyuTamagawa.Outbound,35.56933,139.68973,36
Tokyu.TokyuTamagawa.Outbound,35.56891,139.69057,37
Tokyu.TokyuTamagawa.Outbound,35.5687,139.69099,38
Tokyu.TokyuTamagawa.Outbound,35.56857,139.69122,39
Tokyu.TokyuTamagawa.Outbound,35.56797,139.69212,40
Tokyu.TokyuTamagawa.Outbound,35.56754,139.69275,41
Tokyu.TokyuTamagawa.Outbound,35.56667,139.694,42
Tokyu.TokyuTamagawa.Outbound,35.56498,139.69636,43
Tokyu.TokyuTamagawa.Outbound,35.56473,139.69672,44
Tokyu.TokyuTamagawa.Outbound,35.56396,139.69781,45
Tokyu.TokyuTamagawa.Outbound,35.56378,139.69807,46
Tokyu.TokyuTamagawa.Outbound,35.56333,139.69867,47
Tokyu.TokyuTamagawa.Outbound,35.56294,139.69924,48
Tokyu.TokyuTamagawa.Outbound,35.5626,139.69994,49
Tokyu.TokyuTamagawa.Outbound,35.5623,139.70074,50
Tokyu.TokyuTamagawa.Outbound,35.5622,139.70099,51
Tokyu.TokyuTamagawa.Outbound,35.5615,139.70286,52
Tokyu.TokyuTamagawa.Outbound,35.56113,139.70397,53
Tokyu.TokyuTamagawa.Outbound,35.56107,139.70432,54
Tokyu.TokyuTamagawa.Outbound,35.56107,139.70473,55
Tokyu.TokyuTamagawa.Outbound,35.56112,139.70521,56
Tokyu.TokyuTamagawa.Outbound,35.5613,139.70735,57
Tokyu.TokyuTamagawa.Outbound,35.56148,139.70939,58
Tokyu.TokyuTamagawa.Outbound,35.56152,139.71014,59
Tokyu.TokyuTamagawa.Outbound,35.56157,139.71175,60
Tokyu.TokyuTamagawa.Outbound,35.5616,139.71376,61
Tokyu.TokyuTamagawa.Outbound,35.56161,139.71391,62
Tokyu.TokyuTamagawa.Outbound,35.56162,139.71411,63
