shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
YokohamaMunicipal.Green.Inbound,35.51435,139.54001,0
YokohamaMunicipal.Green.Inbound,35.51513,139.54052,1
YokohamaMunicipal.Green.Inbound,35.51975,139.54352,2
YokohamaMunicipal.Green.Inbound,35.5222,139.54497,3
YokohamaMunicipal.Green.Inbound,35.52408,139.54538,4
YokohamaMunicipal.Green.Inbound,35.5259,139.54624,5
YokohamaMunicipal.Green.Inbound,35.52817,139.54869,6
YokohamaMunicipal.Green.Inbound,35.52872,139.54926,7
YokohamaMunicipal.Green.Inbound,35.53006,139.55061,8
YokohamaMunicipal.Green.Inbound,35.532141,139.552626,9
YokohamaMunicipal.Green.Inbound,35.532835,139.553381,10
YokohamaMunicipal.Green.Inbound,35.533757,139.554613,11
YokohamaMunicipal.Green.Inbound,35.534578,139.555938,12
YokohamaMunicipal.Green.Inbound,35.53506,139.556962,13
YokohamaMunicipal.Green.Inbound,35.536346,139.560705,14
YokohamaMunicipal.Green.Inbound,35.536766,139.561897,15
YokohamaMunicipal.Green.Inbound,35.53826,139.56622,16
YokohamaMunicipal.Green.Inbound,35.53941,139.56963,17
YokohamaMunicipal.Green.Inbound,35.54161,139.57282,18
YokohamaMunicipal.Green.Inbound,35.54346,139.57365,19
YokohamaMunicipal.Green.Inbound,35.54452,139.57417,20
YokohamaMunicipal.Green.Inbound,35.54591,139.57486,21
YokohamaMunicipal.Green.Inbound,35.55219,139.57794,22
YokohamaMunicipal.Green.Inbound,35.55382,139.57874,23
YokohamaMunicipal.Green.Inbound,35.55619,139.57991,24
YokohamaMunicipal.Green.Inbound,35.55662,139.58061,25
YokohamaMunicipal.Green.Inbound,35.55968,139.58642,26
YokohamaMunicipal.Green.Inbound,35.56127,139.58955,27
YokohamaMunicipal.Green.Inbound,35.56143,139.59047,28
YokohamaMunicipal.Green.Inbound,35.56131,139.59133,29
YokohamaMunicipal.Green.Inbound,35.56119,139.59218,30
YokohamaMunicipal.Green.Inbound,35.56115,139.59251,31
YokohamaMunicipal.Green.Inbound,35.56093,139.59355,32
YokohamaMunicipal.Green.Inbound,35.56057,139.59523,33
YokohamaMunicipal.Green.Inbound,35.56,139.59663,34
YokohamaMunicipal.Green.Inbound,35.55914,139.59816,35
YokohamaMunicipal.Green.Inbound,35.55802,139.59985,36
YokohamaMunicipal.Green.Inbound,35.55713,139.60052,37
YokohamaMunicipal.Green.Inbound,35.55604,139.60123,38
YokohamaMunicipal.Green.Inbound,35.5554,139.60167,39
YokohamaMunicipal.Green.Inbound,35.55483,139.60241,40
YokohamaMunicipal.Green.Inbound,35.55448,139.60343,41
YokohamaMunicipal.Green.Inbound,35.55425,139.60565,42
YokohamaMunicipal.Green.Inbound,35.55417,139.60643,43
YokohamaMunicipal.Green.Inbound,35.55403,139.60777,44
YokohamaMunicipal.Green.Inbound,35.55376,139.61093,45
YokohamaMunicipal.Green.Inbound,35.55257,139.61304,46
YokohamaMunicipal.Green.Inbound,35.55123,139.61604,47
YokohamaMunicipal.Green.Inbound,35.54985,139.61977,48
YokohamaMunicipal.Green.Inbound,35.54925,139.62141,49
